"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","M","SRFC","Little","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","M","SRFC","Fishlock","passes.f.c","DM3C","A3L","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","M","SRFC","Mathias","passes.f","A3L",NA,NA,"D","PTFC","Van Hollebeke","challenged","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1",NA,NA,NA,NA,NA,NA,NA,"M","PTFC","Heath","interceptions","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","M","PTFC","Heath","passes.s.c","D3R","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","D","PTFC","Williamson","passes.f","D18",NA,NA,"D","SRFC","Barnes","blocks","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","M","PTFC","Polkinghorne","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","M","PTFC","Polkinghorne","passes.f.c","D3R","AM3L","headed","D","SRFC","Barnes","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","D","SRFC","Barnes","passes.f.c","AM3L","AM3L",NA,"F","PTFC","Sinclair","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","M","SRFC","Little","dispossessed","AM3L",NA,NA,"M","PTFC","Polkinghorne","tackles.ball.away","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","M","PTFC","Heath","recoveries","DM3R",NA,NA,"M","SRFC","Little","challenged","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","M","PTFC","Heath","passes.f","DM3R",NA,NA,"D","SRFC","Cox","blocks","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1",NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Cox","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","M","SRFC","Winters","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","M","SRFC","Winters","passes.b.c","DM3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1","D","SRFC","Barnes","passes.f.c","D3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1","D","SRFC","Cox","passes.b.c","D3L","D3L",NA,"M","PTFC","Heath","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1","D","SRFC","Barnes","passes.f","D3L",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1","F","SRFC","Rapinoe","aerial.lost","DM3L",NA,NA,"D","PTFC","Van Hollebeke","aerial.won","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1","M","SRFC","Fishlock","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","M","SRFC","Fishlock","dispossessed","DM3L",NA,NA,"M","PTFC","Polkinghorne","tackles.ball.away","AM3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"21","2","D","SRFC","Cox","passes.f","DM3L",NA,"throw.in","M","PTFC","Polkinghorne","interceptions","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2","M","PTFC","Polkinghorne","passes.f.c","DM3R","AM3R",NA,"M","SRFC","Little","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2","M","PTFC","Long","passes.s.c","AM3R","AM3R",NA,"M","SRFC","Fishlock","challenged","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2","M","PTFC","Heath","passes.f.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2","F","PTFC","Sinclair","passes.s.c","AM3R","AM3C",NA,"D","SRFC","Barnes","challenged","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2","M","PTFC","Farrelly","passes.b.c","AM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2","D","PTFC","Menges","passes.f.c","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2","D","PTFC","Catley","passes.s.c","AM3L","AM3L",NA,"D","SRFC","Fletcher","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2","M","PTFC","Farrelly","passes.f","AM3L",NA,NA,"M","SRFC","Winters","challenged","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2",NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Fletcher","blocks","D3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"30","2","M","PTFC","Farrelly","passes.f.c","A3L",NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2","D","PTFC","Catley","passes.f.c",NA,"D6",NA,"F","SRFC","Yanez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2",NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Fletcher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2","GK","SRFC","Kopmeyer","passes.f.c","D6","D3R","goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2","D","SRFC","Corsie","passes.f.c","D3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2","D","SRFC","Fletcher","passes.f","D3R",NA,NA,"M","PTFC","Farrelly","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2",NA,NA,NA,NA,NA,NA,NA,"M","PTFC","Zerboni","interceptions","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2","M","PTFC","Zerboni","passes.f.c","AM3L","A3L","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2","M","PTFC","Long","take.on.lost","A3L",NA,NA,"D","SRFC","Corsie","tackles.ball.won","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","3","D","SRFC","Corsie","passes.f.c","D3R","D3R",NA,"M","PTFC","Long","challenged","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3","D","SRFC","Fletcher","passes.f","D3R",NA,NA,"M","PTFC","Long","challenged","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3",NA,NA,NA,NA,NA,NA,NA,"M","PTFC","Farrelly","interceptions","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3","M","PTFC","Farrelly","passes.s","A3L",NA,NA,"D","SRFC","Corsie","challenged","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3",NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Winters","clearances","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3","M","PTFC","Zerboni","recoveries","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3","M","PTFC","Zerboni","passes.f.c","A3L","A18",NA,"M","SRFC","Little","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3","F","PTFC","Sinclair","passes.b.c","A18","A3C","lay.off","M","SRFC","Winters","challenged","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3","M","PTFC","Heath","passes.b.c","A3C","A3L",NA,"F","SRFC","Rapinoe","challenged","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3",NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Little","pressured","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3",NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Winters","pressured","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3","M","PTFC","Zerboni","passes.s.c","A3L","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3","M","PTFC","Polkinghorne","passes.s.c","A3C","A3R",NA,"F","SRFC","Rapinoe","pressured","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3","D","PTFC","Van Hollebeke","passes.f.c","A3R","A3C",NA,"D","SRFC","Cox","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3","M","PTFC","Heath","passes.s.c","A3C","A3C","flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3","M","PTFC","Farrelly","passes.f","A3C",NA,NA,"M","SRFC","Fishlock","clearances","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3","M","PTFC","Zerboni","aerial.lost","A3C",NA,NA,"F","SRFC","Yanez","aerial.won","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3","M","SRFC","Mathias","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","3","M","SRFC","Mathias","take.on.lost","AM3C",NA,NA,"M","PTFC","Zerboni",NA,NA,NA,NA,"fouls.conceded",NA,NA,NA,NA,NA,NA
"52","3",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","3","M","PTFC","Farrelly","passes.f.c","A3L","A3L",NA,"M","SRFC","Fishlock","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3","D","PTFC","Catley","passes.s","A3L",NA,"corner.crosses","D","SRFC","Fletcher","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3",NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Barnes","blocks","D6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","3",NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Cox","clearances","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3","D","PTFC","Van Hollebeke","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3","D","PTFC","Van Hollebeke","passes.s.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3","M","PTFC","Zerboni","passes.s.c","AM3C","AM3R","lay.off","M","SRFC","Mathias","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4","D","PTFC","Van Hollebeke","passes.f","AM3R",NA,NA,"M","SRFC","Mathias","pressured","DM3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"59","4","D","SRFC","Cox","passes.b.c","D3L","D3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","4","D","SRFC","Barnes","clearances","D3L",NA,NA,"F","PTFC","Sinclair","challenged","A3R",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"61","4","M","PTFC","Heath","passes.s.c","A3R","A18","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4","M","PTFC","Farrelly","passes.b","A18",NA,NA,"D","SRFC","Barnes","challenged","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","4",NA,NA,NA,NA,NA,NA,NA,"GK","SRFC","Kopmeyer","gk.loose.balls.won","D6","collected",NA,NA,NA,NA,NA,NA,NA,NA
"63","4","GK","SRFC","Kopmeyer","movement","D6","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4","GK","SRFC","Kopmeyer","passes.f.c","D18","D3R","gk.throws",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4","D","SRFC","Fletcher","movement","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4","D","SRFC","Fletcher","passes.f.c","DM3R","AM3R",NA,"F","PTFC","Sinclair","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","4","M","SRFC","Mathias","take.on.lost","AM3R",NA,NA,"D","PTFC","Menges","tackles.ball.won","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","4","D","PTFC","Menges","passes.f.c","DM3L","DM3L",NA,"M","SRFC","Mathias","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","4","M","PTFC","Farrelly","passes.s.c","DM3L","DM3L",NA,"M","SRFC","Winters","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","5","F","PTFC","Sinclair","passes.b.c","DM3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","5","D","PTFC","Catley","passes.b.c","D3L","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","5","D","PTFC","Menges","passes.b.c","D3C","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","5","GK","PTFC","Betos","passes.f.c","D18","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","5","D","PTFC","Menges","passes.f.c","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5","D","PTFC","Catley","passes.f.c","DM3L","DM3L",NA,"M","SRFC","Mathias","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","5","M","PTFC","Farrelly","dispossessed","DM3L",NA,NA,"M","SRFC","Winters","tackles.ball.away","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","5","M","SRFC","Mathias","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","5","D","PTFC","Menges","passes.s.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","5","M","SRFC","Little","passes.f.c","AM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","5","D","SRFC","Fletcher","passes.f.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","5","M","SRFC","Little","passes.s.c","DM3R","DM3R",NA,"M","PTFC","Farrelly","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","5","D","SRFC","Fletcher","passes.f.c","DM3R","A3R","launch","M","PTFC","Farrelly","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","5","M","SRFC","Fishlock","take.on.won","A3R",NA,NA,"D","PTFC","Menges","dribbled.turned","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","5","M","SRFC","Fishlock","passes.s.c","A3R","A3L","corner.crosses","D","PTFC","Menges","challenged","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","5","F","SRFC","Rapinoe","take.on.lost","A3L",NA,NA,"D","PTFC","Van Hollebeke","tackles.ball.away","D3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"86","5","F","SRFC","Rapinoe","passes.s.c","A3L","A18","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","5","F","SRFC","Yanez","passes.s","A18",NA,NA,"D","PTFC","Williamson","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"88","6","F","SRFC","Rapinoe","passes.s","A3L",NA,"corner.kick","D","PTFC","Catley","clearances","D6",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"89","6","M","SRFC","Little","passes.s.c","A3L","A18","corner.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","6","M","SRFC","Fishlock","passes.s.c","A18","A3L","lay.off","M","PTFC","Farrelly","pressured","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","6","F","SRFC","Rapinoe","passes.s","A3L",NA,NA,"M","PTFC","Zerboni","blocks","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","6","M","PTFC","Heath","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","6","M","PTFC","Heath","passes.f","D3R",NA,NA,"F","SRFC","Rapinoe","blocks","A3L",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
