"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","M","SRFC","Little","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","M","SRFC","Fishlock","passes.f","DM3C",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","M","SRFC","Mathias","aerial.lost","A3L",NA,NA,"D","WAS","Church","aerial.won","D3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"5","1","D","SRFC","Cox","passes.f.c","A3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","F","SRFC","Veje","passes.b.c","A3L","A3L",NA,"D","WAS","Church","challenged","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","D","SRFC","Cox","passes.b","A3L",NA,NA,"F","WAS","Dunn","challenged","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1",NA,NA,NA,NA,NA,NA,NA,"F","WAS","Dunn","blocks","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","D","WAS","Church","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","D","WAS","Church","take.on.lost","D3R",NA,NA,"D","SRFC","Cox","tackles.ball.away","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","M","SRFC","Little","recoveries","A3L",NA,NA,"D","WAS","Church","challenged","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","M","SRFC","Little","passes.b.c","A3L","A3L",NA,"D","WAS","Church","challenged","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","D","SRFC","Cox","passes.s.c","A3L","A3L",NA,"F","WAS","Dunn","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","F","SRFC","Veje","passes.f.c","A3L","A18","corner.crosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","F","SRFC","Rapinoe","aerial.won","A18",NA,NA,"D","WAS","Reynolds","aerial.lost","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1","D","WAS","Johnson","recoveries","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1","D","WAS","Johnson","clearances","D18","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"17","1",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1","M","WAS","Raso","passes.b.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1","D","WAS","Church","passes.b.c","DM3R","D18",NA,"F","SRFC","Veje","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2","M","WAS","Harris","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2","D","WAS","Oyster","passes.f.c","D3R","DM3R",NA,"M","SRFC","Mathias","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2","D","WAS","Church","passes.b.c","DM3R","D3C",NA,"F","SRFC","Veje","challenged","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2","D","WAS","Oyster","passes.s.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2","D","WAS","Johnson","passes.f.c","D3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2","D","WAS","Reynolds","passes.f.c","DM3L","DM3L",NA,"F","SRFC","Rapinoe","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2","M","WAS","Matheson","passes.f.c","DM3L","A3L",NA,"D","SRFC","Fletcher","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2","F","WAS","Ordega","take.on.lost","A3L",NA,NA,"D","SRFC","Corsie","tackles.ball.away","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2","M","WAS","Matheson","passes.s.c","A3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2","F","WAS","Dunn","lost.touch","A3L",NA,NA,"M","SRFC","Fishlock","challenged","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2","M","SRFC","Little","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2","M","SRFC","Little","take.on.won","D3R",NA,NA,"F","WAS","Dunn",NA,NA,NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,NA,NA
"32","2","D","SRFC","Corsie","passes.s.c","D3R","D18","free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3","GK","SRFC","Solo","passes.s.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","3","D","SRFC","Corsie","passes.f","D3R",NA,"launch","D","WAS","Johnson","blocks","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3","M","SRFC","Mathias","passes.s.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3","M","SRFC","Little","passes.f","AM3C","A18","through",NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"37","3","M","WAS","Harris","passes.f","D6",NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3","M","SRFC","Fishlock","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3","M","SRFC","Fishlock","dispossessed","DM3C",NA,NA,"F","WAS","Dunn","tackles.ball.away","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3","M","WAS","Raso","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3","M","WAS","Raso","movement","AM3C","DM3C",NA,"M","SRFC","Fishlock","challenged","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3","M","WAS","Raso","passes.b.c","DM3C","DM3R",NA,"M","SRFC","Fishlock","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3","D","WAS","Oyster","passes.f.c","DM3R","A3R","launch","M","SRFC","Mathias","challenged","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3","F","WAS","Ordega","passes.s","A3R",NA,"corner.crosses","D","SRFC","Corsie","clearances","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3","M","WAS","Raso","lost.touch","A3R",NA,NA,"F","SRFC","Veje","pressured","D3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"46","4","D","SRFC","Cox","passes.f.c","D3L","D3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4","M","SRFC","Little","passes.b.c","D3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4","D","SRFC","Cox","passes.f","D3L",NA,NA,"D","WAS","Church","blocks","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4","M","SRFC","Winters","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","4","M","SRFC","Winters","passes.f.c","DM3L","AM3L",NA,"D","WAS","Church","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","4","M","SRFC","Mathias","aerial.won","AM3L",NA,NA,"D","WAS","Oyster","aerial.lost","DM3R",NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,NA,NA
"52","4",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","4","M","SRFC","Little","recoveries","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","4","M","SRFC","Little","passes.f.c","A3C","A18","through",NA,NA,NA,NA,NA,NA,NA,NA,"unscored.key.passes",NA,NA,NA,NA,NA
"55","4","F","SRFC","Rapinoe","passes.b.c","A18","A18",NA,"D","WAS","Oyster","pressured","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4","M","SRFC","Mathias","shots.missed","A18",NA,NA,"M","WAS","Harris","gk.shot.miss","D18",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"56","4",NA,NA,NA,NA,NA,NA,NA,"D","WAS","Oyster","clearances","D6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","5","D","WAS","Church","passes.s.c","D3R","D3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","5","D","WAS","Johnson","passes.b","D3R",NA,NA,"M","SRFC","Mathias","blocks","A3L",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"59","5",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5","F","WAS","Dunn","passes.f","AM3C",NA,NA,"D","SRFC","Fletcher","blocks","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5","D","SRFC","Corsie","clearances","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5","M","SRFC","Mathias","aerial.won","AM3C",NA,NA,"D","WAS","Oyster","aerial.lost","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","5","F","SRFC","Veje","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","5","F","SRFC","Veje","movement","AM3L","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5","F","SRFC","Veje","passes.f","A3L",NA,NA,"D","WAS","Church","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5",NA,NA,NA,NA,NA,NA,NA,"D","WAS","Oyster","interceptions","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5","D","WAS","Oyster","movement","D18","D3R",NA,"M","SRFC","Little","pressured","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5","D","WAS","Oyster","passes.f.c","D3R","DM3R",NA,"M","SRFC","Little","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","5","M","WAS","Raso","movement","DM3R","DM3C",NA,"D","SRFC","Cox","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","5","M","WAS","Raso","passes.s.c","DM3C","AM3C",NA,"D","SRFC","Cox","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","5","M","WAS","Nairn","passes.f.c","AM3C","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","5","M","WAS","Matheson","passes.b.c","AM3L","AM3L",NA,"D","SRFC","Fletcher","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","5","M","WAS","Nairn","passes.s.c","AM3L","AM3C",NA,"M","SRFC","Fishlock","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","6","M","WAS","Salem","passes.s.c","AM3C","AM3C","lay.off",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","6","M","WAS","Nairn","passes.b.c","AM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","6","D","WAS","Oyster","passes.f.c","DM3C","AM3C",NA,"M","SRFC","Mathias","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","6","M","WAS","Salem","passes.s.c","AM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6","D","WAS","Reynolds","passes.b.c","DM3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","6","D","WAS","Johnson","passes.f.c","DM3L","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","6","M","WAS","Salem","movement","DM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","6","M","WAS","Salem","passes.f.c","AM3C","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","6","M","WAS","Raso","passes.b.c","A3R","A3C",NA,"D","SRFC","Cox","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","6","M","WAS","Salem","passes.b.c","A3C","AM3R",NA,"M","SRFC","Fishlock","pressured","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","6",NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Winters","challenged","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","6","D","WAS","Church","passes.f.c","AM3R","A3R",NA,"F","SRFC","Veje","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","6","M","WAS","Raso","passes.f.c","A3R","A3R","flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","6","F","WAS","Dunn","passes.b.c","A3R","A3R","flick.on","M","SRFC","Winters","challenged","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","6","M","WAS","Nairn","passes.f","A3R",NA,NA,"D","SRFC","Corsie","ball.shield","D18",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"87","6",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","7","M","WAS","Harris","passes.f.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","7","D","WAS","Johnson","passes.f.c","D3C","DM3C",NA,"F","SRFC","Rapinoe","challenged","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","7","M","WAS","Salem","passes.b.c","DM3C","D3C",NA,"M","SRFC","Winters","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","7","D","WAS","Oyster","passes.f","D3C",NA,NA,"M","SRFC","Mathias","challenged","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","7",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","7","M","WAS","Raso","lost.touch","AM3R",NA,NA,"D","SRFC","Cox","challenged","DM3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"94","7",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","7","M","WAS","Salem","passes.f.c","DM3R","DM3R",NA,"M","SRFC","Little","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","7","F","WAS","Dunn","passes.b.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","7","M","WAS","Salem","passes.b.c","DM3R","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","7","D","WAS","Johnson","passes.f.c","D3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","7","D","WAS","Reynolds","passes.b.c","DM3L","DM3L",NA,"F","SRFC","Rapinoe","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","7","D","WAS","Johnson","passes.f.c","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","7","M","WAS","Nairn","passes.b","AM3L",NA,NA,"F","SRFC","Veje","interceptions","AM3C",NA,NA,NA,NA,NA,"errors.to.big.chances",NA,NA,NA
"102","7","F","SRFC","Veje","movement","AM3C","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","7","F","SRFC","Veje","movement","A3C","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
