"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1",NA,"SRFC","Little","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1",NA,"SRFC","Fishlock","passes.f","DM3C",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1",NA,"SRFC","Mathias","aerial.lost","A3L",NA,NA,NA,"WAS","Church","aerial.won","D3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA
5,"1",NA,"SRFC","Cox","passes.f.c","A3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1",NA,"SRFC","Veje","passes.b.c","A3L","A3L",NA,NA,"WAS","Church","challenged","D3R",NA,NA,NA,NA,NA,NA
7,"1",NA,"SRFC","Cox","passes.b","A3L",NA,NA,NA,"WAS","Dunn","challenged","D3R",NA,NA,NA,NA,NA,NA
7,"1",NA,NA,NA,NA,NA,NA,NA,NA,"WAS","Dunn","blocks","D3R",NA,NA,NA,NA,NA,NA
8,"1",NA,"WAS","Church","recoveries","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1",NA,"WAS","Church","take.on.lost","D3R",NA,NA,NA,"SRFC","Cox","tackles.ball.away","A3L",NA,NA,NA,NA,NA,NA
10,"1",NA,"SRFC","Little","recoveries","A3L",NA,NA,NA,"WAS","Church","challenged","D3R",NA,NA,NA,NA,NA,NA
11,"1",NA,"SRFC","Little","passes.b.c","A3L","A3L",NA,NA,"WAS","Church","challenged","D3R",NA,NA,NA,NA,NA,NA
12,"1",NA,"SRFC","Cox","passes.s.c","A3L","A3L",NA,NA,"WAS","Dunn","pressured","D3R",NA,NA,NA,NA,NA,NA
13,"1",NA,"SRFC","Veje","passes.f.c","A3L","A18","corner.crosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1",NA,"SRFC","Rapinoe","aerial.won","A18",NA,NA,NA,"WAS","Reynolds","aerial.lost","D18",NA,NA,NA,NA,NA,NA
15,"1",NA,"WAS","Johnson","recoveries","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"1",NA,"WAS","Johnson","clearances","D18","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA
17,"1",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"1",NA,"WAS","Raso","passes.b.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"1",NA,"WAS","Church","passes.b.c","DM3R","D18",NA,NA,"SRFC","Veje","pressured","AM3L",NA,NA,NA,NA,NA,NA
20,"2","GK","WAS","Harris","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2",NA,"WAS","Oyster","passes.f.c","D3R","DM3R",NA,NA,"SRFC","Mathias","pressured","A3L",NA,NA,NA,NA,NA,NA
22,"2",NA,"WAS","Church","passes.b.c","DM3R","D3C",NA,NA,"SRFC","Veje","challenged","AM3L",NA,NA,NA,NA,NA,NA
