"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1",NA,"CRS","DiBernardo","passes.b.c","DM3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1",NA,"CRS","Johnson","passes.b.c","D3C","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","GK","CRS","Dalton","passes.s.c","D18","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1",NA,"CRS","Johnson","passes.b.c","D3L","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","GK","CRS","Dalton","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1",NA,"CRS","Naughton","passes.f.c","D3R","AM3R","launch","--","HOU","Ubogagu","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1",NA,"CRS","DiBernardo","passes.s.c","AM3R","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1",NA,"CRS","Huerta","passes.f.c","AM3C","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1",NA,"CRS","Short","take.on.lost","A3L",NA,NA,NA,"HOU","Ohai","tackles.ball","D3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"11","1",NA,"CRS","Short","passes.s.c","A3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1",NA,"CRS","Hoy","passes.f","A3L",NA,NA,NA,"HOU","Ohai","blocks","D3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"13","1",NA,"CRS","Short","passes.s.c","A3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1",NA,"CRS","Hoy","passes.b.c","A3L","A3L",NA,NA,"HOU","Daly","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2",NA,"CRS","Comeau","passes.s","A3L",NA,"deep.crosses",NA,"HOU","Daly","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2",NA,NA,NA,NA,NA,NA,NA,NA,"HOU","Ochs","clearances","D18",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"16","2",NA,"CRS","Short","passes.s.c","A3L","A3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2",NA,"CRS","Walls","dispossessed","A3L",NA,NA,NA,"HOU","Ohai","tackles.ball","D3R",NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"18","2",NA,"CRS","DiBernardo","passes.s.c","A3L","A18","corner.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2",NA,"CRS","Colaprico","shots.scored","A18",NA,NA,"GK","HOU","Henninger","gk.s.o.g.scored","D6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","4","--","HOU","Ubogagu","dispossessed","AM3L",NA,NA,NA,"CRS","Colaprico","dispossessed","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
