"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","F","ORL","Hagen","passes.b.c","AM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","M","ORL","Kyle","passes.f","DM3C",NA,NA,"F","SRFC","Mathias","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1",NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Yanez","interceptions","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","M","SRFC","Yanez","passes.s","DM3C",NA,NA,"M","ORL","Kyle","challenged","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1",NA,NA,NA,NA,NA,NA,NA,"M","ORL","Spencer","interceptions","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","M","ORL","Spencer","passes.b.c","DM3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","D","ORL","Catley","passes.b.c","DM3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","D","ORL","Hickmann Alves","passes.b.c","D3L","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","GK","ORL","Harris","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","D","ORL","Alleway","passes.s.c","D3R","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","D","ORL","Hickmann Alves","passes.f.c","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","D","ORL","Catley","passes.f","DM3L",NA,NA,"F","SRFC","Melis","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1",NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Fletcher","interceptions","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","D","SRFC","Fletcher","passes.f.c","DM3R","AM3R",NA,"M","ORL","Spencer","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","F","SRFC","Melis","lost.touch","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"14","1","D","ORL","Catley","passes.f.c","AM3L","AM3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1","M","ORL","Edmonds","passes.b.c","AM3L","DM3L","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1","D","ORL","Hickmann Alves","passes.b.c","DM3L","D3L",NA,"F","SRFC","Melis","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1","D","ORL","Alleway","passes.s.c","D3L","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1","D","ORL","Belanger","passes.f.c","D3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1","M","ORL","Witteman","passes.b.c","DM3R","D3R",NA,"D","SRFC","Pickett","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","D","ORL","Belanger","dispossessed","D3R",NA,NA,"F","SRFC","Mathias","tackles.ball","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1","M","SRFC","Yanez","recoveries","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1","M","SRFC","Yanez","passes.f.c","A3L","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1","F","SRFC","Reed","passes.s","A3L",NA,"corner.crosses","D","ORL","Alleway","blocks","D6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2","F","SRFC","Mathias","recoveries","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2","F","SRFC","Mathias","passes.s","A18",NA,NA,"M","ORL","Kyle","pressured","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2",NA,NA,NA,NA,NA,NA,NA,"M","ORL","Witteman","interceptions","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2","M","ORL","Witteman","clearances","D3R",NA,NA,"F","SRFC","Reed","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2","D","SRFC","Pickett","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2","D","SRFC","Pickett","passes.f.c","AM3L","A3L",NA,"D","ORL","Belanger","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2","M","SRFC","Yanez","passes.b.c","A3L","A3C",NA,"M","ORL","Witteman","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2","M","SRFC","Winters","lost.touch","A3C",NA,NA,"M","ORL","Kyle","tackles.ball","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2","F","ORL","Hagen","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2","F","ORL","Hagen","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2","M","ORL","Kyle","passes.f","DM3C",NA,NA,"M","SRFC","Winters","blocks","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2","F","ORL","Hagen","recoveries","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2","F","ORL","Hagen","passes.b.c","AM3C","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2","M","ORL","Witteman","take.on.won","AM3R",NA,NA,"F","SRFC","Reed","dribbled.turned","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2","M","ORL","Witteman","passes.b.c","AM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2","D","ORL","Belanger","passes.b.c","DM3R","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2","D","ORL","Alleway","passes.s.c","D3C","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2","D","ORL","Hickmann Alves","movement","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2","D","ORL","Hickmann Alves","passes.f.c","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2","M","ORL","Spencer","passes.f.c","AM3L","AM3L",NA,"M","SRFC","Little","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2","M","ORL","Edmonds","passes.f","AM3L",NA,NA,"D","SRFC","Fletcher","interceptions","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
