event,time,poss.position,poss.team,poss.player,poss.action,poss.location,poss.play.destination,play.type,def.position,def.team,def.player,def.action,def.location,gk.ball.stop,gk.s.o.g.attempt,poss.player.disciplinary,poss.notes,def.player.disciplinary,def.notes,xG,poss.number,def.number
1,1,NA,NA,NA,kickoff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,F,CRS,Press,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,M,CRS,Colaprico,passes.s.c,NA,NA,NA,F,SBFC,Kai,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,D,CRS,Gilliland,take.on.lost,NA,NA,NA,F,SBFC,Galton,ball.shield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,F,SBFC,Galton,passes.s.c,NA,NA,NA,D,CRS,Gilliland,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,M,SBFC,Rodriguez,take.on.won,NA,NA,NA,M,CRS,Huerta,dribbled.turned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,M,SBFC,Rodriguez,passes.s.c,NA,NA,NA,M,CRS,Huerta,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,F,SBFC,Kai,dispossessed,NA,NA,NA,M,CRS,Huerta,tackles.ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,F,SBFC,Kai,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,F,SBFC,Kai,passes.f,NA,NA,NA,M,CRS,Huerta,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,NA,NA,NA,NA,NA,NA,NA,D,CRS,Gilliland,interceptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,D,CRS,Gilliland,passes.f,NA,NA,NA,F,SBFC,Kai,blocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,M,SBFC,Rodriguez,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,M,SBFC,Rodriguez,passes.f,NA,NA,NA,M,CRS,Colaprico,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,D,CRS,Johnson,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,D,CRS,Johnson,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,GK,CRS,Naeher,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,D,CRS,Johnson,passes.f.c,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,F,CRS,Press,passes.f.c,NA,NA,flick.on,D,SBFC,Rampone,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,F,CRS,Walls,passes.b.c,NA,NA,NA,D,SBFC,Rampone,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,F,CRS,Press,passes.f.c,NA,NA,launch,M,SBFC,Rodriguez,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2,D,CRS,Gilliland,take.on.lost,NA,NA,NA,D,SBFC,Simon,ball.shield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2,D,SBFC,Simon,clearances,NA,NA,NA,D,CRS,Gilliland,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2,D,CRS,Johnston,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2,D,CRS,Johnston,passes.f,NA,NA,launch,M,SBFC,Lytle,pressured,NA,NA,NA,NA,out.of.bounds.lost.poss,NA,NA,NA,NA,NA
25,2,GK,SBFC,Stanley,passes.f,NA,NA,goal.kick,D,CRS,Gilliland,clearances,NA,NA,NA,NA,out.of.bounds.keep.poss,NA,NA,NA,NA,NA
25,2,NA,NA,NA,NA,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2,D,SBFC,Simon,passes.f,NA,NA,throw.in,D,CRS,Johnston,interceptions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2,D,CRS,Johnston,passes.f.c,NA,NA,NA,M,SBFC,Lytle,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2,D,CRS,Gilliland,lost.touch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,3,F,SBFC,Kai,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,3,F,SBFC,Kai,passes.s.c,NA,NA,NA,M,CRS,Colaprico,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,3,M,SBFC,Rodriguez,passes.s,NA,NA,NA,M,CRS,DiBernardo,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,3,NA,NA,NA,NA,NA,NA,NA,F,CRS,Press,blocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,3,M,CRS,DiBernardo,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,3,M,CRS,DiBernardo,take.on.won,NA,NA,NA,M,SBFC,Rodriguez,dribbled.tackles.missed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,3,M,CRS,DiBernardo,passes.f.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,3,F,CRS,McCaffrey,take.on.won,NA,NA,NA,D,SBFC,Grubka,dribbled.turned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,3,F,CRS,McCaffrey,dispossessed,NA,NA,NA,D,SBFC,Rampone,tackles.ball,NA,NA,NA,NA,out.of.bounds.lost.poss,NA,NA,NA,NA,NA
37,3,GK,SBFC,Stanley,passes.f.c,NA,NA,goal.kick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,3,D,SBFC,Skroski,passes.f,NA,NA,launch,F,CRS,McCaffrey,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,3,NA,NA,NA,NA,NA,NA,NA,D,CRS,Johnson,clearances,NA,NA,NA,NA,out.of.bounds.keep.poss,NA,NA,NA,NA,NA
39,3,D,SBFC,Skroski,passes.f.c,NA,NA,throw.in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,3,M,SBFC,Rodriguez,passes.b.c,NA,NA,NA,F,CRS,McCaffrey,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3,D,SBFC,Skroski,passes.s.c,NA,NA,NA,F,CRS,McCaffrey,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,3,M,SBFC,Killion,passes.b.c,NA,NA,NA,F,CRS,Walls,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
