"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1","-",NA,NA,"kickoff",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"1","-",NA,NA,"playcutoffbybroadcast",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","D","BOS","Pathman","passes.f","DM3L",NA,NA,"M","PTFC","Horan","blocks","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","D","BOS","Pathman","recoveries","DM3L",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","D","BOS","Pathman","passes.s.c","DM3L","DM3C",NA,"M","PTFC","Horan","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","M","BOS","Salem","passes.f.c","DM3C","DM3C",NA,"M","PTFC","Brynjarsdottir","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","-",NA,NA,NA,NA,NA,NA,"D","PTFC","Sonnett","blocks","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","M","BOS","Zerboni","recoveries","DM3C",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","M","BOS","Zerboni","passes.f.c","DM3C","DM3C",NA,"D","PTFC","Sonnett","challenged","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","-",NA,NA,NA,NA,NA,NA,"D","PTFC","Menges","clearances","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","D","BOS","Kallman","recoveries","DM3C",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","D","BOS","Kallman","passes.f.c","DM3C","DM3C","headed","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","M","BOS","Zerboni","passes.b.c","DM3C","D3C",NA,"M","PTFC","Shim","challenged","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","-",NA,NA,NA,NA,NA,NA,"F","PTFC","Nadim","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","D","BOS","Kallman","clearances","D3C",NA,NA,"M","PTFC","Brynjarsdottir","pressured","A3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
11,"1","-",NA,NA,NA,NA,NA,NA,"D","PTFC","Reynolds","ball.shield","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","D","PTFC","Reynolds","passes.f.c","D3R","DM3R","throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","M","PTFC","Brynjarsdottir","passes.f","DM3R",NA,"flick.on","D","BOS","Engen","clearances","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","D","PTFC","Reynolds","recoveries","D3R",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","D","PTFC","Reynolds","clearances","D3R",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
16,"1","D","BOS","Pathman","passes.s.c","A3L","A3L","throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1","M","BOS","Salem","passes.f.c","A3L","A3L",NA,"M","PTFC","Horan","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2","M","BOS","Schillgard","passes.b.c","A3L","A3L",NA,"D","PTFC","Reynolds","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2","M","BOS","Mewis","passes.s.c","A3L","A18","corner.crosses","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2","F","BOS","McCaffrey","lost.touch","A18",NA,NA,"D","PTFC","Menges","clearances","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2","D","BOS","King","recoveries","AM3R",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
22,"2","D","BOS","King","passes.f","AM3R",NA,NA,"M","PTFC","Heath","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2","D","PTFC","Klingenberg","passes.b.c","D3L","D3L","throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2","D","PTFC","Menges","passes.b.c","D3L","D18",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2","GK","PTFC","Franch","passes.f.c","D18","D3L",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2","D","PTFC","Menges","passes.b.c","D3L","D18",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2","GK","PTFC","Franch","passes.f","D18",NA,NA,"D","BOS","King","interceptions","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2","D","BOS","King","passes.s.c","AM3R","AM3C",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2","F","BOS","McCaffrey","take.on.won","AM3C",NA,NA,"M","PTFC","Heath","dribbled.out.run","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2","F","BOS","McCaffrey","passes.b.c","AM3C","AM3C",NA,"M","PTFC","Shim","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2","M","BOS","Salem","lost.touch","AM3C",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2","M","PTFC","Brynjarsdottir","recoveries","DM3C",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2","M","PTFC","Brynjarsdottir","passes.b.c","DM3C","DM3C",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2","M","PTFC","Long","passes.f.c","DM3C","DM3C",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2","M","PTFC","Shim","passes.s","DM3C",NA,NA,"M","BOS","Salem","blocks","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2","M","BOS","Simon","recoveries","AM3C",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2","M","BOS","Simon","passes.b.c","AM3C","AM3C",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2","M","BOS","Zerboni","passes.b.c","AM3C","DM3C",NA,"M","PTFC","Shim","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2","D","BOS","Kallman","passes.s.c","DM3C","DM3L",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"3","D","BOS","Pathman","passes.b.c","DM3L","D3C",NA,"M","PTFC","Brynjarsdottir","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"3","GK","BOS","Smith","clearances","D3C",NA,NA,"F","PTFC","Nadim","pressured","A3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
41,"3","-",NA,NA,NA,NA,NA,NA,"D","PTFC","Reynolds","ball.shield","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"3","D","PTFC","Reynolds","passes.f.c","D3R","DM3R","throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"3","M","PTFC","Brynjarsdottir","aerial.won","DM3R",NA,NA,"D","BOS","Pathman","aerial.lost","AM3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
44,"3","D","BOS","Pathman","passes.f.c","AM3L","AM3L","throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"3","M","BOS","Mewis","dispossessed","AM3L",NA,NA,"M","PTFC","Brynjarsdottir","dispossessed","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"3","F","PTFC","Nadim","recoveries","DM3R",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"3","F","PTFC","Nadim","passes.s","DM3R",NA,NA,"M","BOS","Zerboni","interceptions","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"3","M","BOS","Zerboni","passes.b.c","DM3C","DM3C",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"3","D","BOS","Engen","passes.f.c","DM3C","AM3L",NA,"M","PTFC","Brynjarsdottir","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"3","M","BOS","Schillgard","passes.s","AM3L",NA,"lay.off","D","PTFC","Reynolds","pressured","DM3R",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
51,"4","D","PTFC","Reynolds","passes.f.c","DM3R","AM3R","throw.in","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"4","M","PTFC","Brynjarsdottir","aerial.won","AM3R",NA,NA,"D","BOS","Pathman","aerial.lost","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"4","F","PTFC","Nadim","passes.f","A3R",NA,"headed","D","BOS","Kallman","interceptions","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"4","D","BOS","Kallman","passes.b.c","D3L","D3L",NA,"M","PTFC","Shim","challenged","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"4","D","BOS","Pathman","passes.f","D3L",NA,"launch","GK","PTFC","Franch","interceptions","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
