"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1",NA,"CRS","DiBernardo","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1",NA,"CRS","Johnson","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","GK","CRS","Dalton","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1",NA,"CRS","Johnson","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","GK","CRS","Dalton","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1",NA,"CRS","Naughton","passes.f.c",NA,NA,"launch","--","HOU","Ubogagu","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1",NA,"CRS","Huerta","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1",NA,"CRS","Short","take.on.lost",NA,NA,NA,NA,"HOU","Ohai","tackles.ball",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"10","1",NA,"CRS","Short","passes.s.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1",NA,"CRS","Hoy","passes.b",NA,NA,NA,NA,"HOU","Ohai","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"12","1",NA,"CRS","Short","passes.s.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1",NA,"CRS","Hoy","passes.b.c",NA,NA,NA,NA,"HOU","Daly","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2",NA,"CRS","Comeau","passes.s.c",NA,NA,"deep.crosses",NA,"HOU","Daly","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2",NA,NA,NA,NA,NA,NA,NA,NA,"HOU","Ochs","clearances",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"15","2",NA,"CRS","Short","passes.s.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2",NA,"CRS","Walls","dispossessed",NA,NA,NA,NA,"HOU","Ohai","tackles.ball",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"17","2",NA,"CRS","DiBernardo","passes.s.c",NA,NA,"corner.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2",NA,"CRS","Colaprico","shots.scored",NA,NA,NA,"GK","HOU","Henninger","gk.s.o.g.scored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","4","--","HOU","Ubogagu","dispossessed",NA,NA,NA,NA,"CRS","Colaprico","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","4",NA,"CRS","Colaprico","passes.f",NA,NA,"through",NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"22","4",NA,"HOU","Crosson","passes.s.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","4",NA,"HOU","Brooks","passes.s.c",NA,NA,"lay.off",NA,"CRS","DiBernardo","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","4",NA,"HOU","Crosson","passes.f.c",NA,NA,NA,NA,"CRS","DiBernardo","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","4","--","HOU","Ubogagu","lost.touch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","4","--","HOU","Ubogagu","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4","--","HOU","Ubogagu","passes.b.c",NA,NA,NA,NA,"CRS","Huerta","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4",NA,"HOU","Crosson","lost.touch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4",NA,"CRS","Huerta","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","4",NA,"CRS","Huerta","passes.b.c",NA,NA,NA,"--","HOU","Ubogagu","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","4",NA,NA,NA,NA,NA,NA,NA,NA,"HOU","Daly","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","4",NA,"HOU","Daly","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","4",NA,"CRS","Comeau","passes.f.c",NA,NA,"through",NA,"HOU","Brooks","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","4",NA,"CRS","Hoy","passes.b.c",NA,NA,NA,NA,"HOU","Brush","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4",NA,"CRS","Comeau","passes.b.c",NA,NA,NA,NA,"HOU","Brooks","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4",NA,"CRS","Colaprico","passes.b.c",NA,NA,NA,NA,"HOU","O'Sullivan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4",NA,"CRS","Naughton","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","4",NA,"CRS","Colaprico","passes.f",NA,NA,NA,NA,"HOU","O'Sullivan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","4",NA,NA,NA,NA,NA,NA,NA,NA,"HOU","Ohai","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","4",NA,"CRS","DiBernardo","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4",NA,"CRS","DiBernardo","passes.f.c",NA,NA,NA,NA,"HOU","Ohai","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4",NA,"CRS","Hoy","passes.f.c",NA,NA,"through",NA,"HOU","Brush","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","4",NA,NA,NA,NA,NA,NA,NA,NA,"HOU","Privett","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","4",NA,"HOU","Privett","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","4",NA,"HOU","Crosson","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4",NA,"HOU","O'Sullivan","passes.b.c",NA,NA,NA,NA,"CRS","Colaprico","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4",NA,"HOU","Brooks","passes.f.c",NA,NA,NA,NA,"CRS","DiBernardo","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4",NA,"HOU","O'Sullivan","passes.b.c",NA,NA,NA,NA,"CRS","DiBernardo","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4",NA,"HOU","Brooks","passes.s.c",NA,NA,NA,NA,"CRS","Walls","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5",NA,"HOU","Privett","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5",NA,"HOU","Daly","passes.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","5",NA,"CRS","Naughton","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5",NA,"CRS","Naughton","clearances",NA,NA,NA,NA,"HOU","Ohai","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5",NA,"CRS","Gilliland","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","5",NA,"CRS","Gilliland","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","5",NA,"CRS","Short","dispossessed",NA,NA,NA,NA,"HOU","Daly","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","5",NA,"HOU","Daly","passes.s.c",NA,NA,NA,NA,"CRS","Short","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","5","--","HOU","Ubogagu","dispossessed",NA,NA,NA,NA,"CRS","Naughton","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","5",NA,"CRS","Naughton","clearances",NA,NA,NA,"--","HOU","Ubogagu","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","5",NA,"HOU","Crosson","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","5",NA,"HOU","O'Sullivan","passes.b.c",NA,NA,NA,NA,"CRS","Colaprico","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","5",NA,"HOU","Crosson","passes.s",NA,NA,NA,NA,"CRS","Huerta","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5",NA,"CRS","DiBernardo","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5",NA,"CRS","DiBernardo","passes.f.c",NA,NA,NA,NA,"HOU","O'Sullivan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5",NA,"CRS","Hoy","passes.b.c",NA,NA,NA,NA,"HOU","Crosson","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","5",NA,"CRS","Huerta","dispossessed",NA,NA,NA,NA,"HOU","O'Sullivan","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","5",NA,"HOU","O'Sullivan","passes.s.c",NA,NA,NA,NA,"CRS","DiBernardo","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5",NA,"HOU","Brooks","passes.b.c",NA,NA,NA,NA,"CRS","Walls","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5",NA,"HOU","Roccaro","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","6","GK","HOU","Henninger","passes.f",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","6",NA,"HOU","Ohai","aerial.lost",NA,NA,NA,NA,"CRS","Short","aerial.won",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6",NA,"HOU","Privett","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","6",NA,"HOU","Privett","passes.s.c",NA,NA,NA,NA,"CRS","Comeau","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","6",NA,"HOU","Brooks","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","6",NA,"HOU","Privett","passes.f.c",NA,NA,"through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","6",NA,"HOU","Ohai","take.on.won",NA,NA,NA,NA,"CRS","Short","dribbled.turned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","6",NA,"HOU","Ohai","passes.s.c",NA,NA,"corner.crosses",NA,"CRS","Short","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","6",NA,NA,NA,NA,NA,NA,NA,NA,"CRS","Colaprico","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","6",NA,"CRS","Colaprico","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"76","6",NA,"HOU","Crosson","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6","--","HOU","Ubogagu","passes.s.c",NA,NA,NA,NA,"CRS","Naughton","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","6",NA,"HOU","Ochs","dispossessed",NA,NA,NA,NA,"CRS","Gilliland","tackles.ball",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"79","6",NA,"HOU","Ochs","passes.b.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","6","--","HOU","Ubogagu","passes.f.c",NA,NA,NA,NA,"CRS","Gilliland","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","6",NA,"HOU","Ochs","offside.calls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","7",NA,"CRS","Naughton","passes.s.c",NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","7","GK","CRS","Dalton","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","7",NA,"CRS","Johnson","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","7",NA,"CRS","Colaprico","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","7",NA,"CRS","Naughton","passes.f.c",NA,NA,"launch","--","HOU","Ubogagu","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","7",NA,"CRS","Hoy","passes.f.c",NA,NA,"flick.on",NA,"HOU","Roccaro","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","7",NA,NA,NA,NA,NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","7",NA,"CRS","Walls","dispossessed",NA,NA,NA,NA,"HOU","Brush","clearances",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"89","7",NA,"CRS","Gilliland","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","7",NA,"CRS","Walls","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","7",NA,"CRS","Gilliland","passes.f",NA,NA,NA,NA,"HOU","Ochs","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","7",NA,NA,NA,NA,NA,NA,NA,NA,"HOU","Crosson","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","7",NA,"CRS","Huerta","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","7",NA,"CRS","Huerta","passes.f.c",NA,NA,NA,"--","HOU","Ubogagu","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","7",NA,"CRS","DiBernardo","take.on.won",NA,NA,NA,NA,"HOU","Crosson","dribbled.turned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","7",NA,"CRS","DiBernardo","passes.s",NA,NA,"corner.crosses",NA,"HOU","Crosson","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","7",NA,"HOU","Crosson","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","8",NA,"HOU","Crosson","passes.f.c",NA,NA,NA,NA,"CRS","DiBernardo","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","8",NA,"HOU","O'Sullivan","passes.f.c",NA,NA,NA,NA,"CRS","Gilliland","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","8","--","HOU","Ubogagu","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","8","--","HOU","Ubogagu","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","8","--","HOU","Ubogagu","passes.b.c",NA,NA,NA,NA,"CRS","Gilliland","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","8",NA,"HOU","O'Sullivan","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","8",NA,"HOU","Ochs","passes.f",NA,NA,NA,NA,"CRS","Huerta","blocks",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"104","8",NA,"HOU","Crosson","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
