"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","PTFC","Brynjarsdottir","passes.s.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","F","PTFC","Sinclair","passes.b.c","AM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","M","PTFC","Long","passes.s.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","M","PTFC","Horan","passes.f","DM3R",NA,"launch","F","CRS","Press","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","F","PTFC","Nadim","offside.calls","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","D","CRS","Johnson","passes.b.c","D3L","D18","free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","GK","CRS","Naeher","passes.f.c","D18","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","D","CRS","Johnson","passes.f.c","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","M","CRS","DiBernardo","take.on.won","DM3L",NA,NA,"M","PTFC","Horan","dribbled.tackles.missed","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","M","CRS","DiBernardo","take.on.won","DM3L",NA,NA,"F","PTFC","Sinclair","dribbled.turned","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","M","CRS","DiBernardo","passes.f.c","DM3L","AM3L",NA,"F","PTFC","Nadim","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","F","CRS","Press","passes.s","AM3L",NA,"lay.off","D","PTFC","Reynolds","pressured","DM3R",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
14,"1","D","PTFC","Reynolds","passes.f.c","AM3R","A3R","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","M","PTFC","Brynjarsdottir","aerial.won","A3R",NA,NA,"D","CRS","Short","aerial.lost","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1",NA,NA,NA,"passes.f","A3R",NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1",NA,NA,NA,NA,NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"1","F","PTFC","Nadim","lost.touch","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
17,"2","D","CRS","Johnson","passes.f.c","D3L","D3L","throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2","M","CRS","DiBernardo","passes.b.c","D3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2","D","CRS","Johnson","passes.f","D3L",NA,NA,"M","PTFC","Brynjarsdottir","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2",NA,NA,NA,NA,NA,NA,NA,"F","PTFC","Nadim","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2",NA,NA,NA,NA,NA,NA,NA,"D","PTFC","Sonnett","blocks","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2","M","PTFC","Long","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2","M","PTFC","Long","passes.s.c","AM3C","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2","D","PTFC","Klingenberg","passes.b.c","AM3L","DM3L",NA,"F","CRS","Huerta","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2","D","PTFC","Menges","passes.f.c","DM3L","AM3L",NA,"F","CRS","Hoy","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2","D","PTFC","Klingenberg","passes.f.c","AM3L","A3L","launch","F","CRS","Huerta","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2","M","PTFC","Heath","passes.s.c","A3L","A3L","corner.crosses","D","CRS","Johnston","pressured","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2",NA,NA,NA,NA,NA,NA,NA,"GK","CRS","Naeher","gk.high.balls.won","D6","parried.to.safety",NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
26,"2","M","PTFC","Heath","passes.s","A3L",NA,"corner.kick","GK","CRS","Naeher","gk.high.balls.won","D6","caught",NA,NA,NA,NA,NA,NA,NA,NA
27,"3","GK","CRS","Naeher","passes.f.c","D18","D3L","gk.throws",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"3","D","CRS","Short","passes.s.c","D3L","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"3","D","CRS","Johnston","passes.f.c","D3C","AM3R",NA,"M","PTFC","Brynjarsdottir","pressured","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"3","D","CRS","Gilliland","take.on.lost","AM3R",NA,NA,"M","PTFC","Heath","tackles.ball","DM3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
31,"3","D","PTFC","Klingenberg","passes.f","DM3L",NA,"throw.in","D","CRS","Gilliland","blocks","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"3","M","CRS","Colaprico","recoveries","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"3","M","CRS","Colaprico","passes.f","DM3R",NA,NA,"D","PTFC","Sonnett","blocks","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"3","F","CRS","Huerta","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"3","F","CRS","Huerta","passes.f.c","AM3R","AM3R",NA,"M","PTFC","Heath","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"3","M","CRS","Da Costa","passes.f.c","AM3R","AM3R",NA,"D","PTFC","Klingenberg","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"3","F","CRS","Press","passes.b.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"3","F","CRS","Huerta","lost.touch","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"3","M","PTFC","Horan","recoveries","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"4","M","PTFC","Horan","passes.f.c","DM3L","DM3L",NA,"M","CRS","Da Costa","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"4","M","PTFC","Heath","passes.b.c","DM3L","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"4","M","PTFC","Long","passes.s.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"4","D","PTFC","Reynolds","passes.f.c","DM3R","AM3R",NA,"M","CRS","DiBernardo","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"4","F","PTFC","Nadim","passes.f.c","AM3R","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"4","F","PTFC","Sinclair","passes.f","A3C",NA,"flick.on","D","CRS","Johnson","interceptions","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"4","D","CRS","Johnson","passes.s.c","D3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"4","F","CRS","Huerta","passes.f.c","D3C","D3C",NA,"M","PTFC","Horan","challenged","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"4",NA,NA,NA,NA,NA,NA,NA,"M","PTFC","Horan","blocks","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"4","M","CRS","Colaprico","recoveries","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"4","M","CRS","Colaprico","passes.s.c","D3C","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"4","D","CRS","Gilliland","movement","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"4","D","CRS","Gilliland","passes.f","DM3R",NA,"launch","D","PTFC","Reynolds","clearances","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"4",NA,NA,NA,NA,NA,NA,"through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"4","D","CRS","Short","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"4","D","CRS","Short","passes.f.c","AM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
