"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","CRS","Da Costa","passes.b.c","DMC","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","CRS","DiBernardo","passes.b.c","DMC","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","D","CRS","Short","passes.b.c","DML","DL",NA,"M","SBFC","Lytle","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","D","CRS","Johnson","passes.s.c","DL","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","D","CRS","Naughton","passes.f","DR",NA,"launch","M","SBFC","Lytle","interceptions","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","M","SBFC","Lytle","passes.f.c","AMC","AMC","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","F","SBFC","Conheeney","dispossessed","AMC",NA,NA,"M","CRS","DiBernardo","dispossessed","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","M","CRS","Da Costa","recoveries","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","M","CRS","Da Costa","passes.f.c","DML","AML",NA,"M","SBFC","Rodriguez","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1",NA,NA,NA,NA,NA,NA,NA,"D","SBFC","Grubka","blocks","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","M","CRS","Da Costa","passes.b.c","AML","DML",NA,"M","SBFC","Rodriguez","pressured","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","D","CRS","Short","passes.b.c","DML","DL",NA,"M","SBFC","Lytle","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","D","CRS","Johnson","passes.s.c","DL","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","D","CRS","Naughton","movement","DR","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","D","CRS","Naughton","passes.f.c","DMR","DMR",NA,"F","SBFC","DeCesare","pressured","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"1","M","CRS","Colaprico","passes.b.c","DMR","DMR",NA,"M","SBFC","Killion","pressured","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1","D","CRS","Naughton","passes.f","DMR",NA,NA,"F","SBFC","DeCesare","pressured","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1",NA,NA,NA,NA,NA,NA,NA,"M","SBFC","Gordon","interceptions","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"1","M","SBFC","Gordon","passes.s.c","AML","AML",NA,"F","CRS","Mautz","pressured","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"1","F","SBFC","Conheeney","passes.s.c","AML","AML",NA,"M","CRS","Da Costa","pressured","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"1","M","SBFC","Gordon","passes.b.c","AML","AML",NA,"M","CRS","Da Costa","pressured","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"1","M","SBFC","Killion","passes.b.c","AML","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"1","D","SBFC","Simon","passes.f.c","DML","AML",NA,"F","CRS","Mautz","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"1","M","SBFC","Gordon","take.on.lost","AML",NA,NA,"D","CRS","Gilliland","tackles.ball","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"1","F","CRS","Huerta","recoveries","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"1","F","CRS","Huerta","passes.b","AMR",NA,NA,"M","SBFC","Killion","blocks","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"1","D","SBFC","Simon","recoveries","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"1","D","SBFC","Simon","passes.b.c","DML","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2","D","SBFC","Rampone","passes.b.c","DL","D18",NA,"M","CRS","Hoy","pressured","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2","GK","SBFC","Stanley","passes.f.c","D18","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2","D","SBFC","Rampone","passes.f.c","DL","DML",NA,"F","CRS","Huerta","pressured","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2","M","SBFC","Gordon","take.on.lost","DML",NA,NA,"F","CRS","Mautz","tackles.ball","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2","F","CRS","Mautz","recoveries","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2","F","CRS","Mautz","passes.f.c","AMR","AR",NA,"M","SBFC","Gordon","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2",NA,NA,NA,NA,NA,NA,NA,"D","SBFC","Simon","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2","F","CRS","Huerta","passes.b.c","AR","AMR",NA,"D","SBFC","Simon","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2","D","CRS","Gilliland","passes.s.c","AMR","AMC",NA,"M","SBFC","Gordon","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2","M","CRS","DiBernardo","passes.b.c","AMC","DMC",NA,"F","SBFC","Conheeney","pressured","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2","D","CRS","Johnson","passes.f.c","DMC","AR","launch","F","SBFC","DeCesare","pressured","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2","F","CRS","Mautz","passes.f.c","AR","A18",NA,"D","SBFC","Simon","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2","D","CRS","Gilliland","take.on.won","A18",NA,NA,"M","SBFC","Gordon","dribbled.tackles.missed","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2","D","CRS","Gilliland","passes.s","A18",NA,"corner.crosses","D","SBFC","Rampone","interceptions","D6",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2","D","SBFC","Rampone","passes.f.c","D18","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2","M","SBFC","Gordon","passes.f.c","DL","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2","F","SBFC","DeCesare","lost.touch","DML",NA,NA,"M","CRS","Hoy","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2","F","CRS","Mautz","recoveries","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2","F","CRS","Mautz","passes.b.c","AMR","AR",NA,"F","SBFC","DeCesare","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2","M","CRS","Hoy","passes.b.c","AR","DMC",NA,"F","SBFC","Conheeney","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2","D","CRS","Johnson","passes.s.c","DMC","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"2","D","CRS","Naughton","passes.s.c","DMR","DMC",NA,"F","SBFC","DeCesare","pressured","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"2","D","CRS","Johnson","passes.f.c","DMC","AMC","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
