"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"1",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","WNYF","Kennedy","passes.b.c","DC","D18",NA,"F","CRS","Walls","pressured","AC",NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","GK","WNYF","D'Angelo","passes.f.c","D18","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","D","WNYF","Erceg","passes.b.c","DL","D18",NA,"F","CRS","Walls","pressured","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","GK","WNYF","D'Angelo","passes.f.c","D18","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","D","WNYF","Erceg","passes.b.c","DL","DC",NA,"F","CRS","Walls","pressured","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","D","WNYF","Dahlkemper","passes.b.c","DC","D18",NA,"F","CRS","Huerta","pressured","AC",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","GK","WNYF","D'Angelo","passes.f.c","D18","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","D","WNYF","Erceg","movement","DL",NA,NA,"F","CRS","Walls","pressured","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","D","WNYF","Erceg","passes.f","DML",NA,"launch","F","CRS","Walls","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","D","CRS","Gilliland","recoveries","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","D","CRS","Gilliland","dispossessed","DR",NA,NA,"M","WNYF","McDonald","dispossessed","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","M","WNYF","McDonald","passes.b","AL",NA,NA,"M","CRS","Mautz","pressured","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","M","CRS","DiBernardo","recoveries","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","M","CRS","DiBernardo","passes.f","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"1","D","WNYF","Erceg","recoveries","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1","D","WNYF","Erceg","passes.b.c","DC","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"1","GK","WNYF","D'Angelo","passes.f.c","D18","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"1","D","WNYF","Erceg","passes.f.c","DC","DMC",NA,"F","CRS","Walls","pressured","AC",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"1","M","WNYF","Kennedy","lost.touch","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"1","M","CRS","Press","recoveries","AMC",NA,NA,"M","WNYF","Kennedy","pressured","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"1","M","CRS","Press","passes.f.c","AMC","AC",NA,"M","WNYF","Kennedy","pressured","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"1","F","CRS","Huerta","passes.b.c","AC","AC",NA,"M","WNYF","Hahn","pressured","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"1","M","CRS","DiBernardo","passes.f","AC",NA,NA,"M","WNYF","Mewis","pressured","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2","D","WNYF","Erceg","recoveries","D18",NA,NA,"F","CRS","Walls","pressured","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2","D","WNYF","Erceg","passes.b.c","D18","D6",NA,"F","CRS","Walls","pressured","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2","GK","WNYF","D'Angelo","passes.f","D6",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2","D","CRS","Gilliland","aerial.won","AMR",NA,NA,"M","WNYF","McDonald","aerial.lost","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2","D","CRS","Gilliland","passes.f.c","AMR","AMR","headed","M","WNYF","McDonald","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2","M","CRS","Mautz","passes.b.c","AMR","AMR",NA,"D","WNYF","Speck","challenged","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2","M","CRS","Colaprico","passes.f.c","AMR","AMR",NA,"D","WNYF","Speck","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2","D","CRS","Gilliland","passes.b.c","AMR","AMR",NA,"M","WNYF","McDonald","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2","D","CRS","Johnston","passes.f.c","AMR","AR",NA,"M","WNYF","Kennedy","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2","M","CRS","Press","passes.b.c","AR","AMR",NA,"M","WNYF","McDonald","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2","D","CRS","Gilliland","passes.f.c","AMR","AR",NA,"M","WNYF","McDonald","pressured","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2","M","CRS","Mautz","passes.b.c","AR","AR",NA,"D","WNYF","Speck","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2","D","CRS","Gilliland","passes.f.c","AR","AR",NA,"D","WNYF","Speck","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2","F","CRS","Walls","passes.f.c","AR","AC",NA,"D","WNYF","Erceg","pressured","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2","F","CRS","Huerta","passes.f.c","AC","AC",NA,"M","WNYF","Kennedy","pressured","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2","F","CRS","Walls","dispossessed","AC",NA,NA,"M","WNYF","Hahn","dispossessed","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2","M","WNYF","Hahn","passes.f.c","DC","DL",NA,"M","CRS","Mautz","pressured","AC",NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2","M","WNYF","McDonald","passes.f.c","DL","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2","F","WNYF","Leon","movement","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2","F","WNYF","Leon","passes.f.c","DMC","AMR",NA,"M","CRS","Press","pressured","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
