"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","M","FCKC","Laddish","passes.b.c","DMC","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","D","FCKC","Averbuch","passes.f.c","DC","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","M","FCKC","Scott","passes.b","DMC",NA,NA,"F","HOU","Ubogagu","interceptions","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","F","HOU","Ubogagu","movement","AMC","AC",NA,"M","FCKC","Scott","challenged","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","F","HOU","Ubogagu","passes.f.c","AC","A18","through","M","FCKC","Scott","challenged","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","F","HOU","Daly","shots.missed","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"8","1","GK","FCKC","Barnhart","passes.f","D6",NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","M","FCKC","Laddish","aerial.lost","DMC",NA,NA,"M","HOU","Brooks","aerial.won","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","F","HOU","Beckie","aerial.lost","AC",NA,NA,"D","FCKC","Sauerbrunn","aerial.won","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","D","FCKC","Averbuch","clearances","DC",NA,NA,"D","HOU","Chapman","interceptions","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","D","HOU","Chapman","passes.f","AML",NA,"headed","M","FCKC","O'Reilly","pressured","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2",NA,NA,NA,NA,NA,NA,NA,"M","FCKC","Scott","interceptions","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2","M","FCKC","Scott","passes.f.c","DMR","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
