event,time,poss.position,poss.team,poss.player,poss.action,poss.location,poss.play.destination,play.type,def.position,def.team,def.player,def.action,def.location,gk.ball.stop,gk.s.o.g.attempt,poss.player.disciplinary,poss.notes,def.player.disciplinary,def.notes,xG,poss.number,def.number
1,1,NA,NA,NA,kickoff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,M,ORL,Edwards,passes.b.c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,D,ORL,Evans,passes.s.c,NA,NA,NA,M,FCKC,McCarty,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,M,ORL,Catley,passes.f,NA,NA,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,D,FCKC,Taylor,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,D,FCKC,Taylor,ball.shield,NA,NA,NA,F,ORL,Hagen,challenged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,D,FCKC,Taylor,take.on.lost,NA,NA,NA,F,ORL,Hagen,challenged,NA,NA,NA,NA,out.of.bounds.lost.poss,NA,NA,NA,NA,NA
8,1,M,ORL,Catley,passes.s.c,NA,NA,throw.in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,M,ORL,Spencer,passes.s.c,NA,NA,lay.off,D,FCKC,Arlitt,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,M,ORL,Catley,passes.b.c,NA,NA,NA,M,FCKC,McCarty,pressured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,M,ORL,Spencer,passes.f,NA,NA,NA,D,FCKC,Arlitt,blocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,D,FCKC,Arlitt,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,D,FCKC,Arlitt,dispossessed,NA,NA,NA,M,ORL,Spencer,dispossessed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,M,ORL,Spencer,take.on.lost,NA,NA,NA,D,FCKC,Arlitt,tackles.ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,NA,NA,NA,NA,NA,NA,NA,D,FCKC,Arlitt,clearances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,D,ORL,Pressley,recoveries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,D,ORL,Pressley,passes.f,NA,NA,NA,F,FCKC,Groom,blocks,NA,NA,NA,NA,out.of.bounds.keep.poss,NA,NA,NA,NA,NA
