"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,"FCKC",NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","M","FCKC","Laddish","passes.b.c","AMC","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","M","FCKC","Buczkowski","passes.b.c","AMC","DL",NA,"F","PTFC","Nadim","pressured","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","D","FCKC","Sauerbrunn","passes.s.c","DL","DML",NA,"M","PTFC","Brynjarsdottir","pressured","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","D","FCKC","Frisbie","passes.f.c","DML","DML",NA,"F","PTFC","Weber","challenged","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","M","FCKC","Tymrak","passes.f.c","DML","AML",NA,"F","PTFC","Weber","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1",NA,NA,NA,NA,NA,NA,NA,"D","PTFC","Williamson","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1",NA,NA,NA,NA,NA,NA,NA,"M","PTFC","Long","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","M","FCKC","Laddish","passes.f","AML",NA,"flick.on","M","PTFC","Horan","challenged","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1",NA,NA,NA,NA,NA,NA,NA,"D","PTFC","Sonnett","interceptions","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","D","PTFC","Sonnett","passes.f","DMR",NA,NA,"F","FCKC","Groom","challenged","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1",NA,NA,NA,NA,NA,NA,NA,"M","FCKC","Buczkowski","pressured","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1",NA,NA,NA,NA,NA,NA,NA,"M","FCKC","Tymrak","pressured","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1",NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Sauerbrunn","blocks","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1",NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Sauerbrunn","clearances","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","F","FCKC","Groom","recoveries","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","F","FCKC","Groom","movement","AL","A18",NA,"D","PTFC","Williamson","pressured","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1",NA,NA,NA,NA,NA,NA,NA,"D","PTFC","Menges","pressured","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","F","FCKC","Groom","shots.missed","A18",NA,NA,"D","PTFC","Williamson","pressured","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
