"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1","-",NA,NA,"kickoff",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","WNYF","Mewis","passes.f","AM3C",NA,"launch","D","FCKC","Taylor","interceptions","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","D","FCKC","Taylor","passes.s.c","D3R","D3C",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","D","FCKC","Sauerbrunn","passes.f.c","D3C","D3L",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","F","FCKC","Silva","passes.b.c","D3L","D3L","lay.off","M","WNYF","Mewis","challenged","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","M","FCKC","Averbuch","passes.f.c","D3L","D3C",NA,"F","WNYF","Leon","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","M","FCKC","Buczkowski","passes.b.c","D3C","D3L","lay.off","M","WNYF","Mewis","pressured","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","M","FCKC","Averbuch","passes.f.c","D3L","D3L","lay.off","F","WNYF","Leon","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","M","FCKC","Laddish","dispossessed","D3L",NA,NA,"M","WNYF","Hahn","tackles.ball","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","M","WNYF","Hahn","passes.s","AM3R",NA,NA,"D","FCKC","Scott","interceptions","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","D","FCKC","Scott","passes.f.c","DM3C","DM3C",NA,"M","WNYF","Mewis","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","F","FCKC","Groom","passes.f.c","DM3C","AM3C",NA,"M","WNYF","Kennedy","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","M","FCKC","Tymrak","passes.f","AM3C",NA,NA,"D","WNYF","Hinkle","interceptions","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","D","WNYF","Hinkle","passes.f.c","DM3L","DM3L",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","F","WNYF","Williams","passes.b.c","DM3L","DM3L",NA,"M","FCKC","Tymrak","challenged","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"1","D","WNYF","Erceg","passes.f.c","DM3L","DM3L","lay.off","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1","M","WNYF","Kennedy","passes.f","DM3L",NA,NA,"M","FCKC","O'Reilly","interceptions","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"1","M","FCKC","O'Reilly","passes.b.c","DM3R","DM3C",NA,"M","WNYF","Mewis","challenged","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"1","D","FCKC","Scott","passes.b.c","DM3C","DM3R",NA,"M","WNYF","Mewis","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"1","M","FCKC","Buczkowski","passes.b.c","DM3R","D3R",NA,"M","WNYF","Mewis","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"1","D","FCKC","Taylor","passes.b.c","D3R","D18",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"1","GK","FCKC","Barnhart","passes.f.c","D18","DM3R","launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"1","M","FCKC","Tymrak","passes.b.c","DM3R","DM3C",NA,"M","WNYF","Kennedy","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"1","D","FCKC","Scott","passes.f","DM3C",NA,NA,"M","WNYF","Hahn","interceptions","AM3L",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
25,"2","D","FCKC","Taylor","passes.f.c","D3R","DM3R","throw.in","M","WNYF","Mewis","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2","M","FCKC","Buczkowski","passes.b.c","DM3R","D3R","lay.off","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2","D","FCKC","Taylor","passes.f.c","D3R","DM3R","lay.off","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2","M","FCKC","Buczkowski","passes.b.c","DM3R","D3R","lay.off","F","WNYF","Williams","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2","D","FCKC","Taylor","passes.f","D3R",NA,"launch","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2","D","WNYF","Erceg","aerial.won","DM3L",NA,NA,"F","FCKC","Groom","aerial.lost","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2","M","WNYF","Kennedy","recoveries","DM3C",NA,NA,"M","FCKC","O'Reilly","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"2","M","WNYF","Kennedy","passes.b.c","DM3C","DM3C",NA,"M","FCKC","O'Reilly","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"2","D","WNYF","Eddy","movement","DM3C","DM3R",NA,"M","FCKC","Tymrak","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"2","D","WNYF","Eddy","movement","DM3R","AM3R",NA,"M","FCKC","Tymrak","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"2","D","WNYF","Eddy","passes.f","AM3R",NA,"launch","M","FCKC","Averbuch","interceptions","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"2","M","FCKC","Averbuch","passes.b.c","D3L","D18",NA,"F","WNYF","McDonald","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"2","GK","FCKC","Barnhart","passes.f.c","D18","D18",NA,"F","WNYF","McDonald","challenged","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"2","D","FCKC","Sauerbrunn","passes.s.c","D18","D3L",NA,"F","WNYF","Leon","pressured","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"2","M","FCKC","Averbuch","passes.f.c","D3L","D3L",NA,"F","WNYF","Leon","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2","F","FCKC","Silva","passes.f.c","D3L","D3C",NA,"D","WNYF","Eddy","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"2","M","FCKC","Buczkowski","movement","D3C","DM3C",NA,"M","WNYF","Kennedy","challenged","A3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"2","M","FCKC","Buczkowski","recoveries","DM3C",NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"2","M","FCKC","Buczkowski","passes.f.c","DM3C","AM3C",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"2","M","FCKC","Laddish","passes.s.c","AM3C","AM3L",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"2","M","FCKC","O'Reilly","passes.b.c","AM3L","AM3L","lay.off","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"2","F","FCKC","Silva","movement","AM3L","A3L",NA,"M","WNYF","Mewis","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2","F","FCKC","Silva","dispossessed","A3L",NA,NA,"D","WNYF","Dahlkemper","dispossessed","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
