"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","HOU","Lloyd","passes.s.c","AM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","F","HOU","Daly","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","M","HOU","Brooks","passes.s.c","DM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","D","HOU","Chapman","passes.f.c","DM3L","AM3L",NA,"F","CRS","Hoy","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","F","HOU","Ohai","passes.b","AM3L",NA,NA,"D","CRS","Gilliland","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1",NA,NA,NA,NA,NA,NA,NA,"F","CRS","Huerta","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1",NA,NA,NA,NA,NA,NA,NA,"F","CRS","Hoy","interceptions","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","F","CRS","Hoy","passes.b","DM3R",NA,NA,"F","HOU","Daly","blocks","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","F","HOU","Ohai","recoveries","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","F","HOU","Ohai","passes.f","AM3L",NA,"through","D","CRS","Johnston","blocks","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","F","CRS","Huerta","recoveries","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","F","CRS","Huerta","passes.b.c","DM3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","D","CRS","Johnston","passes.s.c","D3R","D3R",NA,"M","HOU","Lloyd","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","D","CRS","Gilliland","passes.f.c","D3R","DM3R",NA,"F","HOU","Ohai","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","F","CRS","Huerta","dispossessed","DM3R",NA,NA,"M","HOU","Lloyd","tackles.ball.away","AM3L",NA,NA,"fouls.won",NA,"fouls.conceded",NA,NA,NA,NA
15,"1","D","CRS","Johnston","passes.f","DM3R",NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"1","F","CRS","Press","aerial.lost","A18",NA,NA,"D","HOU","Moros","aerial.won","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1","M","CRS","DiBernardo","recoveries","A3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"1","M","CRS","DiBernardo","lost.touch","A3R",NA,NA,"D","HOU","Chapman","dispossessed","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
