"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","PTFC","Horan","passes.b.c","AMC","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","PTFC","Henry","passes.b.c","DMC","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","D","PTFC","Reynolds","passes.b.c","DMR","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","GK","PTFC","Betos","movement","D18","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","GK","PTFC","Betos","passes.f.c","DC","DMC","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","M","PTFC","Long","passes.f","DMC",NA,NA,"M","ORL","Edmonds","pressured","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1",NA,NA,NA,NA,NA,NA,NA,"M","ORL","Kyle","interceptions","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","M","ORL","Kyle","passes.b.c","DMC","DML",NA,"M","PTFC","Horan","pressured","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","D","ORL","Hickmann Alves","passes.f.c","DML","DMC",NA,"M","PTFC","Horan","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1",NA,NA,NA,NA,NA,NA,NA,"D","PTFC","Reynolds","blocks","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","M","ORL","Kyle","aerial.won","DMC",NA,NA,"F","PTFC","Sinclair","aerial.lost","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","M","ORL","Edmonds","aerial.lost","DMC",NA,NA,"M","PTFC","Henry","aerial.won","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","M","ORL","Kyle","recoveries","DMC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","M","ORL","Kyle","passes.s.c","DMC","DC",NA,"M","PTFC","Henry","challenged","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","D","ORL","Belanger","passes.f.c","DC","DMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","F","ORL","Spencer","passes.b.c","DMR","DR",NA,"D","PTFC","Klingenberg","pressured","AML",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"1","D","ORL","Belanger","take.on.won","DR",NA,NA,"M","PTFC","Heath","dribbled.tackles.missed","AL",NA,NA,"fouls.won",NA,"fouls.conceded","fc (fouls.conceded)",NA,NA,NA
17,"2","D","ORL","Alleway","passes.s.c","DR","DC","free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2","GK","ORL","Harris","passes.s.c","DC","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2","D","ORL","Hickmann Alves","passes.f.c","DL","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"2","D","ORL","Catley","passes.s.c","DML","DMC",NA,"M","PTFC","Nadim","pressured","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"2","M","ORL","Weatherholt","passes.b.c","DMC","DC",NA,"F","PTFC","Sinclair","pressured","AMC",NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"2","D","ORL","Alleway","passes.s.c","DC","DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"2","D","ORL","Belanger","passes.s.c","DR","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"2","D","ORL","Alleway","passes.s.c","DC","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"2","D","ORL","Hickmann Alves","passes.b.c","DL","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"2","D","ORL","Alleway","passes.f.c","DC","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"2","D","ORL","Catley","passes.b.c","DML","DL","lay.off","M","PTFC","Nadim","challenged","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"2","D","ORL","Hickmann Alves","passes.f.c","DL","DML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"2","F","ORL","Burkenroad","passes.b.c","DML","DML",NA,"D","PTFC","Reynolds","challenged","AMR",NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"2","D","ORL","Catley","passes.b.c","DML","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"2","D","ORL","Hickmann Alves","passes.b.c","DL","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
