"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","M","SRFC","Little","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","M","SRFC","Fishlock","passes.f",NA,NA,"launch","GK","PTFC","Betos","gk.loose.balls.won",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","GK","PTFC","Betos","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","GK","PTFC","Betos",NA,NA,NA,"gk.drop.kick","M","SRFC","Fishlock","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","M","PTFC","Shim","passes.f.c",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","M","PTFC","Shim",NA,NA,NA,"through","D","SRFC","Reed","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","M","SRFC","Winters","lost.touch",NA,NA,NA,"M","PTFC","Brynjarsdottir","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","M","PTFC","Brynjarsdottir","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","M","PTFC","Raso","passes.b.c",NA,NA,NA,"D","SRFC","Reed","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1",NA,NA,NA,NA,NA,NA,NA,"F","SRFC","Kawasumi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","D","PTFC","Weber","passes.f.c",NA,NA,NA,"F","SRFC","Kawasumi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1",NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Fishlock","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","M","SRFC","Fishlock","passes.b.c",NA,NA,NA,"M","PTFC","Brynjarsdottir","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","D","SRFC","Reed","passes.f",NA,NA,"launch","M","PTFC","Raso","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","M","PTFC","Raso","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1","M","PTFC","Raso","dispossessed",NA,NA,NA,"D","SRFC","Reed","tackles.ball",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"16","1","F","PTFC","Nadim","passes.s",NA,NA,"corner.crosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1",NA,NA,NA,NA,NA,NA,"corner.kick","D","SRFC","Barnes","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1","D","PTFC","Weber","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1","D","PTFC","Weber","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1","M","PTFC","Shim","passes.f.c",NA,NA,"flick.on","M","SRFC","Fishlock","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","D","SRFC","Fletcher","clearances",NA,NA,NA,"M","PTFC","Brynjarsdottir","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1","M","PTFC","Raso","passes.f.c",NA,NA,NA,"F","SRFC","Mathias","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1",NA,NA,NA,NA,NA,NA,NA,"M","SRFC","Fishlock","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1","M","SRFC","Fishlock","passes.f",NA,NA,NA,"M","PTFC","Shim","challenged",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"23","2","D","PTFC","Weber","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2","M","PTFC","Brynjarsdottir","aerial.won",NA,NA,NA,"D","SRFC","Reed","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2","M","PTFC","Brynjarsdottir","passes.f.c",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2","F","PTFC","Nadim","passes.f.c",NA,NA,NA,"D","SRFC","Fletcher","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2","M","PTFC","Raso","dispossessed",NA,NA,NA,"D","SRFC","Fletcher","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2","D","SRFC","Fletcher","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2","D","SRFC","Fletcher","passes.f.c",NA,NA,"launch","M","PTFC","Raso","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2","F","SRFC","Melis","lost.touch",NA,NA,NA,"D","PTFC","Menges","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2","D","SRFC","Pickett","passes.f.c",NA,NA,NA,"F","SRFC","Kawasumi","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2","M","PTFC","Raso","offside.calls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2","D","SRFC","Barnes","passes.s.c",NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2","D","SRFC","Barnes",NA,NA,NA,"switch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2","D","SRFC","Fletcher","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2","D","SRFC","Pickett","passes.b.c",NA,NA,NA,"M","PTFC","Fitzgerald","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2","D","SRFC","Fletcher","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2","M","SRFC","Fishlock","passes.f",NA,NA,"launch","D","PTFC","Boureille","clearances",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"39","3","D","SRFC","Barnes","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3","F","SRFC","Mathias","lost.touch",NA,NA,NA,"D","PTFC","Skogerboe","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3","M","PTFC","Fitzgerald","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3","M","PTFC","Fitzgerald","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3","M","PTFC","Fitzgerald","passes.s.c",NA,NA,NA,"M","SRFC","Little","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3",NA,NA,NA,NA,NA,NA,NA,"F","SRFC","Mathias","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3","M","PTFC","Shim","passes.s.c",NA,"AM3C",NA,"M","SRFC","Winters","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3",NA,NA,NA,NA,NA,NA,NA,"F","SRFC","Kawasumi","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3","F","PTFC","Nadim","movement","AM3C","AM3L",NA,"D","SRFC","Fletcher","pressured","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3","F","PTFC","Nadim","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3","M","PTFC","Raso","passes.f",NA,NA,NA,"GK","SRFC","Kopmeyer","gk.loose.balls.won",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3","GK","SRFC","Kopmeyer","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3","D","SRFC","Barnes","movement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3","D","SRFC","Barnes","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","3","D","SRFC","Pickett","passes.f.c",NA,NA,"launch","M","PTFC","Fitzgerald","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","3",NA,NA,NA,NA,NA,NA,NA,"D","PTFC","Boureille","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","3","M","SRFC","Little","take.on.won",NA,NA,NA,"M","PTFC","Brynjarsdottir","dribbled.tackles.missed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","3","M","SRFC","Little","take.on.lost",NA,NA,NA,"M","PTFC","Fitzgerald","tackles.ball",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
