"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","SRFC","Winters","passes.b.c","AM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","SRFC","Little","passes.b.c","DM3C","DM3L",NA,"F","FCKC","Kastor","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
4,"1","D","SRFC","Pickett","passes.b.c","DM3L","D3L",NA,"M","FCKC","O'Reilly","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA
5,"1","D","SRFC","Barnes","passes.s.c","D3L","D3R",NA,"F","FCKC","Kastor","pressured","A3R",NA,NA,NA,NA,NA,NA,NA,NA
6,"1","D","SRFC","Corsie","passes.f.c","D3R","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","D","SRFC","Fletcher","passes.b.c","D3R","D3R",NA,"M","FCKC","Tymrak","pressured","A3L",NA,NA,NA,NA,NA,NA,NA,NA
8,"1","D","SRFC","Corsie","clearances","D3R",NA,NA,"F","FCKC","Kastor","challenged","A3L",NA,NA,NA,NA,NA,NA,NA,NA
8,"1",NA,NA,NA,NA,NA,NA,NA,"D","FCKC","Sauerbrunn","blocks","DM3L",NA,NA,NA,NA,NA,NA,NA,NA
9,"1","F","SRFC","Melis","recoveries","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","F","SRFC","Melis","movement","DM3R","AM3R",NA,"D","FCKC","Frisbie","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA
11,"1","F","SRFC","Melis","passes.s","AM3R",NA,NA,"M","FCKC","Laddish","interceptions","DM3L",NA,NA,NA,NA,NA,NA,NA,NA
12,"1","M","FCKC","Buczkowski","passes.f.c","DM3L","AM3L",NA,"M","SRFC","Little","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA
13,"1","F","FCKC","Kastor","passes.b.c","AM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","M","FCKC","Tymrak","passes.b.c","AM3L","DM3L",NA,"D","SRFC","Fletcher","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA
14,"1",NA,NA,NA,NA,NA,NA,NA,"F","SRFC","Melis","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA
15,"1","D","FCKC","Frisbie","passes.b.c","DM3L","D3C",NA,"F","SRFC","Melis","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA
16,"1","D","FCKC","Averbuch","passes.f.c","D3C","DM3C",NA,"F","SRFC","Reed","pressured","A3C",NA,NA,NA,NA,NA,NA,NA,NA
17,"1","M","FCKC","Scott","passes.f.c","DM3C","AM3R",NA,"M","SRFC","Winters","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA,NA
18,"1","M","FCKC","O'Reilly","passes.f","AM3R",NA,NA,"F","SRFC","Reed","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA,NA
18,"1",NA,NA,NA,NA,NA,NA,NA,"D","SRFC","Barnes","ball.shield","D18",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA
