"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","M","WAS","Lohman","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","D","WAS","Huster","passes.b.c","DM3C","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","D","WAS","Oyster","passes.b.c","D3C","D18","free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","GK","WAS","Labbe","passes.f.c","D18","AM3R","launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","F","WAS","Stengel","aerial.won","AM3R",NA,NA,"D","BOS","Kallman","aerial.lost","DM3L",NA,NA,NA,NA,NA,NA,NA
7,"1","F","WAS","Dunn","recoveries","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"1","F","WAS","Dunn","passes.b.c","AM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1","D","WAS","Oyster","passes.f","DM3R",NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"1",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","GK","BOS","Stout","passes.f.c","D18","D3L","gk.throws",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"1","D","BOS","Kallman","passes.f.c","D3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"1","M","BOS","Zerboni","passes.b.c","DM3L","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","D","BOS","Kallman","passes.b.c","D3L","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"1","GK","BOS","Stout","passes.f.c","D18","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","D","BOS","Engen","passes.f.c","D3R","DM3R",NA,"F","WAS","Stengel","pressured","A3L",NA,NA,NA,NA,NA,NA,NA
16,"1","M","BOS","Salem","passes.f","DM3R",NA,"flick.on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"2","D","WAS","Oyster","recoveries","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"2","D","WAS","Oyster","passes.s.c","DM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"2","D","WAS","Dydasco","lost.touch","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA
