"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","F","WNYF","McDonald","passes.s.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","F","WNYF","Williams","passes.b.c","AM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","M","WNYF","Hahn","passes.b.c","DM3C","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","D","WNYF","Dahlkemper","passes.f.c","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","M","WNYF","Mewis","passes.b.c","DM3R","D3C",NA,"M","SBFC","Conheeney","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","D","WNYF","Dahlkemper","passes.f.c","D3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","D","WNYF","Kennedy","passes.f.c","DM3L","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","D","WNYF","Hinkle","passes.f.c","DM3L","AM3L",NA,"F","SBFC","Hayes","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","F","WNYF","McDonald","passes.b.c","AM3L","DM3L",NA,"M","SBFC","Stanton","pressured","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","M","WNYF","Speck","passes.f.c","DM3L","AM3L",NA,"M","SBFC","Conheeney","pressured","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","F","WNYF","McDonald","movement","AM3L","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","F","WNYF","McDonald","passes.f.c","AM3C","A3R","through",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","M","WNYF","Doniak","passes.s.c","A3R","A18","corner.crosses","D","SBFC","Simon","pressured","D3L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1","F","WNYF","McDonald","lost.touch","A18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1","D","SBFC","O'Hara","recoveries","D18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
