"event","time","poss.position","poss.team","poss.number","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.number","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG"
1,"1",NA,NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","F","WNYF",NA,"Doniak","passes.s.c","AM3C","AM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"1","M","WNYF",NA,"Ayinde","passes.b.c","AM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"1","M","WNYF",NA,"Mewis","passes.b.c","DM3C","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"1","D","WNYF",NA,"Eddy","passes.b.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"1","M","WNYF",NA,"Kennedy","passes.f.c","DM3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"1","M","WNYF",NA,"Mewis","movement","DM3R",NA,NA,"M","WAS",NA,"Matheson","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
8,"1","M","WNYF",NA,"Mewis","passes.f.c","AM3R","AM3R",NA,"M","WAS",NA,"Matheson","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
9,"1","F","WNYF",9,"L. Williams","passes.s.c","AM3R","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"1","M","WNYF",NA,"Mewis","passes.b.c","AM3R","AM3R",NA,"M","WAS",NA,"Huster","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
11,"1","D","WNYF",NA,"Eddy","passes.b.c","AM3R","DM3R",NA,"F","WAS",NA,"Dunn","pressured","DM3L",NA,NA,NA,NA,NA,NA,NA
12,"1","D","WNYF",NA,"Dahlkemper","passes.s.c","DM3R","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"1","D","WNYF",NA,"Erceg","passes.b.c","DM3C","D3R",NA,"F","WAS",NA,"Dunn","pressured","AM3C",NA,NA,NA,NA,NA,NA,NA
14,"1","D","WNYF",NA,"Dahlkemper","passes.f.c","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"1","M","WNYF",NA,"Mewis","passes.b.c","DM3R","D3R","lay.off","M","WAS",NA,"Lohman","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
16,"1","D","WNYF",NA,"Dahlkemper","passes.f.c","D3R","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"1","M","WNYF",NA,"Mewis","passes.b.c","DM3R","D3R",NA,"M","WAS",NA,"Lohman","pressured","AM3L",NA,NA,NA,NA,NA,NA,NA
18,"1","D","WNYF",NA,"Dahlkemper","passes.b.c","D3R","D3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"1","GK","WNYF",NA,"D'Angelo","passes.s.c","D3C","D3R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"1","D","WNYF",NA,"Dahlkemper","passes.f","D3R",NA,"launch","D","WAS",NA,"Krieger","blocks","D3C",NA,NA,NA,NA,NA,NA,NA
21,"1","F","WNYF",NA,"Smith","recoveries","A3L",NA,NA,"D","WAS",NA,"Krieger","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
22,"2","F","WNYF",NA,"Smith","passes.b.c","A3L","A3C",NA,"D","WAS",NA,"Krieger","pressured","D3R",NA,NA,NA,NA,NA,NA,NA
23,"2","M","WNYF",NA,"Ayinde","passes.f","A3C",NA,NA,"M","WAS",NA,"Huster","pressured","D3C",NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA
