"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","D","ENG","Williams","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","D","ENG","Houghton","passes.f",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","F","ENG","Duggan","aerial.lost",NA,NA,NA,"D","GER","Kemme","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","D","GER","Bartusiak","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","D","GER","Bartusiak","passes.s.c",NA,NA,NA,"M","ENG","J. Scott","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","D","GER","Henning","passes.f",NA,NA,NA,"D","ENG","Williams","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","D","ENG","Williams","passes.f.c",NA,NA,NA,"M","GER","Marozsan","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","M","ENG","A. Scott","take.on.lost",NA,NA,NA,"D","GER","Kemme","ball.shield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","D","GER","Kemme","passes.f.c",NA,NA,NA,"M","ENG","A. Scott","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","M","GER","Marozsan","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","D","GER","Bartusiak","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","D","GER","Hendrich","passes.f",NA,NA,"launch","D","ENG","Flaherty","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","M","GER","Behringer","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1","M","GER","Behringer","passes.f.c",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1","F","GER","Popp","passes.b.c",NA,NA,NA,"F","ENG","Chapman","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1","D","GER","Hendrich","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1","M","GER","Blasse","passes.f",NA,NA,"through","M","ENG","Stokes","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1",NA,NA,NA,NA,NA,NA,NA,"D","ENG","Houghton","clearances",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"19","2","D","GER","Hendrich","passes.s.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2","F","GER","Islacker","passes.b.c",NA,NA,"headed","F","ENG","Chapman","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2","M","GER","Blasse","passes.s.c",NA,NA,NA,"M","ENG","Stokes","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2","F","GER","Popp","passes.f.c",NA,NA,"through","D","ENG","Greenwood","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2",NA,NA,NA,NA,NA,NA,NA,"F","ENG","Chapman","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2","D","GER","Hendrich","passes.s",NA,NA,"corner.crosses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2","M","GER","Kerschowski","aerial.lost",NA,NA,NA,"D","ENG","Houghton","aerial.won",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2",NA,NA,NA,NA,NA,NA,NA,"D","ENG","Houghton","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2","D","ENG","Williams","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2","D","ENG","Williams","passes.f.c",NA,NA,NA,"D","GER","Kemme","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2","M","ENG","Nobbs","passes.f",NA,NA,NA,"M","GER","Marozsan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2",NA,NA,NA,NA,NA,NA,NA,"D","GER","Bartusiak","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2",NA,NA,NA,NA,NA,NA,NA,"D","GER","Bartusiak","clearances",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"28","2","M","ENG","A. Scott","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2","F","ENG","Duggan","passes.s",NA,NA,NA,"D","GER","Bartusiak","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2",NA,NA,NA,NA,NA,NA,NA,"M","GER","Marozsan","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2",NA,NA,NA,NA,NA,NA,NA,"M","GER","Marozsan","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2","D","ENG","Houghton","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2","M","ENG","J. Scott","aerial.won",NA,NA,NA,"D","GER","Kemme","aerial.lost",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"32","2","D","GER","Kemme","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2","F","GER","Popp","dispossessed",NA,NA,NA,"M","ENG","Nobbs","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2","D","ENG","Williams","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2","D","ENG","Williams","dispossessed",NA,NA,NA,"F","GER","Popp","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2","D","GER","Kemme","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2","D","GER","Kemme","passes.f.c",NA,NA,NA,"M","ENG","Nobbs","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3","M","GER","Kerschowski","passes.b.c",NA,NA,NA,"M","ENG","A. Scott","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3",NA,NA,NA,NA,NA,NA,NA,"M","ENG","Nobbs","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3","M","GER","Marozsan","passes.f.c",NA,NA,NA,"M","ENG","J. Scott","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3","F","GER","Popp","passes.s.c",NA,"DM3L",NA,"F","ENG","Chapman","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3","D","GER","Hendrich","movement","DM3L","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3","D","GER","Hendrich","movement","AM3L","A3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3","D","GER","Hendrich","passes.f.c",NA,NA,NA,"M","ENG","Stokes","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3","M","GER","Blasse","passes.b.c",NA,NA,NA,"D","ENG","Greenwood","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3","D","GER","Hendrich","passes.f.c",NA,NA,NA,"M","ENG","Stokes","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3","M","GER","Blasse","take.on.lost",NA,NA,NA,"D","ENG","Greenwood","tackles.ball",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"47","3","M","GER","Behringer","passes.s.c",NA,NA,"corner.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","3","F","GER","Popp","aerial.won",NA,NA,NA,"D","ENG","Flaherty","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3","F","GER","Popp","shots.missed","A18",NA,NA,"GK","ENG","Bardsley","gk.shot.miss",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"50","4","GK","ENG","Bardsley","passes.f.c",NA,NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","4","D","ENG","Houghton","passes.f",NA,NA,"launch","F","GER","Islacker","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","4","F","ENG","Duggan","aerial.lost",NA,NA,NA,"D","GER","Bartusiak","aerial.won",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"53","4","M","ENG","A. Scott","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","4","M","ENG","J. Scott","dispossessed",NA,NA,NA,"M","GER","Marozsan","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","4","M","GER","Behringer","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","4","M","GER","Behringer","dispossessed",NA,NA,NA,"F","ENG","Chapman","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4","D","GER","Henning","clearances",NA,NA,NA,"M","ENG","Stokes","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4","D","ENG","Greenwood","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","4","D","ENG","Greenwood","shots.missed","A3C",NA,NA,"GK","GER","Benkarth","gk.shot.miss",NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"60","4",NA,NA,NA,"stoppage.in.play",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5","GK","GER","Benkarth","passes.f.c",NA,NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5","D","GER","Hendrich","passes.b.c",NA,NA,NA,"M","ENG","Stokes","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","5","GK","GER","Benkarth","passes.f",NA,NA,NA,"F","ENG","Duggan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","5",NA,NA,NA,NA,NA,NA,NA,"F","ENG","Chapman","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","5","F","GER","Popp","aerial.won",NA,NA,NA,"M","ENG","J. Scott","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5","F","GER","Islacker","aerial.lost",NA,NA,NA,"F","ENG","Chapman","aerial.won",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","6","M","GER","Kerschowski","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","6","M","GER","Kerschowski","passes.s.c",NA,NA,NA,"D","ENG","Williams","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","6","D","GER","Kemme","passes.f",NA,NA,NA,"D","ENG","Williams","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","6",NA,NA,NA,NA,NA,NA,NA,"M","ENG","A. Scott","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6","D","GER","Kemme","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","6","D","GER","Kemme","passes.s.c",NA,NA,NA,"M","ENG","Nobbs","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","6","F","GER","Popp","passes.b.c",NA,NA,NA,"M","ENG","J. Scott","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","6","M","GER","Marozsan","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","6","D","GER","Bartusiak","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","6","D","GER","Henning","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","6","D","GER","Bartusiak","passes.f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"76","6","M","ENG","A. Scott","passes.f.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6","M","ENG","J. Scott","aerial.won",NA,NA,NA,"D","GER","Kemme","aerial.lost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6",NA,NA,NA,NA,NA,NA,NA,"D","GER","Bartusiak","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","6","M","ENG","J. Scott","aerial.lost",NA,NA,NA,"D","GER","Kemme","aerial.won",NA,NA,NA,"fouls.conceded",NA,"fouls.won",NA,NA,NA,NA
"79","6","D","GER","Bartusiak","passes.s.c",NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","6","D","GER","Henning","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","7","D","GER","Hendrich","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","7","M","GER","Blasse","passes.f",NA,NA,NA,"D","ENG","Greenwood","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","7",NA,NA,NA,NA,NA,NA,NA,"D","ENG","Flaherty","clearances",NA,NA,NA,NA,"out.of.bounds.keep.poss",NA,NA,NA,NA,NA
"83","7","D","GER","Hendrich","passes.s.c",NA,NA,"throw.in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
