"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","F","FRA","Delie","passes.b.c","DM3C","DM3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","M","FRA","Thomis","passes.b.c","DM3C","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","D","FRA","Georges","passes.f.c","DM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","D","FRA","Houara","passes.f",NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,"out.of.bounds.lost.poss",NA,NA,NA,NA,NA
"6","1","GK","ENG","Bardsley","passes.f",NA,NA,"goal.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1",NA,NA,NA,NA,NA,NA,"launch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","M","ENG","Chapman","aerial.lost",NA,NA,NA,"M","FRA","Thomis","aerial.won","AM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","M","FRA","Thomis","passes.f.c",NA,"AM3L","headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","F","FRA","Lavogez","aerial.won","AM3L",NA,NA,"M","ENG","Williams","aerial.lost","DM3R",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","F","FRA","Lavogez","passes.f.c",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","F","FRA","Delie","lost.touch",NA,NA,NA,"D","ENG","Stoney","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1",NA,NA,NA,NA,NA,NA,NA,"M","ENG","Nobbs","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1",NA,NA,NA,NA,NA,NA,NA,"M","ENG","Chapman","dispossessed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","M","ENG","Chapman","passes.f",NA,NA,NA,"M","FRA","Abily","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","D","FRA","Houara","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","D","FRA","Houara","passes.f.c","AM3L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1","M","FRA","Thomis","passes.s.c",NA,NA,"flick.on","D","ENG","Rafferty","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2","M","FRA","Abily","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2","M","FRA","Thomis","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2","M","FRA","Abily","passes.f",NA,NA,NA,"D","ENG","Rafferty","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2","D","ENG","Rafferty","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
