"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
"1","1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1",NA,NA,NA,"playcutoffbybroadcast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","M/CM","GER","Marozsan","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA
"4","1","D/FB","GER","Kerschowski","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA
"5","1","D/CM","GER","Peter","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"6","1","D/FB","GER","Kerschowski","passes.b.c",NA,NA,NA,"F","USA","Williams","challenged",NA,NA,NA,NA,NA,NA,NA,NA,"17","12"
"7","1","D/CM","GER","Peter","passes.f",NA,NA,"launch","D/CB","USA","Sauerbrunn","clearances",NA,NA,NA,NA,NA,NA,NA,NA,"5","4"
"7","1",NA,NA,NA,NA,NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","M/CM","GER","Dabritz","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA
"9","1","M/CM","GER","Dabritz","passes.f.c",NA,NA,NA,"M/CN","USA","Mewis","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"13","3"
"10","1","F","GER","Mittag","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA
"11","1","F","GER","Petermann","passes.s",NA,NA,"pass.into.pressure","M/CM","USA","Brian","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"18","6"
"11","1",NA,NA,NA,NA,NA,NA,NA,"M/W","USA","Dunn","blocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19"
"12","1","M/CM","USA","Brian","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA
"13","1","M/CM","USA","Brian","passes.b.c",NA,NA,NA,"F","GER","Mittag","challenged",NA,NA,NA,NA,NA,NA,NA,NA,"6","11"
"13","1",NA,NA,NA,NA,NA,NA,NA,"F","GER","Petermann","challenged",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18"
"14","1","M/CN","USA","Mewis","passes.f",NA,NA,NA,"M/CM","GER","Popp","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,"3","9"
"15","1","M/CM","GER","Popp","passes.b.c",NA,NA,NA,"M/W","USA","Dunn","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"9","19"
"16","1","D/FB","GER","Kerschowski","passes.b.c",NA,NA,NA,"F","USA","Williams","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"17","12"
"17","1","D/CM","GER","Peter","passes.f.c",NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"18","1","M/CM","GER","Marozsan","passes.b.c",NA,NA,NA,"M/CM","USA","Lloyd","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"10","10"
"19","1","D/CM","GER","Peter","passes.b.c",NA,NA,NA,"F","USA","Williams","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"5","12"
"20","1","GK","GER","Schult","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"21","1","D/CM","GER","Peter","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"22","1","D/FB","GER","Kerschowski","passes.s",NA,NA,"pass.into.pressure","F","USA","Williams","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,"17","12"
"22","1",NA,NA,NA,NA,NA,NA,NA,"M/W","USA","Dunn","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19"
"23","1","F","USA","Williams","passes.b.c",NA,NA,NA,"M/CM","GER","Dabritz","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"12","13"
"24","1","M/CN","USA","Mewis","passes.f.c",NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"25","1","M/CM","USA","Lloyd","passes.s.c",NA,NA,NA,"M/CM","GER","Marozsan","challenged",NA,NA,NA,NA,NA,NA,NA,NA,"10","10"
"26","1","F","USA","Williams","passes.f.c",NA,NA,"through","M/CM","GER","Marozsan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"12","10"
"26","1",NA,NA,NA,NA,NA,NA,"pass.into.pressure","D/FB","GER","Kerschowski","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17"
"27","1","F","USA","Press","shots.blocked",NA,NA,"out.of.bounds.keep.poss","D/CB","GER","Henning","blocks",NA,NA,NA,NA,NA,NA,NA,NA,"23","2"
"27","1",NA,NA,NA,NA,NA,NA,NA,"D/CB","GER","Henning","pressured",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2"
"28","2","M/W","USA","Heath","passes.s",NA,NA,"corner.kick","F","GER","Petermann","blocks",NA,NA,NA,NA,NA,NA,NA,NA,"17","18"
"28","2",NA,NA,NA,NA,NA,NA,"crosses","M/CM","GER","Marozsan","clearances",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"28","2",NA,NA,NA,NA,NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2","M","USA","Horan","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA
"30","2","M","USA","Horan","passes.f.c",NA,NA,"headed","F","GER","Mittag","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"9","11"
"30","2",NA,NA,NA,NA,NA,NA,"pass.into.pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2","M/W","USA","Heath","lost.touch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA
"32","2","M/CM","GER","Dabritz","recoveries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA
"33","2","M/CM","GER","Dabritz","passes.f",NA,NA,NA,"M/W","USA","Dunn","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"13","19"
"33","2",NA,NA,NA,NA,NA,NA,NA,"M/CM","USA","Brian","interceptions",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6"
