"event","time","poss.position","poss.team","poss.player","poss.action","poss.location","poss.play.destination","play.type","def.position","def.team","def.player","def.action","def.location","gk.ball.stop","gk.s.o.g.attempt","poss.player.disciplinary","poss.notes","def.player.disciplinary","def.notes","xG","poss.number","def.number"
1,"1",NA,NA,NA,"kickoff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"1","F","GER","Popp","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA
3,"1","F","GER","Dabritz","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA
4,"1","D/CB","GER","Hendrich","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
5,"1","D/FB","GER","Maier","passes.b.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
6,"1","D/CB","GER","Hendrich","passes.f.c",NA,NA,"launch","F/C","USA","Morgan","pressured",NA,NA,NA,NA,NA,NA,NA,NA,"3","13"
7,"1","F","GER","Huth","passes.s.c",NA,NA,"headed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19",NA
8,"1","F","GER","Popp","passes.f.c",NA,NA,"pass.into.pressure","D/CB","USA","Davidson","challenged",NA,NA,NA,NA,NA,NA,NA,NA,"11","17"
9,"1","F","GER","Huth","fouls.won",NA,NA,NA,"D/FB","USA","O'Hara","fouls.conceded",NA,NA,NA,NA,NA,NA,NA,NA,"19","5"
10,"1","D/FB","GER","Maier","passes.b.c",NA,NA,"free.kick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA
11,"1","D/CB","GER","Hendrich","passes.s.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
12,"1","D/CB","GER","Peter","passes.f.c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
