uniq_def_notes_id,uniq_event_id,match_id,event,defnotes_id,lineup_player_id,def_notes
1000001,1000659,100015,659,1001,115,errors.to.goals
1000002,1001162,100015,1162,1002,116,big.chances.stopped
1000003,1002005,100011,774,1001,115,big.chances.stopped
1000004,1004382,100013,774,1001,116,own.goals
1000005,1005617,100014,890,1001,119,big.chances.stopped
1000006,1006233,100023,372,1001,101,errors.to.goals
1000007,1006413,100023,552,1002,115,big.chances.stopped
1000008,1006442,100023,581,1003,115,big.chances.stopped
1000009,1007768,100022,577,1001,101,big.chances.stopped
1000010,1008527,100021,69,1001,115,big.chances.stopped
1000011,1008529,100021,71,1002,115,big.chances.stopped
1000012,1008792,100021,334,1003,104,big.chances.stopped
1000013,1009941,100024,332,1001,116,big.chances.stopped
1000014,1012360,100010,1142,1001,101,big.chances.stopped
1000015,1012494,100010,1276,1002,101,big.chances.stopped
1000016,1014681,100001,776,1001,103,big.chances.stopped
1000017,1016268,100025,827,1001,101,big.chances.stopped
1000018,1016369,100025,928,1002,125,errors.to.goals
1000019,1016964,100026,169,1001,123,errors.to.big.chances
1000020,1017683,100026,888,1002,119,fouls.won
1000021,1018020,100026,1225,1003,116,big.chances.stopped
1000022,1019736,100009,392,1001,108,errors.to.goals
1000023,1022036,100028,24,1001,114,big.chances.stopped
1000024,1022576,100028,564,1002,124,yellowcard
1000025,1022868,100028,856,1003,114,big.chances.stopped
1000026,1023160,100029,13,1001,119,errors.to.big.chances
1000027,1023422,100029,275,1002,117,big.chances.stopped
1000028,1025272,100032,783,1001,,errors.to.goals
1000029,1025563,100032,1074,1002,118,big.chances.stopped
1000030,1027828,100031,593,1001,118,big.chances.stopped
1000031,1032600,100147,1129,1001,101,big.chances.stopped
1000032,1035900,100141,653,1001,122,own.goals
1000033,1036049,100141,802,1002,118,big.chances.stopped
1000034,1036217,100141,970,1003,132,big.chances.stopped
1000035,1037284,100148,780,1001,106,errors.to.goals
1000036,1037567,100148,1063,1002,111,errors.to.goals
1000037,1037740,100148,1236,1003,121,big.chances.stopped
1000038,1037752,100148,1248,1004,118,big.chances.stopped
1000039,1037946,100006,33,1001,105,big.chances.stopped
1000040,1038998,100006,1085,1002,101,big.chances.stopped
1000041,1039008,100006,1095,1003,117,big.chances.stopped
1000042,1039077,100006,1164,1004,101,big.chances.stopped
1000043,1039230,100006,1317,1005,101,big.chances.stopped
1000044,1040148,100003,913,1001,119,big.chances.stopped
1000045,1042461,100004,427,1001,115,errors.to.goals
1000046,1043166,100004,1132,1002,115,big.chances.stopped
1000047,1043894,100008,282,1001,101,big.chances.stopped
1000048,1044333,100008,721,1002,101,big.chances.stopped
1000049,1044985,100007,101,1001,111,errors.to.big.chances
1000050,1044988,100007,104,1002,115,big.chances.stopped
1000051,1046216,100049,85,1001,101,big.chances.stopped
1000052,1046333,100049,202,1002,121,big.chances.stopped
1000053,1046335,100049,204,1003,122,big.chances.stopped
1000054,1046449,100049,318,1004,101,big.chances.stopped
1000055,1048413,100063,987,1001,115,big.chances.stopped
1000056,1049071,100113,251,1001,119,big.chances.stopped
1000057,1050473,100105,157,1001,119,errors.to.goals
1000058,1052938,100097,58,1001,115,big.chances.stopped
1000059,1052940,100097,60,1002,119,big.chances.stopped
1000060,1054316,100097,1436,1003,101,big.chances.stopped
1000061,1060758,100074,1243,1001,115,big.chances.stopped
1000062,1061542,100103,725,1001,115,big.chances.stopped
1000063,1062152,100122,67,1001,115,big.chances.stopped
1000064,1062293,100122,208,1002,117,big.chances.stopped
1000065,1066214,100071,329,1001,,errors.to.goals
1000066,1066215,100071,330,1002,110,errors.to.goals
1000067,1066747,100071,862,1003,101,errors.to.goals
1000068,1068754,100117,210,1001,101,big.chances.stopped
1000069,1068868,100117,324,1002,115,big.chances.stopped
1000070,1069185,100117,641,1003,101,big.chances.stopped
1000071,1069390,100117,846,1004,101,big.chances.stopped
1000072,1072537,100039,1254,1001,115,big.chances.stopped
1000073,1073199,100112,538,1001,118,big.chances.stopped
1000074,1073539,100112,878,1002,,errors.to.big.chances
1000075,1075165,100055,1207,1001,115,big.chances.stopped
1000076,1075192,100055,1234,1002,115,big.chances.stopped
1000077,1075373,100055,1415,1003,115,big.chances.stopped
1000078,1075577,100127,95,1001,115,big.chances.stopped
1000079,1077130,100052,393,1001,101,big.chances.stopped
1000080,1077332,100052,595,1002,101,big.chances.stopped
1000081,1079843,100040,311,1001,114,big.chances.stopped
1000082,1082082,100118,1131,1001,123,big.chances.created
1000083,1083033,100082,722,1001,118,big.chances.stopped
1000084,1083311,100082,1000,1002,117,big.chances.stopped
1000085,1084780,100095,1154,1001,115,errors.to.goals
1000086,1086014,100036,1188,1001,101,big.chances.stopped
1000087,1087788,100035,189,1001,116,errors.to.goals
1000088,1087883,100035,284,1002,103,errors.to.goals
1000089,1087936,100035,337,1003,101,big.chances.stopped
1000090,1088856,100035,1257,1004,101,big.chances.stopped
1000091,1089541,100077,578,1001,121,big.chances.stopped
1000092,1089801,100077,838,1002,116,big.chances.stopped
1000093,1092243,100114,718,1001,115,errors.to.big.chances
1000094,1092322,100114,797,1002,115,big.chances.stopped
1000095,1092550,100114,1025,1003,115,big.chances.stopped
1000096,1094184,100044,58,1001,119,big.chances.stopped
1000097,1094914,100044,788,1002,115,big.chances.stopped
1000098,1095228,100044,1102,1003,115,big.chances.stopped
1000099,1098064,100107,969,1001,101,errors.to.goals
1000100,1099855,100092,92,1001,101,errors.to.goals
1000101,1099888,100092,125,1002,115,big.chances.stopped
1000102,1101332,100093,271,1001,115,big.chances.stopped
1000103,1101347,100093,286,1002,121,big.chances.stopped
1000104,1101486,100093,425,1003,103,big.chances.stopped
1000105,1101510,100093,449,1004,103,big.chances.stopped
1000106,1101516,100093,455,1005,101,big.chances.stopped
1000107,1101662,100093,601,1006,103,big.chances.stopped
1000108,1101864,100093,803,1007,101,big.chances.stopped
1000109,1101960,100093,899,1008,116,big.chances.stopped
1000110,1102151,100093,1090,1009,115,big.chances.stopped
1000111,1102937,100129,491,1001,115,big.chances.stopped
1000112,1102943,100129,497,1002,101,big.chances.stopped
1000113,1103045,100129,599,1003,119,big.chances.stopped
1000114,1103259,100129,813,1004,101,error.to.goal
1000115,1104202,100041,294,1001,124,errors.to.big.chances
1000116,1104204,100041,296,1002,101,big.chances.stopped
1000117,1104560,100041,652,1003,122,own.goals
1000118,1106879,100083,346,1001,101,big.chances.stopped
1000119,1106881,100083,348,1002,101,big.chances.stopped
1000120,1110213,100053,1075,1001,115,big.chances.stopped
