uniq_evtype_id,uniq_event_id,match_id,event,evtype_id,play_type
1000001,1000002,100015,2,1001,through
1000002,1000010,100015,10,1002,through
1000003,1000012,100015,12,1003,launch
1000004,1000015,100015,15,1004,corner.kick
1000005,1000021,100015,21,1005,deep.crosses
1000006,1000027,100015,27,1006,deep.crosses
1000007,1000028,100015,28,1007,launch
1000008,1000039,100015,39,1008,launch
1000009,1000040,100015,40,1009,through
1000010,1000044,100015,44,1010,"free.kick,launch"
1000011,1000045,100015,45,1011,"goal.kick,launch"
1000012,1000051,100015,51,1012,through
1000013,1000054,100015,54,1013,launch
1000014,1000057,100015,57,1014,launch
1000015,1000061,100015,61,1015,headed
1000016,1000069,100015,69,1016,launch
1000017,1000070,100015,70,1017,gk.drop.kick
1000018,1000077,100015,77,1018,launch
1000019,1000079,100015,79,1019,through
1000020,1000081,100015,81,1020,launch
1000021,1000088,100015,88,1021,lay.off
1000022,1000099,100015,99,1022,through
1000023,1000100,100015,100,1023,through
1000024,1000101,100015,101,1024,through
1000025,1000109,100015,109,1025,launch
1000026,1000112,100015,112,1026,launch
1000027,1000113,100015,113,1027,through
1000028,1000117,100015,117,1028,launch
1000029,1000121,100015,121,1029,launch
1000030,1000123,100015,123,1030,deep.crosses
1000031,1000124,100015,124,1031,gk.throws
1000032,1000132,100015,132,1032,through
1000033,1000134,100015,134,1033,gk.drop.kick
1000034,1000135,100015,135,1034,through
1000035,1000137,100015,137,1035,launch
1000036,1000143,100015,143,1036,flick.on
1000037,1000147,100015,147,1037,launch
1000038,1000149,100015,149,1038,flick.on
1000039,1000157,100015,157,1039,launch
1000040,1000168,100015,168,1040,through
1000041,1000169,100015,169,1041,corner.crosses
1000042,1000172,100015,172,1042,"goal.kick,launch"
1000043,1000174,100015,174,1043,through
1000044,1000180,100015,180,1044,launch
1000045,1000182,100015,182,1045,"free.kick,launch"
1000046,1000188,100015,188,1046,through
1000047,1000192,100015,192,1047,launch
1000048,1000193,100015,193,1048,"free.kick,launch"
1000049,1000197,100015,197,1049,"free.kick,launch"
1000050,1000198,100015,198,1050,through
1000051,1000199,100015,199,1051,headed
1000052,1000200,100015,200,1052,headed
1000053,1000201,100015,201,1053,through
1000054,1000202,100015,202,1054,corner.crosses
1000055,1000204,100015,204,1055,through
1000056,1000205,100015,205,1056,headed
1000057,1000211,100015,211,1057,launch
1000058,1000215,100015,215,1058,through
1000059,1000232,100015,232,1059,launch
1000060,1000239,100015,239,1060,launch
1000061,1000241,100015,241,1061,gk.drop.kick
1000062,1000248,100015,248,1062,launch
1000063,1000250,100015,250,1063,through
1000064,1000254,100015,254,1064,through
1000065,1000255,100015,255,1065,corner.crosses
1000066,1000257,100015,257,1066,"goal.kick,launch"
1000067,1000267,100015,267,1067,switch
1000068,1000271,100015,271,1068,corner.crosses
1000069,1000273,100015,273,1069,headed
