match_id,date,competition_slug,competition_string,matchup,notes,round,location_data
100001,2/8/15,international-friendlies-2015,International Friendlies 2015,FRA-USA,,,no
100002,2/13/15,international-friendlies-2015,International Friendlies 2015,ENG-USA,,,no
100003,4/11/15,nwsl-2015,NWSL 2015,PTFC-BOS,,,no
100004,4/18/15,nwsl-2015,NWSL 2015,PTFC-WNYF,,,no
100005,7/22/15,nwsl-2015,NWSL 2015,PTFC-SRFC,,,yes
100006,9/13/15,nwsl-2015,NWSL 2015,CRS-FCKC,semifinal,,yes
100007,9/13/15,nwsl-2015,NWSL 2015,SRFC-WAS,semifinal,,yes
100008,10/1/15,nwsl-2015,NWSL 2015,SRFC-FCKC,final,,yes
100009,1/23/16,international-friendlies-2016,International Friendlies 2016,USA-IRL,,,yes
100010,2/5/16,d1-feminine-2015-2016,D1 Feminine 2015/2016,PSG-LYON,,,inc
100011,2/10/16,2016-olympic-qualifiers-concacaf,2016 CONCACAF Olympic Qualifiers,USA-CRC,,,yes
100012,2/13/16,2016-olympic-qualifiers-concacaf,2016 CONCACAF Olympic Qualifiers,USA-MEX,,,yes
100013,2/15/16,2016-olympic-qualifiers-concacaf,2016 CONCACAF Olympic Qualifiers,USA-PUR,,,no
100014,2/19/16,2016-olympic-qualifiers-concacaf,2016 CONCACAF Olympic Qualifiers,USA-TRI,,,no
100015,2/21/16,2016-olympic-qualifiers-concacaf,2016 CONCACAF Olympic Qualifiers,USA-CAN,final,,yes
100016,3/3/16,shebelieves-cup-2016,SheBelieves Cup 2016,USA-ENG,,,yes
100017,3/6/16,shebelieves-cup-2016,SheBelieves Cup 2016,USA-FRA,,,yes
100018,3/6/16,shebelieves-cup-2016,SheBelieves Cup 2016,ENG-GER,,,no
100019,3/9/16,shebelieves-cup-2016,SheBelieves Cup 2016,ENG-FRA,,,no
100020,3/9/16,shebelieves-cup-2016,SheBelieves Cup 2016,USA-GER,,,yes
100021,8/3/16,2016-olympics,2016 Rio Olympics,USA-NZL,,,no
100022,8/6/16,2016-olympics,2016 Rio Olympics,USA-FRA,,,no
100023,8/9/16,2016-olympics,2016 Rio Olympics,USA-COL,,,no
