uniq_poss_notes_id,match_id,possnotes_id,event,poss_notes
1000000,100015,1001,9,out.of.bounds.lost.poss
1000001,100015,1002,14,out.of.bounds.keep.poss
1000002,100015,1003,34,out.of.bounds.lost.poss
1000003,100015,1004,39,out.of.bounds.lost.poss
1000004,100015,1005,44,out.of.bounds.lost.poss
1000005,100015,1006,100,out.of.bounds.keep.poss
1000006,100015,1007,101,out.of.bounds.keep.poss
1000007,100015,1008,102,out.of.bounds.keep.poss
1000008,100015,1009,115,out.of.bounds.lost.poss
1000009,100015,1010,137,out.of.bounds.keep.poss
1000010,100015,1011,154,out.of.bounds.lost.poss
1000011,100015,1012,172,unscored.key.passes
1000012,100015,1013,174,big.chances.missed
1000013,100015,1014,174,out.of.bounds.lost.poss
1000014,100015,1015,176,out.of.bounds.keep.poss
1000015,100015,1016,191,out.of.bounds.keep.poss
1000016,100015,1017,202,out.of.bounds.keep.poss
1000017,100015,1018,205,out.of.bounds.keep.poss
1000018,100015,1019,207,out.of.bounds.lost.poss
1000019,100015,1020,237,out.of.bounds.lost.poss
1000020,100015,1021,254,out.of.bounds.keep.poss
1000021,100015,1022,260,unscored.key.passes
1000022,100015,1023,261,big.chances.missed
1000023,100015,1024,261,out.of.bounds.lost.poss
1000024,100015,1025,278,out.of.bounds.lost.poss
1000025,100015,1026,296,out.of.bounds.lost.poss
1000026,100015,1027,334,out.of.bounds.keep.poss
1000027,100015,1028,370,out.of.bounds.lost.poss
1000028,100015,1029,374,out.of.bounds.lost.poss
1000029,100015,1030,392,out.of.bounds.keep.poss
1000030,100015,1031,405,out.of.bounds.keep.poss
1000031,100015,1032,443,out.of.bounds.keep.poss
1000032,100015,1033,449,out.of.bounds.lost.poss
1000033,100015,1034,484,out.of.bounds.keep.poss
1000034,100015,1035,489,out.of.bounds.keep.poss
1000035,100015,1036,514,out.of.bounds.lost.poss
1000036,100015,1037,524,out.of.bounds.lost.poss
1000037,100015,1038,544,out.of.bounds.keep.poss
1000038,100015,1039,561,out.of.bounds.keep.poss
1000039,100015,1040,564,out.of.bounds.keep.poss
1000040,100015,1041,578,out.of.bounds.lost.poss
1000041,100015,1042,584,out.of.bounds.lost.poss
1000042,100015,1043,595,out.of.bounds.lost.poss
1000043,100015,1044,642,out.of.bounds.lost.poss
1000044,100015,1045,654,out.of.bounds.keep.poss
1000045,100015,1046,658,out.of.bounds.keep.poss
1000046,100015,1047,662,out.of.bounds.keep.poss
1000047,100015,1048,665,assists
1000048,100015,1049,676,out.of.bounds.keep.poss
1000049,100015,1050,683,out.of.bounds.keep.poss
1000050,100015,1051,691,out.of.bounds.lost.poss
