Stat,Acronym
Player,Player
Team,Team
Minutes Played,MP
Games Started,GS
Goals,Goals
Shots,Shots
Shot Accuracy,Sht Acc
SOG GK Stop,Sht GK Stop
SOG Def Stop,Sht Def Stop
Shots Missed,Sht Miss
Shots Taken Under Pressure,Sht Pressd
Pct of All Shots That Were Taken Under Pressure,Pct Shts Pressd
A6 Shots,A6 Shots
A18 Shots,A18 Shots
A3L Shots,A3L Shots
A3C Shots,A3C Shots
A3R Shots,A3R Shots
Further Shots,Far Shots
Assists,Assists
Key Assists,Key Assts
All Key Passes,Key Pass
Second Assists,2nd Assts
Unscored Key Passes,Unscored KP
Big Chances,Big Chances
Big Chances Created,BC Created
Big Chances Scored,BC Score
Pct of all Big Chances that were scored,BC Converted
Big Chances Shot on Goal,BC SOG
Big Chances Shot and Missed,BC Shot Miss
Big Chances Dispossessed,BC Dispossess
Big Chances Lost,BC Lost
Crosses Completed,Cross Comp
Crosses Attempted,Cross Att
Cross Completion Pct,Cross Comp Pct
Crosses from Corner,Corner Crosses
Crosses from Far,Deep Crosses
Launch Balls Completed,Launch Comp
Launch Balls Attempted,Launch Att
Launch Ball Comp Pct,Launch Comp Pct
Through Balls Completed,Through Comp
Through Balls Attempted,Through Att
Through Ball Pct,Thru Comp Pct
Passes Completed,Pass Comp
Passes Attempted,Pass Att
Pass Completion Pct,Pass Comp PCt
Pct of Pass Att Fwd,
Pct of Pass Att Side,
Pct of Pass Att Back,
Forward Passes Completed,FwPass Comp
Forward Passes Attempted,FwPass Att
Forward Pass Completion Pct,FwPass Comp Pct
Side Passes Completed,SPass Comp
Side Passes Attempted,SPass Att
Side Pass Completion Pct,SPass Comp Pct
Back Passes Completed,BPass Comp
Back Passes Attempted,BPass Att
Back Pass Completion Pct,BPass Comp Pct
Pct of all Pass Attempts that were Under Pressure,Pct Pass Pressd
Passes Completed Under Pressure,PPass Comp
Passes Attempted Under Pressure,PPass Att
Passes Under Pressure Completion Pct,PPass Comp Pct
Pct of All Pass Attempts Under Pressure that went Forwards,rFreq PPass Fwd
Pct of All Pass Attempts Under Pressure that went Sideways,rFreq PPass Side
Pct of All Pass Attempts Under Pressure that went Backwards,rFreq PPass Back
Forward Passes under Pressure Completed,FwPPass Comp
Forward Passes under Pressure Attempted,FwPPass Att
Forward Passes under Pressure Comp Pct,FwPPass Comp Pct
Side Passes under Pressure Completed,SPPass Comp
Side Passes under Pressure Attempted,SPPass Att
Side Passes under Pressure Comp Pct,SPPass Comp Pct
Backward Passes under Pressure Completed,BPPass Comp
Backward Passes under Pressure Attempted,BPPass Att
Backward Passes under Pressure Comp Pct,BPPass Comp Pct
Take Ons Won,Take Ons Won
Take Ons Lost,Take Ons Lost
Take Ons Attempted,Take On Att
Pct of all Take On Attempts that were Won,TK Win Pct
Dispossessed by Opp,Dispossessed
Lost Touches,Lost Touches
Aerial Duels Won,Aerial Duels Won
Aerial Duels Lost,Aerial Duels Lost
Total Aerial Duels,Total Aerial Duels
Aerial Duels Win Pct,AD Win Pct
Tackles,Tackles
Dispossessed the Possessing Player,Dispossesses
Dribbled by a Possessing Player's Take On,Dribbled
Pressured the Possessing Player,Press Opp
Challenged the Possessing Player,Challenge Opp
Recoveries,Recoveries
Interceptions,Interceptions
Blocks,Blocks
Clearances,Clearances
Balls Shielded,Balls Shields
Saves,Saves
Goals Allowed,GA
High Balls Faced,High Balls
High Balls Won,HB Won
High Balls Lost,HB Lost
High Balls Caught,HB Caught
High Balls Punched Away,HB Punched
High Balls Parried,HB Parried
High Balls Collected,HB Collected
High Ball Fouls Won,HB Fouls Won
Crosses Faced,Crosses
Crosses Won,Crosses Won
Crosses Lost,Crosses Lost
Corner Kicks Faced,Corner Kicks
Corner Kicks Won,CKs Won
Corner Kicks Lost,CKs Lost
Free Kicks Faced,Free Kicks
Free Kicks Won,FKs Won
Free Kicks Lost,Fks Lost
Smothers Won,Smothers Won
Smothers Lost,Smothers Lost
