"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Belanger","CAN",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,0.705882352941177,23,33,0.696969696969697,8,12,0.666666666666667,0.363636363636364,0,1,0,1,5,0.2,0,0,0,1,1,1,0,1,0,1,5,0.2,0,0,0,7,15,0.466666666666667,10,11,0.909090909090909,7,8,0.875,6,14,0.428571428571429,10,11,0.909090909090909,7,8,0.875,2,5,0.4,5,5,1,1,2,0.5,0.441176470588235,0.323529411764706,0.235294117647059,0.424242424242424,0.333333333333333,0.242424242424242,0.416666666666667,0.416666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0.4,2,0,5,9,8,1,4,2,2,0.5,2,1,1,0,0,0,2,28,1,1,3,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9787234042553,32.5531914893617,22.0212765957447,31.5957446808511,7.65957446808511,11.4893617021277,0,0.957446808510638,0.957446808510638,4.78723404255319,0,0,0.957446808510638,0.957446808510638,0,0.957446808510638,0.957446808510638,4.78723404255319,0,0,6.70212765957447,14.3617021276596,9.57446808510638,10.531914893617,6.70212765957447,7.65957446808511,5.74468085106383,13.4042553191489,9.57446808510638,10.531914893617,6.70212765957447,7.65957446808511,1.91489361702128,4.78723404255319,4.78723404255319,4.78723404255319,0.957446808510638,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,2.87234042553191,4.78723404255319,1.91489361702128,0,4.78723404255319,8.61702127659574,7.65957446808511,0.957446808510638,3.82978723404255,1.91489361702128,1.91489361702128,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,1.91489361702128,26.8085106382979,0.957446808510638,0.957446808510638,2.87234042553191,1.91489361702128,0,0.957446808510638,2.87234042553191,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,76,0.855263157894737,63,71,0.887323943661972,35,36,0.972222222222222,0.507042253521127,2,4,0.5,1,4,0.25,0,0,0,0,0,0,2,3,0.666666666666667,1,4,0.25,0,0,0,22,30,0.733333333333333,16,19,0.842105263157895,27,27,1,22,29,0.758620689655172,16,17,0.941176470588235,25,25,1,9,10,0.9,9,9,1,17,17,1,0.394736842105263,0.25,0.355263157894737,0.408450704225352,0.23943661971831,0.352112676056338,0.277777777777778,0.25,0.472222222222222,1,3,0.333333333333333,0,0,1,1,1,0,0,0,0,1,6,0,6,1,2,1,3,9,4,5,7,4,3,0.571428571428571,3,0,0,0,0,0,2,19,9,1,4,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.2340425531915,72.7659574468085,60.3191489361702,67.9787234042553,33.5106382978723,34.468085106383,1.91489361702128,3.82978723404255,0.957446808510638,3.82978723404255,0,0,0,0,1.91489361702128,2.87234042553191,0.957446808510638,3.82978723404255,0,0,21.063829787234,28.7234042553191,15.3191489361702,18.1914893617021,25.8510638297872,25.8510638297872,21.063829787234,27.7659574468085,15.3191489361702,16.2765957446809,23.936170212766,23.936170212766,8.61702127659574,9.57446808510638,8.61702127659574,8.61702127659574,16.2765957446809,16.2765957446809,0.957446808510638,2.87234042553191,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,5.74468085106383,0,5.74468085106383,1.91489361702128,0.957446808510638,2.87234042553191,8.61702127659574,3.82978723404255,4.78723404255319,6.70212765957447,3.82978723404255,2.87234042553191,2.87234042553191,0,0,0,0,0,1.91489361702128,18.1914893617021,8.61702127659574,0.957446808510638,3.82978723404255,2.87234042553191,0,0.957446808510638,0.957446808510638,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buchanan","CAN",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,0.785714285714286,21,26,0.807692307692308,10,12,0.833333333333333,0.461538461538462,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,11,17,0.647058823529412,5,5,1,6,6,1,11,16,0.6875,5,5,1,5,5,1,5,7,0.714285714285714,1,1,1,4,4,1,0.607142857142857,0.178571428571429,0.214285714285714,0.615384615384615,0.192307692307692,0.192307692307692,0.583333333333333,0.0833333333333333,0.333333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,4,3,1,6,3,3,0.5,1,2,0,0,0,0,1,5,0,2,2,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.063829787234,26.8085106382979,20.1063829787234,24.8936170212766,9.57446808510638,11.4893617021277,0,0.957446808510638,0,2.87234042553191,0,0,0,0.957446808510638,0,0.957446808510638,0,2.87234042553191,0,0,10.531914893617,16.2765957446809,4.78723404255319,4.78723404255319,5.74468085106383,5.74468085106383,10.531914893617,15.3191489361702,4.78723404255319,4.78723404255319,4.78723404255319,4.78723404255319,4.78723404255319,6.70212765957447,0.957446808510638,0.957446808510638,3.82978723404255,3.82978723404255,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,0.957446808510638,0,0.957446808510638,0.957446808510638,0,0.957446808510638,3.82978723404255,2.87234042553191,0.957446808510638,5.74468085106383,2.87234042553191,2.87234042553191,0.957446808510638,1.91489361702128,0,0,0,0,0.957446808510638,4.78723404255319,0,1.91489361702128,1.91489361702128,5.74468085106383,1.91489361702128,0.957446808510638,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","CAN",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,33,0.666666666666667,17,24,0.708333333333333,8,9,0.888888888888889,0.375,1,4,0.25,1,4,0.25,0,0,0,5,9,0.555555555555556,1,4,0.25,1,4,0.25,0,0,0,13,23,0.565217391304348,5,6,0.833333333333333,4,4,1,9,15,0.6,4,5,0.8,4,4,1,4,5,0.8,2,2,1,2,2,1,0.696969696969697,0.181818181818182,0.121212121212121,0.625,0.208333333333333,0.166666666666667,0.555555555555556,0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,2,0,14,5,9,0.357142857142857,2,1,0,0,0,0,0,12,5,3,6,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.063829787234,31.5957446808511,16.2765957446809,22.9787234042553,7.65957446808511,8.61702127659574,0.957446808510638,3.82978723404255,0.957446808510638,3.82978723404255,0,0,4.78723404255319,8.61702127659574,0.957446808510638,3.82978723404255,0.957446808510638,3.82978723404255,0,0,12.4468085106383,22.0212765957447,4.78723404255319,5.74468085106383,3.82978723404255,3.82978723404255,8.61702127659574,14.3617021276596,3.82978723404255,4.78723404255319,3.82978723404255,3.82978723404255,3.82978723404255,4.78723404255319,1.91489361702128,1.91489361702128,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0,0,0,1.91489361702128,1.91489361702128,0,13.4042553191489,4.78723404255319,8.61702127659574,1.91489361702128,0.957446808510638,0,0,0,0,0,11.4893617021277,4.78723404255319,2.87234042553191,5.74468085106383,0.957446808510638,0,1.91489361702128,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.5,4,8,0.5,1,3,0.333333333333333,0.375,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0.5,2,4,0.5,1,2,0.5,1,2,0.5,2,4,0.5,1,2,0.5,0,1,0,1,2,0.5,0,0,0,0.25,0.5,0.25,0.25,0.5,0.25,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,72,36,72,9,27,0,9,0,9,0,9,0,0,0,9,0,9,0,9,9,18,18,36,9,18,9,18,18,36,9,18,0,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,18,9,9,9,9,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",0,1,94,1,1,0,1,0,0,2,1,1,1,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,36,0.861111111111111,31,36,0.861111111111111,18,21,0.857142857142857,0.583333333333333,0,2,0,0,0,0,3,3,1,0,0,0,0,2,0,0,0,0,3,3,1,13,15,0.866666666666667,11,13,0.846153846153846,7,8,0.875,13,15,0.866666666666667,11,13,0.846153846153846,7,8,0.875,6,7,0.857142857142857,7,8,0.875,5,6,0.833333333333333,0.416666666666667,0.361111111111111,0.222222222222222,0.416666666666667,0.361111111111111,0.222222222222222,0.333333333333333,0.380952380952381,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0.8,2,1,4,4,1,3,8,4,4,0.5,2,0,0,0,0,0,0,7,5,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0,0,1.91489361702128,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,29.6808510638298,34.468085106383,29.6808510638298,34.468085106383,17.2340425531915,20.1063829787234,0,1.91489361702128,0,0,2.87234042553191,2.87234042553191,0,0,0,1.91489361702128,0,0,2.87234042553191,2.87234042553191,12.4468085106383,14.3617021276596,10.531914893617,12.4468085106383,6.70212765957447,7.65957446808511,12.4468085106383,14.3617021276596,10.531914893617,12.4468085106383,6.70212765957447,7.65957446808511,5.74468085106383,6.70212765957447,6.70212765957447,7.65957446808511,4.78723404255319,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,3.82978723404255,0.957446808510638,4.78723404255319,1.91489361702128,0.957446808510638,3.82978723404255,3.82978723404255,0.957446808510638,2.87234042553191,7.65957446808511,3.82978723404255,3.82978723404255,1.91489361702128,0,0,0,0,0,0,6.70212765957447,4.78723404255319,0.957446808510638,2.87234042553191,0.957446808510638,0,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",0,1,84,1,1,0,0,1,0,2,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,48,0.833333333333333,40,47,0.851063829787234,21,24,0.875,0.51063829787234,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,2,0,1,1,1,16,20,0.8,14,17,0.823529411764706,10,11,0.909090909090909,16,20,0.8,14,16,0.875,10,11,0.909090909090909,7,7,1,8,10,0.8,6,7,0.857142857142857,0.416666666666667,0.354166666666667,0.229166666666667,0.425531914893617,0.340425531914894,0.234042553191489,0.291666666666667,0.416666666666667,0.291666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,2,5,10,6,4,18,14,4,0.777777777777778,1,1,0,0,0,0,0,14,1,2,3,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07142857142857,0,0,1.07142857142857,0,2.14285714285714,1.07142857142857,1.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8571428571429,51.4285714285714,42.8571428571429,50.3571428571429,22.5,25.7142857142857,0,0,0,2.14285714285714,1.07142857142857,1.07142857142857,0,0,0,0,0,2.14285714285714,1.07142857142857,1.07142857142857,17.1428571428571,21.4285714285714,15,18.2142857142857,10.7142857142857,11.7857142857143,17.1428571428571,21.4285714285714,15,17.1428571428571,10.7142857142857,11.7857142857143,7.5,7.5,8.57142857142857,10.7142857142857,6.42857142857143,7.5,0,1.07142857142857,0,0,0,0,0,0,0,0,0,1.07142857142857,1.07142857142857,2.14285714285714,2.14285714285714,2.14285714285714,5.35714285714286,10.7142857142857,6.42857142857143,4.28571428571429,19.2857142857143,15,4.28571428571429,1.07142857142857,1.07142857142857,0,0,0,0,0,15,1.07142857142857,2.14285714285714,3.21428571428571,1.07142857142857,0,2.14285714285714,3.21428571428571,2.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnston","USA",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,44,0.886363636363636,39,44,0.886363636363636,13,15,0.866666666666667,0.340909090909091,0,0,0,2,6,0.333333333333333,0,0,0,0,0,0,0,0,0,2,6,0.333333333333333,0,0,0,21,26,0.807692307692308,13,13,1,5,5,1,21,26,0.807692307692308,13,13,1,5,5,1,6,8,0.75,4,4,1,3,3,1,0.590909090909091,0.295454545454545,0.113636363636364,0.590909090909091,0.295454545454545,0.113636363636364,0.533333333333333,0.266666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,1,0,2,2,5,4,1,4,1,3,0.25,2,0,0,0,0,0,1,7,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3404255319149,42.1276595744681,37.3404255319149,42.1276595744681,12.4468085106383,14.3617021276596,0,0,1.91489361702128,5.74468085106383,0,0,0,0,0,0,1.91489361702128,5.74468085106383,0,0,20.1063829787234,24.8936170212766,12.4468085106383,12.4468085106383,4.78723404255319,4.78723404255319,20.1063829787234,24.8936170212766,12.4468085106383,12.4468085106383,4.78723404255319,4.78723404255319,5.74468085106383,7.65957446808511,3.82978723404255,3.82978723404255,2.87234042553191,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,6.70212765957447,0,6.70212765957447,0,1.91489361702128,1.91489361702128,4.78723404255319,3.82978723404255,0.957446808510638,3.82978723404255,0.957446808510638,2.87234042553191,1.91489361702128,0,0,0,0,0,0.957446808510638,6.70212765957447,0.957446808510638,0.957446808510638,0,2.87234042553191,0.957446808510638,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","USA",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,57,0.789473684210526,35,46,0.760869565217391,17,24,0.708333333333333,0.521739130434783,3,3,1,1,4,0.25,0,1,0,10,11,0.909090909090909,3,3,1,1,4,0.25,0,1,0,14,23,0.608695652173913,12,14,0.857142857142857,19,20,0.95,12,21,0.571428571428571,10,11,0.909090909090909,13,14,0.928571428571429,8,14,0.571428571428571,4,4,1,5,6,0.833333333333333,0.403508771929825,0.245614035087719,0.350877192982456,0.456521739130435,0.239130434782609,0.304347826086957,0.583333333333333,0.166666666666667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,1,3,0,3,0,1,1,0,0,0,0,0,10,2,3,5,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0851063829787,54.5744680851064,33.5106382978723,44.0425531914894,16.2765957446809,22.9787234042553,2.87234042553191,2.87234042553191,0.957446808510638,3.82978723404255,0,0.957446808510638,9.57446808510638,10.531914893617,2.87234042553191,2.87234042553191,0.957446808510638,3.82978723404255,0,0.957446808510638,13.4042553191489,22.0212765957447,11.4893617021277,13.4042553191489,18.1914893617021,19.1489361702128,11.4893617021277,20.1063829787234,9.57446808510638,10.531914893617,12.4468085106383,13.4042553191489,7.65957446808511,13.4042553191489,3.82978723404255,3.82978723404255,4.78723404255319,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,4.78723404255319,3.82978723404255,0.957446808510638,2.87234042553191,0,2.87234042553191,0.957446808510638,0.957446808510638,0,0,0,0,0,9.57446808510638,1.91489361702128,2.87234042553191,4.78723404255319,1.91489361702128,0.957446808510638,1.91489361702128,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labbe","CAN",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35,0.514285714285714,12,20,0.6,3,5,0.6,0.25,0,0,0,8,23,0.347826086956522,0,0,0,0,0,0,0,0,0,6,14,0.428571428571429,0,0,0,17,34,0.5,1,1,1,0,0,0,11,19,0.578947368421053,1,1,1,0,0,0,3,5,0.6,1,1,1,0,0,0,0.971428571428571,0.0285714285714286,0,0.95,0.05,0,0.833333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,1,0,6,3,9,0.666666666666667,4,0,0,0,4,2,6,0,0,0,0,0,0,0,0,1,18,35,0.514285714285714,3,3,1,1,3,0.333333333333333,2,9,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2340425531915,33.5106382978723,11.4893617021277,19.1489361702128,2.87234042553191,4.78723404255319,0,0,7.65957446808511,22.0212765957447,0,0,0,0,0,0,5.74468085106383,13.4042553191489,0,0,16.2765957446809,32.5531914893617,0.957446808510638,0.957446808510638,0,0,10.531914893617,18.1914893617021,0.957446808510638,0.957446808510638,0,0,2.87234042553191,4.78723404255319,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82978723404255,3.82978723404255,0,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,1.91489361702128,2.87234042553191,0,0,0.957446808510638,5.74468085106383,2.87234042553191,8.61702127659574,3.82978723404255,0,0,0,3.82978723404255,1.91489361702128,5.74468085106383,0,0,0,0,0,0,0,0,0.957446808510638,17.2340425531915,33.5106382978723,2.87234042553191,2.87234042553191,0.957446808510638,2.87234042553191,1.91489361702128,8.61702127659574
