"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Brian","USA",0,1,94,1,0,0,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,73,0.835616438356164,56,64,0.875,21,26,0.807692307692308,0.40625,1,1,1,1,3,0.333333333333333,3,4,0.75,0,0,0,0,0,0,1,2,0.5,3,4,0.75,25,31,0.806451612903226,18,22,0.818181818181818,18,20,0.9,24,29,0.827586206896552,14,15,0.933333333333333,18,20,0.9,9,11,0.818181818181818,4,5,0.8,8,10,0.8,0.424657534246575,0.301369863013699,0.273972602739726,0.453125,0.234375,0.3125,0.423076923076923,0.192307692307692,0.384615384615385,4,7,0.571428571428571,0,0,1,2,0.5,0,0,0,0,2,0,1,1,0,1,3,5,15,9,6,2,1,1,0.5,0,0,0,0,0,0,1,6,4,2,3,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4042553191489,69.8936170212766,53.6170212765957,61.2765957446808,20.1063829787234,24.8936170212766,0.957446808510638,0.957446808510638,0.957446808510638,2.87234042553191,2.87234042553191,3.82978723404255,0,0,0,0,0.957446808510638,1.91489361702128,2.87234042553191,3.82978723404255,23.936170212766,29.6808510638298,17.2340425531915,21.063829787234,17.2340425531915,19.1489361702128,22.9787234042553,27.7659574468085,13.4042553191489,14.3617021276596,17.2340425531915,19.1489361702128,8.61702127659574,10.531914893617,3.82978723404255,4.78723404255319,7.65957446808511,9.57446808510638,3.82978723404255,6.70212765957447,0,0,0.957446808510638,1.91489361702128,0,0,0,0,1.91489361702128,0,0.957446808510638,0.957446808510638,0.957446808510638,2.87234042553191,4.78723404255319,14.3617021276596,8.61702127659574,5.74468085106383,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0.957446808510638,5.74468085106383,3.82978723404255,1.91489361702128,2.87234042553191,2.87234042553191,0,1.91489361702128,0,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominguez","MEX",0,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0.583333333333333,7,12,0.583333333333333,6,10,0.6,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,1,3,0.333333333333333,5,6,0.833333333333333,1,3,0.333333333333333,1,3,0.333333333333333,5,6,0.833333333333333,1,3,0.333333333333333,1,2,0.5,4,5,0.8,0.25,0.25,0.5,0.25,0.25,0.5,0.3,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,4,6,2,4,3,0,3,0,0,1,0,0,0,0,0,16,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26470588235294,15.8823529411765,9.26470588235294,15.8823529411765,7.94117647058824,13.2352941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32352941176471,3.97058823529412,1.32352941176471,3.97058823529412,6.61764705882353,7.94117647058824,1.32352941176471,3.97058823529412,1.32352941176471,3.97058823529412,6.61764705882353,7.94117647058824,1.32352941176471,3.97058823529412,1.32352941176471,2.64705882352941,5.29411764705882,6.61764705882353,0,0,0,0,0,0,0,0,0,0,0,0,1.32352941176471,1.32352941176471,2.64705882352941,1.32352941176471,5.29411764705882,7.94117647058824,2.64705882352941,5.29411764705882,3.97058823529412,0,3.97058823529412,0,1.32352941176471,0,0,0,0,0,21.1764705882353,7.94117647058824,0,0,1.32352941176471,0,0,2.64705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,45,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0.538461538461538,7,13,0.538461538461538,3,5,0.6,0.384615384615385,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,7,0.428571428571429,2,4,0.5,2,2,1,3,7,0.428571428571429,2,4,0.5,2,2,1,2,3,0.666666666666667,1,2,0.5,0,0,0,0.538461538461538,0.307692307692308,0.153846153846154,0.538461538461538,0.307692307692308,0.153846153846154,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0.857142857142857,2,0,3,4,4,0,2,2,0,1,2,0,0,0,0,0,0,3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,14,26,6,10,0,2,0,0,0,2,0,0,0,2,0,0,0,2,6,14,4,8,4,4,6,14,4,8,4,4,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14,4,0,6,8,8,0,4,4,0,4,0,0,0,0,0,0,6,2,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farias","MEX",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0.631578947368421,11,13,0.846153846153846,4,4,1,0.307692307692308,0,0,0,2,9,0.222222222222222,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,5,12,0.416666666666667,5,5,1,2,2,1,4,6,0.666666666666667,5,5,1,2,2,1,2,2,1,1,1,1,1,1,1,0.631578947368421,0.263157894736842,0.105263157894737,0.461538461538462,0.384615384615385,0.153846153846154,0.5,0.25,0.25,0,0,0,0,0,1,5,0.2,0,0,0,0,5,1,1,2,0.5,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,6,2,2,8,7,1,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4893617021277,18.1914893617021,10.531914893617,12.4468085106383,3.82978723404255,3.82978723404255,0,0,1.91489361702128,8.61702127659574,0,0,0,0,0,0,0.957446808510638,2.87234042553191,0,0,4.78723404255319,11.4893617021277,4.78723404255319,4.78723404255319,1.91489361702128,1.91489361702128,3.82978723404255,5.74468085106383,4.78723404255319,4.78723404255319,1.91489361702128,1.91489361702128,1.91489361702128,1.91489361702128,0.957446808510638,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,4.78723404255319,0,0,0,0,4.78723404255319,0.957446808510638,0.957446808510638,1.91489361702128,0,0,0.957446808510638,0.957446808510638,0,0.957446808510638,0.957446808510638,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0.957446808510638,5.74468085106383,1.91489361702128,1.91489361702128,7.65957446808511,6.70212765957447,0.957446808510638,4.78723404255319,0.957446808510638,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flores","MEX",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0.6875,6,9,0.666666666666667,3,4,0.75,0.444444444444444,0,0,0,0,1,0,0,0,0,5,7,0.714285714285714,0,0,0,0,1,0,0,0,0,6,11,0.545454545454545,0,0,0,5,5,1,3,6,0.5,0,0,0,3,3,1,2,3,0.666666666666667,0,0,0,2,2,1,0.6875,0,0.3125,0.666666666666667,0,0.333333333333333,0.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,3,3,0,4,0,4,0,0,0,0,0,0,0,1,10,1,1,4,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.531914893617,15.3191489361702,5.74468085106383,8.61702127659574,2.87234042553191,3.82978723404255,0,0,0,0.957446808510638,0,0,4.78723404255319,6.70212765957447,0,0,0,0.957446808510638,0,0,5.74468085106383,10.531914893617,0,0,4.78723404255319,4.78723404255319,2.87234042553191,5.74468085106383,0,0,2.87234042553191,2.87234042553191,1.91489361702128,2.87234042553191,0,0,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,1.91489361702128,1.91489361702128,0,3.82978723404255,2.87234042553191,2.87234042553191,0,3.82978723404255,0,3.82978723404255,0,0,0,0,0,0,0.957446808510638,9.57446808510638,0.957446808510638,0.957446808510638,3.82978723404255,4.78723404255319,0.957446808510638,0.957446808510638,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garciamendez","MEX",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0.642857142857143,9,12,0.75,4,4,1,0.333333333333333,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,9,0.444444444444444,2,2,1,3,3,1,4,7,0.571428571428571,2,2,1,3,3,1,1,1,1,1,1,1,2,2,1,0.642857142857143,0.142857142857143,0.214285714285714,0.583333333333333,0.166666666666667,0.25,0.25,0.25,0.5,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,1,0,1,1,4,3,1,6,2,4,0.333333333333333,2,0,0,0,0,0,2,9,4,1,8,7,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61702127659574,13.4042553191489,8.61702127659574,11.4893617021277,3.82978723404255,3.82978723404255,0,0,0,3.82978723404255,0,0,0,0,0,0,0,1.91489361702128,0,0,3.82978723404255,8.61702127659574,1.91489361702128,1.91489361702128,2.87234042553191,2.87234042553191,3.82978723404255,6.70212765957447,1.91489361702128,1.91489361702128,2.87234042553191,2.87234042553191,0.957446808510638,0.957446808510638,0.957446808510638,0.957446808510638,1.91489361702128,1.91489361702128,0,0,0,0,0,1.91489361702128,0,0,0,0,1.91489361702128,0.957446808510638,0,0.957446808510638,0,0.957446808510638,0.957446808510638,3.82978723404255,2.87234042553191,0.957446808510638,5.74468085106383,1.91489361702128,3.82978723404255,1.91489361702128,0,0,0,0,0,1.91489361702128,8.61702127659574,3.82978723404255,0.957446808510638,7.65957446808511,6.70212765957447,0,1.91489361702128,2.87234042553191,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",0,1,94,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,0.90625,28,31,0.903225806451613,14,15,0.933333333333333,0.483870967741935,1,1,1,0,0,0,2,3,0.666666666666667,0,0,0,1,1,1,0,0,0,2,3,0.666666666666667,7,8,0.875,6,7,0.857142857142857,16,17,0.941176470588235,7,8,0.875,6,7,0.857142857142857,15,16,0.9375,1,2,0.5,3,3,1,10,10,1,0.25,0.21875,0.53125,0.258064516129032,0.225806451612903,0.516129032258065,0.133333333333333,0.2,0.666666666666667,0,0,0,0,0,1,1,1,0,0,0,0,1,5,2,7,0.714285714285714,0,2,4,7,3,4,6,1,5,0.166666666666667,2,3,1,0,0,0,2,11,3,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7659574468085,30.6382978723404,26.8085106382979,29.6808510638298,13.4042553191489,14.3617021276596,0.957446808510638,0.957446808510638,0,0,1.91489361702128,2.87234042553191,0,0,0.957446808510638,0.957446808510638,0,0,1.91489361702128,2.87234042553191,6.70212765957447,7.65957446808511,5.74468085106383,6.70212765957447,15.3191489361702,16.2765957446809,6.70212765957447,7.65957446808511,5.74468085106383,6.70212765957447,14.3617021276596,15.3191489361702,0.957446808510638,1.91489361702128,2.87234042553191,2.87234042553191,9.57446808510638,9.57446808510638,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,4.78723404255319,1.91489361702128,6.70212765957447,0,1.91489361702128,3.82978723404255,6.70212765957447,2.87234042553191,3.82978723404255,5.74468085106383,0.957446808510638,4.78723404255319,1.91489361702128,2.87234042553191,0.957446808510638,0,0,0,1.91489361702128,10.531914893617,2.87234042553191,0.957446808510638,0.957446808510638,0,0,0.957446808510638,0.957446808510638,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkle","USA",0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0.714285714285714,5,7,0.714285714285714,1,2,0.5,0.285714285714286,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0.5,0,0,0,3,3,1,2,4,0.5,0,0,0,3,3,1,0,1,0,0,0,0,1,1,1,0.571428571428571,0,0.428571428571429,0.571428571428571,0,0.428571428571429,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9090909090909,57.2727272727273,40.9090909090909,57.2727272727273,8.18181818181818,16.3636363636364,0,0,0,16.3636363636364,0,0,0,0,0,0,0,16.3636363636364,0,0,16.3636363636364,32.7272727272727,0,0,24.5454545454545,24.5454545454545,16.3636363636364,32.7272727272727,0,0,24.5454545454545,24.5454545454545,0,8.18181818181818,0,0,8.18181818181818,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18181818181818,0,8.18181818181818,8.18181818181818,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,8.18181818181818,8.18181818181818,0,8.18181818181818,0,0,0,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",0,1,94,1,0,0,0,2,0,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,60,0.816666666666667,48,59,0.813559322033898,20,26,0.769230769230769,0.440677966101695,2,2,1,4,6,0.666666666666667,0,0,0,0,0,0,2,2,1,4,6,0.666666666666667,0,0,0,24,35,0.685714285714286,10,10,1,15,15,1,24,35,0.685714285714286,9,9,1,15,15,1,7,13,0.538461538461538,5,5,1,8,8,1,0.583333333333333,0.166666666666667,0.25,0.593220338983051,0.152542372881356,0.254237288135593,0.5,0.192307692307692,0.307692307692308,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,3,0.666666666666667,1,4,6,10,4,6,18,9,9,0.5,0,1,0,0,0,0,0,17,4,3,2,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.9148936170213,57.4468085106383,45.9574468085106,56.4893617021277,19.1489361702128,24.8936170212766,1.91489361702128,1.91489361702128,3.82978723404255,5.74468085106383,0,0,0,0,1.91489361702128,1.91489361702128,3.82978723404255,5.74468085106383,0,0,22.9787234042553,33.5106382978723,9.57446808510638,9.57446808510638,14.3617021276596,14.3617021276596,22.9787234042553,33.5106382978723,8.61702127659574,8.61702127659574,14.3617021276596,14.3617021276596,6.70212765957447,12.4468085106383,4.78723404255319,4.78723404255319,7.65957446808511,7.65957446808511,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,1.91489361702128,0.957446808510638,2.87234042553191,0.957446808510638,3.82978723404255,5.74468085106383,9.57446808510638,3.82978723404255,5.74468085106383,17.2340425531915,8.61702127659574,8.61702127659574,0,0.957446808510638,0,0,0,0,0,16.2765957446809,3.82978723404255,2.87234042553191,1.91489361702128,1.91489361702128,0,2.87234042553191,0,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","MEX",0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,1,3,0.333333333333333,0,2,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0,1,0,0,0,0,1,2,0.5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.666666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46153846153846,10.3846153846154,3.46153846153846,10.3846153846154,0,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46153846153846,6.92307692307692,0,3.46153846153846,0,0,3.46153846153846,6.92307692307692,0,3.46153846153846,0,0,0,3.46153846153846,0,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92307692307692,6.92307692307692,0,0,6.92307692307692,6.92307692307692,3.46153846153846,3.46153846153846,0,0,0,0,0,0,0,0,0,0,13.8461538461538,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
