"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"A. Johnson","PUR",0,1,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0.454545454545455,5,11,0.454545454545455,4,8,0.5,0.727272727272727,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0.166666666666667,0,0,0,4,5,0.8,1,6,0.166666666666667,0,0,0,4,5,0.8,1,4,0.25,0,0,0,3,4,0.75,0.545454545454545,0,0.454545454545455,0.545454545454545,0,0.454545454545455,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0.6,0,0,2,5,1,4,5,2,3,0.4,1,2,0,0,0,0,0,10,2,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89473684210526,17.3684210526316,7.89473684210526,17.3684210526316,6.31578947368421,12.6315789473684,0,0,0,1.57894736842105,0,0,0,0,0,0,0,1.57894736842105,0,0,1.57894736842105,9.47368421052632,0,0,6.31578947368421,7.89473684210526,1.57894736842105,9.47368421052632,0,0,6.31578947368421,7.89473684210526,1.57894736842105,6.31578947368421,0,0,4.73684210526316,6.31578947368421,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,3.15789473684211,7.89473684210526,0,0,3.15789473684211,7.89473684210526,1.57894736842105,6.31578947368421,7.89473684210526,3.15789473684211,4.73684210526316,1.57894736842105,3.15789473684211,0,0,0,0,0,15.7894736842105,3.15789473684211,0,1.57894736842105,4.73684210526316,0,0,1.57894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,14,15,0.933333333333333,14,14,1,2,2,1,0.142857142857143,0,0,0,1,2,0.5,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,7,8,0.875,4,4,1,3,3,1,7,7,1,4,4,1,3,3,1,0,1,0,1,1,1,1,1,1,0.533333333333333,0.266666666666667,0.2,0.5,0.285714285714286,0.214285714285714,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,5,5,0,70,75,70,70,10,10,0,0,5,10,5,5,0,0,0,0,5,5,5,5,35,40,20,20,15,15,35,35,20,20,15,15,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,10,5,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrion","PUR",0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.4,2,4,0.5,1,3,0.333333333333333,0.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0.25,1,1,1,0,0,0,1,3,0.333333333333333,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0.8,0.2,0,0.75,0.25,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12.5,5,10,2.5,7.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,2.5,10,2.5,2.5,0,0,2.5,7.5,2.5,2.5,0,0,0,5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5,0,5,5,5,0,5,5,0,5,0,0,0,0,0,0,0,5,2.5,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colon","PUR",0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,4,5,0.8,1,2,0.5,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0.666666666666667,1,1,1,1,1,1,2,3,0.666666666666667,1,1,1,1,1,1,1,2,0.5,0,0,0,0,0,0,0.6,0.2,0.2,0.6,0.2,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,3,2,1,0.666666666666667,0,0,0,0,0,0,0,1,6,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82608695652174,9.78260869565217,7.82608695652174,9.78260869565217,1.95652173913043,3.91304347826087,0,0,0,1.95652173913043,0,0,0,0,0,0,0,1.95652173913043,0,0,3.91304347826087,5.8695652173913,1.95652173913043,1.95652173913043,1.95652173913043,1.95652173913043,3.91304347826087,5.8695652173913,1.95652173913043,1.95652173913043,1.95652173913043,1.95652173913043,1.95652173913043,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,0,1.95652173913043,0,1.95652173913043,1.95652173913043,0,0,0,5.8695652173913,3.91304347826087,1.95652173913043,0,0,0,0,0,0,0,1.95652173913043,11.7391304347826,1.95652173913043,0,3.91304347826087,0,3.91304347826087,0,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,93,1,5,0,0,1,1,7,0.833333333333333,2,5,0.285714285714286,2,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,34,40,0.85,33,39,0.846153846153846,23,26,0.884615384615385,0.666666666666667,1,2,0.5,0,0,0,3,3,1,0,0,0,1,2,0.5,0,0,0,3,3,1,11,16,0.6875,7,8,0.875,16,16,1,11,16,0.6875,7,8,0.875,15,15,1,7,10,0.7,6,6,1,10,10,1,0.4,0.2,0.4,0.41025641025641,0.205128205128205,0.384615384615385,0.384615384615385,0.230769230769231,0.384615384615385,0,0,0,0,0,1,1,1,0,0,0,0,1,9,3,12,0.75,2,3,8,10,6,4,2,1,1,0.5,2,0,0,0,0,0,0,17,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83870967741935,0,0,0.967741935483871,0.967741935483871,6.7741935483871,1.93548387096774,4.83870967741935,1.93548387096774,0,0,0,0,0,1.93548387096774,0.967741935483871,0,0,0,0.967741935483871,0,0,0,32.9032258064516,38.7096774193548,31.9354838709677,37.741935483871,22.258064516129,25.1612903225806,0.967741935483871,1.93548387096774,0,0,2.90322580645161,2.90322580645161,0,0,0.967741935483871,1.93548387096774,0,0,2.90322580645161,2.90322580645161,10.6451612903226,15.4838709677419,6.7741935483871,7.74193548387097,15.4838709677419,15.4838709677419,10.6451612903226,15.4838709677419,6.7741935483871,7.74193548387097,14.5161290322581,14.5161290322581,6.7741935483871,9.67741935483871,5.80645161290323,5.80645161290323,9.67741935483871,9.67741935483871,0,0,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0.967741935483871,8.70967741935484,2.90322580645161,11.6129032258065,1.93548387096774,2.90322580645161,7.74193548387097,9.67741935483871,5.80645161290323,3.87096774193548,1.93548387096774,0.967741935483871,0.967741935483871,1.93548387096774,0,0,0,0,0,0,16.4516129032258,2.90322580645161,0,1.93548387096774,0.967741935483871,0,0,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiol","PUR",0,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,2,2,1,1,1,1,0,0,0,2,2,1,1,1,1,0,0,0,0.666666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0,2,0,2,0,0,0,0,0,0,0,0,20,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.625,5.625,5.625,5.625,5.625,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,3.75,1.875,1.875,0,0,3.75,3.75,1.875,1.875,0,0,3.75,3.75,1.875,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.625,0,5.625,1.875,1.875,0,3.75,0,3.75,0,0,0,0,0,0,0,37.5,0,1.875,1.875,1.875,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Font","PUR",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0.652173913043478,10,14,0.714285714285714,7,7,1,0.5,0,0,0,0,2,0,0,0,0,5,9,0.555555555555556,0,0,0,0,2,0,0,0,0,10,18,0.555555555555556,3,3,1,2,2,1,6,10,0.6,2,2,1,2,2,1,4,4,1,2,2,1,1,1,1,0.782608695652174,0.130434782608696,0.0869565217391304,0.714285714285714,0.142857142857143,0.142857142857143,0.571428571428571,0.285714285714286,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,14,4,2,8,2,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5161290322581,22.258064516129,9.67741935483871,13.5483870967742,6.7741935483871,6.7741935483871,0,0,0,1.93548387096774,0,0,4.83870967741935,8.70967741935484,0,0,0,1.93548387096774,0,0,9.67741935483871,17.4193548387097,2.90322580645161,2.90322580645161,1.93548387096774,1.93548387096774,5.80645161290323,9.67741935483871,1.93548387096774,1.93548387096774,1.93548387096774,1.93548387096774,3.87096774193548,3.87096774193548,1.93548387096774,1.93548387096774,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0.967741935483871,2.90322580645161,1.93548387096774,0.967741935483871,0,0,0,0,0,0,0,0,0,0.967741935483871,13.5483870967742,3.87096774193548,1.93548387096774,7.74193548387097,1.93548387096774,0,0.967741935483871,5.80645161290323,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gustafson","PUR",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,39,0.205128205128205,0,2,0,0,0,0,0,0,0,0,6,30,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,39,0.205128205128205,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,9,16,0.5625,0,3,3,1,2,1,3,0.666666666666667,4,0,0,2,1,1,2,1,0,1,0,0,0,0,2,0,8,39,0.205128205128205,1,1,1,1,7,0.142857142857143,6,29,0.206896551724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74193548387097,37.741935483871,0,1.93548387096774,0,0,0,0,5.80645161290323,29.0322580645161,0,0,0,0,0,0,0,0.967741935483871,0,0,7.74193548387097,37.741935483871,0,0,0,0,0,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0,0,0,0.967741935483871,0,0,0,0,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0,0,0,0,0,0,0,6.7741935483871,8.70967741935484,15.4838709677419,0,2.90322580645161,2.90322580645161,1.93548387096774,0.967741935483871,2.90322580645161,3.87096774193548,0,0,1.93548387096774,0.967741935483871,0.967741935483871,1.93548387096774,0.967741935483871,0,0.967741935483871,0,0,0,0,1.93548387096774,0,7.74193548387097,37.741935483871,0.967741935483871,0.967741935483871,0.967741935483871,6.7741935483871,5.80645161290323,28.0645161290323
"Hinkle","USA",0,1,93,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,57,0.87719298245614,40,47,0.851063829787234,14,16,0.875,0.340425531914894,1,3,0.333333333333333,2,3,0.666666666666667,1,1,1,10,10,1,1,3,0.333333333333333,2,3,0.666666666666667,1,1,1,16,20,0.8,15,18,0.833333333333333,19,19,1,13,17,0.764705882352941,13,16,0.8125,14,14,1,5,6,0.833333333333333,4,5,0.8,5,5,1,0.350877192982456,0.315789473684211,0.333333333333333,0.361702127659574,0.340425531914894,0.297872340425532,0.375,0.3125,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0.75,0,1,2,5,4,1,1,0,1,0,0,2,0,0,0,0,1,3,3,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3870967741935,55.1612903225806,38.7096774193548,45.4838709677419,13.5483870967742,15.4838709677419,0.967741935483871,2.90322580645161,1.93548387096774,2.90322580645161,0.967741935483871,0.967741935483871,9.67741935483871,9.67741935483871,0.967741935483871,2.90322580645161,1.93548387096774,2.90322580645161,0.967741935483871,0.967741935483871,15.4838709677419,19.3548387096774,14.5161290322581,17.4193548387097,18.3870967741935,18.3870967741935,12.5806451612903,16.4516129032258,12.5806451612903,15.4838709677419,13.5483870967742,13.5483870967742,4.83870967741935,5.80645161290323,3.87096774193548,4.83870967741935,4.83870967741935,4.83870967741935,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,0.967741935483871,3.87096774193548,0,0.967741935483871,1.93548387096774,4.83870967741935,3.87096774193548,0.967741935483871,0.967741935483871,0,0.967741935483871,0,1.93548387096774,0,0,0,0,0.967741935483871,2.90322580645161,2.90322580645161,2.90322580645161,1.93548387096774,0.967741935483871,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K. Johnson","PUR",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0.625,10,11,0.909090909090909,4,4,1,0.363636363636364,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0.454545454545455,4,4,1,1,1,1,5,6,0.833333333333333,4,4,1,1,1,1,2,2,1,1,1,1,1,1,1,0.6875,0.25,0.0625,0.545454545454545,0.363636363636364,0.0909090909090909,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,3,2,0,0,0,0,0,0,0,0,0,0,1,11,6,2,10,4,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67741935483871,15.4838709677419,9.67741935483871,10.6451612903226,3.87096774193548,3.87096774193548,0,0,0,4.83870967741935,0,0,0,0,0,0,0,0,0,0,4.83870967741935,10.6451612903226,3.87096774193548,3.87096774193548,0.967741935483871,0.967741935483871,4.83870967741935,5.80645161290323,3.87096774193548,3.87096774193548,0.967741935483871,0.967741935483871,1.93548387096774,1.93548387096774,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0.967741935483871,0,0,0.967741935483871,4.83870967741935,2.90322580645161,1.93548387096774,0,0,0,0,0,0,0,0,0,0.967741935483871,10.6451612903226,5.80645161290323,1.93548387096774,9.67741935483871,3.87096774193548,0.967741935483871,1.93548387096774,3.87096774193548,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
