"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Bowen","NZL",0,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,5,5,1,2,2,1,0.4,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,0,0,0,1,1,1,0.4,0.2,0.4,0.4,0.2,0.4,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,1,0,1,0,0,2,0,0,0,0,1,24,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25806451612903,7.25806451612903,7.25806451612903,7.25806451612903,2.90322580645161,2.90322580645161,1.45161290322581,1.45161290322581,0,0,0,0,0,0,1.45161290322581,1.45161290322581,0,0,0,0,2.90322580645161,2.90322580645161,1.45161290322581,1.45161290322581,2.90322580645161,2.90322580645161,2.90322580645161,2.90322580645161,1.45161290322581,1.45161290322581,2.90322580645161,2.90322580645161,1.45161290322581,1.45161290322581,0,0,1.45161290322581,1.45161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,2.90322580645161,2.90322580645161,2.90322580645161,0,1.45161290322581,0,1.45161290322581,0,2.90322580645161,0,0,0,0,1.45161290322581,34.8387096774194,2.90322580645161,0,2.90322580645161,0,0,0,1.45161290322581,1.45161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",0,1,64,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0.868421052631579,33,38,0.868421052631579,20,23,0.869565217391304,0.605263157894737,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,11,13,0.846153846153846,10,11,0.909090909090909,12,14,0.857142857142857,11,13,0.846153846153846,10,11,0.909090909090909,12,14,0.857142857142857,7,9,0.777777777777778,5,5,1,8,9,0.888888888888889,0.342105263157895,0.289473684210526,0.368421052631579,0.342105263157895,0.289473684210526,0.368421052631579,0.391304347826087,0.217391304347826,0.391304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,2,2,5,4,1,5,5,0,1,1,0,0,0,0,0,1,9,1,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40625,0,1.40625,1.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.40625,53.4375,46.40625,53.4375,28.125,32.34375,0,0,0,0,1.40625,2.8125,0,0,0,0,0,0,1.40625,2.8125,15.46875,18.28125,14.0625,15.46875,16.875,19.6875,15.46875,18.28125,14.0625,15.46875,16.875,19.6875,9.84375,12.65625,7.03125,7.03125,11.25,12.65625,0,0,0,0,0,0,0,0,0,0,0,4.21875,0,4.21875,0,2.8125,2.8125,7.03125,5.625,1.40625,7.03125,7.03125,0,1.40625,0,0,0,0,0,1.40625,12.65625,1.40625,0,1.40625,0,0,2.8125,0,4.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duncan","NZL",0,1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,0.642857142857143,16,22,0.727272727272727,7,8,0.875,0.363636363636364,0,4,0,1,4,0.25,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,16,0.5,5,7,0.714285714285714,5,5,1,7,13,0.538461538461538,4,4,1,5,5,1,2,3,0.666666666666667,3,3,1,2,2,1,0.571428571428571,0.25,0.178571428571429,0.590909090909091,0.181818181818182,0.227272727272727,0.375,0.375,0.25,0,2,0,0,0,2,4,0.5,0,0,0,0,4,0,0,0,0,1,0,1,6,4,2,3,0,3,0,0,1,0,0,0,0,0,18,5,1,2,2,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4782608695652,36.5217391304348,20.8695652173913,28.695652173913,9.1304347826087,10.4347826086957,0,5.21739130434783,1.30434782608696,5.21739130434783,0,0,0,0,0,0,0,3.91304347826087,0,0,10.4347826086957,20.8695652173913,6.52173913043478,9.1304347826087,6.52173913043478,6.52173913043478,9.1304347826087,16.9565217391304,5.21739130434783,5.21739130434783,6.52173913043478,6.52173913043478,2.60869565217391,3.91304347826087,3.91304347826087,3.91304347826087,2.60869565217391,2.60869565217391,0,2.60869565217391,0,0,2.60869565217391,5.21739130434783,0,0,0,0,5.21739130434783,0,0,0,1.30434782608696,0,1.30434782608696,7.82608695652174,5.21739130434783,2.60869565217391,3.91304347826087,0,3.91304347826087,0,1.30434782608696,0,0,0,0,0,23.4782608695652,6.52173913043478,1.30434782608696,2.60869565217391,2.60869565217391,0,6.52173913043478,3.91304347826087,6.52173913043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0.727272727272727,8,11,0.727272727272727,6,7,0.857142857142857,0.636363636363636,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,2,5,0.4,2,2,1,4,4,1,2,5,0.4,2,2,1,4,4,1,2,3,0.666666666666667,1,1,1,3,3,1,0.454545454545455,0.181818181818182,0.363636363636364,0.454545454545455,0.181818181818182,0.363636363636364,0.428571428571429,0.142857142857143,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1,1,2,1,1,3,3,0,1,1,0,0,0,0,0,0,6,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5609756097561,24.1463414634146,17.5609756097561,24.1463414634146,13.1707317073171,15.3658536585366,0,2.19512195121951,0,0,2.19512195121951,2.19512195121951,0,0,0,2.19512195121951,0,0,2.19512195121951,2.19512195121951,4.39024390243902,10.9756097560976,4.39024390243902,4.39024390243902,8.78048780487805,8.78048780487805,4.39024390243902,10.9756097560976,4.39024390243902,4.39024390243902,8.78048780487805,8.78048780487805,4.39024390243902,6.58536585365854,2.19512195121951,2.19512195121951,6.58536585365854,6.58536585365854,0,0,0,0,0,0,0,0,0,0,0,10.9756097560976,0,10.9756097560976,0,2.19512195121951,2.19512195121951,4.39024390243902,2.19512195121951,2.19512195121951,6.58536585365854,6.58536585365854,0,2.19512195121951,0,0,0,0,0,0,13.1707317073171,10.9756097560976,0,6.58536585365854,0,0,0,2.19512195121951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","NZL",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,0.928571428571429,26,28,0.928571428571429,5,5,1,0.178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0.928571428571429,11,12,0.916666666666667,2,2,1,13,14,0.928571428571429,11,12,0.916666666666667,2,2,1,4,4,1,0,0,0,1,1,1,0.5,0.428571428571429,0.0714285714285714,0.5,0.428571428571429,0.0714285714285714,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,1,9,4,5,0.444444444444444,0,0,0,0,0,0,0,8,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1612903225806,27.0967741935484,25.1612903225806,27.0967741935484,4.83870967741935,4.83870967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5806451612903,13.5483870967742,10.6451612903226,11.6129032258065,1.93548387096774,1.93548387096774,12.5806451612903,13.5483870967742,10.6451612903226,11.6129032258065,1.93548387096774,1.93548387096774,3.87096774193548,3.87096774193548,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0.967741935483871,3.87096774193548,2.90322580645161,0.967741935483871,8.70967741935484,3.87096774193548,4.83870967741935,0,0,0,0,0,0,0,7.74193548387097,0,1.93548387096774,1.93548387096774,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gregorius","NZL",0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0.833333333333333,5,6,0.833333333333333,2,2,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0.666666666666667,2,2,1,1,1,1,2,3,0.666666666666667,2,2,1,0,0,0,0,0,0,2,2,1,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,10,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5161290322581,17.4193548387097,14.5161290322581,17.4193548387097,5.80645161290323,5.80645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90322580645161,2.90322580645161,5.80645161290323,8.70967741935484,5.80645161290323,5.80645161290323,2.90322580645161,2.90322580645161,5.80645161290323,8.70967741935484,5.80645161290323,5.80645161290323,0,0,0,0,5.80645161290323,5.80645161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70967741935484,5.80645161290323,2.90322580645161,2.90322580645161,0,2.90322580645161,0,0,0,0,0,0,0,29.0322580645161,5.80645161290323,2.90322580645161,5.80645161290323,0,0,2.90322580645161,0,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hassett","NZL",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0.681818181818182,14,21,0.666666666666667,10,14,0.714285714285714,0.666666666666667,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,4,11,0.363636363636364,6,6,1,5,5,1,3,10,0.3,6,6,1,5,5,1,2,6,0.333333333333333,4,4,1,4,4,1,0.5,0.272727272727273,0.227272727272727,0.476190476190476,0.285714285714286,0.238095238095238,0.428571428571429,0.285714285714286,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0.5,5,2,9,12,5,7,2,0,2,0,1,2,0,0,0,0,0,28,1,1,1,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5161290322581,21.2903225806452,13.5483870967742,20.3225806451613,9.67741935483871,13.5483870967742,0,0,0,0,0,0.967741935483871,0.967741935483871,0.967741935483871,0,0,0,0,0,0.967741935483871,3.87096774193548,10.6451612903226,5.80645161290323,5.80645161290323,4.83870967741935,4.83870967741935,2.90322580645161,9.67741935483871,5.80645161290323,5.80645161290323,4.83870967741935,4.83870967741935,1.93548387096774,5.80645161290323,3.87096774193548,3.87096774193548,3.87096774193548,3.87096774193548,0,0,0,0,0,0,0,0,0,0,0,1.93548387096774,1.93548387096774,3.87096774193548,4.83870967741935,1.93548387096774,8.70967741935484,11.6129032258065,4.83870967741935,6.7741935483871,1.93548387096774,0,1.93548387096774,0.967741935483871,1.93548387096774,0,0,0,0,0,27.0967741935484,0.967741935483871,0.967741935483871,0.967741935483871,0,0,1.93548387096774,4.83870967741935,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hearn","NZL",0,1,93,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0.533333333333333,8,15,0.533333333333333,4,7,0.571428571428571,0.466666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,0.3,0,0,0,5,5,1,3,10,0.3,0,0,0,5,5,1,0,3,0,0,0,0,4,4,1,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0.428571428571429,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,7,3,4,17,3,14,0.176470588235294,0,0,0,0,0,0,0,16,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74193548387097,14.5161290322581,7.74193548387097,14.5161290322581,3.87096774193548,6.7741935483871,0,0.967741935483871,0,0,0,0,0,0,0,0.967741935483871,0,0,0,0,2.90322580645161,9.67741935483871,0,0,4.83870967741935,4.83870967741935,2.90322580645161,9.67741935483871,0,0,4.83870967741935,4.83870967741935,0,2.90322580645161,0,0,3.87096774193548,3.87096774193548,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,2.90322580645161,6.7741935483871,2.90322580645161,3.87096774193548,16.4516129032258,2.90322580645161,13.5483870967742,0,0,0,0,0,0,0,15.4838709677419,0.967741935483871,0,0.967741935483871,0,0,0.967741935483871,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",0,1,93,1,0,0,0,2,1,3,0,2,1,0.666666666666667,0,0,0,0,0,0,0,0,2,3,1,0,2,1,1,0,47,56,0.839285714285714,42,47,0.893617021276596,26,28,0.928571428571429,0.595744680851064,4,10,0.4,0,0,0,0,1,0,1,1,1,2,4,0.5,0,0,0,0,1,0,13,19,0.684210526315789,11,14,0.785714285714286,23,23,1,11,15,0.733333333333333,10,11,0.909090909090909,21,21,1,5,6,0.833333333333333,6,7,0.857142857142857,15,15,1,0.339285714285714,0.25,0.410714285714286,0.319148936170213,0.234042553191489,0.446808510638298,0.214285714285714,0.25,0.535714285714286,3,4,0.75,0,1,1,4,0.25,0,1,0,0,4,5,3,8,0.625,2,0,5,15,10,5,1,1,0,1,4,1,0,0,0,0,0,9,1,0,1,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93548387096774,0.967741935483871,2.90322580645161,1.93548387096774,0.967741935483871,0,0,0,0,0,0,0,1.93548387096774,2.90322580645161,0.967741935483871,0,1.93548387096774,0.967741935483871,0.967741935483871,0,45.4838709677419,54.1935483870968,40.6451612903226,45.4838709677419,25.1612903225806,27.0967741935484,3.87096774193548,9.67741935483871,0,0,0,0.967741935483871,0.967741935483871,0.967741935483871,1.93548387096774,3.87096774193548,0,0,0,0.967741935483871,12.5806451612903,18.3870967741935,10.6451612903226,13.5483870967742,22.258064516129,22.258064516129,10.6451612903226,14.5161290322581,9.67741935483871,10.6451612903226,20.3225806451613,20.3225806451613,4.83870967741935,5.80645161290323,5.80645161290323,6.7741935483871,14.5161290322581,14.5161290322581,2.90322580645161,3.87096774193548,0,0.967741935483871,0.967741935483871,3.87096774193548,0,0.967741935483871,0,0,3.87096774193548,4.83870967741935,2.90322580645161,7.74193548387097,1.93548387096774,0,4.83870967741935,14.5161290322581,9.67741935483871,4.83870967741935,0.967741935483871,0.967741935483871,0,3.87096774193548,0.967741935483871,0,0,0,0,0,8.70967741935484,0.967741935483871,0,0.967741935483871,2.90322580645161,0.967741935483871,1.93548387096774,0,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0.9375,15,16,0.9375,7,7,1,0.4375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0.8,3,3,1,8,8,1,4,5,0.8,3,3,1,8,8,1,4,4,1,0,0,0,3,3,1,0.3125,0.1875,0.5,0.3125,0.1875,0.5,0.571428571428571,0,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,1,0,2,4,3,1,7,5,2,0.714285714285714,0,0,0,0,0,0,0,3,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.551724137931,49.6551724137931,46.551724137931,49.6551724137931,21.7241379310345,21.7241379310345,0,0,0,0,0,3.10344827586207,0,0,0,0,0,0,0,3.10344827586207,12.4137931034483,15.5172413793103,9.31034482758621,9.31034482758621,24.8275862068966,24.8275862068966,12.4137931034483,15.5172413793103,9.31034482758621,9.31034482758621,24.8275862068966,24.8275862068966,12.4137931034483,12.4137931034483,0,0,9.31034482758621,9.31034482758621,0,0,0,0,0,0,0,0,0,0,0,3.10344827586207,3.10344827586207,6.20689655172414,3.10344827586207,0,6.20689655172414,12.4137931034483,9.31034482758621,3.10344827586207,21.7241379310345,15.5172413793103,6.20689655172414,0,0,0,0,0,0,0,9.31034482758621,6.20689655172414,0,0,0,0,6.20689655172414,3.10344827586207,6.20689655172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
