"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"A. Scott","ENG",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,0.636363636363636,19,25,0.76,12,17,0.705882352941177,0.68,0,0,0,0,0,0,1,1,1,9,19,0.473684210526316,0,0,0,0,0,0,1,1,1,19,34,0.558823529411765,3,4,0.75,6,6,1,13,19,0.684210526315789,0,0,0,6,6,1,8,13,0.615384615384615,0,0,0,4,4,1,0.772727272727273,0.0909090909090909,0.136363636363636,0.76,0,0.24,0.764705882352941,0,0.235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,5,3,2,1,1,0.5,0,1,0,0,0,0,0,20,7,2,9,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7142857142857,40.4081632653061,17.4489795918367,22.9591836734694,11.0204081632653,15.6122448979592,0,0,0,0,0.918367346938775,0.918367346938775,8.26530612244898,17.4489795918367,0,0,0,0,0.918367346938775,0.918367346938775,17.4489795918367,31.2244897959184,2.75510204081633,3.6734693877551,5.51020408163265,5.51020408163265,11.9387755102041,17.4489795918367,0,0,5.51020408163265,5.51020408163265,7.3469387755102,11.9387755102041,0,0,3.6734693877551,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0,0.918367346938775,7.3469387755102,4.59183673469388,2.75510204081633,1.83673469387755,0.918367346938775,0.918367346938775,0,0.918367346938775,0,0,0,0,0,18.3673469387755,6.42857142857143,1.83673469387755,8.26530612244898,1.83673469387755,0,0.918367346938775,0,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aluko","ENG",0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.6,3,5,0.6,2,3,0.666666666666667,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0.5,0,1,0,2,2,1,1,2,0.5,0,1,0,2,2,1,0,1,0,0,0,0,2,2,1,0.4,0.2,0.4,0.4,0.2,0.4,0.333333333333333,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8823529411765,26.4705882352941,15.8823529411765,26.4705882352941,10.5882352941176,15.8823529411765,0,5.29411764705882,0,0,0,0,0,0,0,5.29411764705882,0,0,0,0,5.29411764705882,10.5882352941176,0,5.29411764705882,10.5882352941176,10.5882352941176,5.29411764705882,10.5882352941176,0,5.29411764705882,10.5882352941176,10.5882352941176,0,5.29411764705882,0,0,10.5882352941176,10.5882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5882352941176,0,10.5882352941176,10.5882352941176,10.5882352941176,0,0,0,0,0,0,0,0,0,0,0,84.7058823529412,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bardsley","ENG",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0.533333333333333,1,3,0.333333333333333,0,1,0,0.333333333333333,0,0,0,1,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0.533333333333333,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,8,0.125,0,0,0,0,3,0,3,1,7,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,8,15,0.533333333333333,3,3,1,1,2,0.5,3,7,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3469387755102,13.7755102040816,0.918367346938775,2.75510204081633,0,0.918367346938775,0,0,0.918367346938775,4.59183673469388,0,0,0,0,0,0,0,0,0,0,7.3469387755102,13.7755102040816,0,0,0,0,0.918367346938775,2.75510204081633,0,0,0,0,0,0.918367346938775,0,0,0,0,0,0,0,0,1.83673469387755,1.83673469387755,0,0,0,0,1.83673469387755,0,0,0,0,0,0,1.83673469387755,0.918367346938775,0.918367346938775,1.83673469387755,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0,0,0,0,0,6.42857142857143,0.918367346938775,7.3469387755102,0,0,0,2.75510204081633,0,2.75510204081633,6.42857142857143,0,0,0,1.83673469387755,0,1.83673469387755,0,0,0,0.918367346938775,0,0.918367346938775,0,0,0,7.3469387755102,13.7755102040816,2.75510204081633,2.75510204081633,0.918367346938775,1.83673469387755,2.75510204081633,6.42857142857143
"Bassett","ENG",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0.916666666666667,11,12,0.916666666666667,2,3,0.666666666666667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0.875,2,2,1,2,2,1,7,8,0.875,2,2,1,2,2,1,1,2,0.5,0,0,0,1,1,1,0.666666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,0.5,1,1,0,0,0,0,0,6,4,0,6,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6451612903226,11.6129032258065,10.6451612903226,11.6129032258065,1.93548387096774,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7741935483871,7.74193548387097,1.93548387096774,1.93548387096774,1.93548387096774,1.93548387096774,6.7741935483871,7.74193548387097,1.93548387096774,1.93548387096774,1.93548387096774,1.93548387096774,0.967741935483871,1.93548387096774,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0.967741935483871,1.93548387096774,0.967741935483871,0.967741935483871,1.93548387096774,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0,0,0,0,0,5.80645161290323,3.87096774193548,0,5.80645161290323,1.93548387096774,0,1.93548387096774,0,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",0,1,98,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,86,0.883720930232558,76,86,0.883720930232558,51,57,0.894736842105263,0.662790697674419,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2,1,40,49,0.816326530612245,8,9,0.888888888888889,28,28,1,40,49,0.816326530612245,8,9,0.888888888888889,28,28,1,24,29,0.827586206896552,5,6,0.833333333333333,22,22,1,0.569767441860465,0.104651162790698,0.325581395348837,0.569767441860465,0.104651162790698,0.325581395348837,0.508771929824561,0.105263157894737,0.385964912280702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,14,7,7,6,4,2,0.666666666666667,0,0,0,0,0,0,0,35,6,4,6,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.7959183673469,78.9795918367347,69.7959183673469,78.9795918367347,46.8367346938776,52.3469387755102,0,0,0,0,1.83673469387755,1.83673469387755,0,0,0,0,0,0,1.83673469387755,1.83673469387755,36.734693877551,45,7.3469387755102,8.26530612244898,25.7142857142857,25.7142857142857,36.734693877551,45,7.3469387755102,8.26530612244898,25.7142857142857,25.7142857142857,22.0408163265306,26.6326530612245,4.59183673469388,5.51020408163265,20.2040816326531,20.2040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918367346938775,0.918367346938775,1.83673469387755,12.8571428571429,6.42857142857143,6.42857142857143,5.51020408163265,3.6734693877551,1.83673469387755,0,0,0,0,0,0,0,32.1428571428571,5.51020408163265,3.6734693877551,5.51020408163265,1.83673469387755,0,3.6734693877551,0,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carney","ENG",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,0.619047619047619,12,18,0.666666666666667,11,15,0.733333333333333,0.833333333333333,0,4,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,1,1,1,5,10,0.5,1,3,0.333333333333333,7,8,0.875,5,10,0.5,1,2,0.5,6,6,1,5,8,0.625,1,2,0.5,5,5,1,0.476190476190476,0.142857142857143,0.380952380952381,0.555555555555556,0.111111111111111,0.333333333333333,0.533333333333333,0.133333333333333,0.333333333333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,1,3,2,0,2,0,0,0,0,0,0,0,0,48,5,1,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9387755102041,19.2857142857143,11.0204081632653,16.530612244898,10.1020408163265,13.7755102040816,0,3.6734693877551,0,0,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,0,1.83673469387755,0,0,0.918367346938775,0.918367346938775,4.59183673469388,9.18367346938776,0.918367346938775,2.75510204081633,6.42857142857143,7.3469387755102,4.59183673469388,9.18367346938776,0.918367346938775,1.83673469387755,5.51020408163265,5.51020408163265,4.59183673469388,7.3469387755102,0.918367346938775,1.83673469387755,4.59183673469388,4.59183673469388,0,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,0.918367346938775,2.75510204081633,3.6734693877551,0.918367346938775,2.75510204081633,1.83673469387755,0,1.83673469387755,0,0,0,0,0,0,0,44.0816326530612,4.59183673469388,0.918367346938775,3.6734693877551,0.918367346938775,0,0.918367346938775,0,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clarke","ENG",0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,2,3,0.666666666666667,2,3,0.666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,54,36,54,36,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,0,18,18,18,18,18,0,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0.75,6,9,0.666666666666667,5,7,0.714285714285714,0.777777777777778,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,6,9,0.666666666666667,0,0,0,3,3,1,3,6,0.5,0,0,0,3,3,1,2,4,0.5,0,0,0,3,3,1,0.75,0,0.25,0.666666666666667,0,0.333333333333333,0.571428571428571,0,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6470588235294,63.5294117647059,31.7647058823529,47.6470588235294,26.4705882352941,37.0588235294118,0,0,0,0,0,0,15.8823529411765,15.8823529411765,0,0,0,0,0,0,31.7647058823529,47.6470588235294,0,0,15.8823529411765,15.8823529411765,15.8823529411765,31.7647058823529,0,0,15.8823529411765,15.8823529411765,10.5882352941176,21.1764705882353,0,0,15.8823529411765,15.8823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29411764705882,0,5.29411764705882,15.8823529411765,15.8823529411765,0,0,0,0,0,0,0,0,0,0,0,15.8823529411765,5.29411764705882,0,26.4705882352941,0,0,5.29411764705882,5.29411764705882,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",0,1,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,60,0.916666666666667,55,60,0.916666666666667,7,9,0.777777777777778,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,43,0.883720930232558,10,10,1,7,7,1,38,43,0.883720930232558,10,10,1,7,7,1,5,7,0.714285714285714,1,1,1,1,1,1,0.716666666666667,0.166666666666667,0.116666666666667,0.716666666666667,0.166666666666667,0.116666666666667,0.777777777777778,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,1,1,0,1,0,0,0,0,0,0,0,8,2,0,3,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.5102040816327,55.1020408163265,50.5102040816327,55.1020408163265,6.42857142857143,8.26530612244898,0,0.918367346938775,0,0,0,0,0,0,0,0.918367346938775,0,0,0,0,34.8979591836735,39.4897959183673,9.18367346938776,9.18367346938776,6.42857142857143,6.42857142857143,34.8979591836735,39.4897959183673,9.18367346938776,9.18367346938776,6.42857142857143,6.42857142857143,4.59183673469388,6.42857142857143,0.918367346938775,0.918367346938775,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51020408163265,4.59183673469388,0.918367346938775,0.918367346938775,0.918367346938775,0,0,0,0,0,0,0,0,7.3469387755102,1.83673469387755,0,2.75510204081633,4.59183673469388,0,1.83673469387755,0,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenwood","ENG",0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0.583333333333333,5,9,0.555555555555556,3,6,0.5,0.666666666666667,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,4,9,0.444444444444444,0,0,0,3,3,1,3,7,0.428571428571429,0,0,0,2,2,1,1,4,0.25,0,0,0,2,2,1,0.75,0,0.25,0.777777777777778,0,0.222222222222222,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2307692307692,41.5384615384615,17.3076923076923,31.1538461538462,10.3846153846154,20.7692307692308,0,0,0,0,0,0,6.92307692307692,10.3846153846154,0,0,0,0,0,0,13.8461538461538,31.1538461538462,0,0,10.3846153846154,10.3846153846154,10.3846153846154,24.2307692307692,0,0,6.92307692307692,6.92307692307692,3.46153846153846,13.8461538461538,0,0,6.92307692307692,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3846153846154,3.46153846153846,6.92307692307692,0,0,0,0,0,0,0,0,0,0,13.8461538461538,0,0,3.46153846153846,6.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
