"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Arbelaez","COL",0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,1,2,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,1,2,2,1,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.875,16.875,16.875,16.875,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,0,0,5.625,5.625,11.25,11.25,0,0,5.625,5.625,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,5.625,5.625,0,0,0,0,0,0,0,0,0,0,33.75,0,0,5.625,0,0,5.625,0,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arias","COL",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.166666666666667,1,3,0.333333333333333,1,1,1,0.333333333333333,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0.833333333333333,0.166666666666667,0,0.666666666666667,0.333333333333333,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11,2,1,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,5.68421052631579,0.947368421052632,2.84210526315789,0.947368421052632,0.947368421052632,0,0,0,2.84210526315789,0,0,0,0,0,0,0,0.947368421052632,0,0,0,4.73684210526316,0.947368421052632,0.947368421052632,0,0,0,1.89473684210526,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,2.84210526315789,0,0,0,0,2.84210526315789,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0.947368421052632,10.4210526315789,1.89473684210526,0.947368421052632,4.73684210526316,1.89473684210526,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ariza","COL",0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,9,72,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asprilla","COL",0,1,80,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0.625,7,10,0.7,1,2,0.5,0.2,0,0,0,0,2,0,0,0,0,3,6,0.5,0,0,0,0,2,0,0,0,0,7,13,0.538461538461538,2,2,1,1,1,1,5,8,0.625,1,1,1,1,1,1,1,2,0.5,0,0,0,0,0,0,0.8125,0.125,0.0625,0.8,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,6,1,1,0,1,0,1,3,0,0,0,0,4,8,0,2,2,7,0,8,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,0,1.125,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,18,7.875,11.25,1.125,2.25,0,0,0,2.25,0,0,3.375,6.75,0,0,0,2.25,0,0,7.875,14.625,2.25,2.25,1.125,1.125,5.625,9,1.125,1.125,1.125,1.125,1.125,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,1.125,7.875,6.75,1.125,1.125,0,1.125,1.125,3.375,0,0,0,0,4.5,9,0,2.25,2.25,7.875,0,9,6.75,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuesta","COL",0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,2,0,2,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10344827586207,3.10344827586207,3.10344827586207,3.10344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10344827586207,3.10344827586207,0,0,0,0,3.10344827586207,3.10344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10344827586207,3.10344827586207,6.20689655172414,3.10344827586207,3.10344827586207,0,6.20689655172414,0,6.20689655172414,0,3.10344827586207,0,0,0,0,0,34.1379310344828,3.10344827586207,0,0,0,0,0,3.10344827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,95,1,1,0,1,1,0,3,0.666666666666667,1,2,0.333333333333333,0,1,0,0,0,0,1,0,2,1,1,0,2,1,1,0,38,46,0.826086956521739,37,45,0.822222222222222,25,28,0.892857142857143,0.622222222222222,4,5,0.8,0,0,0,1,2,0.5,0,0,0,4,5,0.8,0,0,0,1,2,0.5,10,12,0.833333333333333,15,21,0.714285714285714,13,13,1,9,11,0.818181818181818,15,21,0.714285714285714,13,13,1,6,7,0.857142857142857,9,11,0.818181818181818,10,10,1,0.260869565217391,0.456521739130435,0.282608695652174,0.244444444444444,0.466666666666667,0.288888888888889,0.25,0.392857142857143,0.357142857142857,0,0,0,0,0,1,1,1,0,0,0,0,1,5,3,8,0.625,7,3,13,7,5,2,6,1,5,0.166666666666667,2,0,0,0,0,0,2,24,4,0,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,2.84210526315789,0.947368421052632,1.89473684210526,0,0.947368421052632,0,0,0,0,0.947368421052632,1.89473684210526,0.947368421052632,0.947368421052632,0,1.89473684210526,0.947368421052632,0.947368421052632,0,36,43.5789473684211,35.0526315789474,42.6315789473684,23.6842105263158,26.5263157894737,3.78947368421053,4.73684210526316,0,0,0.947368421052632,1.89473684210526,0,0,3.78947368421053,4.73684210526316,0,0,0.947368421052632,1.89473684210526,9.47368421052632,11.3684210526316,14.2105263157895,19.8947368421053,12.3157894736842,12.3157894736842,8.52631578947368,10.4210526315789,14.2105263157895,19.8947368421053,12.3157894736842,12.3157894736842,5.68421052631579,6.63157894736842,8.52631578947368,10.4210526315789,9.47368421052632,9.47368421052632,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,4.73684210526316,2.84210526315789,7.57894736842105,6.63157894736842,2.84210526315789,12.3157894736842,6.63157894736842,4.73684210526316,1.89473684210526,5.68421052631579,0.947368421052632,4.73684210526316,1.89473684210526,0,0,0,0,0,1.89473684210526,22.7368421052632,3.78947368421053,0,2.84210526315789,0,0,0.947368421052632,0.947368421052632,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echeverri","COL",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0.714285714285714,10,14,0.714285714285714,8,9,0.888888888888889,0.642857142857143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,11,0.636363636363636,2,2,1,1,1,1,7,11,0.636363636363636,2,2,1,1,1,1,6,7,0.857142857142857,1,1,1,1,1,1,0.785714285714286,0.142857142857143,0.0714285714285714,0.785714285714286,0.142857142857143,0.0714285714285714,0.777777777777778,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,5,1,4,0.2,1,3,0,0,0,0,2,24,4,3,5,3,0,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78260869565217,13.695652173913,9.78260869565217,13.695652173913,7.82608695652174,8.80434782608696,0,0,0,0.978260869565217,0,0,0,0,0,0,0,0.978260869565217,0,0,6.84782608695652,10.7608695652174,1.95652173913043,1.95652173913043,0.978260869565217,0.978260869565217,6.84782608695652,10.7608695652174,1.95652173913043,1.95652173913043,0.978260869565217,0.978260869565217,5.8695652173913,6.84782608695652,0.978260869565217,0.978260869565217,0.978260869565217,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8695652173913,3.91304347826087,1.95652173913043,4.89130434782609,0.978260869565217,3.91304347826087,0.978260869565217,2.93478260869565,0,0,0,0,1.95652173913043,23.4782608695652,3.91304347826087,2.93478260869565,4.89130434782609,2.93478260869565,0,0.978260869565217,8.80434782608696,2.93478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0.92,23,25,0.92,7,9,0.777777777777778,0.36,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,13,14,0.928571428571429,7,8,0.875,3,3,1,13,14,0.928571428571429,7,8,0.875,3,3,1,4,5,0.8,1,2,0.5,2,2,1,0.56,0.32,0.12,0.56,0.32,0.12,0.555555555555556,0.222222222222222,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6666666666667,83.3333333333333,76.6666666666667,83.3333333333333,23.3333333333333,30,0,0,6.66666666666667,6.66666666666667,0,0,0,0,0,0,6.66666666666667,6.66666666666667,0,0,43.3333333333333,46.6666666666667,23.3333333333333,26.6666666666667,10,10,43.3333333333333,46.6666666666667,23.3333333333333,26.6666666666667,10,10,13.3333333333333,16.6666666666667,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,0,3.33333333333333,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,3.33333333333333,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaitan","COL",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0.222222222222222,2,9,0.222222222222222,2,9,0.222222222222222,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,8,0.125,1,1,1,0,0,0,1,8,0.125,1,1,1,0,0,0,1,8,0.125,1,1,1,0,0,0,0.888888888888889,0.111111111111111,0,0.888888888888889,0.111111111111111,0,0.888888888888889,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,1,4,2,2,0.5,0,0,0,0,0,0,2,22,10,1,11,6,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,8.52631578947368,1.89473684210526,8.52631578947368,1.89473684210526,8.52631578947368,0,0.947368421052632,0,3.78947368421053,0,0,0,0,0,0.947368421052632,0,3.78947368421053,0,0,0.947368421052632,7.57894736842105,0.947368421052632,0.947368421052632,0,0,0.947368421052632,7.57894736842105,0.947368421052632,0.947368421052632,0,0,0.947368421052632,7.57894736842105,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0.947368421052632,2.84210526315789,1.89473684210526,0.947368421052632,3.78947368421053,1.89473684210526,1.89473684210526,0,0,0,0,0,0,1.89473684210526,20.8421052631579,9.47368421052632,0.947368421052632,10.4210526315789,5.68421052631579,0.947368421052632,0,2.84210526315789,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","USA",0,1,95,1,1,0,0,0,2,3,1,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,45,52,0.865384615384615,35,41,0.853658536585366,17,22,0.772727272727273,0.536585365853659,2,5,0.4,1,1,1,2,2,1,5,5,1,2,5,0.4,0,0,0,2,2,1,16,17,0.941176470588235,14,19,0.736842105263158,15,16,0.9375,14,15,0.933333333333333,8,12,0.666666666666667,13,14,0.928571428571429,7,8,0.875,4,7,0.571428571428571,6,7,0.857142857142857,0.326923076923077,0.365384615384615,0.307692307692308,0.365853658536585,0.292682926829268,0.341463414634146,0.363636363636364,0.318181818181818,0.318181818181818,3,4,0.75,0,0,2,2,1,0,0,0,0,2,13,6,19,0.684210526315789,3,2,11,12,5,7,2,2,0,1,4,2,0,0,0,0,0,5,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,1.89473684210526,2.84210526315789,0,2.84210526315789,0.947368421052632,0,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,42.6315789473684,49.2631578947368,33.1578947368421,38.8421052631579,16.1052631578947,20.8421052631579,1.89473684210526,4.73684210526316,0.947368421052632,0.947368421052632,1.89473684210526,1.89473684210526,4.73684210526316,4.73684210526316,1.89473684210526,4.73684210526316,0,0,1.89473684210526,1.89473684210526,15.1578947368421,16.1052631578947,13.2631578947368,18,14.2105263157895,15.1578947368421,13.2631578947368,14.2105263157895,7.57894736842105,11.3684210526316,12.3157894736842,13.2631578947368,6.63157894736842,7.57894736842105,3.78947368421053,6.63157894736842,5.68421052631579,6.63157894736842,2.84210526315789,3.78947368421053,0,0,1.89473684210526,1.89473684210526,0,0,0,0,1.89473684210526,12.3157894736842,5.68421052631579,18,2.84210526315789,1.89473684210526,10.4210526315789,11.3684210526316,4.73684210526316,6.63157894736842,1.89473684210526,1.89473684210526,0,3.78947368421053,1.89473684210526,0,0,0,0,0,4.73684210526316,0,0,0.947368421052632,0,0,1.89473684210526,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
