"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Alvarado","CRC",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,0.769230769230769,36,45,0.8,9,14,0.642857142857143,0.311111111111111,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,11,23,0.478260869565217,20,20,1,9,9,1,11,20,0.55,18,18,1,7,7,1,3,8,0.375,1,1,1,5,5,1,0.442307692307692,0.384615384615385,0.173076923076923,0.444444444444444,0.4,0.155555555555556,0.571428571428571,0.0714285714285714,0.357142857142857,0,0,0,0,0,4,7,0.571428571428571,0,0,0,0,7,1,0,1,1,2,3,5,8,7,1,1,0,1,0,3,3,0,0,0,0,0,23,7,3,3,4,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3636363636364,47.2727272727273,32.7272727272727,40.9090909090909,8.18181818181818,12.7272727272727,0,0.909090909090909,0,3.63636363636364,0,0.909090909090909,0,0,0,0.909090909090909,0,3.63636363636364,0,0.909090909090909,10,20.9090909090909,18.1818181818182,18.1818181818182,8.18181818181818,8.18181818181818,10,18.1818181818182,16.3636363636364,16.3636363636364,6.36363636363636,6.36363636363636,2.72727272727273,7.27272727272727,0.909090909090909,0.909090909090909,4.54545454545454,4.54545454545454,0,0,0,0,3.63636363636364,6.36363636363636,0,0,0,0,6.36363636363636,0.909090909090909,0,0.909090909090909,1.81818181818182,2.72727272727273,4.54545454545454,7.27272727272727,6.36363636363636,0.909090909090909,0.909090909090909,0,0.909090909090909,2.72727272727273,2.72727272727273,0,0,0,0,0,20.9090909090909,6.36363636363636,2.72727272727273,2.72727272727273,3.63636363636364,0,2.72727272727273,1.81818181818182,2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angulo","CRC",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,45,45,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barrantes","CRC",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0.5,5,10,0.5,3,6,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0.428571428571429,0,1,0,2,2,1,3,7,0.428571428571429,0,1,0,2,2,1,2,4,0.5,0,1,0,1,1,1,0.7,0.1,0.2,0.7,0.1,0.2,0.666666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,1,1,0,1,0,0,0,0,0,0,0,41,1,2,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54545454545454,9.09090909090909,4.54545454545454,9.09090909090909,2.72727272727273,5.45454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72727272727273,6.36363636363636,0,0.909090909090909,1.81818181818182,1.81818181818182,2.72727272727273,6.36363636363636,0,0.909090909090909,1.81818181818182,1.81818181818182,1.81818181818182,3.63636363636364,0,0.909090909090909,0.909090909090909,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909090909,0,0.909090909090909,2.72727272727273,2.72727272727273,0,0.909090909090909,0.909090909090909,0,0,0,0,0,0,0,0,37.2727272727273,0.909090909090909,1.81818181818182,2.72727272727273,1.81818181818182,0,0.909090909090909,0.909090909090909,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benavides","CRC",0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,45,0.711111111111111,32,45,0.711111111111111,9,16,0.5625,0.355555555555556,0,0,0,3,10,0.3,0,1,0,0,0,0,0,0,0,3,10,0.3,0,1,0,8,21,0.380952380952381,19,19,1,5,5,1,8,21,0.380952380952381,19,19,1,5,5,1,3,10,0.3,3,3,1,3,3,1,0.466666666666667,0.422222222222222,0.111111111111111,0.466666666666667,0.422222222222222,0.111111111111111,0.625,0.1875,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,1,2,0.333333333333333,1,1,0,0,0,0,0,17,5,1,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0909090909091,40.9090909090909,29.0909090909091,40.9090909090909,8.18181818181818,14.5454545454545,0,0,2.72727272727273,9.09090909090909,0,0.909090909090909,0,0,0,0,2.72727272727273,9.09090909090909,0,0.909090909090909,7.27272727272727,19.0909090909091,17.2727272727273,17.2727272727273,4.54545454545454,4.54545454545454,7.27272727272727,19.0909090909091,17.2727272727273,17.2727272727273,4.54545454545454,4.54545454545454,2.72727272727273,9.09090909090909,2.72727272727273,2.72727272727273,2.72727272727273,2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45454545454546,5.45454545454546,0,2.72727272727273,0.909090909090909,1.81818181818182,0.909090909090909,0.909090909090909,0,0,0,0,0,15.4545454545455,4.54545454545454,0.909090909090909,7.27272727272727,1.81818181818182,0,0,1.81818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bermudez","CRC",0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,0.739130434782609,11,12,0.916666666666667,1,2,0.5,0.166666666666667,0,0,0,3,7,0.428571428571429,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,6,12,0.5,11,11,1,0,0,0,4,5,0.8,7,7,1,0,0,0,1,2,0.5,0,0,0,0,0,0,0.521739130434783,0.478260869565217,0,0.416666666666667,0.583333333333333,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.333333333333333,0,1,1,1,3,0,3,1,4,0,0,1,3,0,3,2,0,2,0,0,0,0,1,0,17,23,0.739130434782609,3,3,1,0,2,0,3,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.2244897959184,42.2448979591837,20.2040816326531,22.0408163265306,1.83673469387755,3.6734693877551,0,0,5.51020408163265,12.8571428571429,0,0,0,0,0,0,1.83673469387755,3.6734693877551,0,0,11.0204081632653,22.0408163265306,20.2040816326531,20.2040816326531,0,0,7.3469387755102,9.18367346938776,12.8571428571429,12.8571428571429,0,0,1.83673469387755,3.6734693877551,0,0,0,0,0,0,0,0,0,3.6734693877551,0,0,0,0,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6734693877551,1.83673469387755,5.51020408163265,0,1.83673469387755,1.83673469387755,5.51020408163265,0,5.51020408163265,7.3469387755102,0,0,1.83673469387755,5.51020408163265,0,5.51020408163265,3.6734693877551,0,3.6734693877551,0,0,0,0,1.83673469387755,0,31.2244897959184,42.2448979591837,5.51020408163265,5.51020408163265,0,3.6734693877551,5.51020408163265,11.0204081632653
"Brian","USA",0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0.733333333333333,11,15,0.733333333333333,8,10,0.8,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0.5,2,3,0.666666666666667,6,6,1,3,6,0.5,2,3,0.666666666666667,6,6,1,2,4,0.5,1,1,1,5,5,1,0.4,0.2,0.4,0.4,0.2,0.4,0.4,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2352941176471,79.4117647058823,58.2352941176471,79.4117647058823,42.3529411764706,52.9411764705882,0,0,0,0,0,5.29411764705882,0,0,0,0,0,0,0,5.29411764705882,15.8823529411765,31.7647058823529,10.5882352941176,15.8823529411765,31.7647058823529,31.7647058823529,15.8823529411765,31.7647058823529,10.5882352941176,15.8823529411765,31.7647058823529,31.7647058823529,10.5882352941176,21.1764705882353,5.29411764705882,5.29411764705882,26.4705882352941,26.4705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5882352941176,0,10.5882352941176,0,0,0,0,0,0,0,0,0,0,37.0588235294118,5.29411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cruz","CRC",0,1,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,0.925925925925926,25,27,0.925925925925926,14,16,0.875,0.592592592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.857142857142857,4,5,0.8,15,15,1,6,7,0.857142857142857,4,5,0.8,15,15,1,3,4,0.75,1,2,0.5,10,10,1,0.259259259259259,0.185185185185185,0.555555555555556,0.259259259259259,0.185185185185185,0.555555555555556,0.25,0.125,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,2,5,8,4,4,2,0,2,0,1,0,0,0,0,0,0,22,3,1,1,2,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4705882352941,28.5882352941176,26.4705882352941,28.5882352941176,14.8235294117647,16.9411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35294117647059,7.41176470588235,4.23529411764706,5.29411764705882,15.8823529411765,15.8823529411765,6.35294117647059,7.41176470588235,4.23529411764706,5.29411764705882,15.8823529411765,15.8823529411765,3.17647058823529,4.23529411764706,1.05882352941176,2.11764705882353,10.5882352941176,10.5882352941176,0,0,0,0,0,0,0,0,0,0,0,2.11764705882353,0,2.11764705882353,3.17647058823529,2.11764705882353,5.29411764705882,8.47058823529412,4.23529411764706,4.23529411764706,2.11764705882353,0,2.11764705882353,1.05882352941176,0,0,0,0,0,0,23.2941176470588,3.17647058823529,1.05882352941176,1.05882352941176,2.11764705882353,0,3.17647058823529,1.05882352941176,3.17647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaz","CRC",0,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0.80952380952381,15,18,0.833333333333333,3,4,0.75,0.222222222222222,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,19,0.789473684210526,1,1,1,1,1,1,13,16,0.8125,1,1,1,1,1,1,2,3,0.666666666666667,0,0,0,1,1,1,0.904761904761905,0.0476190476190476,0.0476190476190476,0.888888888888889,0.0555555555555556,0.0555555555555556,0.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,0.75,0,1,1,1,1,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,17,21,0.80952380952381,1,2,0.5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,37.8,27,32.4,5.4,7.2,0,0,0,3.6,0,0,0,0,0,0,0,3.6,0,0,27,34.2,1.8,1.8,1.8,1.8,23.4,28.8,1.8,1.8,1.8,1.8,3.6,5.4,0,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,1.8,5.4,7.2,0,1.8,1.8,1.8,0,1.8,3.6,0,0,0,1.8,0,1.8,0,0,0,0,0,0,0,0,1.8,30.6,37.8,1.8,3.6,0,0,1.8,1.8
"Dunn","USA",0,1,99,1,1,0,0,1,0,2,0.5,1,1,0.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,27,34,0.794117647058823,27,34,0.794117647058823,22,25,0.88,0.735294117647059,1,3,0.333333333333333,0,0,0,1,1,1,0,0,0,1,3,0.333333333333333,0,0,0,1,1,1,7,11,0.636363636363636,4,7,0.571428571428571,16,16,1,7,11,0.636363636363636,4,7,0.571428571428571,16,16,1,7,8,0.875,3,5,0.6,12,12,1,0.323529411764706,0.205882352941176,0.470588235294118,0.323529411764706,0.205882352941176,0.470588235294118,0.32,0.2,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0.8,2,0,3,11,7,4,0,0,0,0,0,0,0,0,0,0,0,20,4,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909090909,0,0,0.909090909090909,0,1.81818181818182,0.909090909090909,0.909090909090909,0.909090909090909,0,0,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0,24.5454545454545,30.9090909090909,24.5454545454545,30.9090909090909,20,22.7272727272727,0.909090909090909,2.72727272727273,0,0,0.909090909090909,0.909090909090909,0,0,0.909090909090909,2.72727272727273,0,0,0.909090909090909,0.909090909090909,6.36363636363636,10,3.63636363636364,6.36363636363636,14.5454545454545,14.5454545454545,6.36363636363636,10,3.63636363636364,6.36363636363636,14.5454545454545,14.5454545454545,6.36363636363636,7.27272727272727,2.72727272727273,4.54545454545454,10.9090909090909,10.9090909090909,0,0,0,0,0,0,0,0,0,0,0,3.63636363636364,0.909090909090909,4.54545454545454,1.81818181818182,0,2.72727272727273,10,6.36363636363636,3.63636363636364,0,0,0,0,0,0,0,0,0,0,18.1818181818182,3.63636363636364,0,0.909090909090909,0,0,1.81818181818182,0,1.81818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,0.952380952380952,19,19,1,12,12,1,0.631578947368421,0,0,0,1,2,0.5,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,8,9,0.888888888888889,12,12,1,0,0,0,8,8,1,11,11,1,0,0,0,5,5,1,7,7,1,0,0,0,0.428571428571429,0.571428571428571,0,0.421052631578947,0.578947368421053,0,0.416666666666667,0.583333333333333,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.734693877551,38.5714285714286,34.8979591836735,34.8979591836735,22.0408163265306,22.0408163265306,0,0,1.83673469387755,3.6734693877551,1.83673469387755,1.83673469387755,0,0,0,0,1.83673469387755,1.83673469387755,1.83673469387755,1.83673469387755,14.6938775510204,16.530612244898,22.0408163265306,22.0408163265306,0,0,14.6938775510204,14.6938775510204,20.2040816326531,20.2040816326531,0,0,9.18367346938776,9.18367346938776,12.8571428571429,12.8571428571429,0,0,0,0,0,0,1.83673469387755,3.6734693877551,0,0,0,0,3.6734693877551,0,0,0,0,0,0,9.18367346938776,5.51020408163265,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,0,0,0,0,0,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
