"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Byrne","IRL",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,0.466666666666667,6,7,0.857142857142857,1,1,1,0.142857142857143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,0.466666666666667,0,0,0,0,0,0,6,7,0.857142857142857,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,0.555555555555556,0,5,5,1,2,2,4,0.5,2,0,0,3,1,1,2,0,1,1,0,0,0,1,1,0,14,30,0.466666666666667,1,2,0.5,0,5,0,7,16,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4042553191489,28.7234042553191,5.74468085106383,6.70212765957447,0.957446808510638,0.957446808510638,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,13.4042553191489,28.7234042553191,0,0,0,0,5.74468085106383,6.70212765957447,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82978723404255,4.78723404255319,8.61702127659574,0,4.78723404255319,4.78723404255319,1.91489361702128,1.91489361702128,3.82978723404255,1.91489361702128,0,0,2.87234042553191,0.957446808510638,0.957446808510638,1.91489361702128,0,0.957446808510638,0.957446808510638,0,0,0,0.957446808510638,0.957446808510638,0,13.4042553191489,28.7234042553191,0.957446808510638,1.91489361702128,0,4.78723404255319,6.70212765957447,15.3191489361702
"Caldwell","IRL",0,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0.714285714285714,5,7,0.714285714285714,2,3,0.666666666666667,0.428571428571429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,0.8,1,1,1,0,1,0,4,5,0.8,1,1,1,0,1,0,2,2,1,0,0,0,0,1,0,0.714285714285714,0.142857142857143,0.142857142857143,0.714285714285714,0.142857142857143,0.142857142857143,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,5,5,1,2,1,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78260869565217,13.695652173913,9.78260869565217,13.695652173913,3.91304347826087,5.8695652173913,0,0,0,1.95652173913043,0,0,0,0,0,0,0,1.95652173913043,0,0,7.82608695652174,9.78260869565217,1.95652173913043,1.95652173913043,0,1.95652173913043,7.82608695652174,9.78260869565217,1.95652173913043,1.95652173913043,0,1.95652173913043,3.91304347826087,3.91304347826087,0,0,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,0,1.95652173913043,3.91304347826087,3.91304347826087,0,1.95652173913043,1.95652173913043,0,0,0,0,0,0,0,0,9.78260869565217,9.78260869565217,1.95652173913043,3.91304347826087,1.95652173913043,0,5.8695652173913,1.95652173913043,5.8695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campbell","IRL",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,0.526315789473684,16,25,0.64,7,10,0.7,0.4,0,0,0,1,4,0.25,0,0,0,2,9,0.222222222222222,0,0,0,1,2,0.5,0,0,0,12,30,0.4,0,0,0,8,8,1,10,19,0.526315789473684,0,0,0,6,6,1,5,8,0.625,0,0,0,2,2,1,0.789473684210526,0,0.210526315789474,0.76,0,0.24,0.8,0,0.2,0,0,0,0,0,2,2,1,0,0,0,0,2,0,1,1,0,0,1,2,6,5,1,6,3,3,0.5,0,0,0,0,0,0,0,12,9,3,6,7,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1489361702128,36.3829787234042,15.3191489361702,23.936170212766,6.70212765957447,9.57446808510638,0,0,0.957446808510638,3.82978723404255,0,0,1.91489361702128,8.61702127659574,0,0,0.957446808510638,1.91489361702128,0,0,11.4893617021277,28.7234042553191,0,0,7.65957446808511,7.65957446808511,9.57446808510638,18.1914893617021,0,0,5.74468085106383,5.74468085106383,4.78723404255319,7.65957446808511,0,0,1.91489361702128,1.91489361702128,0,0,0,0,1.91489361702128,1.91489361702128,0,0,0,0,1.91489361702128,0,0.957446808510638,0.957446808510638,0,0.957446808510638,1.91489361702128,5.74468085106383,4.78723404255319,0.957446808510638,5.74468085106383,2.87234042553191,2.87234042553191,0,0,0,0,0,0,0,11.4893617021277,8.61702127659574,2.87234042553191,5.74468085106383,6.70212765957447,0,3.82978723404255,3.82978723404255,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connolly","IRL",0,1,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,2,5,0.4,0,3,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,1,2,0.5,1,1,1,1,3,0.333333333333333,0,1,0,1,1,1,0,2,0,0,1,0,0,0,0,0.5,0.333333333333333,0.166666666666667,0.6,0.2,0.2,0.666666666666667,0.333333333333333,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,2,1,2,1,1,0.5,0,1,0,0,0,0,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09090909090909,8.18181818181818,2.72727272727273,6.81818181818182,0,4.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36363636363636,4.09090909090909,1.36363636363636,2.72727272727273,1.36363636363636,1.36363636363636,1.36363636363636,4.09090909090909,0,1.36363636363636,1.36363636363636,1.36363636363636,0,2.72727272727273,0,1.36363636363636,0,0,1.36363636363636,1.36363636363636,0,0,0,0,0,0,0,0,0,0,1.36363636363636,1.36363636363636,0,1.36363636363636,2.72727272727273,4.09090909090909,2.72727272727273,1.36363636363636,2.72727272727273,1.36363636363636,1.36363636363636,0,1.36363636363636,0,0,0,0,0,6.81818181818182,0,0,0,1.36363636363636,0,1.36363636363636,0,1.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D. O'Sullivan","IRL",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,0.8,20,25,0.8,12,15,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.5,5,6,0.833333333333333,11,11,1,4,8,0.5,5,6,0.833333333333333,11,11,1,2,4,0.5,4,5,0.8,6,6,1,0.32,0.24,0.44,0.32,0.24,0.44,0.266666666666667,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,8,7,1,3,0,3,0,1,1,0,0,0,0,0,46,17,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1489361702128,23.936170212766,19.1489361702128,23.936170212766,11.4893617021277,14.3617021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82978723404255,7.65957446808511,4.78723404255319,5.74468085106383,10.531914893617,10.531914893617,3.82978723404255,7.65957446808511,4.78723404255319,5.74468085106383,10.531914893617,10.531914893617,1.91489361702128,3.82978723404255,3.82978723404255,4.78723404255319,5.74468085106383,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0.957446808510638,0,1.91489361702128,7.65957446808511,6.70212765957447,0.957446808510638,2.87234042553191,0,2.87234042553191,0.957446808510638,0.957446808510638,0,0,0,0,0,44.0425531914894,16.2765957446809,0.957446808510638,0.957446808510638,0,0,1.91489361702128,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"De Burca","IRL",0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18181818181818,8.18181818181818,8.18181818181818,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18181818181818,8.18181818181818,0,0,0,0,8.18181818181818,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09090909090909,0,4.09090909090909,4.09090909090909,4.09090909090909,0,0,0,0,0,0,0,4.09090909090909,4.09090909090909,8.18181818181818,0,4.09090909090909,0,0,0,4.09090909090909,4.09090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duggan","IRL",0,1,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0.8125,13,16,0.8125,4,5,0.8,0.3125,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6,8,0.75,3,4,0.75,4,4,1,6,8,0.75,3,4,0.75,4,4,1,3,4,0.75,0,0,0,1,1,1,0.5,0.25,0.25,0.5,0.25,0.25,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,5,3,2,3,0,3,0,1,1,0,0,0,0,0,16,8,2,4,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.027397260274,19.7260273972603,16.027397260274,19.7260273972603,4.93150684931507,6.16438356164384,0,0,1.23287671232877,1.23287671232877,0,0,0,0,0,0,1.23287671232877,1.23287671232877,0,0,7.3972602739726,9.86301369863014,3.6986301369863,4.93150684931507,4.93150684931507,4.93150684931507,7.3972602739726,9.86301369863014,3.6986301369863,4.93150684931507,4.93150684931507,4.93150684931507,3.6986301369863,4.93150684931507,0,0,1.23287671232877,1.23287671232877,0,0,0,0,0,0,0,0,0,0,0,0,2.46575342465753,2.46575342465753,0,0,2.46575342465753,6.16438356164384,3.6986301369863,2.46575342465753,3.6986301369863,0,3.6986301369863,1.23287671232877,1.23287671232877,0,0,0,0,0,19.7260273972603,9.86301369863014,2.46575342465753,4.93150684931507,1.23287671232877,0,1.23287671232877,2.46575342465753,1.23287671232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,46,1,0,0,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0.588235294117647,10,17,0.588235294117647,7,10,0.7,0.588235294117647,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,12,0.5,1,2,0.5,3,3,1,6,12,0.5,1,2,0.5,3,3,1,4,7,0.571428571428571,0,0,0,3,3,1,0.705882352941177,0.117647058823529,0.176470588235294,0.705882352941177,0.117647058823529,0.176470588235294,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0.25,1,1,8,9,5,4,1,1,0,1,0,0,0,0,0,0,0,9,7,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,1.95652173913043,3.91304347826087,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5652173913043,33.2608695652174,19.5652173913043,33.2608695652174,13.695652173913,19.5652173913043,0,0,0,0,0,1.95652173913043,0,0,0,0,0,0,0,1.95652173913043,11.7391304347826,23.4782608695652,1.95652173913043,3.91304347826087,5.8695652173913,5.8695652173913,11.7391304347826,23.4782608695652,1.95652173913043,3.91304347826087,5.8695652173913,5.8695652173913,7.82608695652174,13.695652173913,0,0,5.8695652173913,5.8695652173913,0,0,0,0,0,0,0,0,0,0,0,3.91304347826087,11.7391304347826,15.6521739130435,1.95652173913043,1.95652173913043,15.6521739130435,17.6086956521739,9.78260869565217,7.82608695652174,1.95652173913043,1.95652173913043,0,0,0,0,0,0,0,0,17.6086956521739,13.695652173913,5.8695652173913,1.95652173913043,0,0,1.95652173913043,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",0,1,94,1,0,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,45,0.911111111111111,39,43,0.906976744186046,12,15,0.8,0.348837209302326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,0.870967741935484,10,10,1,4,4,1,25,29,0.862068965517241,10,10,1,4,4,1,10,13,0.769230769230769,1,1,1,1,1,1,0.688888888888889,0.222222222222222,0.0888888888888889,0.674418604651163,0.232558139534884,0.0930232558139535,0.866666666666667,0.0666666666666667,0.0666666666666667,0,0,0,0,0,2,2,1,0,0,0,0,2,0,1,1,0,0,1,2,6,4,2,2,1,1,0.5,0,0,0,0,0,0,1,3,3,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2553191489362,43.0851063829787,37.3404255319149,41.1702127659574,11.4893617021277,14.3617021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8510638297872,29.6808510638298,9.57446808510638,9.57446808510638,3.82978723404255,3.82978723404255,23.936170212766,27.7659574468085,9.57446808510638,9.57446808510638,3.82978723404255,3.82978723404255,9.57446808510638,12.4468085106383,0.957446808510638,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,1.91489361702128,1.91489361702128,0,0,0,0,1.91489361702128,0,0.957446808510638,0.957446808510638,0,0.957446808510638,1.91489361702128,5.74468085106383,3.82978723404255,1.91489361702128,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0.957446808510638,2.87234042553191,2.87234042553191,1.91489361702128,0,0.957446808510638,0,0.957446808510638,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F. O'Sullivan","IRL",0,1,49,0,0,1,0,0,1,2,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.857142857142857,6,7,0.857142857142857,5,5,1,0.714285714285714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0.666666666666667,0,0,0,4,4,1,2,3,0.666666666666667,0,0,0,4,4,1,1,1,1,0,0,0,4,4,1,0.428571428571429,0,0.571428571428571,0.428571428571429,0,0.571428571428571,0.2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,8,1,7,0.125,0,1,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,0,0,1.83673469387755,3.6734693877551,1.83673469387755,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0204081632653,12.8571428571429,11.0204081632653,12.8571428571429,9.18367346938776,9.18367346938776,0,0,0,0,0,1.83673469387755,0,0,0,0,0,0,0,1.83673469387755,3.6734693877551,5.51020408163265,0,0,7.3469387755102,7.3469387755102,3.6734693877551,5.51020408163265,0,0,7.3469387755102,7.3469387755102,1.83673469387755,1.83673469387755,0,0,7.3469387755102,7.3469387755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6734693877551,3.6734693877551,3.6734693877551,1.83673469387755,1.83673469387755,14.6938775510204,1.83673469387755,12.8571428571429,0,1.83673469387755,0,0,0,0,0,22.0408163265306,5.51020408163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
