"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Barker","RSA",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0.44,5,10,0.5,2,4,0.5,0.4,0,0,0,4,13,0.307692307692308,0,0,0,0,0,0,0,0,0,1,5,0.2,0,0,0,11,25,0.44,0,0,0,0,0,0,5,10,0.5,0,0,0,0,0,0,2,4,0.5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,5,1,6,0.833333333333333,5,0,0,0,5,1,6,1,1,2,0,0,0,0,0,1,11,25,0.44,1,4,0.25,1,2,0.5,4,9,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.531914893617,23.936170212766,4.78723404255319,9.57446808510638,1.91489361702128,3.82978723404255,0,0,3.82978723404255,12.4468085106383,0,0,0,0,0,0,0.957446808510638,4.78723404255319,0,0,10.531914893617,23.936170212766,0,0,0,0,4.78723404255319,9.57446808510638,0,0,0,0,1.91489361702128,3.82978723404255,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,0,0,0,0,0,0,2.87234042553191,1.91489361702128,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82978723404255,0,4.78723404255319,0,0,0,4.78723404255319,0.957446808510638,5.74468085106383,4.78723404255319,0,0,0,4.78723404255319,0.957446808510638,5.74468085106383,0.957446808510638,0.957446808510638,1.91489361702128,0,0,0,0,0,0.957446808510638,10.531914893617,23.936170212766,0.957446808510638,3.82978723404255,0.957446808510638,1.91489361702128,3.82978723404255,8.61702127659574
"Dlamini","RSA",0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0.916666666666667,11,12,0.916666666666667,5,5,1,0.416666666666667,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,4,5,0.8,5,5,1,2,2,1,4,5,0.8,5,5,1,2,2,1,2,2,1,1,1,1,2,2,1,0.416666666666667,0.416666666666667,0.166666666666667,0.416666666666667,0.416666666666667,0.166666666666667,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,7,1,6,0.142857142857143,0,2,0,0,0,0,0,12,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32.7272727272727,30,32.7272727272727,13.6363636363636,13.6363636363636,0,0,0,0,2.72727272727273,5.45454545454546,0,0,0,0,0,0,2.72727272727273,5.45454545454546,10.9090909090909,13.6363636363636,13.6363636363636,13.6363636363636,5.45454545454546,5.45454545454546,10.9090909090909,13.6363636363636,13.6363636363636,13.6363636363636,5.45454545454546,5.45454545454546,5.45454545454546,5.45454545454546,2.72727272727273,2.72727272727273,5.45454545454546,5.45454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9090909090909,8.18181818181818,2.72727272727273,19.0909090909091,2.72727272727273,16.3636363636364,0,5.45454545454546,0,0,0,0,0,32.7272727272727,0,0,0,2.72727272727273,0,0,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,94,1,1,0,0,0,1,2,1,1,1,0.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,39,57,0.684210526315789,36,52,0.692307692307692,22,34,0.647058823529412,0.653846153846154,4,11,0.363636363636364,0,1,0,2,4,0.5,0,0,0,2,7,0.285714285714286,0,1,0,2,4,0.5,12,17,0.705882352941177,8,17,0.470588235294118,19,23,0.826086956521739,12,17,0.705882352941177,6,13,0.461538461538462,18,22,0.818181818181818,8,11,0.727272727272727,3,9,0.333333333333333,11,14,0.785714285714286,0.298245614035088,0.298245614035088,0.403508771929825,0.326923076923077,0.25,0.423076923076923,0.323529411764706,0.264705882352941,0.411764705882353,3,5,0.6,0,0,0,0,0,0,0,0,0,0,5,2,7,0.714285714285714,2,1,5,14,5,9,1,1,0,1,4,2,0,0,0,0,0,19,2,2,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,1.91489361702128,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,37.3404255319149,54.5744680851064,34.468085106383,49.7872340425532,21.063829787234,32.5531914893617,3.82978723404255,10.531914893617,0,0.957446808510638,1.91489361702128,3.82978723404255,0,0,1.91489361702128,6.70212765957447,0,0.957446808510638,1.91489361702128,3.82978723404255,11.4893617021277,16.2765957446809,7.65957446808511,16.2765957446809,18.1914893617021,22.0212765957447,11.4893617021277,16.2765957446809,5.74468085106383,12.4468085106383,17.2340425531915,21.063829787234,7.65957446808511,10.531914893617,2.87234042553191,8.61702127659574,10.531914893617,13.4042553191489,2.87234042553191,4.78723404255319,0,0,0,0,0,0,0,0,0,4.78723404255319,1.91489361702128,6.70212765957447,1.91489361702128,0.957446808510638,4.78723404255319,13.4042553191489,4.78723404255319,8.61702127659574,0.957446808510638,0.957446808510638,0,3.82978723404255,1.91489361702128,0,0,0,0,0,18.1914893617021,1.91489361702128,1.91489361702128,2.87234042553191,0,0,3.82978723404255,0,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","USA",0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75,3,4,0.75,3,4,0.75,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1,1,1,1,0,1,0,2,2,1,1,1,1,0,1,0,2,2,1,1,1,1,0,1,0,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,30,22.5,30,22.5,30,0,0,7.5,7.5,0,0,0,0,0,0,7.5,7.5,0,0,15,15,7.5,7.5,0,7.5,15,15,7.5,7.5,0,7.5,15,15,7.5,7.5,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA",0,1,47,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0.826086956521739,19,23,0.826086956521739,14,17,0.823529411764706,0.739130434782609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,6,0.666666666666667,4,4,1,11,13,0.846153846153846,4,6,0.666666666666667,4,4,1,11,13,0.846153846153846,3,4,0.75,1,1,1,10,12,0.833333333333333,0.260869565217391,0.173913043478261,0.565217391304348,0.260869565217391,0.173913043478261,0.565217391304348,0.235294117647059,0.0588235294117647,0.705882352941177,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,5,5,0,2,2,0,1,0,1,0,0,0,0,0,4,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3829787234042,44.0425531914894,36.3829787234042,44.0425531914894,26.8085106382979,32.5531914893617,0,0,0,1.91489361702128,0,0,0,0,0,0,0,1.91489361702128,0,0,7.65957446808511,11.4893617021277,7.65957446808511,7.65957446808511,21.063829787234,24.8936170212766,7.65957446808511,11.4893617021277,7.65957446808511,7.65957446808511,21.063829787234,24.8936170212766,5.74468085106383,7.65957446808511,1.91489361702128,1.91489361702128,19.1489361702128,22.9787234042553,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,1.91489361702128,3.82978723404255,1.91489361702128,5.74468085106383,9.57446808510638,9.57446808510638,0,3.82978723404255,3.82978723404255,0,0,1.91489361702128,0,0,0,0,0,7.65957446808511,3.82978723404255,0,1.91489361702128,3.82978723404255,0,1.91489361702128,0,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jane","RSA",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,0.617647058823529,19,31,0.612903225806452,7,12,0.583333333333333,0.387096774193548,0,0,0,0,4,0,1,1,1,2,3,0.666666666666667,0,0,0,0,4,0,1,1,1,7,18,0.388888888888889,9,10,0.9,5,6,0.833333333333333,7,17,0.411764705882353,8,9,0.888888888888889,4,5,0.8,1,6,0.166666666666667,5,5,1,1,1,1,0.529411764705882,0.294117647058824,0.176470588235294,0.548387096774194,0.290322580645161,0.161290322580645,0.5,0.416666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,6,1,0,0,0,0,0,0,0,0,0,0,0,18,1,2,2,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1063829787234,32.5531914893617,18.1914893617021,29.6808510638298,6.70212765957447,11.4893617021277,0,0,0,3.82978723404255,0.957446808510638,0.957446808510638,1.91489361702128,2.87234042553191,0,0,0,3.82978723404255,0.957446808510638,0.957446808510638,6.70212765957447,17.2340425531915,8.61702127659574,9.57446808510638,4.78723404255319,5.74468085106383,6.70212765957447,16.2765957446809,7.65957446808511,8.61702127659574,3.82978723404255,4.78723404255319,0.957446808510638,5.74468085106383,4.78723404255319,4.78723404255319,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,6.70212765957447,5.74468085106383,0.957446808510638,0,0,0,0,0,0,0,0,0,0,17.2340425531915,0.957446808510638,1.91489361702128,1.91489361702128,3.82978723404255,0.957446808510638,1.91489361702128,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnston","USA",0,1,82,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,69,0.927536231884058,64,69,0.927536231884058,10,13,0.769230769230769,0.188405797101449,0,0,0,3,4,0.75,1,1,1,0,0,0,0,0,0,3,4,0.75,1,1,1,45,48,0.9375,17,19,0.894736842105263,2,2,1,45,48,0.9375,17,19,0.894736842105263,2,2,1,10,12,0.833333333333333,0,1,0,0,0,0,0.695652173913043,0.27536231884058,0.0289855072463768,0.695652173913043,0.27536231884058,0.0289855072463768,0.923076923076923,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,9,9,0,2,1,1,0.5,0,0,0,0,0,0,0,5,0,1,1,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09756097560976,0,1.09756097560976,0,1.09756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2439024390244,75.7317073170732,70.2439024390244,75.7317073170732,10.9756097560976,14.2682926829268,0,0,3.29268292682927,4.39024390243902,1.09756097560976,1.09756097560976,0,0,0,0,3.29268292682927,4.39024390243902,1.09756097560976,1.09756097560976,49.390243902439,52.6829268292683,18.6585365853659,20.8536585365854,2.19512195121951,2.19512195121951,49.390243902439,52.6829268292683,18.6585365853659,20.8536585365854,2.19512195121951,2.19512195121951,10.9756097560976,13.1707317073171,0,1.09756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09756097560976,0,1.09756097560976,0,0,0,9.87804878048781,9.87804878048781,0,2.19512195121951,1.09756097560976,1.09756097560976,0,0,0,0,0,0,0,5.48780487804878,0,1.09756097560976,1.09756097560976,5.48780487804878,0,2.19512195121951,0,2.19512195121951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kgatlana","RSA",0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,0,6.42857142857143,0,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42857142857143,0,0,0,0,0,6.42857142857143,0,0,0,0,0,6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","USA",0,1,94,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,84,93,0.903225806451613,71,80,0.8875,32,35,0.914285714285714,0.4375,3,6,0.5,1,1,1,1,2,0.5,11,11,1,2,5,0.4,1,1,1,1,2,0.5,48,55,0.872727272727273,17,19,0.894736842105263,19,19,1,41,48,0.854166666666667,14,16,0.875,16,16,1,18,19,0.947368421052632,5,7,0.714285714285714,9,9,1,0.591397849462366,0.204301075268817,0.204301075268817,0.6,0.2,0.2,0.542857142857143,0.2,0.257142857142857,0,0,0,0,0,2,2,1,0,0,0,0,2,2,0,2,1,2,0,2,10,7,3,2,1,1,0.5,0,0,0,0,0,0,0,10,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0,1.91489361702128,0,0.957446808510638,0,1.91489361702128,0,0.957446808510638,80.4255319148936,89.0425531914894,67.9787234042553,76.5957446808511,30.6382978723404,33.5106382978723,2.87234042553191,5.74468085106383,0.957446808510638,0.957446808510638,0.957446808510638,1.91489361702128,10.531914893617,10.531914893617,1.91489361702128,4.78723404255319,0.957446808510638,0.957446808510638,0.957446808510638,1.91489361702128,45.9574468085106,52.6595744680851,16.2765957446809,18.1914893617021,18.1914893617021,18.1914893617021,39.2553191489362,45.9574468085106,13.4042553191489,15.3191489361702,15.3191489361702,15.3191489361702,17.2340425531915,18.1914893617021,4.78723404255319,6.70212765957447,8.61702127659574,8.61702127659574,0,0,0,0,1.91489361702128,1.91489361702128,0,0,0,0,1.91489361702128,1.91489361702128,0,1.91489361702128,1.91489361702128,0,1.91489361702128,9.57446808510638,6.70212765957447,2.87234042553191,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,9.57446808510638,0,2.87234042553191,0.957446808510638,0.957446808510638,0,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krieger","USA",0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0.6875,9,14,0.642857142857143,2,4,0.5,0.285714285714286,1,2,0.5,0,0,0,0,0,0,2,2,1,1,2,0.5,0,0,0,0,0,0,8,11,0.727272727272727,1,2,0.5,2,3,0.666666666666667,7,10,0.7,1,2,0.5,1,2,0.5,1,3,0.333333333333333,1,1,1,0,0,0,0.6875,0.125,0.1875,0.714285714285714,0.142857142857143,0.142857142857143,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0769230769231,55.3846153846154,31.1538461538462,48.4615384615385,6.92307692307692,13.8461538461538,3.46153846153846,6.92307692307692,0,0,0,0,6.92307692307692,6.92307692307692,3.46153846153846,6.92307692307692,0,0,0,0,27.6923076923077,38.0769230769231,3.46153846153846,6.92307692307692,6.92307692307692,10.3846153846154,24.2307692307692,34.6153846153846,3.46153846153846,6.92307692307692,3.46153846153846,6.92307692307692,3.46153846153846,10.3846153846154,3.46153846153846,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46153846153846,3.46153846153846,13.8461538461538,13.8461538461538,0,0,0,0,0,0,0,0,0,0,0,10.3846153846154,3.46153846153846,3.46153846153846,3.46153846153846,0,3.46153846153846,0,3.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
