"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Abbe","SUI",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0.833333333333333,10,12,0.833333333333333,8,10,0.8,0.833333333333333,0,0,0,3,5,0.6,0,0,0,0,0,0,0,0,0,3,5,0.6,0,0,0,8,10,0.8,1,1,1,1,1,1,8,10,0.8,1,1,1,1,1,1,6,8,0.75,1,1,1,1,1,1,0.833333333333333,0.0833333333333333,0.0833333333333333,0.833333333333333,0.0833333333333333,0.0833333333333333,0.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,4,1,3,0.25,0,2,0,0,0,0,0,12,10,1,3,10,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.375,11.25,9.375,11.25,7.5,9.375,0,0,2.8125,4.6875,0,0,0,0,0,0,2.8125,4.6875,0,0,7.5,9.375,0.9375,0.9375,0.9375,0.9375,7.5,9.375,0.9375,0.9375,0.9375,0.9375,5.625,7.5,0.9375,0.9375,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,5.625,1.875,3.75,0.9375,2.8125,0,1.875,0,0,0,0,0,11.25,9.375,0.9375,2.8125,9.375,0,3.75,1.875,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aigbogun","SUI",0,1,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0.611111111111111,11,18,0.611111111111111,10,15,0.666666666666667,0.833333333333333,0,0,0,0,1,0,2,3,0.666666666666667,0,0,0,0,0,0,0,1,0,2,3,0.666666666666667,4,8,0.5,3,5,0.6,4,5,0.8,4,8,0.5,3,5,0.6,4,5,0.8,4,7,0.571428571428571,3,4,0.75,3,4,0.75,0.444444444444444,0.277777777777778,0.277777777777778,0.444444444444444,0.277777777777778,0.277777777777778,0.466666666666667,0.266666666666667,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0.25,3,0,6,6,2,4,3,2,1,0.666666666666667,1,1,0,0,0,0,0,39,9,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,22.5,13.75,22.5,12.5,18.75,0,0,0,1.25,2.5,3.75,0,0,0,0,0,1.25,2.5,3.75,5,10,3.75,6.25,5,6.25,5,10,3.75,6.25,5,6.25,5,8.75,3.75,5,3.75,5,0,0,0,0,0,0,0,0,0,0,0,1.25,3.75,5,3.75,0,7.5,7.5,2.5,5,3.75,2.5,1.25,1.25,1.25,0,0,0,0,0,48.75,11.25,0,0,0,0,3.75,2.5,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangerter","SUI",0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0.5,4,8,0.5,4,6,0.666666666666667,0.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,2,3,0.666666666666667,2,2,1,0,3,0,2,3,0.666666666666667,2,2,1,0,2,0,2,2,1,2,2,1,0.375,0.375,0.25,0.375,0.375,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0.2,0,1,0,0,0,0,0,12,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,15,30,15,22.5,0,0,0,3.75,0,3.75,0,0,0,0,0,3.75,0,3.75,0,11.25,7.5,11.25,7.5,7.5,0,11.25,7.5,11.25,7.5,7.5,0,7.5,7.5,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,3.75,15,0,3.75,0,0,0,0,0,45,18.75,11.25,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bernauer","SUI",0,1,96,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,0.608695652173913,13,20,0.65,10,15,0.666666666666667,0.75,0,0,0,1,5,0.2,0,2,0,0,0,0,0,0,0,1,3,0.333333333333333,0,2,0,8,17,0.470588235294118,5,5,1,1,1,1,8,15,0.533333333333333,4,4,1,1,1,1,7,12,0.583333333333333,2,2,1,1,1,1,0.739130434782609,0.217391304347826,0.0434782608695652,0.75,0.2,0.05,0.8,0.133333333333333,0.0666666666666667,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,2,1,3,0.666666666666667,2,1,4,9,7,2,4,2,2,0.5,2,1,0,0,0,0,0,25,11,4,1,1,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.125,21.5625,12.1875,18.75,9.375,14.0625,0,0,0.9375,4.6875,0,1.875,0,0,0,0,0.9375,2.8125,0,1.875,7.5,15.9375,4.6875,4.6875,0.9375,0.9375,7.5,14.0625,3.75,3.75,0.9375,0.9375,6.5625,11.25,1.875,1.875,0.9375,0.9375,0,0,0,0,0.9375,2.8125,0,0,0,0,2.8125,1.875,0.9375,2.8125,1.875,0.9375,3.75,8.4375,6.5625,1.875,3.75,1.875,1.875,1.875,0.9375,0,0,0,0,0,23.4375,10.3125,3.75,0.9375,0.9375,0,1.875,5.625,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","USA",0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,0.82051282051282,32,36,0.888888888888889,28,31,0.903225806451613,0.861111111111111,0,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,10,12,0.833333333333333,16,21,0.761904761904762,6,6,1,10,12,0.833333333333333,16,18,0.888888888888889,6,6,1,9,10,0.9,14,16,0.875,5,5,1,0.307692307692308,0.538461538461538,0.153846153846154,0.333333333333333,0.5,0.166666666666667,0.32258064516129,0.516129032258065,0.161290322580645,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,1,0,2,8,4,4,3,1,2,0.333333333333333,0,0,0,0,0,0,0,14,5,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7755102040816,71.6326530612245,58.7755102040816,66.1224489795918,51.4285714285714,56.9387755102041,0,7.3469387755102,0,0,0,3.6734693877551,0,0,0,1.83673469387755,0,0,0,3.6734693877551,18.3673469387755,22.0408163265306,29.3877551020408,38.5714285714286,11.0204081632653,11.0204081632653,18.3673469387755,22.0408163265306,29.3877551020408,33.0612244897959,11.0204081632653,11.0204081632653,16.530612244898,18.3673469387755,25.7142857142857,29.3877551020408,9.18367346938776,9.18367346938776,0,5.51020408163265,0,0,0,0,0,0,0,0,0,3.6734693877551,1.83673469387755,5.51020408163265,1.83673469387755,0,3.6734693877551,14.6938775510204,7.3469387755102,7.3469387755102,5.51020408163265,1.83673469387755,3.6734693877551,0,0,0,0,0,0,0,25.7142857142857,9.18367346938776,0,1.83673469387755,0,0,3.6734693877551,0,3.6734693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calligaris","SUI",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0.4,4,9,0.444444444444444,3,6,0.5,0.666666666666667,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,6,0.166666666666667,1,2,0.5,2,2,1,1,5,0.2,1,2,0.5,2,2,1,1,4,0.25,1,1,1,1,1,1,0.6,0.2,0.2,0.555555555555556,0.222222222222222,0.222222222222222,0.666666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,4,3,1,0,0,0,0,1,4,0,0,0,0,0,15,7,3,9,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,9.375,3.75,8.4375,2.8125,5.625,0,0.9375,0,3.75,0,0,0,0,0,0.9375,0,2.8125,0,0,0.9375,5.625,0.9375,1.875,1.875,1.875,0.9375,4.6875,0.9375,1.875,1.875,1.875,0.9375,3.75,0.9375,0.9375,0.9375,0.9375,0,0,0,0,0,0.9375,0,0,0,0,0.9375,0,0,0,0.9375,0.9375,1.875,3.75,2.8125,0.9375,0,0,0,0.9375,3.75,0,0,0,0,0,14.0625,6.5625,2.8125,8.4375,2.8125,0,1.875,0.9375,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","USA",0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,1,19,19,1,8,8,1,0.421052631578947,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,7,7,1,11,11,1,1,1,1,7,7,1,11,11,1,1,1,1,5,5,1,3,3,1,0,0,0,0.368421052631579,0.578947368421053,0.0526315789473684,0.368421052631579,0.578947368421053,0.0526315789473684,0.625,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0714285714286,61.0714285714286,61.0714285714286,61.0714285714286,25.7142857142857,25.7142857142857,0,0,3.21428571428571,3.21428571428571,3.21428571428571,3.21428571428571,0,0,0,0,3.21428571428571,3.21428571428571,3.21428571428571,3.21428571428571,22.5,22.5,35.3571428571429,35.3571428571429,3.21428571428571,3.21428571428571,22.5,22.5,35.3571428571429,35.3571428571429,3.21428571428571,3.21428571428571,16.0714285714286,16.0714285714286,9.64285714285714,9.64285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21428571428571,0,3.21428571428571,3.21428571428571,3.21428571428571,0,0,0,0,0,0,0,3.21428571428571,6.42857142857143,0,9.64285714285714,3.21428571428571,0,0,0,0,3.21428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dickenmann","SUI",0,1,96,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,0.653846153846154,17,25,0.68,15,21,0.714285714285714,0.84,1,4,0.25,0,1,0,0,1,0,0,0,0,1,4,0.25,0,0,0,0,1,0,3,7,0.428571428571429,11,15,0.733333333333333,3,4,0.75,3,6,0.5,11,15,0.733333333333333,3,4,0.75,3,5,0.6,9,12,0.75,3,4,0.75,0.269230769230769,0.576923076923077,0.153846153846154,0.24,0.6,0.16,0.238095238095238,0.571428571428571,0.19047619047619,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,7,0.428571428571429,2,0,6,8,3,4,3,1,2,0.333333333333333,1,1,0,0,0,0,0,35,3,1,1,3,0,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9375,24.375,15.9375,23.4375,14.0625,19.6875,0.9375,3.75,0,0.9375,0,0.9375,0,0,0.9375,3.75,0,0,0,0.9375,2.8125,6.5625,10.3125,14.0625,2.8125,3.75,2.8125,5.625,10.3125,14.0625,2.8125,3.75,2.8125,4.6875,8.4375,11.25,2.8125,3.75,0,0,0,0,0,0.9375,0,0,0,0,0.9375,2.8125,3.75,6.5625,1.875,0,5.625,7.5,2.8125,3.75,2.8125,0.9375,1.875,0.9375,0.9375,0,0,0,0,0,32.8125,2.8125,0.9375,0.9375,2.8125,0,6.5625,1.875,6.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,83,1,1,1,0,2,0,4,0.5,2,2,0.5,1,1,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,18,31,0.580645161290323,17,30,0.566666666666667,16,25,0.64,0.833333333333333,0,3,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,0,0,0,0,1,3,0.333333333333333,3,7,0.428571428571429,7,14,0.5,8,10,0.8,3,7,0.428571428571429,6,13,0.461538461538462,8,10,0.8,3,6,0.5,5,10,0.5,8,9,0.888888888888889,0.225806451612903,0.451612903225806,0.32258064516129,0.233333333333333,0.433333333333333,0.333333333333333,0.24,0.4,0.36,0,0,0,0,0,1,1,1,0,0,0,0,1,3,4,7,0.428571428571429,2,1,7,6,3,3,4,0,4,0,2,0,0,0,0,0,1,20,4,1,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08433734939759,1.08433734939759,0,2.16867469879518,0,4.33734939759036,2.16867469879518,2.16867469879518,1.08433734939759,1.08433734939759,0,0,0,0,2.16867469879518,0,0,0,0,0,0,0,0,19.5180722891566,33.6144578313253,18.433734939759,32.5301204819277,17.3493975903614,27.1084337349398,0,3.25301204819277,0,0,1.08433734939759,3.25301204819277,0,0,0,3.25301204819277,0,0,1.08433734939759,3.25301204819277,3.25301204819277,7.59036144578313,7.59036144578313,15.1807228915663,8.67469879518072,10.8433734939759,3.25301204819277,7.59036144578313,6.50602409638554,14.0963855421687,8.67469879518072,10.8433734939759,3.25301204819277,6.50602409638554,5.42168674698795,10.8433734939759,8.67469879518072,9.75903614457831,0,0,0,0,1.08433734939759,1.08433734939759,0,0,0,0,1.08433734939759,3.25301204819277,4.33734939759036,7.59036144578313,2.16867469879518,1.08433734939759,7.59036144578313,6.50602409638554,3.25301204819277,3.25301204819277,4.33734939759036,0,4.33734939759036,2.16867469879518,0,0,0,0,0,1.08433734939759,21.6867469879518,4.33734939759036,1.08433734939759,1.08433734939759,0,0,3.25301204819277,0,4.33734939759036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris","USA",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0.9375,11,12,0.916666666666667,1,1,1,0.0833333333333333,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,10,11,0.909090909090909,5,5,1,0,0,0,9,10,0.9,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0.6875,0.3125,0,0.833333333333333,0.166666666666667,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0.9375,1,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0625,15,10.3125,11.25,0.9375,0.9375,0,0,0.9375,0.9375,0,0,0,0,0,0,0.9375,0.9375,0,0,9.375,10.3125,4.6875,4.6875,0,0,8.4375,9.375,1.875,1.875,0,0,0.9375,0.9375,0,0,0,0,0.9375,0.9375,0,0,0.9375,0.9375,0,0,0,0,0.9375,0,0,0,0,0,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,1.875,0,0.9375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0625,15,0.9375,0.9375,0,0,1.875,1.875
