"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Belomyttseva","RUS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0.538461538461538,6,11,0.545454545454545,4,6,0.666666666666667,0.545454545454545,0,0,0,3,7,0.428571428571429,0,0,0,0,0,0,0,0,0,2,5,0.4,0,0,0,7,13,0.538461538461538,0,0,0,0,0,0,6,11,0.545454545454545,0,0,0,0,0,0,4,6,0.666666666666667,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,1,0,1,1,0,0,0,3,3,0,2,1,1,0.5,1,1,0,0,0,0,0,20,3,2,5,5,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belyaeva","RUS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,41,0.682926829268293,10,16,0.625,4,5,0.8,0.3125,0,0,0,24,35,0.685714285714286,0,0,0,0,0,0,0,0,0,7,13,0.538461538461538,0,0,0,28,41,0.682926829268293,0,0,0,0,0,0,10,16,0.625,0,0,0,0,0,0,5,6,0.833333333333333,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4,5,0.8,0,0,0,0,5,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,7,0.428571428571429,0,1,1,1,6,0,6,1,6,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0,28,41,0.682926829268293,0,0,0,1,3,0.333333333333333,17,22,0.772727272727273
"Chernomyrdina","RUS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0.368421052631579,7,19,0.368421052631579,6,11,0.545454545454545,0.578947368421053,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,3,15,0.2,0,0,0,4,4,1,3,15,0.2,0,0,0,4,4,1,3,8,0.375,0,0,0,3,3,1,0.789473684210526,0,0.210526315789474,0.789473684210526,0,0.210526315789474,0.727272727272727,0,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,6,8,9,7,2,6,1,5,0.166666666666667,1,1,0,0,0,0,2,54,2,4,2,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cholovyaga","RUS",0,1,96,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0.48,12,25,0.48,9,14,0.642857142857143,0.56,0,0,0,1,5,0.2,0,0,0,0,0,0,0,0,0,1,5,0.2,0,0,0,7,20,0.35,2,2,1,3,3,1,7,20,0.35,2,2,1,3,3,1,6,11,0.545454545454545,1,1,1,2,2,1,0.8,0.08,0.12,0.8,0.08,0.12,0.785714285714286,0.0714285714285714,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,4,13,9,4,2,0,2,0,1,1,1,0,0,0,1,39,9,1,1,0,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Danilova","RUS",0,1,81,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0.428571428571429,6,14,0.428571428571429,6,8,0.75,0.571428571428571,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,2,4,0.5,4,6,0.666666666666667,0,4,0,2,4,0.5,4,6,0.666666666666667,0,1,0,2,2,1,4,5,0.8,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,0.125,0.25,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,2,3,6,4,2,4,0,4,0,2,2,1,0,0,0,0,64,6,3,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA",0,1,66,1,2,0,0,0,1,3,1,2,1,0.666666666666667,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,22,0.727272727272727,16,22,0.727272727272727,14,18,0.777777777777778,0.818181818181818,1,2,0.5,0,0,0,1,2,0.5,0,0,0,1,2,0.5,0,0,0,1,2,0.5,3,6,0.5,5,8,0.625,8,8,1,3,6,0.5,5,8,0.625,8,8,1,3,4,0.75,5,8,0.625,6,6,1,0.272727272727273,0.363636363636364,0.363636363636364,0.272727272727273,0.363636363636364,0.363636363636364,0.222222222222222,0.444444444444444,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,3,4,7,2,5,0,0,0,0,0,0,0,0,0,0,1,20,3,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karpova","RUS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0.833333333333333,5,6,0.833333333333333,3,4,0.75,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0.833333333333333,0,0,0,0,0,0,5,6,0.833333333333333,0,0,0,0,0,0,3,4,0.75,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0.75,1,2,4,5,4,1,10,1,9,0.1,1,5,0,0,0,0,0,48,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","USA",0,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0.92,20,22,0.909090909090909,7,7,1,0.318181818181818,0,1,0,0,0,0,1,2,0.5,3,3,1,0,1,0,0,0,0,1,2,0.5,13,14,0.928571428571429,4,5,0.8,6,6,1,12,13,0.923076923076923,2,3,0.666666666666667,6,6,1,3,3,1,1,1,1,3,3,1,0.56,0.2,0.24,0.590909090909091,0.136363636363636,0.272727272727273,0.428571428571429,0.142857142857143,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kovalenko","RUS",0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,1,3,0.333333333333333,1,3,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,2,0,0,0,0,1,1,1,0,2,0,0,0,0,1,1,1,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krieger","USA",0,1,49,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,46,0.717391304347826,28,40,0.7,17,22,0.772727272727273,0.55,0,2,0,0,0,0,1,1,1,4,5,0.8,0,2,0,0,0,0,1,1,1,18,27,0.666666666666667,11,14,0.785714285714286,4,5,0.8,16,25,0.64,8,10,0.8,4,5,0.8,8,13,0.615384615384615,5,5,1,4,4,1,0.58695652173913,0.304347826086957,0.108695652173913,0.625,0.25,0.125,0.590909090909091,0.227272727272727,0.181818181818182,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,12,6,5,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
