"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Arnth","DEN","3",1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,56,0.892857142857143,50,56,0.892857142857143,16,17,0.941176470588235,0.303571428571429,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,20,26,0.769230769230769,22,22,1,8,8,1,20,26,0.769230769230769,22,22,1,8,8,1,8,9,0.888888888888889,5,5,1,3,3,1,0.464285714285714,0.392857142857143,0.142857142857143,0.464285714285714,0.392857142857143,0.142857142857143,0.529411764705882,0.294117647058824,0.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,9,7,3,6,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3870967741935,54.1935483870968,48.3870967741935,54.1935483870968,15.4838709677419,16.4516129032258,0,0,0,3.87096774193548,0,0.967741935483871,0,0,0,0,0,3.87096774193548,0,0.967741935483871,19.3548387096774,25.1612903225806,21.2903225806452,21.2903225806452,7.74193548387097,7.74193548387097,19.3548387096774,25.1612903225806,21.2903225806452,21.2903225806452,7.74193548387097,7.74193548387097,7.74193548387097,8.70967741935484,4.83870967741935,4.83870967741935,2.90322580645161,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93548387096774,1.93548387096774,0,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,8.70967741935484,6.7741935483871,2.90322580645161,5.80645161290323,3.87096774193548,0,0,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christiansen","DEN","6",1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0.85,17,20,0.85,9,11,0.818181818181818,0.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,12,0.833333333333333,3,4,0.75,4,4,1,10,12,0.833333333333333,3,4,0.75,4,4,1,6,7,0.857142857142857,0,1,0,3,3,1,0.6,0.2,0.2,0.6,0.2,0.2,0.636363636363636,0.0909090909090909,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,3,1,1,1,0,1,0,0,0,0,0,0,0,17,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5531914893617,38.2978723404255,32.5531914893617,38.2978723404255,17.2340425531915,21.063829787234,0,0,0,1.91489361702128,0,0,0,0,0,0,0,1.91489361702128,0,0,19.1489361702128,22.9787234042553,5.74468085106383,7.65957446808511,7.65957446808511,7.65957446808511,19.1489361702128,22.9787234042553,5.74468085106383,7.65957446808511,7.65957446808511,7.65957446808511,11.4893617021277,13.4042553191489,0,1.91489361702128,5.74468085106383,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82978723404255,0,3.82978723404255,7.65957446808511,5.74468085106383,1.91489361702128,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,32.5531914893617,13.4042553191489,1.91489361702128,9.57446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","USA","14",1,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,35,37,0.945945945945946,34,36,0.944444444444444,8,9,0.888888888888889,0.25,1,1,1,1,2,0.5,0,1,0,0,0,0,1,1,1,1,2,0.5,0,1,0,16,18,0.888888888888889,16,16,1,3,3,1,16,18,0.888888888888889,15,15,1,3,3,1,5,6,0.833333333333333,3,3,1,0,0,0,0.486486486486487,0.432432432432432,0.0810810810810811,0.5,0.416666666666667,0.0833333333333333,0.666666666666667,0.333333333333333,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63636363636364,0,1.63636363636364,0,1.63636363636364,0,1.63636363636364,57.2727272727273,60.5454545454545,55.6363636363636,58.9090909090909,13.0909090909091,14.7272727272727,1.63636363636364,1.63636363636364,1.63636363636364,3.27272727272727,0,1.63636363636364,0,0,1.63636363636364,1.63636363636364,1.63636363636364,3.27272727272727,0,1.63636363636364,26.1818181818182,29.4545454545455,26.1818181818182,26.1818181818182,4.90909090909091,4.90909090909091,26.1818181818182,29.4545454545455,24.5454545454545,24.5454545454545,4.90909090909091,4.90909090909091,8.18181818181818,9.81818181818182,4.90909090909091,4.90909090909091,0,0,0,0,0,0,1.63636363636364,1.63636363636364,0,0,0,0,1.63636363636364,0,0,0,0,0,0,1.63636363636364,1.63636363636364,0,1.63636363636364,1.63636363636364,0,0,0,0,0,0,0,0,3.27272727272727,0,1.63636363636364,0,4.90909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Davidson","USA","17",1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,52,57,0.912280701754386,52,57,0.912280701754386,11,16,0.6875,0.280701754385965,0,0,0,6,7,0.857142857142857,1,1,1,0,0,0,0,0,0,6,7,0.857142857142857,1,1,1,32,36,0.888888888888889,13,14,0.928571428571429,7,7,1,32,36,0.888888888888889,13,14,0.928571428571429,7,7,1,8,12,0.666666666666667,1,2,0.5,2,2,1,0.631578947368421,0.245614035087719,0.12280701754386,0.631578947368421,0.245614035087719,0.12280701754386,0.75,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4,3,1,1,0,1,0,0,0,0,0,0,0,0,5,5,2,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0.967741935483871,0.967741935483871,0,0.967741935483871,0.967741935483871,0.967741935483871,0,50.3225806451613,55.1612903225806,50.3225806451613,55.1612903225806,10.6451612903226,15.4838709677419,0,0,5.80645161290323,6.7741935483871,0.967741935483871,0.967741935483871,0,0,0,0,5.80645161290323,6.7741935483871,0.967741935483871,0.967741935483871,30.9677419354839,34.8387096774194,12.5806451612903,13.5483870967742,6.7741935483871,6.7741935483871,30.9677419354839,34.8387096774194,12.5806451612903,13.5483870967742,6.7741935483871,6.7741935483871,7.74193548387097,11.6129032258065,0.967741935483871,1.93548387096774,1.93548387096774,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0,0.967741935483871,0,0.967741935483871,0.967741935483871,3.87096774193548,2.90322580645161,0.967741935483871,0.967741935483871,0,0.967741935483871,0,0,0,0,0,0,0,4.83870967741935,4.83870967741935,1.93548387096774,0,4.83870967741935,0,1.93548387096774,0,1.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","USA","19",1,23,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,9,0.888888888888889,7,8,0.875,3,4,0.75,0.5,1,2,0.5,0,0,0,1,1,1,1,1,1,1,2,0.5,0,0,0,1,1,1,1,1,1,3,4,0.75,4,4,1,1,1,1,3,4,0.75,3,3,1,0,0,0,3,4,0.75,0,0,0,0.111111111111111,0.444444444444444,0.444444444444444,0.125,0.5,0.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91304347826087,0,0,0,0,3.91304347826087,3.91304347826087,0,3.91304347826087,0,0,0,0,0,3.91304347826087,0,0,0,0,0,0,0,0,31.304347826087,35.2173913043478,27.3913043478261,31.304347826087,11.7391304347826,15.6521739130435,3.91304347826087,7.82608695652174,0,0,3.91304347826087,3.91304347826087,3.91304347826087,3.91304347826087,3.91304347826087,7.82608695652174,0,0,3.91304347826087,3.91304347826087,3.91304347826087,3.91304347826087,11.7391304347826,15.6521739130435,15.6521739130435,15.6521739130435,3.91304347826087,3.91304347826087,11.7391304347826,15.6521739130435,11.7391304347826,11.7391304347826,0,0,11.7391304347826,15.6521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91304347826087,3.91304347826087,0,0,0,0,0,0,0,0,19.5652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ertz","USA","8",1,93,1,1,1,0,0,0,2,1,1,1,0.5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,58,65,0.892307692307692,57,64,0.890625,13,16,0.8125,0.25,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,29,33,0.878787878787879,18,18,1,11,14,0.785714285714286,29,33,0.878787878787879,17,17,1,11,14,0.785714285714286,5,6,0.833333333333333,2,2,1,6,8,0.75,0.507692307692308,0.276923076923077,0.215384615384615,0.515625,0.265625,0.21875,0.375,0.125,0.5,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,9,8,1,5,3,2,0.6,0,1,0,0,0,0,0,13,5,2,3,2,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967741935483871,0.967741935483871,0,0,0,1.93548387096774,0.967741935483871,0.967741935483871,0.967741935483871,0,0,0,0,0,0.967741935483871,0,0,0,0,0,0,0,0,56.1290322580645,62.9032258064516,55.1612903225806,61.9354838709677,12.5806451612903,15.4838709677419,0,0,0.967741935483871,1.93548387096774,0,0,0,0,0,0,0.967741935483871,1.93548387096774,0,0,28.0645161290323,31.9354838709677,17.4193548387097,17.4193548387097,10.6451612903226,13.5483870967742,28.0645161290323,31.9354838709677,16.4516129032258,16.4516129032258,10.6451612903226,13.5483870967742,4.83870967741935,5.80645161290323,1.93548387096774,1.93548387096774,5.80645161290323,7.74193548387097,0,0,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0.967741935483871,0.967741935483871,0,0.967741935483871,0.967741935483871,0,0.967741935483871,8.70967741935484,7.74193548387097,0.967741935483871,4.83870967741935,2.90322580645161,1.93548387096774,0,0.967741935483871,0,0,0,0,0,12.5806451612903,4.83870967741935,1.93548387096774,2.90322580645161,1.93548387096774,0,2.90322580645161,1.93548387096774,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harder","DEN","10",1,93,1,0,0,0,2,0,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,0.733333333333333,22,29,0.758620689655172,17,22,0.772727272727273,0.758620689655172,0,1,0,0,2,0,1,3,0.333333333333333,0,0,0,0,1,0,0,1,0,1,3,0.333333333333333,6,12,0.5,6,7,0.857142857142857,10,11,0.909090909090909,6,11,0.545454545454545,6,7,0.857142857142857,10,11,0.909090909090909,4,7,0.571428571428571,4,5,0.8,9,10,0.9,0.4,0.233333333333333,0.366666666666667,0.379310344827586,0.241379310344828,0.379310344827586,0.318181818181818,0.227272727272727,0.454545454545455,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,2,0,2,0,4,4,3,1,6,2,4,0.333333333333333,0,0,1,0,0,0,1,28,3,1,1,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93548387096774,0,1.93548387096774,0.967741935483871,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2903225806452,29.0322580645161,21.2903225806452,28.0645161290323,16.4516129032258,21.2903225806452,0,0.967741935483871,0,1.93548387096774,0.967741935483871,2.90322580645161,0,0,0,0.967741935483871,0,0.967741935483871,0.967741935483871,2.90322580645161,5.80645161290323,11.6129032258065,5.80645161290323,6.7741935483871,9.67741935483871,10.6451612903226,5.80645161290323,10.6451612903226,5.80645161290323,6.7741935483871,9.67741935483871,10.6451612903226,3.87096774193548,6.7741935483871,3.87096774193548,4.83870967741935,8.70967741935484,9.67741935483871,0,0,0,0,0,0.967741935483871,0,0,0.967741935483871,0,1.93548387096774,0,1.93548387096774,1.93548387096774,1.93548387096774,0,3.87096774193548,3.87096774193548,2.90322580645161,0.967741935483871,5.80645161290323,1.93548387096774,3.87096774193548,0,0,0.967741935483871,0,0,0,0.967741935483871,27.0967741935484,2.90322580645161,0.967741935483871,0.967741935483871,0,0,3.87096774193548,0.967741935483871,4.83870967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","USA","9",1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,57,0.789473684210526,44,56,0.785714285714286,18,25,0.72,0.446428571428571,0,1,0,2,5,0.4,0,1,0,0,0,0,0,1,0,1,4,0.25,0,1,0,18,29,0.620689655172414,12,13,0.923076923076923,15,15,1,17,28,0.607142857142857,12,13,0.923076923076923,15,15,1,6,12,0.5,5,6,0.833333333333333,7,7,1,0.508771929824561,0.228070175438596,0.263157894736842,0.5,0.232142857142857,0.267857142857143,0.48,0.24,0.28,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,3,0.333333333333333,5,1,8,7,3,4,6,3,3,0.5,0,0,0,0,0,0,1,21,8,6,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5483870967742,55.1612903225806,42.5806451612903,54.1935483870968,17.4193548387097,24.1935483870968,0,0.967741935483871,1.93548387096774,4.83870967741935,0,0.967741935483871,0,0,0,0.967741935483871,0.967741935483871,3.87096774193548,0,0.967741935483871,17.4193548387097,28.0645161290323,11.6129032258065,12.5806451612903,14.5161290322581,14.5161290322581,16.4516129032258,27.0967741935484,11.6129032258065,12.5806451612903,14.5161290322581,14.5161290322581,5.80645161290323,11.6129032258065,4.83870967741935,5.80645161290323,6.7741935483871,6.7741935483871,0,0,0,0,0.967741935483871,0.967741935483871,0,0,0,0,0.967741935483871,0.967741935483871,1.93548387096774,2.90322580645161,4.83870967741935,0.967741935483871,7.74193548387097,6.7741935483871,2.90322580645161,3.87096774193548,5.80645161290323,2.90322580645161,2.90322580645161,0,0,0,0,0,0,0.967741935483871,20.3225806451613,7.74193548387097,5.80645161290323,0.967741935483871,0.967741935483871,0,1.93548387096774,0,2.90322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jans","DEN","18",1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,0,0,0,0,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kildemoes","DEN","4",1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,0.714285714285714,15,21,0.714285714285714,10,14,0.714285714285714,0.666666666666667,0,0,0,2,4,0.5,0,2,0,0,0,0,0,0,0,2,4,0.5,0,2,0,5,10,0.5,5,6,0.833333333333333,5,5,1,5,10,0.5,5,6,0.833333333333333,5,5,1,2,5,0.4,3,4,0.75,5,5,1,0.476190476190476,0.285714285714286,0.238095238095238,0.476190476190476,0.285714285714286,0.238095238095238,0.357142857142857,0.285714285714286,0.357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,6,4,2,1,0,1,0,0,1,0,0,0,0,0,15,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.3478260869565,41.0869565217391,29.3478260869565,41.0869565217391,19.5652173913043,27.3913043478261,0,0,3.91304347826087,7.82608695652174,0,3.91304347826087,0,0,0,0,3.91304347826087,7.82608695652174,0,3.91304347826087,9.78260869565217,19.5652173913043,9.78260869565217,11.7391304347826,9.78260869565217,9.78260869565217,9.78260869565217,19.5652173913043,9.78260869565217,11.7391304347826,9.78260869565217,9.78260869565217,3.91304347826087,9.78260869565217,5.8695652173913,7.82608695652174,9.78260869565217,9.78260869565217,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,0,1.95652173913043,1.95652173913043,3.91304347826087,5.8695652173913,11.7391304347826,7.82608695652174,3.91304347826087,1.95652173913043,0,1.95652173913043,0,1.95652173913043,0,0,0,0,0,29.3478260869565,5.8695652173913,0,0,1.95652173913043,0,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
