"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Barczuk","BOS","0",1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0.875,14,16,0.875,4,5,0.8,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0.777777777777778,3,3,1,4,4,1,7,9,0.777777777777778,3,3,1,4,4,1,2,3,0.666666666666667,1,1,1,1,1,1,0.5625,0.1875,0.25,0.5625,0.1875,0.25,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,1,4,3,1,0.75,0,0,0,0,0,0,0,9,4,0,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.375,45,39.375,45,11.25,14.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6875,25.3125,8.4375,8.4375,11.25,11.25,19.6875,25.3125,8.4375,8.4375,11.25,11.25,5.625,8.4375,2.8125,2.8125,2.8125,2.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8125,0,2.8125,14.0625,11.25,2.8125,11.25,8.4375,2.8125,0,0,0,0,0,0,0,25.3125,11.25,0,8.4375,2.8125,0,5.625,0,5.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC","0",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,0.866666666666667,13,13,1,1,1,1,0.0769230769230769,0,0,0,3,6,0.5,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,23,27,0.851851851851852,3,3,1,0,0,0,12,12,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0.9,0.1,0,0.923076923076923,0.0769230769230769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,0.125,0,0,0,0,2,0,2,1,4,0,0,2,2,0,2,1,0,1,0,0,0,0,1,0,26,30,0.866666666666667,9,10,0.9,1,3,0.333333333333333,3,4,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8936170212766,28.7234042553191,12.4468085106383,12.4468085106383,0.957446808510638,0.957446808510638,0,0,2.87234042553191,5.74468085106383,0,0,0,0,0,0,1.91489361702128,1.91489361702128,0,0,22.0212765957447,25.8510638297872,2.87234042553191,2.87234042553191,0,0,11.4893617021277,11.4893617021277,0.957446808510638,0.957446808510638,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70212765957447,0.957446808510638,7.65957446808511,0,0,0,1.91489361702128,0,1.91489361702128,3.82978723404255,0,0,1.91489361702128,1.91489361702128,0,1.91489361702128,0.957446808510638,0,0.957446808510638,0,0,0,0,0.957446808510638,0,24.8936170212766,28.7234042553191,8.61702127659574,9.57446808510638,0.957446808510638,2.87234042553191,2.87234042553191,3.82978723404255
"Bia","BOS","0",1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0.933333333333333,14,15,0.933333333333333,8,9,0.888888888888889,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0.8,3,3,1,7,7,1,4,5,0.8,3,3,1,7,7,1,3,4,0.75,1,1,1,4,4,1,0.333333333333333,0.2,0.466666666666667,0.333333333333333,0.2,0.466666666666667,0.444444444444444,0.111111111111111,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,1,0,2,4,3,1,2,0,2,0,0,0,0,0,0,0,1,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.375,42.1875,39.375,42.1875,22.5,25.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,14.0625,8.4375,8.4375,19.6875,19.6875,11.25,14.0625,8.4375,8.4375,19.6875,19.6875,8.4375,11.25,2.8125,2.8125,11.25,11.25,0,0,0,0,0,0,0,0,0,0,0,2.8125,2.8125,5.625,2.8125,0,5.625,11.25,8.4375,2.8125,5.625,0,5.625,0,0,0,0,0,0,2.8125,30.9375,0,2.8125,0,0,0,0,0,2.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","BOS","0",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,0.46875,10,24,0.416666666666667,5,14,0.357142857142857,0.583333333333333,0,2,0,1,6,0.166666666666667,0,0,0,5,8,0.625,0,2,0,1,6,0.166666666666667,0,0,0,9,20,0.45,2,8,0.25,4,4,1,4,13,0.307692307692308,2,7,0.285714285714286,4,4,1,3,8,0.375,1,5,0.2,1,1,1,0.625,0.25,0.125,0.541666666666667,0.291666666666667,0.166666666666667,0.571428571428571,0.357142857142857,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,3,3,0,0,0,0,0,3,0,0,0,0,3,13,2,3,4,3,0,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3617021276596,30.6382978723404,9.57446808510638,22.9787234042553,4.78723404255319,13.4042553191489,0,1.91489361702128,0.957446808510638,5.74468085106383,0,0,4.78723404255319,7.65957446808511,0,1.91489361702128,0.957446808510638,5.74468085106383,0,0,8.61702127659574,19.1489361702128,1.91489361702128,7.65957446808511,3.82978723404255,3.82978723404255,3.82978723404255,12.4468085106383,1.91489361702128,6.70212765957447,3.82978723404255,3.82978723404255,2.87234042553191,7.65957446808511,0.957446808510638,4.78723404255319,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,1.91489361702128,5.74468085106383,2.87234042553191,2.87234042553191,0,0,0,0,2.87234042553191,0,0,0,0,2.87234042553191,12.4468085106383,1.91489361702128,2.87234042553191,3.82978723404255,2.87234042553191,0,2.87234042553191,8.61702127659574,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farrelly","PTFC","0",1,94,1,1,0,0,1,0,2,0.5,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,57,73,0.780821917808219,55,71,0.774647887323944,22,30,0.733333333333333,0.422535211267606,0,0,0,2,2,1,1,2,0.5,1,1,1,0,0,0,2,2,1,1,2,0.5,29,45,0.644444444444444,19,19,1,9,9,1,28,44,0.636363636363636,18,18,1,9,9,1,12,20,0.6,9,9,1,1,1,1,0.616438356164384,0.26027397260274,0.123287671232877,0.619718309859155,0.253521126760563,0.126760563380282,0.666666666666667,0.3,0.0333333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,5,3,8,0.625,7,2,12,18,9,6,7,4,3,0.571428571428571,2,1,0,0,0,0,2,16,3,4,1,1,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0.957446808510638,0,1.91489361702128,0,1.91489361702128,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,54.5744680851064,69.8936170212766,52.6595744680851,67.9787234042553,21.063829787234,28.7234042553191,0,0,1.91489361702128,1.91489361702128,0.957446808510638,1.91489361702128,0.957446808510638,0.957446808510638,0,0,1.91489361702128,1.91489361702128,0.957446808510638,1.91489361702128,27.7659574468085,43.0851063829787,18.1914893617021,18.1914893617021,8.61702127659574,8.61702127659574,26.8085106382979,42.1276595744681,17.2340425531915,17.2340425531915,8.61702127659574,8.61702127659574,11.4893617021277,19.1489361702128,8.61702127659574,8.61702127659574,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,4.78723404255319,2.87234042553191,7.65957446808511,6.70212765957447,1.91489361702128,11.4893617021277,17.2340425531915,8.61702127659574,5.74468085106383,6.70212765957447,3.82978723404255,2.87234042553191,1.91489361702128,0.957446808510638,0,0,0,0,1.91489361702128,15.3191489361702,2.87234042553191,3.82978723404255,0.957446808510638,0.957446808510638,0,3.82978723404255,0,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC","0",1,94,1,0,0,0,1,2,3,0,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,53,0.792452830188679,42,53,0.792452830188679,27,35,0.771428571428571,0.660377358490566,0,3,0,1,2,0.5,0,0,0,0,0,0,0,3,0,1,2,0.5,0,0,0,14,22,0.636363636363636,11,12,0.916666666666667,17,19,0.894736842105263,14,22,0.636363636363636,11,12,0.916666666666667,17,19,0.894736842105263,7,12,0.583333333333333,7,8,0.875,13,15,0.866666666666667,0.415094339622642,0.226415094339623,0.358490566037736,0.415094339622642,0.226415094339623,0.358490566037736,0.342857142857143,0.228571428571429,0.428571428571429,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,0.5,3,3,8,4,2,2,2,1,1,0.5,0,0,0,0,0,0,0,30,2,3,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,1.91489361702128,2.87234042553191,1.91489361702128,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2127659574468,50.7446808510638,40.2127659574468,50.7446808510638,25.8510638297872,33.5106382978723,0,2.87234042553191,0.957446808510638,1.91489361702128,0,0,0,0,0,2.87234042553191,0.957446808510638,1.91489361702128,0,0,13.4042553191489,21.063829787234,10.531914893617,11.4893617021277,16.2765957446809,18.1914893617021,13.4042553191489,21.063829787234,10.531914893617,11.4893617021277,16.2765957446809,18.1914893617021,6.70212765957447,11.4893617021277,6.70212765957447,7.65957446808511,12.4468085106383,14.3617021276596,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,1.91489361702128,1.91489361702128,3.82978723404255,2.87234042553191,2.87234042553191,7.65957446808511,3.82978723404255,1.91489361702128,1.91489361702128,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,28.7234042553191,1.91489361702128,2.87234042553191,1.91489361702128,0.957446808510638,0,0.957446808510638,1.91489361702128,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","PTFC","0",1,94,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,55,0.763636363636364,36,49,0.73469387755102,20,27,0.740740740740741,0.551020408163265,5,15,0.333333333333333,0,1,0,0,0,0,6,6,1,5,15,0.333333333333333,0,1,0,0,0,0,5,10,0.5,20,28,0.714285714285714,17,17,1,3,8,0.375,17,25,0.68,16,16,1,0,3,0,8,12,0.666666666666667,12,12,1,0.181818181818182,0.509090909090909,0.309090909090909,0.163265306122449,0.510204081632653,0.326530612244898,0.111111111111111,0.444444444444444,0.444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0.7,3,1,7,11,4,6,3,1,2,0.333333333333333,3,0,0,0,0,0,3,17,3,4,2,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2127659574468,52.6595744680851,34.468085106383,46.9148936170213,19.1489361702128,25.8510638297872,4.78723404255319,14.3617021276596,0,0.957446808510638,0,0,5.74468085106383,5.74468085106383,4.78723404255319,14.3617021276596,0,0.957446808510638,0,0,4.78723404255319,9.57446808510638,19.1489361702128,26.8085106382979,16.2765957446809,16.2765957446809,2.87234042553191,7.65957446808511,16.2765957446809,23.936170212766,15.3191489361702,15.3191489361702,0,2.87234042553191,7.65957446808511,11.4893617021277,11.4893617021277,11.4893617021277,0,0,0,0,0,0,0,0,0,0,0,6.70212765957447,2.87234042553191,9.57446808510638,2.87234042553191,0.957446808510638,6.70212765957447,10.531914893617,3.82978723404255,5.74468085106383,2.87234042553191,0.957446808510638,1.91489361702128,2.87234042553191,0,0,0,0,0,2.87234042553191,16.2765957446809,2.87234042553191,3.82978723404255,1.91489361702128,0,0,0.957446808510638,0.957446808510638,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS","0",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42,0.761904761904762,32,42,0.761904761904762,13,18,0.722222222222222,0.418604651162791,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,19,28,0.678571428571429,4,5,0.8,9,9,1,19,28,0.678571428571429,4,5,0.8,9,9,1,5,10,0.5,1,1,1,7,7,1,0.666666666666667,0.119047619047619,0.214285714285714,0.666666666666667,0.119047619047619,0.214285714285714,0.555555555555556,0.0555555555555556,0.388888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,12,6,4,5,2,3,0.4,0,0,0,0,0,0,2,11,9,6,2,9,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6382978723404,40.2127659574468,30.6382978723404,40.2127659574468,12.4468085106383,17.2340425531915,0,0.957446808510638,0,2.87234042553191,0,0,0,0,0,0.957446808510638,0,2.87234042553191,0,0,18.1914893617021,26.8085106382979,3.82978723404255,4.78723404255319,8.61702127659574,8.61702127659574,18.1914893617021,26.8085106382979,3.82978723404255,4.78723404255319,8.61702127659574,8.61702127659574,4.78723404255319,9.57446808510638,0.957446808510638,0.957446808510638,6.70212765957447,6.70212765957447,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0.957446808510638,11.4893617021277,5.74468085106383,3.82978723404255,4.78723404255319,1.91489361702128,2.87234042553191,0,0,0,0,0,0,1.91489361702128,10.531914893617,8.61702127659574,5.74468085106383,1.91489361702128,8.61702127659574,0,0.957446808510638,0.957446808510638,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kelten","BOS","0",1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ketlen","BOS","0",1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0.4,4,10,0.4,3,6,0.5,0.545454545454545,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,1,4,0.25,3,3,1,0,3,0,1,4,0.25,3,3,1,0,1,0,1,3,0.333333333333333,2,2,1,0.3,0.4,0.3,0.3,0.4,0.3,0.166666666666667,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,2,1,6,3,3,0.5,0,0,0,0,0,0,1,26,6,1,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71428571428571,14.2857142857143,5.71428571428571,14.2857142857143,4.28571428571429,8.57142857142857,0,4.28571428571429,0,1.42857142857143,0,0,0,0,0,4.28571428571429,0,1.42857142857143,0,0,0,4.28571428571429,1.42857142857143,5.71428571428571,4.28571428571429,4.28571428571429,0,4.28571428571429,1.42857142857143,5.71428571428571,4.28571428571429,4.28571428571429,0,1.42857142857143,1.42857142857143,4.28571428571429,2.85714285714286,2.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85714285714286,0,2.85714285714286,4.28571428571429,2.85714285714286,1.42857142857143,8.57142857142857,4.28571428571429,4.28571428571429,0,0,0,0,0,0,1.42857142857143,37.1428571428571,8.57142857142857,1.42857142857143,2.85714285714286,0,0,2.85714285714286,0,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
