"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Averbuch","FCKC",0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,45,0.822222222222222,37,45,0.822222222222222,5,9,0.555555555555556,0.2,0,0,0,1,4,0.25,1,1,1,0,0,0,0,0,0,1,4,0.25,1,1,1,21,29,0.724137931034483,12,12,1,4,4,1,21,29,0.724137931034483,12,12,1,4,4,1,3,7,0.428571428571429,1,1,1,1,1,1,0.644444444444444,0.266666666666667,0.0888888888888889,0.644444444444444,0.266666666666667,0.0888888888888889,0.777777777777778,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,3,3,3,2,1,0.666666666666667,0,0,0,0,0,0,0,4,0,3,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4255319148936,43.0851063829787,35.4255319148936,43.0851063829787,4.78723404255319,8.61702127659574,0,0,0.957446808510638,3.82978723404255,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,3.82978723404255,0.957446808510638,0.957446808510638,20.1063829787234,27.7659574468085,11.4893617021277,11.4893617021277,3.82978723404255,3.82978723404255,20.1063829787234,27.7659574468085,11.4893617021277,11.4893617021277,3.82978723404255,3.82978723404255,2.87234042553191,6.70212765957447,0.957446808510638,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,5.74468085106383,2.87234042553191,2.87234042553191,2.87234042553191,1.91489361702128,0.957446808510638,0,0,0,0,0,0,0,3.82978723404255,0,2.87234042553191,10.531914893617,6.70212765957447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0.884615384615385,8,9,0.888888888888889,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,22,0.863636363636364,4,4,1,0,0,0,5,6,0.833333333333333,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.846153846153846,0.153846153846154,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,6,0,6,1,6,0,0,2,4,0,4,2,0,2,0,0,0,0,1,0,23,26,0.884615384615385,6,6,1,0,0,0,9,11,0.818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0212765957447,24.8936170212766,7.65957446808511,8.61702127659574,0,0,0,0,0,0.957446808510638,0,0,0,0,0,0,0,0.957446808510638,0,0,18.1914893617021,21.063829787234,3.82978723404255,3.82978723404255,0,0,4.78723404255319,5.74468085106383,2.87234042553191,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0,1.91489361702128,0.957446808510638,0,0.957446808510638,5.74468085106383,0,5.74468085106383,5.74468085106383,0,0,1.91489361702128,3.82978723404255,0,3.82978723404255,1.91489361702128,0,1.91489361702128,0,0,0,0,0.957446808510638,0,22.0212765957447,24.8936170212766,5.74468085106383,5.74468085106383,0,0,8.61702127659574,10.531914893617
"Brown","FCKC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,51,0.882352941176471,40,46,0.869565217391304,16,19,0.842105263157895,0.41304347826087,3,3,1,1,1,1,0,1,0,5,5,1,3,3,1,1,1,1,0,1,0,18,24,0.75,12,12,1,15,15,1,17,23,0.739130434782609,12,12,1,11,11,1,6,9,0.666666666666667,4,4,1,6,6,1,0.470588235294118,0.235294117647059,0.294117647058824,0.5,0.260869565217391,0.239130434782609,0.473684210526316,0.210526315789474,0.315789473684211,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0.714285714285714,1,2,5,3,0,3,2,1,1,0.5,0,0,0,0,0,0,1,10,0,1,10,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0851063829787,48.8297872340425,38.2978723404255,44.0425531914894,15.3191489361702,18.1914893617021,2.87234042553191,2.87234042553191,0.957446808510638,0.957446808510638,0,0.957446808510638,4.78723404255319,4.78723404255319,2.87234042553191,2.87234042553191,0.957446808510638,0.957446808510638,0,0.957446808510638,17.2340425531915,22.9787234042553,11.4893617021277,11.4893617021277,14.3617021276596,14.3617021276596,16.2765957446809,22.0212765957447,11.4893617021277,11.4893617021277,10.531914893617,10.531914893617,5.74468085106383,8.61702127659574,3.82978723404255,3.82978723404255,5.74468085106383,5.74468085106383,0,0,0,0,0,0,0,0,0,0,0,4.78723404255319,1.91489361702128,6.70212765957447,0.957446808510638,1.91489361702128,4.78723404255319,2.87234042553191,0,2.87234042553191,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0.957446808510638,9.57446808510638,0,0.957446808510638,9.57446808510638,1.91489361702128,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buczkowski","FCKC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,41,0.926829268292683,37,40,0.925,16,17,0.941176470588235,0.425,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,21,23,0.91304347826087,10,10,1,7,8,0.875,20,22,0.909090909090909,10,10,1,7,8,0.875,8,9,0.888888888888889,4,4,1,4,4,1,0.560975609756098,0.24390243902439,0.195121951219512,0.55,0.25,0.2,0.529411764705882,0.235294117647059,0.235294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,3,2,2,1,1,0.5,0,2,0,0,0,0,3,18,0,0,4,1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3829787234042,39.2553191489362,35.4255319148936,38.2978723404255,15.3191489361702,16.2765957446809,0,0,0,0.957446808510638,0,0,0.957446808510638,0.957446808510638,0,0,0,0.957446808510638,0,0,20.1063829787234,22.0212765957447,9.57446808510638,9.57446808510638,6.70212765957447,7.65957446808511,19.1489361702128,21.063829787234,9.57446808510638,9.57446808510638,6.70212765957447,7.65957446808511,7.65957446808511,8.61702127659574,3.82978723404255,3.82978723404255,3.82978723404255,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0.957446808510638,4.78723404255319,2.87234042553191,1.91489361702128,1.91489361702128,0.957446808510638,0.957446808510638,0,1.91489361702128,0,0,0,0,2.87234042553191,17.2340425531915,0,0,3.82978723404255,0.957446808510638,0,1.91489361702128,0.957446808510638,4.78723404255319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,53,0.962264150943396,49,51,0.96078431372549,9,10,0.9,0.196078431372549,1,1,1,2,4,0.5,0,0,0,2,2,1,1,1,1,2,4,0.5,0,0,0,25,27,0.925925925925926,19,19,1,7,7,1,25,27,0.925925925925926,18,18,1,6,6,1,6,7,0.857142857142857,2,2,1,1,1,1,0.509433962264151,0.358490566037736,0.132075471698113,0.529411764705882,0.352941176470588,0.117647058823529,0.7,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,2,4,0,3,6,5,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8297872340425,50.7446808510638,46.9148936170213,48.8297872340425,8.61702127659574,9.57446808510638,0.957446808510638,0.957446808510638,1.91489361702128,3.82978723404255,0,0,1.91489361702128,1.91489361702128,0.957446808510638,0.957446808510638,1.91489361702128,3.82978723404255,0,0,23.936170212766,25.8510638297872,18.1914893617021,18.1914893617021,6.70212765957447,6.70212765957447,23.936170212766,25.8510638297872,17.2340425531915,17.2340425531915,5.74468085106383,5.74468085106383,5.74468085106383,6.70212765957447,1.91489361702128,1.91489361702128,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91489361702128,0.957446808510638,0.957446808510638,0.957446808510638,0,0.957446808510638,0,0,0,0,0,0,1.91489361702128,3.82978723404255,0,2.87234042553191,5.74468085106383,4.78723404255319,0,0.957446808510638,0.957446808510638,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cox","SRFC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,48,0.791666666666667,29,36,0.805555555555556,9,11,0.818181818181818,0.305555555555556,1,4,0.25,1,1,1,2,2,1,8,9,0.888888888888889,1,4,0.25,1,1,1,2,2,1,22,28,0.785714285714286,8,12,0.666666666666667,8,8,1,15,21,0.714285714285714,6,7,0.857142857142857,8,8,1,7,9,0.777777777777778,1,1,1,1,1,1,0.583333333333333,0.25,0.166666666666667,0.583333333333333,0.194444444444444,0.222222222222222,0.818181818181818,0.0909090909090909,0.0909090909090909,1,3,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,1,0,1,0,0,0,0,1,19,0,2,4,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3829787234042,45.9574468085106,27.7659574468085,34.468085106383,8.61702127659574,10.531914893617,0.957446808510638,3.82978723404255,0.957446808510638,0.957446808510638,1.91489361702128,1.91489361702128,7.65957446808511,8.61702127659574,0.957446808510638,3.82978723404255,0.957446808510638,0.957446808510638,1.91489361702128,1.91489361702128,21.063829787234,26.8085106382979,7.65957446808511,11.4893617021277,7.65957446808511,7.65957446808511,14.3617021276596,20.1063829787234,5.74468085106383,6.70212765957447,7.65957446808511,7.65957446808511,6.70212765957447,8.61702127659574,0.957446808510638,0.957446808510638,0.957446808510638,0.957446808510638,0.957446808510638,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82978723404255,3.82978723404255,0,0.957446808510638,0.957446808510638,0,0,0.957446808510638,0,0,0,0,0.957446808510638,18.1914893617021,0,1.91489361702128,3.82978723404255,0.957446808510638,0,0.957446808510638,1.91489361702128,1.91489361702128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,44,0.727272727272727,32,44,0.727272727272727,10,15,0.666666666666667,0.340909090909091,0,3,0,2,4,0.5,0,1,0,0,0,0,0,3,0,2,4,0.5,0,1,0,15,25,0.6,8,10,0.8,9,9,1,15,25,0.6,8,10,0.8,9,9,1,4,9,0.444444444444444,3,3,1,3,3,1,0.568181818181818,0.227272727272727,0.204545454545455,0.568181818181818,0.227272727272727,0.204545454545455,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0.5,1,2,6,12,5,7,7,5,2,0.714285714285714,2,0,0,0,0,0,1,31,0,3,8,2,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6382978723404,42.1276595744681,30.6382978723404,42.1276595744681,9.57446808510638,14.3617021276596,0,2.87234042553191,1.91489361702128,3.82978723404255,0,0.957446808510638,0,0,0,2.87234042553191,1.91489361702128,3.82978723404255,0,0.957446808510638,14.3617021276596,23.936170212766,7.65957446808511,9.57446808510638,8.61702127659574,8.61702127659574,14.3617021276596,23.936170212766,7.65957446808511,9.57446808510638,8.61702127659574,8.61702127659574,3.82978723404255,8.61702127659574,2.87234042553191,2.87234042553191,2.87234042553191,2.87234042553191,0,0,0,0,0,0,0,0,0,0,0,2.87234042553191,2.87234042553191,5.74468085106383,0.957446808510638,1.91489361702128,5.74468085106383,11.4893617021277,4.78723404255319,6.70212765957447,6.70212765957447,4.78723404255319,1.91489361702128,1.91489361702128,0,0,0,0,0,0.957446808510638,29.6808510638298,0,2.87234042553191,7.65957446808511,1.91489361702128,0,3.82978723404255,1.91489361702128,4.78723404255319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,48,0.854166666666667,36,42,0.857142857142857,17,19,0.894736842105263,0.452380952380952,1,3,0.333333333333333,0,2,0,1,1,1,5,6,0.833333333333333,1,3,0.333333333333333,0,2,0,1,1,1,15,21,0.714285714285714,10,11,0.909090909090909,16,16,1,11,16,0.6875,9,10,0.9,16,16,1,8,9,0.888888888888889,2,3,0.666666666666667,7,7,1,0.4375,0.229166666666667,0.333333333333333,0.380952380952381,0.238095238095238,0.380952380952381,0.473684210526316,0.157894736842105,0.368421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,1,3,3,0,0,0,0,0,1,0,0,0,0,0,1,22,0,2,4,0,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.9220779220779,56.1038961038961,42.0779220779221,49.0909090909091,19.8701298701299,22.2077922077922,1.16883116883117,3.50649350649351,0,2.33766233766234,1.16883116883117,1.16883116883117,5.84415584415584,7.01298701298701,1.16883116883117,3.50649350649351,0,2.33766233766234,1.16883116883117,1.16883116883117,17.5324675324675,24.5454545454545,11.6883116883117,12.8571428571429,18.7012987012987,18.7012987012987,12.8571428571429,18.7012987012987,10.5194805194805,11.6883116883117,18.7012987012987,18.7012987012987,9.35064935064935,10.5194805194805,2.33766233766234,3.50649350649351,8.18181818181818,8.18181818181818,0,0,0,0,0,0,0,0,0,0,0,1.16883116883117,1.16883116883117,2.33766233766234,0,0,1.16883116883117,3.50649350649351,3.50649350649351,0,0,0,0,1.16883116883117,0,0,0,0,0,1.16883116883117,25.7142857142857,0,2.33766233766234,4.67532467532468,0,3.50649350649351,2.33766233766234,2.33766233766234,3.50649350649351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.957446808510638,0,0.957446808510638,0,0.957446808510638,0.957446808510638,1.91489361702128,1.91489361702128,0,0.957446808510638,0.957446808510638,0,0,0,0,0,0,0,0,3.82978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
