"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Barnes","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0.869565217391304,20,23,0.869565217391304,5,5,1,0.217391304347826,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,12,13,0.923076923076923,7,8,0.875,1,2,0.5,12,13,0.923076923076923,7,8,0.875,1,2,0.5,3,3,1,2,2,1,0,0,0,0.565217391304348,0.347826086956522,0.0869565217391304,0.565217391304348,0.347826086956522,0.0869565217391304,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,1,2,0.333333333333333,0,1,0,0,0,0,0,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9473684210526,21.7894736842105,18.9473684210526,21.7894736842105,4.73684210526316,4.73684210526316,0,0,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0.947368421052632,1.89473684210526,0,0,11.3684210526316,12.3157894736842,6.63157894736842,7.57894736842105,0.947368421052632,1.89473684210526,11.3684210526316,12.3157894736842,6.63157894736842,7.57894736842105,0.947368421052632,1.89473684210526,2.84210526315789,2.84210526315789,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84210526315789,2.84210526315789,0,2.84210526315789,0.947368421052632,1.89473684210526,0,0.947368421052632,0,0,0,0,0,0,2.84210526315789,1.89473684210526,0.947368421052632,1.89473684210526,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bullock","SRFC",0,1,7,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8571428571429,0,0,0,0,12.8571428571429,12.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7142857142857,25.7142857142857,25.7142857142857,25.7142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8571428571429,12.8571428571429,0,0,12.8571428571429,12.8571428571429,12.8571428571429,12.8571428571429,0,0,12.8571428571429,12.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7142857142857,12.8571428571429,12.8571428571429,0,0,0,0,0,0,0,0,0,0,12.8571428571429,0,0,0,12.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church","WAS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,0.810810810810811,27,32,0.84375,14,16,0.875,0.5,0,4,0,0,0,0,0,0,0,3,5,0.6,0,4,0,0,0,0,0,0,0,13,19,0.684210526315789,7,8,0.875,10,10,1,13,18,0.722222222222222,5,5,1,9,9,1,7,9,0.777777777777778,3,3,1,4,4,1,0.513513513513513,0.216216216216216,0.27027027027027,0.5625,0.15625,0.28125,0.5625,0.1875,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,6,3,2,1,1,0,1,0,0,0,0,0,0,0,12,11,1,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4210526315789,35.0526315789474,25.5789473684211,30.3157894736842,13.2631578947368,15.1578947368421,0,3.78947368421053,0,0,0,0,2.84210526315789,4.73684210526316,0,3.78947368421053,0,0,0,0,12.3157894736842,18,6.63157894736842,7.57894736842105,9.47368421052632,9.47368421052632,12.3157894736842,17.0526315789474,4.73684210526316,4.73684210526316,8.52631578947368,8.52631578947368,6.63157894736842,8.52631578947368,2.84210526315789,2.84210526315789,3.78947368421053,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0.947368421052632,1.89473684210526,5.68421052631579,2.84210526315789,1.89473684210526,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,11.3684210526316,10.4210526315789,0.947368421052632,3.78947368421053,3.78947368421053,0,1.89473684210526,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,0.777777777777778,20,26,0.769230769230769,5,6,0.833333333333333,0.230769230769231,0,0,0,1,4,0.25,0,0,0,0,0,0,0,0,0,1,4,0.25,0,0,0,14,20,0.7,4,4,1,3,3,1,14,20,0.7,3,3,1,3,3,1,3,4,0.75,1,1,1,1,1,1,0.740740740740741,0.148148148148148,0.111111111111111,0.769230769230769,0.115384615384615,0.115384615384615,0.666666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,3,3,0,2,2,0,1,0,0,0,0,0,0,1,1,3,8,3,8,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8947368421053,25.5789473684211,18.9473684210526,24.6315789473684,4.73684210526316,5.68421052631579,0,0,0.947368421052632,3.78947368421053,0,0,0,0,0,0,0.947368421052632,3.78947368421053,0,0,13.2631578947368,18.9473684210526,3.78947368421053,3.78947368421053,2.84210526315789,2.84210526315789,13.2631578947368,18.9473684210526,2.84210526315789,2.84210526315789,2.84210526315789,2.84210526315789,2.84210526315789,3.78947368421053,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0,0.947368421052632,2.84210526315789,2.84210526315789,0,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,2.84210526315789,7.57894736842105,2.84210526315789,7.57894736842105,0.947368421052632,2.84210526315789,0,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cox","SRFC",0,1,95,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,54,0.722222222222222,31,42,0.738095238095238,10,14,0.714285714285714,0.333333333333333,0,1,0,3,6,0.5,0,0,0,7,7,1,0,1,0,3,6,0.5,0,0,0,31,39,0.794871794871795,1,7,0.142857142857143,7,8,0.875,23,31,0.741935483870968,1,3,0.333333333333333,7,8,0.875,6,9,0.666666666666667,1,1,1,3,4,0.75,0.722222222222222,0.12962962962963,0.148148148148148,0.738095238095238,0.0714285714285714,0.19047619047619,0.642857142857143,0.0714285714285714,0.285714285714286,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,3,3,0,1,0,0,0,0,0,0,0,10,5,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9473684210526,51.1578947368421,29.3684210526316,39.7894736842105,9.47368421052632,13.2631578947368,0,0.947368421052632,2.84210526315789,5.68421052631579,0,0,6.63157894736842,6.63157894736842,0,0.947368421052632,2.84210526315789,5.68421052631579,0,0,29.3684210526316,36.9473684210526,0.947368421052632,6.63157894736842,6.63157894736842,7.57894736842105,21.7894736842105,29.3684210526316,0.947368421052632,2.84210526315789,6.63157894736842,7.57894736842105,5.68421052631579,8.52631578947368,0.947368421052632,0.947368421052632,2.84210526315789,3.78947368421053,0,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,2.84210526315789,1.89473684210526,2.84210526315789,2.84210526315789,0,0,0,0,0,0,0,0,9.47368421052632,4.73684210526316,0.947368421052632,1.89473684210526,0,0,0.947368421052632,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DaCosta","WAS",0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0.95,19,20,0.95,12,13,0.923076923076923,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.857142857142857,3,3,1,10,10,1,6,7,0.857142857142857,3,3,1,10,10,1,4,5,0.8,2,2,1,6,6,1,0.35,0.15,0.5,0.35,0.15,0.5,0.384615384615385,0.153846153846154,0.461538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1,2,0,2,0,0,0,0,0,0,0,0,4,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8979591836735,36.734693877551,34.8979591836735,36.734693877551,22.0408163265306,23.8775510204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0204081632653,12.8571428571429,5.51020408163265,5.51020408163265,18.3673469387755,18.3673469387755,11.0204081632653,12.8571428571429,5.51020408163265,5.51020408163265,18.3673469387755,18.3673469387755,7.3469387755102,9.18367346938776,3.6734693877551,3.6734693877551,11.0204081632653,11.0204081632653,0,0,0,0,0,0,0,0,0,0,0,1.83673469387755,0,1.83673469387755,0,0,0,3.6734693877551,1.83673469387755,1.83673469387755,3.6734693877551,0,3.6734693877551,0,0,0,0,0,0,0,7.3469387755102,14.6938775510204,1.83673469387755,1.83673469387755,1.83673469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,95,1,0,2,0,1,0,3,0.666666666666667,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,0.580645161290323,18,31,0.580645161290323,13,19,0.684210526315789,0.612903225806452,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,6,15,0.4,7,9,0.777777777777778,5,7,0.714285714285714,6,15,0.4,7,9,0.777777777777778,5,7,0.714285714285714,4,7,0.571428571428571,5,7,0.714285714285714,4,5,0.8,0.483870967741935,0.290322580645161,0.225806451612903,0.483870967741935,0.290322580645161,0.225806451612903,0.368421052631579,0.368421052631579,0.263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0.75,3,5,9,6,1,5,11,5,6,0.454545454545455,3,2,0,0,0,0,1,18,14,1,3,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,0.947368421052632,0,2.84210526315789,1.89473684210526,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0526315789474,29.3684210526316,17.0526315789474,29.3684210526316,12.3157894736842,18,0,1.89473684210526,0,0,0,1.89473684210526,0,0,0,1.89473684210526,0,0,0,1.89473684210526,5.68421052631579,14.2105263157895,6.63157894736842,8.52631578947368,4.73684210526316,6.63157894736842,5.68421052631579,14.2105263157895,6.63157894736842,8.52631578947368,4.73684210526316,6.63157894736842,3.78947368421053,6.63157894736842,4.73684210526316,6.63157894736842,3.78947368421053,4.73684210526316,0,0,0,0,0,0,0,0,0,0,0,2.84210526315789,0.947368421052632,3.78947368421053,2.84210526315789,4.73684210526316,8.52631578947368,5.68421052631579,0.947368421052632,4.73684210526316,10.4210526315789,4.73684210526316,5.68421052631579,2.84210526315789,1.89473684210526,0,0,0,0,0.947368421052632,17.0526315789474,13.2631578947368,0.947368421052632,2.84210526315789,0,0,1.89473684210526,0,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,95,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,0.666666666666667,24,35,0.685714285714286,10,13,0.769230769230769,0.371428571428571,0,0,0,2,6,0.333333333333333,0,2,0,0,0,0,0,0,0,2,5,0.4,0,2,0,12,23,0.521739130434783,7,8,0.875,5,5,1,12,22,0.545454545454545,7,8,0.875,5,5,1,7,10,0.7,2,2,1,1,1,1,0.638888888888889,0.222222222222222,0.138888888888889,0.628571428571429,0.228571428571429,0.142857142857143,0.769230769230769,0.153846153846154,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,8,7,1,5,5,0,1,1,0,0,0,0,0,2,25,11,4,4,3,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89473684210526,0,1.89473684210526,0,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7368421052632,34.1052631578947,22.7368421052632,33.1578947368421,9.47368421052632,12.3157894736842,0,0,1.89473684210526,5.68421052631579,0,1.89473684210526,0,0,0,0,1.89473684210526,4.73684210526316,0,1.89473684210526,11.3684210526316,21.7894736842105,6.63157894736842,7.57894736842105,4.73684210526316,4.73684210526316,11.3684210526316,20.8421052631579,6.63157894736842,7.57894736842105,4.73684210526316,4.73684210526316,6.63157894736842,9.47368421052632,1.89473684210526,1.89473684210526,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0.947368421052632,1.89473684210526,7.57894736842105,6.63157894736842,0.947368421052632,4.73684210526316,4.73684210526316,0,0.947368421052632,0,0,0,0,0,1.89473684210526,23.6842105263158,10.4210526315789,3.78947368421053,3.78947368421053,2.84210526315789,0.947368421052632,1.89473684210526,0.947368421052632,3.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,42,0.80952380952381,22,27,0.814814814814815,6,8,0.75,0.296296296296296,1,1,1,0,1,0,0,0,0,11,14,0.785714285714286,1,1,1,0,1,0,0,0,0,23,30,0.766666666666667,6,7,0.857142857142857,5,5,1,14,18,0.777777777777778,4,5,0.8,4,4,1,2,3,0.666666666666667,2,3,0.666666666666667,2,2,1,0.714285714285714,0.166666666666667,0.119047619047619,0.666666666666667,0.185185185185185,0.148148148148148,0.375,0.375,0.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,5,1,4,3,1,0.75,0,1,0,0,0,0,0,17,5,6,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2105263157895,39.7894736842105,20.8421052631579,25.5789473684211,5.68421052631579,7.57894736842105,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0,10.4210526315789,13.2631578947368,0.947368421052632,0.947368421052632,0,0.947368421052632,0,0,21.7894736842105,28.4210526315789,5.68421052631579,6.63157894736842,4.73684210526316,4.73684210526316,13.2631578947368,17.0526315789474,3.78947368421053,4.73684210526316,3.78947368421053,3.78947368421053,1.89473684210526,2.84210526315789,1.89473684210526,2.84210526315789,1.89473684210526,1.89473684210526,0.947368421052632,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0.947368421052632,5.68421052631579,4.73684210526316,0.947368421052632,3.78947368421053,2.84210526315789,0.947368421052632,0,0.947368421052632,0,0,0,0,0,16.1052631578947,4.73684210526316,5.68421052631579,1.89473684210526,0.947368421052632,0,0.947368421052632,1.89473684210526,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harris","WAS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,0.692307692307692,9,10,0.9,0,1,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,24,0.666666666666667,2,2,1,0,0,0,8,9,0.888888888888889,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.923076923076923,0.0769230769230769,0,0.9,0.1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0.375,1,1,2,0.5,7,0,7,1,7,0,0,0,2,0,2,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0526315789474,24.6315789473684,8.52631578947368,9.47368421052632,0,0.947368421052632,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0.947368421052632,0,0,15.1578947368421,22.7368421052632,1.89473684210526,1.89473684210526,0,0,7.57894736842105,8.52631578947368,0.947368421052632,0.947368421052632,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0.947368421052632,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,2.84210526315789,7.57894736842105,0.947368421052632,0.947368421052632,1.89473684210526,6.63157894736842,0,6.63157894736842,6.63157894736842,0,0,0,1.89473684210526,0,1.89473684210526,2.84210526315789,0,2.84210526315789,0,0,0,0,1.89473684210526,0,0,0,0,0,0,0,0,0
