"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Brooks","HOU",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,0.787878787878788,26,33,0.787878787878788,17,20,0.85,0.606060606060606,0,1,0,1,3,0.333333333333333,1,4,0.25,0,0,0,0,1,0,1,3,0.333333333333333,1,4,0.25,14,20,0.7,5,6,0.833333333333333,7,7,1,14,20,0.7,5,6,0.833333333333333,7,7,1,9,11,0.818181818181818,4,5,0.8,4,4,1,0.606060606060606,0.181818181818182,0.212121212121212,0.606060606060606,0.181818181818182,0.212121212121212,0.55,0.25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,7,3,4,4,1,3,0.25,0,2,0,0,0,0,1,14,8,1,5,0,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,0.863636363636364,18,21,0.857142857142857,4,6,0.666666666666667,0.285714285714286,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,9,12,0.75,7,7,1,3,3,1,9,12,0.75,6,6,1,3,3,1,2,4,0.5,0,0,0,2,2,1,0.545454545454545,0.318181818181818,0.136363636363636,0.571428571428571,0.285714285714286,0.142857142857143,0.666666666666667,0,0.333333333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,2,2,0,2,2,1,1,0.5,0,0,0,0,0,0,0,9,1,4,3,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,95,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,46,0.826086956521739,37,44,0.840909090909091,19,21,0.904761904761905,0.477272727272727,0,1,0,1,3,0.333333333333333,1,2,0.5,0,0,0,0,0,0,1,3,0.333333333333333,0,1,0,17,24,0.708333333333333,12,13,0.923076923076923,9,9,1,16,22,0.727272727272727,12,13,0.923076923076923,9,9,1,9,10,0.9,6,7,0.857142857142857,4,4,1,0.521739130434783,0.282608695652174,0.195652173913043,0.5,0.295454545454545,0.204545454545455,0.476190476190476,0.333333333333333,0.19047619047619,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,1,1,0,0,0,1,4,3,1,4,3,1,0.75,0,1,0,0,0,0,1,14,1,2,9,3,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",0,1,95,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0.607142857142857,17,28,0.607142857142857,15,22,0.681818181818182,0.785714285714286,0,1,0,0,1,0,1,2,0.5,0,0,0,0,1,0,0,1,0,1,2,0.5,6,10,0.6,8,12,0.666666666666667,3,6,0.5,6,10,0.6,8,12,0.666666666666667,3,6,0.5,4,6,0.666666666666667,8,12,0.666666666666667,3,4,0.75,0.357142857142857,0.428571428571429,0.214285714285714,0.357142857142857,0.428571428571429,0.214285714285714,0.272727272727273,0.545454545454545,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,1,1,7,1,6,0.142857142857143,0,1,0,0,0,0,1,18,5,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crosson","HOU",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,44,0.545454545454545,15,27,0.555555555555556,9,13,0.692307692307692,0.481481481481481,0,5,0,0,3,0,0,0,0,7,8,0.875,0,5,0,0,2,0,0,0,0,14,25,0.56,7,16,0.4375,3,3,1,8,17,0.470588235294118,4,7,0.571428571428571,3,3,1,4,7,0.571428571428571,2,3,0.666666666666667,3,3,1,0.568181818181818,0.363636363636364,0.0681818181818182,0.62962962962963,0.259259259259259,0.111111111111111,0.538461538461538,0.230769230769231,0.230769230769231,2,8,0.25,0,0,0,1,0,0,0,0,0,1,2,0,2,1,0,3,3,3,3,0,6,3,3,0.5,1,1,1,0,0,0,0,11,4,1,6,2,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalton","CRS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,44,0.863636363636364,21,23,0.91304347826087,2,2,1,0.0869565217391304,0,0,0,2,6,0.333333333333333,0,0,0,0,0,0,0,0,0,2,4,0.5,0,0,0,30,36,0.833333333333333,8,8,1,0,0,0,18,20,0.9,3,3,1,0,0,0,2,2,1,0,0,0,0,0,0,0.818181818181818,0.181818181818182,0,0.869565217391304,0.130434782608696,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,1,1,2,0.5,1,0,0,2,0,1,1,1,0,1,0,1,1,0,0,0,38,44,0.863636363636364,8,8,1,1,2,0.5,8,11,0.727272727272727
"Daly","HOU",0,1,95,1,1,0,0,0,1,2,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0.571428571428571,9,17,0.529411764705882,8,9,0.888888888888889,0.529411764705882,1,5,0.2,0,1,0,2,3,0.666666666666667,2,2,1,0,4,0,0,0,0,2,3,0.666666666666667,5,10,0.5,6,10,0.6,1,1,1,4,8,0.5,4,8,0.5,1,1,1,3,4,0.75,4,4,1,1,1,1,0.476190476190476,0.476190476190476,0.0476190476190476,0.470588235294118,0.470588235294118,0.0588235294117647,0.444444444444444,0.444444444444444,0.111111111111111,0,0,0,0,0,1,2,0.5,0,0,0,0,2,3,1,4,0.75,0,3,4,5,3,2,5,2,3,0.4,2,1,0,0,0,0,1,15,1,2,4,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",0,1,95,1,0,0,1,4,0,5,0.2,1,4,0.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,32,47,0.680851063829787,27,38,0.710526315789474,18,24,0.75,0.631578947368421,1,4,0.25,0,1,0,0,3,0,0,0,0,1,4,0.25,0,1,0,0,3,0,21,26,0.807692307692308,8,17,0.470588235294118,3,4,0.75,21,26,0.807692307692308,3,8,0.375,3,4,0.75,14,17,0.823529411764706,2,4,0.5,2,3,0.666666666666667,0.553191489361702,0.361702127659574,0.0851063829787234,0.684210526315789,0.210526315789474,0.105263157894737,0.708333333333333,0.166666666666667,0.125,4,8,0.5,0,0,1,1,1,0,0,0,0,1,2,1,3,0.666666666666667,0,2,3,17,11,6,3,2,1,0.666666666666667,4,1,0,0,0,0,1,19,1,0,1,1,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florio","HOU",0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,4,1,2,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0.333333333333333,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,32,45,0.711111111111111,14,25,0.56,8,14,0.571428571428571,0.56,3,4,0.75,1,2,0.5,0,2,0,18,20,0.9,3,4,0.75,1,2,0.5,0,2,0,19,30,0.633333333333333,9,11,0.818181818181818,4,4,1,7,17,0.411764705882353,5,6,0.833333333333333,2,2,1,3,9,0.333333333333333,3,3,1,2,2,1,0.666666666666667,0.244444444444444,0.0888888888888889,0.68,0.24,0.08,0.642857142857143,0.214285714285714,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.333333333333333,1,1,4,4,2,2,4,3,1,0.75,0,0,0,0,0,0,0,20,0,2,5,3,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
