"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Arlitt","FCKC",0,1,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,43,0.604651162790698,16,29,0.551724137931034,11,16,0.6875,0.551724137931034,0,2,0,2,8,0.25,0,1,0,9,13,0.692307692307692,0,2,0,2,8,0.25,0,1,0,19,33,0.575757575757576,5,7,0.714285714285714,2,3,0.666666666666667,11,21,0.523809523809524,3,5,0.6,2,3,0.666666666666667,7,11,0.636363636363636,3,4,0.75,1,1,1,0.767441860465116,0.162790697674419,0.0697674418604651,0.724137931034483,0.172413793103448,0.103448275862069,0.6875,0.25,0.0625,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,3,0.666666666666667,2,1,4,11,8,3,2,2,0,1,1,0,0,0,0,0,0,7,2,0,4,3,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,48,0.875,40,46,0.869565217391304,10,12,0.833333333333333,0.260869565217391,1,2,0.5,3,7,0.428571428571429,0,0,0,0,0,0,1,2,0.5,2,6,0.333333333333333,0,0,0,23,28,0.821428571428571,15,16,0.9375,4,4,1,22,27,0.814814814814815,14,15,0.933333333333333,4,4,1,8,9,0.888888888888889,1,2,0.5,1,1,1,0.583333333333333,0.333333333333333,0.0833333333333333,0.58695652173913,0.326086956521739,0.0869565217391304,0.75,0.166666666666667,0.0833333333333333,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,7,4,3,4,3,1,0.75,0,2,0,0,0,0,0,15,3,1,4,6,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,0.896551724137931,13,13,1,0,0,0,0,0,0,0,2,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,0.875,5,5,1,0,0,0,12,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.827586206896552,0.172413793103448,0,0.923076923076923,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,29,0.896551724137931,8,8,1,0,0,0,5,8,0.625
"Bowen","FCKC",0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0.789473684210526,11,15,0.733333333333333,5,8,0.625,0.533333333333333,0,1,0,0,0,0,1,2,0.5,4,4,1,0,1,0,0,0,0,1,2,0.5,6,9,0.666666666666667,3,4,0.75,6,6,1,4,7,0.571428571428571,3,4,0.75,4,4,1,2,4,0.5,2,3,0.666666666666667,1,1,1,0.473684210526316,0.210526315789474,0.315789473684211,0.466666666666667,0.266666666666667,0.266666666666667,0.5,0.375,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,3,0,4,4,0,1,0,1,0,0,0,0,0,1,2,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,0.75,21,28,0.75,11,15,0.733333333333333,0.535714285714286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,11,0.454545454545455,10,11,0.909090909090909,6,6,1,5,11,0.454545454545455,10,11,0.909090909090909,6,6,1,5,9,0.555555555555556,3,3,1,3,3,1,0.392857142857143,0.392857142857143,0.214285714285714,0.392857142857143,0.392857142857143,0.214285714285714,0.6,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,6,5,7,1,6,0.142857142857143,3,1,0,0,0,0,0,8,4,0,3,2,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,2,3,0.666666666666667,2,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",0,1,91,1,0,0,0,0,2,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,45,0.733333333333333,32,37,0.864864864864865,20,24,0.833333333333333,0.648648648648649,2,6,0.333333333333333,0,0,0,3,3,1,0,0,0,1,3,0.333333333333333,0,0,0,3,3,1,19,26,0.730769230769231,6,11,0.545454545454545,8,8,1,18,22,0.818181818181818,6,7,0.857142857142857,8,8,1,12,15,0.8,3,4,0.75,5,5,1,0.577777777777778,0.244444444444444,0.177777777777778,0.594594594594595,0.189189189189189,0.216216216216216,0.625,0.166666666666667,0.208333333333333,0,4,0,0,0,1,4,0.25,0,0,0,0,4,2,0,2,1,1,0,1,8,4,4,3,0,3,0,0,2,0,0,0,0,1,40,1,5,3,1,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.857142857142857,3,4,0.75,3,3,1,0.75,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,3,3,1,2,3,0.666666666666667,1,1,1,2,2,1,0,1,0,1,1,1,2,2,1,0,0,0,1,1,1,0.428571428571429,0.428571428571429,0.142857142857143,0.5,0.25,0.25,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gorden","CRS",0,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,0.536585365853659,15,29,0.517241379310345,10,19,0.526315789473684,0.655172413793103,0,5,0,1,2,0.5,0,1,0,7,12,0.583333333333333,0,5,0,1,2,0.5,0,1,0,8,23,0.347826086956522,3,7,0.428571428571429,11,11,1,5,15,0.333333333333333,1,5,0.2,9,9,1,3,9,0.333333333333333,1,4,0.25,6,6,1,0.560975609756098,0.170731707317073,0.268292682926829,0.517241379310345,0.172413793103448,0.310344827586207,0.473684210526316,0.210526315789474,0.315789473684211,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0.6,1,2,5,7,2,4,9,4,5,0.444444444444444,2,2,0,0,0,0,1,10,1,1,6,0,1,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,91,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0.785714285714286,11,14,0.785714285714286,11,12,0.916666666666667,0.857142857142857,1,2,0.5,0,0,0,1,3,0.333333333333333,0,0,0,1,2,0.5,0,0,0,1,3,0.333333333333333,1,3,0.333333333333333,6,7,0.857142857142857,4,4,1,1,3,0.333333333333333,6,7,0.857142857142857,4,4,1,1,2,0.5,6,6,1,4,4,1,0.214285714285714,0.5,0.285714285714286,0.214285714285714,0.5,0.285714285714286,0.166666666666667,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0.8,3,2,6,8,2,6,8,4,4,0.5,3,1,0,0,0,0,0,18,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
