"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Arlitt","FCKC",0,1,93,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,53,0.773584905660377,26,36,0.722222222222222,18,24,0.75,0.666666666666667,0,0,0,1,2,0.5,0,1,0,15,17,0.882352941176471,0,0,0,1,2,0.5,0,1,0,19,30,0.633333333333333,14,15,0.933333333333333,8,8,1,12,21,0.571428571428571,6,7,0.857142857142857,8,8,1,9,14,0.642857142857143,5,6,0.833333333333333,4,4,1,0.566037735849057,0.283018867924528,0.150943396226415,0.583333333333333,0.194444444444444,0.222222222222222,0.583333333333333,0.25,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.333333333333333,1,2,5,8,7,1,5,4,1,0.8,0,0,0,0,0,0,0,21,3,2,8,3,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,93,1,1,0,0,1,0,2,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,59,0.779661016949153,45,57,0.789473684210526,13,17,0.764705882352941,0.298245614035088,0,0,0,3,8,0.375,0,0,0,0,0,0,0,0,0,3,7,0.428571428571429,0,0,0,27,39,0.692307692307692,14,14,1,5,6,0.833333333333333,26,37,0.702702702702703,14,14,1,5,6,0.833333333333333,10,14,0.714285714285714,3,3,1,0,0,0,0.661016949152542,0.23728813559322,0.101694915254237,0.649122807017544,0.245614035087719,0.105263157894737,0.823529411764706,0.176470588235294,0,0,0,0,0,0,1,2,0.5,0,0,2,1,4,0,0,0,0,0,0,0,10,9,1,1,1,0,1,0,0,0,0,0,0,0,7,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0.868421052631579,13,17,0.764705882352941,1,2,0.5,0.117647058823529,0,0,0,1,5,0.2,0,0,0,0,0,0,0,0,0,1,5,0.2,0,0,0,18,23,0.782608695652174,15,15,1,0,0,0,9,13,0.692307692307692,4,4,1,0,0,0,1,2,0.5,0,0,0,0,0,0,0.605263157894737,0.394736842105263,0,0.764705882352941,0.235294117647059,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,1,5,0,0,1,3,0,3,0,0,0,3,0,3,0,0,0,33,38,0.868421052631579,14,15,0.933333333333333,0,0,0,6,6,1
"Belanger","ORL",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,0.769230769230769,34,44,0.772727272727273,20,22,0.909090909090909,0.5,0,1,0,0,4,0,0,0,0,6,8,0.75,0,1,0,0,4,0,0,0,0,21,31,0.67741935483871,11,13,0.846153846153846,8,8,1,17,25,0.68,9,11,0.818181818181818,8,8,1,10,11,0.909090909090909,4,5,0.8,6,6,1,0.596153846153846,0.25,0.153846153846154,0.568181818181818,0.25,0.181818181818182,0.5,0.227272727272727,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0.555555555555556,2,1,7,9,6,3,0,0,0,0,0,2,1,0,0,0,1,4,1,2,3,1,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bledsoe","ORL",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,0.848484848484849,10,11,0.909090909090909,3,3,1,0.272727272727273,0,0,0,8,11,0.727272727272727,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,25,30,0.833333333333333,3,3,1,0,0,0,7,8,0.875,3,3,1,0,0,0,3,3,1,0,0,0,0,0,0,0.909090909090909,0.0909090909090909,0,0.727272727272727,0.272727272727273,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,0.666666666666667,0,0,0,0,3,0,3,1,3,0,0,1,2,0,2,1,0,1,0,0,0,0,1,0,28,33,0.848484848484849,7,8,0.875,1,1,1,10,13,0.769230769230769
"Bowen","FCKC",0,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,0.770833333333333,28,37,0.756756756756757,15,20,0.75,0.540540540540541,0,0,0,0,0,0,0,1,0,7,9,0.777777777777778,0,0,0,0,0,0,0,1,0,13,21,0.619047619047619,9,12,0.75,15,15,1,7,13,0.538461538461538,8,11,0.727272727272727,13,13,1,5,7,0.714285714285714,5,8,0.625,5,5,1,0.4375,0.25,0.3125,0.351351351351351,0.297297297297297,0.351351351351351,0.35,0.4,0.25,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,1,0,1,5,5,0,1,1,0,1,0,0,0,0,0,0,1,11,1,3,4,1,1,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkenroad","ORL",0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0.684210526315789,13,19,0.684210526315789,11,14,0.785714285714286,0.736842105263158,1,2,0.5,0,1,0,1,3,0.333333333333333,0,0,0,1,2,0.5,0,1,0,1,3,0.333333333333333,4,8,0.5,4,6,0.666666666666667,5,5,1,4,8,0.5,4,6,0.666666666666667,5,5,1,3,6,0.5,4,4,1,4,4,1,0.421052631578947,0.315789473684211,0.263157894736842,0.421052631578947,0.315789473684211,0.263157894736842,0.428571428571429,0.285714285714286,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,4,2,7,2,2,0,2,1,1,0.5,0,0,0,0,0,0,1,19,4,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",0,1,93,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,73,0.698630136986301,31,45,0.688888888888889,16,23,0.695652173913043,0.511111111111111,0,6,0,0,3,0,1,2,0.5,20,25,0.8,0,4,0,0,3,0,1,2,0.5,32,49,0.653061224489796,11,16,0.6875,8,8,1,20,30,0.666666666666667,5,9,0.555555555555556,6,6,1,10,16,0.625,1,2,0.5,5,5,1,0.671232876712329,0.219178082191781,0.10958904109589,0.666666666666667,0.2,0.133333333333333,0.695652173913043,0.0869565217391304,0.217391304347826,0,1,0,0,0,0,2,0,0,0,0,0,2,2,1,3,0.666666666666667,2,1,4,11,7,4,1,0,1,0,1,0,0,0,0,0,0,16,3,3,3,2,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edwards","ORL",0,1,71,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,31,0.838709677419355,26,31,0.838709677419355,15,20,0.75,0.645161290322581,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,12,16,0.75,8,8,1,6,7,0.857142857142857,12,16,0.75,8,8,1,6,7,0.857142857142857,8,12,0.666666666666667,3,3,1,4,5,0.8,0.516129032258065,0.258064516129032,0.225806451612903,0.516129032258065,0.258064516129032,0.225806451612903,0.6,0.15,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,10,5,5,5,2,3,0.4,0,2,0,0,0,0,0,35,6,2,3,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Evans","ORL",0,1,93,1,0,0,0,1,1,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,38,0.763157894736842,29,38,0.763157894736842,20,25,0.8,0.657894736842105,0,1,0,1,3,0.333333333333333,0,0,0,0,0,0,0,1,0,1,3,0.333333333333333,0,0,0,6,13,0.461538461538462,9,11,0.818181818181818,14,14,1,6,13,0.461538461538462,9,11,0.818181818181818,14,14,1,4,8,0.5,5,6,0.833333333333333,11,11,1,0.342105263157895,0.289473684210526,0.368421052631579,0.342105263157895,0.289473684210526,0.368421052631579,0.32,0.24,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,5,14,9,5,2,1,1,0.5,1,2,0,0,0,0,0,32,3,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
