"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Arlitt","FCKC",0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,0.714285714285714,23,32,0.71875,16,22,0.727272727272727,0.6875,2,4,0.5,2,5,0.4,1,3,0.333333333333333,7,10,0.7,1,3,0.333333333333333,2,5,0.4,1,3,0.333333333333333,14,25,0.56,9,10,0.9,7,7,1,11,19,0.578947368421053,6,7,0.857142857142857,6,6,1,8,13,0.615384615384615,4,5,0.8,4,4,1,0.595238095238095,0.238095238095238,0.166666666666667,0.59375,0.21875,0.1875,0.590909090909091,0.227272727272727,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0.25,1,0,4,8,5,2,2,2,0,1,0,0,0,0,0,0,0,21,3,4,0,1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,75,0.8,57,70,0.814285714285714,28,37,0.756756756756757,0.528571428571429,1,2,0.5,2,9,0.222222222222222,1,6,0.166666666666667,0,0,0,1,1,1,1,7,0.142857142857143,0,4,0,36,51,0.705882352941177,17,17,1,7,7,1,35,48,0.729166666666667,15,15,1,7,7,1,21,30,0.7,5,5,1,2,2,1,0.68,0.226666666666667,0.0933333333333333,0.685714285714286,0.214285714285714,0.1,0.810810810810811,0.135135135135135,0.0540540540540541,0,0,0,0,0,3,5,0.6,0,0,0,0,5,0,0,0,0,0,0,0,9,7,1,4,3,1,0.75,0,2,0,0,0,0,0,10,5,3,1,3,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",0,1,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,38,0.763157894736842,22,27,0.814814814814815,15,18,0.833333333333333,0.666666666666667,1,4,0.25,1,3,0.333333333333333,1,2,0.5,5,6,0.833333333333333,0,0,0,1,3,0.333333333333333,1,2,0.5,9,13,0.692307692307692,6,10,0.6,14,15,0.933333333333333,8,10,0.8,4,6,0.666666666666667,10,11,0.909090909090909,6,8,0.75,1,2,0.5,8,8,1,0.342105263157895,0.263157894736842,0.394736842105263,0.37037037037037,0.222222222222222,0.407407407407407,0.444444444444444,0.111111111111111,0.444444444444444,1,3,0.333333333333333,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,0.9375,22,22,1,3,3,1,0.136363636363636,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,14,16,0.875,16,16,1,0,0,0,9,9,1,13,13,1,0,0,0,1,1,1,2,2,1,0,0,0,0.5,0.5,0,0.409090909090909,0.590909090909091,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,1,5,0,0,0,3,0,3,1,0,1,1,0,1,0,0,0,30,32,0.9375,6,6,1,0,1,0,2,3,0.666666666666667
"Bowen","FCKC",0,1,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0.722222222222222,12,17,0.705882352941177,8,13,0.615384615384615,0.764705882352941,0,0,0,1,3,0.333333333333333,1,3,0.333333333333333,1,1,1,0,0,0,1,3,0.333333333333333,1,3,0.333333333333333,5,8,0.625,2,4,0.5,6,6,1,5,8,0.625,2,4,0.5,5,5,1,3,6,0.5,2,4,0.5,3,3,1,0.444444444444444,0.222222222222222,0.333333333333333,0.470588235294118,0.235294117647059,0.294117647058824,0.461538461538462,0.307692307692308,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,0,2,0,0,0,0,0,0,0,0,58,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,67,0.880597014925373,56,64,0.875,21,28,0.75,0.4375,0,0,0,5,11,0.454545454545455,0,1,0,0,0,0,0,0,0,5,11,0.454545454545455,0,1,0,23,30,0.766666666666667,23,24,0.958333333333333,13,13,1,22,29,0.758620689655172,22,23,0.956521739130435,12,12,1,8,14,0.571428571428571,6,7,0.857142857142857,7,7,1,0.447761194029851,0.358208955223881,0.194029850746269,0.453125,0.359375,0.1875,0.5,0.25,0.25,0,0,0,0,0,3,3,1,0,0,0,0,3,0,0,0,0,0,0,0,4,1,3,5,1,4,0.2,1,1,1,0,0,0,0,9,1,2,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0.714285714285714,2,4,0.5,2,4,0.5,1,0,0,0,0,2,0,0,0,0,3,3,1,0,0,0,0,2,0,0,0,0,3,5,0.6,2,2,1,0,0,0,1,3,0.333333333333333,1,1,1,0,0,0,1,3,0.333333333333333,1,1,1,0,0,0,0.714285714285714,0.285714285714286,0,0.75,0.25,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30,40,0.75,30,40,0.75,23,26,0.884615384615385,0.65,1,2,0.5,2,4,0.5,1,4,0.25,0,0,0,1,2,0.5,2,4,0.5,1,4,0.25,17,25,0.68,6,7,0.857142857142857,7,8,0.875,17,25,0.68,6,7,0.857142857142857,7,8,0.875,11,13,0.846153846153846,5,5,1,7,8,0.875,0.625,0.175,0.2,0.625,0.175,0.2,0.5,0.192307692307692,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,0,3,1,0,1,6,2,4,0.333333333333333,3,0,0,0,0,0,0,32,1,1,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,60,0.866666666666667,50,57,0.87719298245614,28,30,0.933333333333333,0.526315789473684,0,1,0,4,7,0.571428571428571,0,1,0,2,2,1,0,1,0,4,6,0.666666666666667,0,1,0,23,27,0.851851851851852,18,20,0.9,11,13,0.846153846153846,22,25,0.88,17,19,0.894736842105263,11,13,0.846153846153846,9,10,0.9,11,12,0.916666666666667,8,8,1,0.45,0.333333333333333,0.216666666666667,0.43859649122807,0.333333333333333,0.228070175438596,0.333333333333333,0.4,0.266666666666667,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,1,1,0,1,7,5,2,2,0,2,0,1,0,0,0,0,0,0,11,4,2,2,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,100,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,9,14,0.642857142857143,9,14,0.642857142857143,6,8,0.75,0.571428571428571,0,0,0,0,1,0,1,2,0.5,0,0,0,0,0,0,0,1,0,1,2,0.5,2,5,0.4,1,3,0.333333333333333,6,6,1,2,5,0.4,1,3,0.333333333333333,6,6,1,1,1,1,1,3,0.333333333333333,4,4,1,0.357142857142857,0.214285714285714,0.428571428571429,0.357142857142857,0.214285714285714,0.428571428571429,0.125,0.375,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,1,4,2,1,1,8,2,6,0.25,1,4,0,0,0,0,0,42,3,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
