"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",0,1,89,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,66,0.848484848484849,56,62,0.903225806451613,30,32,0.9375,0.516129032258065,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,2,0,1,1,1,19,25,0.76,15,19,0.789473684210526,22,22,1,19,24,0.791666666666667,15,16,0.9375,22,22,1,8,10,0.8,10,10,1,12,12,1,0.378787878787879,0.287878787878788,0.333333333333333,0.387096774193548,0.258064516129032,0.354838709677419,0.3125,0.3125,0.375,0,3,0,0,0,0,1,0,0,0,0,0,1,3,2,5,0.6,1,0,3,12,5,7,5,2,3,0.4,0,0,0,0,0,0,0,20,4,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",0,1,73,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,30,39,0.769230769230769,28,37,0.756756756756757,18,22,0.818181818181818,0.594594594594595,2,3,0.666666666666667,0,0,0,1,1,1,2,2,1,2,3,0.666666666666667,0,0,0,1,1,1,4,9,0.444444444444444,11,15,0.733333333333333,15,15,1,4,9,0.444444444444444,10,14,0.714285714285714,14,14,1,1,4,0.25,5,6,0.833333333333333,12,12,1,0.230769230769231,0.384615384615385,0.384615384615385,0.243243243243243,0.378378378378378,0.378378378378378,0.181818181818182,0.272727272727273,0.545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,1,4,6,4,3,1,2,0,2,0,0,0,0,0,0,0,0,17,3,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,53,0.886792452830189,46,52,0.884615384615385,25,28,0.892857142857143,0.538461538461538,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,22,27,0.814814814814815,17,18,0.944444444444444,8,8,1,21,26,0.807692307692308,17,18,0.944444444444444,8,8,1,12,15,0.8,10,10,1,3,3,1,0.509433962264151,0.339622641509434,0.150943396226415,0.5,0.346153846153846,0.153846153846154,0.535714285714286,0.357142857142857,0.107142857142857,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,2,2,14,10,4,11,5,6,0.454545454545455,1,1,0,0,0,0,1,7,6,2,1,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0.75,12,16,0.75,1,2,0.5,0.125,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,6,10,0.6,2,2,1,4,4,1,6,10,0.6,2,2,1,4,4,1,1,2,0.5,0,0,0,0,0,0,0.625,0.125,0.25,0.625,0.125,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,2,2,0,1,0,1,0,0,0,0,0,8,4,2,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,58,0.672413793103448,28,44,0.636363636363636,21,28,0.75,0.636363636363636,0,4,0,2,4,0.5,0,1,0,11,14,0.785714285714286,0,4,0,2,4,0.5,0,1,0,29,43,0.674418604651163,4,8,0.5,6,7,0.857142857142857,23,34,0.676470588235294,0,4,0,5,6,0.833333333333333,17,22,0.772727272727273,0,2,0,4,4,1,0.741379310344828,0.137931034482759,0.120689655172414,0.772727272727273,0.0909090909090909,0.136363636363636,0.785714285714286,0.0714285714285714,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0.714285714285714,2,2,6,10,7,3,0,0,0,0,2,0,0,0,0,0,2,11,4,1,2,3,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colaprico","CRS",0,1,95,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,48,0.666666666666667,31,42,0.738095238095238,21,25,0.84,0.595238095238095,0,2,0,2,2,1,0,1,0,0,0,0,0,2,0,2,2,1,0,1,0,17,25,0.68,2,10,0.2,13,13,1,16,24,0.666666666666667,2,5,0.4,13,13,1,11,13,0.846153846153846,2,4,0.5,8,8,1,0.520833333333333,0.208333333333333,0.270833333333333,0.571428571428571,0.119047619047619,0.30952380952381,0.52,0.16,0.32,0,5,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,2,0,2,12,8,4,1,1,0,1,1,0,0,0,0,0,1,15,7,5,7,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daly","HOU",0,1,95,1,1,0,0,2,0,3,0.333333333333333,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,32,52,0.615384615384615,32,51,0.627450980392157,21,33,0.636363636363636,0.647058823529412,1,1,1,1,3,0.333333333333333,0,4,0,0,1,0,1,1,1,1,3,0.333333333333333,0,4,0,9,23,0.391304347826087,11,17,0.647058823529412,12,12,1,9,22,0.409090909090909,11,17,0.647058823529412,12,12,1,6,15,0.4,9,12,0.75,6,6,1,0.442307692307692,0.326923076923077,0.230769230769231,0.431372549019608,0.333333333333333,0.235294117647059,0.454545454545455,0.363636363636364,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0.8,1,3,5,7,3,4,1,1,0,1,1,0,0,0,0,0,4,28,1,0,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",0,1,95,1,0,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,0.787878787878788,24,29,0.827586206896552,13,16,0.8125,0.551724137931034,1,2,0.5,0,3,0,1,2,0.5,0,0,0,1,1,1,0,3,0,1,2,0.5,12,18,0.666666666666667,6,7,0.857142857142857,8,8,1,12,17,0.705882352941177,4,4,1,8,8,1,5,8,0.625,3,3,1,5,5,1,0.545454545454545,0.212121212121212,0.242424242424242,0.586206896551724,0.137931034482759,0.275862068965517,0.5,0.1875,0.3125,2,3,0.666666666666667,0,0,0,1,0,0,0,0,0,1,0,2,2,0,1,2,5,9,8,1,3,1,2,0.333333333333333,1,2,0,0,0,0,2,50,8,3,6,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0.55,18,34,0.529411764705882,12,18,0.666666666666667,0.529411764705882,0,4,0,1,6,0.166666666666667,1,2,0.5,4,6,0.666666666666667,0,4,0,1,6,0.166666666666667,1,2,0.5,10,21,0.476190476190476,5,11,0.454545454545455,7,8,0.875,9,18,0.5,3,9,0.333333333333333,6,7,0.857142857142857,6,9,0.666666666666667,1,3,0.333333333333333,5,6,0.833333333333333,0.525,0.275,0.2,0.529411764705882,0.264705882352941,0.205882352941176,0.5,0.166666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,0.777777777777778,1,3,6,11,6,5,1,1,0,1,0,2,0,0,0,0,1,18,3,1,6,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gorden","CRS",0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,2,4,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
