"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Averbuch","FCKC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,71,0.845070422535211,60,70,0.857142857142857,10,13,0.769230769230769,0.185714285714286,0,2,0,2,8,0.25,0,0,0,0,0,0,0,1,0,2,8,0.25,0,0,0,34,44,0.772727272727273,22,23,0.956521739130435,4,4,1,34,43,0.790697674418605,22,23,0.956521739130435,4,4,1,6,8,0.75,2,3,0.666666666666667,2,2,1,0.619718309859155,0.323943661971831,0.0563380281690141,0.614285714285714,0.328571428571429,0.0571428571428571,0.615384615384615,0.230769230769231,0.153846153846154,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,2,10,7,3,4,4,0,1,1,0,1,0,0,0,2,3,1,3,5,6,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,36,0.75,11,11,1,3,3,1,0.272727272727273,0,0,0,3,10,0.3,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,20,28,0.714285714285714,6,7,0.857142857142857,1,1,1,9,9,1,1,1,1,1,1,1,3,3,1,0,0,0,0,0,0,0.777777777777778,0.194444444444444,0.0277777777777778,0.818181818181818,0.0909090909090909,0.0909090909090909,1,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0.142857142857143,0,1,1,1,4,0,4,1,3,0,0,2,3,0,3,0,0,0,1,0,1,0,3,1,27,36,0.75,12,13,0.923076923076923,1,3,0.333333333333333,3,9,0.333333333333333
"Berryhill","PTFC",0,1,60,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0.8,12,16,0.75,6,9,0.666666666666667,0.5625,1,1,1,1,2,0.5,0,0,0,4,4,1,1,1,1,1,2,0.5,0,0,0,6,9,0.666666666666667,2,3,0.666666666666667,8,8,1,6,9,0.666666666666667,1,2,0.5,5,5,1,2,4,0.5,1,2,0.5,3,3,1,0.45,0.15,0.4,0.5625,0.125,0.3125,0.444444444444444,0.222222222222222,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,4,3,4,0,4,0,0,0,0,0,0,0,0,16,0,2,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,0.653846153846154,7,8,0.875,1,2,0.5,0.25,0,0,0,8,17,0.470588235294118,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,16,25,0.64,1,1,1,0,0,0,6,7,0.857142857142857,1,1,1,0,0,0,1,2,0.5,0,0,0,0,0,0,0.961538461538462,0.0384615384615385,0,0.875,0.125,0,1,0,0,0,0,0,0,0,2,5,0.4,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0.285714285714286,2,1,3,0.333333333333333,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,26,0.653846153846154,0,0,0,0,3,0,10,15,0.666666666666667
"Boureille","PTFC",0,1,95,1,0,0,0,2,1,3,0,1,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0.625,20,32,0.625,19,26,0.730769230769231,0.8125,0,0,0,1,5,0.2,0,2,0,0,0,0,0,0,0,1,5,0.2,0,2,0,5,12,0.416666666666667,4,7,0.571428571428571,11,13,0.846153846153846,5,12,0.416666666666667,4,7,0.571428571428571,11,13,0.846153846153846,5,10,0.5,3,4,0.75,11,12,0.916666666666667,0.375,0.21875,0.40625,0.375,0.21875,0.40625,0.384615384615385,0.153846153846154,0.461538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,10,16,13,3,7,4,3,0.571428571428571,1,0,0,0,0,0,3,27,9,2,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowen","FCKC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,68,0.75,40,48,0.833333333333333,24,28,0.857142857142857,0.583333333333333,0,1,0,0,3,0,1,1,1,11,19,0.578947368421053,0,1,0,0,2,0,0,0,0,27,42,0.642857142857143,14,15,0.933333333333333,10,11,0.909090909090909,17,23,0.739130434782609,13,14,0.928571428571429,10,11,0.909090909090909,12,15,0.8,7,8,0.875,5,5,1,0.617647058823529,0.220588235294118,0.161764705882353,0.479166666666667,0.291666666666667,0.229166666666667,0.535714285714286,0.285714285714286,0.178571428571429,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,3,5,2,3,4,2,2,0.5,0,0,0,0,0,0,1,18,2,5,1,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brynjarsdottir","PTFC",0,1,95,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,0.67741935483871,21,31,0.67741935483871,15,20,0.75,0.645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0.4375,5,6,0.833333333333333,9,9,1,7,16,0.4375,5,6,0.833333333333333,9,9,1,5,9,0.555555555555556,4,5,0.8,6,6,1,0.516129032258065,0.193548387096774,0.290322580645161,0.516129032258065,0.193548387096774,0.290322580645161,0.45,0.25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,19,7,12,0.368421052631579,2,3,0,0,0,0,2,39,5,2,3,3,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,95,1,2,0,0,3,0,5,0.4,1,4,0.2,1,0,1,0,0,0,2,0.5,0,2,0,0,0,2,0,0,21,25,0.84,21,25,0.84,19,22,0.863636363636364,0.88,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,5,6,0.833333333333333,2,3,0.666666666666667,14,16,0.875,5,6,0.833333333333333,2,3,0.666666666666667,14,16,0.875,4,4,1,2,3,0.666666666666667,13,15,0.866666666666667,0.24,0.12,0.64,0.24,0.12,0.64,0.181818181818182,0.136363636363636,0.681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,3,8,5,2,3,10,3,7,0.3,0,1,0,0,0,0,0,33,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kastor","FCKC",0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,1,2,0.5,1,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LaBonta","FCKC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,0.767441860465116,33,43,0.767441860465116,23,26,0.884615384615385,0.604651162790698,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,20,0.7,11,12,0.916666666666667,8,11,0.727272727272727,14,20,0.7,11,12,0.916666666666667,8,11,0.727272727272727,12,13,0.923076923076923,6,6,1,5,7,0.714285714285714,0.465116279069767,0.27906976744186,0.255813953488372,0.465116279069767,0.27906976744186,0.255813953488372,0.5,0.230769230769231,0.269230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,3,9,5,4,3,2,1,0.666666666666667,2,1,0,0,0,0,4,16,3,4,3,4,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
