"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Betos","PTFC",0,1,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,43,0.697674418604651,16,20,0.8,1,4,0.25,0.2,0,0,0,6,17,0.352941176470588,0,0,0,0,0,0,0,0,0,2,6,0.333333333333333,0,0,0,25,38,0.657894736842105,5,5,1,0,0,0,11,15,0.733333333333333,5,5,1,0,0,0,0,3,0,1,1,1,0,0,0,0.883720930232558,0.116279069767442,0,0.75,0.25,0,0.75,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0.375,2,1,3,0.333333333333333,6,0,6,1,8,0,0,1,4,0,4,1,0,1,0,0,0,0,1,0,30,43,0.697674418604651,5,6,0.833333333333333,4,9,0.444444444444444,5,8,0.625
"Brynjarsdottir","PTFC",0,1,61,0,0,2,0,1,0,3,0.666666666666667,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,18,0.666666666666667,12,18,0.666666666666667,4,7,0.571428571428571,0.368421052631579,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,7,0.571428571428571,2,4,0.5,6,7,0.857142857142857,4,7,0.571428571428571,2,4,0.5,6,7,0.857142857142857,1,2,0.5,1,2,0.5,2,3,0.666666666666667,0.388888888888889,0.222222222222222,0.388888888888889,0.388888888888889,0.222222222222222,0.388888888888889,0.285714285714286,0.285714285714286,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,2,12,6,6,0.5,0,0,1,0,0,0,2,7,3,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",0,1,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37,0.351351351351351,5,10,0.5,2,4,0.5,0.4,0,0,0,10,28,0.357142857142857,0,0,0,0,0,0,0,0,0,3,7,0.428571428571429,0,0,0,13,37,0.351351351351351,0,0,0,0,0,0,5,10,0.5,0,0,0,0,0,0,3,5,0.6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4,12,0.333333333333333,0,1,1,1,4,2,6,0.666666666666667,8,0,0,2,4,1,5,2,0,2,0,1,1,0,1,1,13,37,0.351351351351351,0,0,0,4,15,0.266666666666667,4,12,0.333333333333333
"Dahlkemper","WNYF",0,1,131,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,0.548387096774194,13,22,0.590909090909091,7,11,0.636363636363636,0.5,3,6,0.5,0,5,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,8,18,0.444444444444444,5,9,0.555555555555556,4,4,1,7,15,0.466666666666667,2,3,0.666666666666667,4,4,1,4,8,0.5,1,1,1,2,2,1,0.580645161290323,0.290322580645161,0.129032258064516,0.681818181818182,0.136363636363636,0.181818181818182,0.727272727272727,0.0909090909090909,0.181818181818182,2,5,0.4,0,0,2,4,0.5,0,0,1,0,5,0,0,0,0,1,2,3,13,13,0,3,1,2,0.333333333333333,0,1,1,0,0,0,1,11,5,5,3,8,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,68,1,1,1,0,0,0,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,14,0.571428571428571,8,14,0.571428571428571,5,9,0.555555555555556,0.642857142857143,3,5,0.6,0,1,0,0,1,0,0,0,0,3,5,0.6,0,1,0,0,1,0,2,6,0.333333333333333,5,6,0.833333333333333,1,2,0.5,2,6,0.333333333333333,5,6,0.833333333333333,1,2,0.5,2,5,0.4,3,3,1,0,1,0,0.428571428571429,0.428571428571429,0.142857142857143,0.428571428571429,0.428571428571429,0.142857142857143,0.555555555555556,0.333333333333333,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,3,2,1,0.666666666666667,1,2,0,0,0,0,0,19,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",0,1,131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,0.566666666666667,14,24,0.583333333333333,6,11,0.545454545454545,0.458333333333333,0,1,0,0,2,0,0,2,0,3,6,0.5,0,1,0,0,2,0,0,2,0,11,23,0.478260869565217,2,2,1,4,5,0.8,8,17,0.470588235294118,2,2,1,4,5,0.8,1,6,0.166666666666667,1,1,1,4,4,1,0.766666666666667,0.0666666666666667,0.166666666666667,0.708333333333333,0.0833333333333333,0.208333333333333,0.545454545454545,0.0909090909090909,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,0,1,13,10,3,2,0,2,0,1,2,0,0,0,0,1,19,9,5,0,8,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,131,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,0.647058823529412,22,34,0.647058823529412,9,15,0.6,0.441176470588235,0,0,0,1,5,0.2,0,1,0,0,0,0,0,0,0,1,5,0.2,0,1,0,9,20,0.45,9,10,0.9,4,4,1,9,20,0.45,9,10,0.9,4,4,1,3,9,0.333333333333333,5,5,1,1,1,1,0.588235294117647,0.294117647058824,0.117647058823529,0.588235294117647,0.294117647058824,0.117647058823529,0.6,0.333333333333333,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,9,6,24,11,13,0.458333333333333,1,1,0,0,0,0,3,38,8,3,2,7,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.6,3,5,0.6,1,2,0.5,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,2,2,1,1,3,0.333333333333333,0,0,0,2,2,1,0,1,0,0,0,0,1,1,1,0.6,0,0.4,0.6,0,0.4,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,2,0,2,0,0,2,0,0,0,0,1,3,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heath","PTFC",0,1,131,1,0,3,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,70,0.671428571428571,41,51,0.803921568627451,26,32,0.8125,0.627450980392157,2,18,0.111111111111111,2,3,0.666666666666667,1,3,0.333333333333333,3,3,1,0,4,0,2,2,1,1,3,0.333333333333333,11,23,0.478260869565217,18,29,0.620689655172414,18,18,1,11,18,0.611111111111111,14,17,0.823529411764706,16,16,1,6,9,0.666666666666667,10,13,0.769230769230769,10,10,1,0.328571428571429,0.414285714285714,0.257142857142857,0.352941176470588,0.333333333333333,0.313725490196078,0.28125,0.40625,0.3125,2,10,0.2,0,0,1,6,0.166666666666667,0,0,1,0,7,4,4,8,0.5,2,6,12,17,8,9,0,0,0,0,6,1,1,0,0,0,0,16,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
