"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Conheeney","SBFC",0,1,36,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0.5,6,12,0.5,1,1,1,0.0833333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,0.166666666666667,1,1,1,4,5,0.8,1,6,0.166666666666667,1,1,1,4,5,0.8,0,0,0,0,0,0,1,1,1,0.5,0.0833333333333333,0.416666666666667,0.5,0.0833333333333333,0.416666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,4,2,2,2,0,2,0,1,0,0,0,0,0,1,7,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D'Angelo","WNYF",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,34,0.735294117647059,15,20,0.75,0,2,0,0.1,0,0,0,8,16,0.5,0,0,0,0,0,0,0,0,0,5,10,0.5,0,0,0,22,31,0.709677419354839,3,3,1,0,0,0,12,17,0.705882352941177,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0.911764705882353,0.0882352941176471,0,0.85,0.15,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,5,0.2,0,1,1,1,5,0,5,1,6,0,0,2,3,0,3,0,0,0,1,0,1,0,0,0,25,34,0.735294117647059,3,3,1,0,0,0,7,11,0.636363636363636
"Dahlkemper","WNYF",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,46,0.826086956521739,33,40,0.825,13,15,0.866666666666667,0.375,0,0,0,3,9,0.333333333333333,0,2,0,2,2,1,0,0,0,3,8,0.375,0,2,0,25,33,0.757575757575758,6,6,1,7,7,1,22,29,0.758620689655172,5,5,1,6,6,1,10,12,0.833333333333333,0,0,0,3,3,1,0.717391304347826,0.130434782608696,0.152173913043478,0.725,0.125,0.15,0.8,0,0.2,1,1,1,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,0,1,0,1,9,9,0,5,4,1,0.8,0,1,1,0,0,0,0,3,2,2,7,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0.375,3,8,0.375,2,4,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0.4,0,1,0,1,2,0.5,2,5,0.4,0,1,0,1,2,0.5,1,2,0.5,0,1,0,1,1,1,0.625,0.125,0.25,0.625,0.125,0.25,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,3,3,7,2,2,0,4,3,1,0.75,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",0,1,97,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,45,0.644444444444444,19,34,0.558823529411765,13,25,0.52,0.735294117647059,0,2,0,1,2,0.5,0,3,0,9,10,0.9,0,2,0,1,2,0.5,0,3,0,17,29,0.586206896551724,5,9,0.555555555555556,7,7,1,10,21,0.476190476190476,3,7,0.428571428571429,6,6,1,8,17,0.470588235294118,2,5,0.4,3,3,1,0.644444444444444,0.2,0.155555555555556,0.617647058823529,0.205882352941176,0.176470588235294,0.68,0.2,0.12,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,4,0.75,0,1,2,8,7,1,3,1,2,0.333333333333333,0,2,0,0,0,0,1,9,3,0,3,4,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,0.733333333333333,21,29,0.724137931034483,7,11,0.636363636363636,0.379310344827586,0,0,0,1,5,0.2,0,1,0,1,1,1,0,0,0,1,5,0.2,0,1,0,9,17,0.529411764705882,12,12,1,1,1,1,9,17,0.529411764705882,11,11,1,1,1,1,1,5,0.2,6,6,1,0,0,0,0.566666666666667,0.4,0.0333333333333333,0.586206896551724,0.379310344827586,0.0344827586206897,0.454545454545455,0.545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,11,10,1,9,6,3,0.666666666666667,0,0,0,0,0,0,1,10,1,3,4,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.666666666666667,0,0.333333333333333,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hahn","WNYF",0,1,28,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,2,3,0.666666666666667,1,2,0.5,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,4,2,2,0.5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hamilton","WNYF",0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,4,1,1,1,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,0,0,0,1,1,1,3,3,1,0,0,0,0,0,0,1,1,1,0,0.25,0.75,0,0.25,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,1,2,2,0,2,0,0,0,0,0,2,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayes","SBFC",0,1,83,1,1,0,0,0,1,2,1,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,11,16,0.6875,10,15,0.666666666666667,4,7,0.571428571428571,0.466666666666667,0,0,0,0,0,0,1,3,0.333333333333333,1,1,1,0,0,0,0,0,0,1,3,0.333333333333333,3,7,0.428571428571429,3,4,0.75,5,5,1,3,7,0.428571428571429,3,4,0.75,4,4,1,1,4,0.25,1,1,1,2,2,1,0.4375,0.25,0.3125,0.466666666666667,0.266666666666667,0.266666666666667,0.571428571428571,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,3,3,6,5,4,1,5,1,4,0.2,1,0,0,0,0,0,2,18,3,1,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
