"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Arlitt","FCKC",0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,1,2,0.5,1,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,95,1,0,0,1,1,0,2,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,88,0.75,64,86,0.744186046511628,33,48,0.6875,0.558139534883721,0,0,0,1,13,0.0769230769230769,0,0,0,1,1,1,0,0,0,1,13,0.0769230769230769,0,0,0,40,61,0.655737704918033,10,11,0.909090909090909,16,16,1,39,60,0.65,10,11,0.909090909090909,15,15,1,19,33,0.575757575757576,5,6,0.833333333333333,9,9,1,0.693181818181818,0.125,0.181818181818182,0.697674418604651,0.127906976744186,0.174418604651163,0.6875,0.125,0.1875,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,1,1,0,0,0,11,11,0,4,2,2,0.5,0,1,0,0,0,0,1,16,4,5,7,4,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,63,0.888888888888889,51,54,0.944444444444444,36,39,0.923076923076923,0.722222222222222,0,0,0,2,2,1,3,3,1,4,6,0.666666666666667,0,0,0,2,2,1,3,3,1,34,38,0.894736842105263,9,11,0.818181818181818,13,14,0.928571428571429,30,32,0.9375,9,9,1,12,13,0.923076923076923,16,18,0.888888888888889,8,8,1,12,13,0.923076923076923,0.603174603174603,0.174603174603175,0.222222222222222,0.592592592592593,0.166666666666667,0.240740740740741,0.461538461538462,0.205128205128205,0.333333333333333,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,7,7,0,1,0,1,0,0,0,0,0,0,0,0,5,1,5,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,52,0.942307692307692,32,34,0.941176470588235,2,2,1,0.0588235294117647,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,39,42,0.928571428571429,10,10,1,0,0,0,27,29,0.931034482758621,5,5,1,0,0,0,3,3,1,0,0,0,0,0,0,0.807692307692308,0.192307692307692,0,0.852941176470588,0.147058823529412,0,1,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,52,0.942307692307692,3,3,1,0,0,0,14,15,0.933333333333333
"Buczkowski","FCKC",0,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,0.82051282051282,32,39,0.82051282051282,26,32,0.8125,0.82051282051282,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,14,18,0.777777777777778,7,9,0.777777777777778,11,12,0.916666666666667,14,18,0.777777777777778,7,9,0.777777777777778,11,12,0.916666666666667,10,13,0.769230769230769,7,9,0.777777777777778,9,10,0.9,0.461538461538462,0.230769230769231,0.307692307692308,0.461538461538462,0.230769230769231,0.307692307692308,0.40625,0.28125,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,5,1,0,0,0,0,0,0,0,0,0,0,1,43,4,1,1,1,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,55,0.818181818181818,44,54,0.814814814814815,32,39,0.82051282051282,0.722222222222222,1,2,0.5,1,4,0.25,0,0,0,0,0,0,1,2,0.5,1,4,0.25,0,0,0,30,39,0.769230769230769,8,9,0.888888888888889,7,7,1,30,39,0.769230769230769,7,8,0.875,7,7,1,18,25,0.72,7,7,1,7,7,1,0.709090909090909,0.163636363636364,0.127272727272727,0.722222222222222,0.148148148148148,0.12962962962963,0.641025641025641,0.179487179487179,0.179487179487179,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,2,1,0,2,2,4,3,1,6,4,2,0.666666666666667,0,1,0,0,0,0,0,6,2,2,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cruz","SRFC",0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0.75,6,8,0.75,6,7,0.857142857142857,0.875,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,2,4,0.5,1,1,1,3,3,1,2,4,0.5,1,1,1,3,3,1,2,3,0.666666666666667,1,1,1,3,3,1,0.5,0.125,0.375,0.5,0.125,0.375,0.428571428571429,0.142857142857143,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0.846153846153846,11,13,0.846153846153846,10,12,0.833333333333333,0.923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.6,4,4,1,4,4,1,3,5,0.6,4,4,1,4,4,1,3,5,0.6,4,4,1,3,3,1,0.384615384615385,0.307692307692308,0.307692307692308,0.384615384615385,0.307692307692308,0.307692307692308,0.416666666666667,0.333333333333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elston","SRFC",0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0.333333333333333,2,6,0.333333333333333,1,4,0.25,0.666666666666667,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,2,4,0.5,0,2,0,0,0,0,2,4,0.5,0,2,0,0,0,0,1,2,0.5,0,2,0,0,0,0,0.666666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,68,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,35,0.742857142857143,22,29,0.758620689655172,19,23,0.826086956521739,0.793103448275862,0,0,0,0,2,0,1,1,1,4,6,0.666666666666667,0,0,0,0,2,0,1,1,1,13,22,0.590909090909091,5,5,1,8,8,1,10,17,0.588235294117647,5,5,1,7,7,1,7,11,0.636363636363636,5,5,1,7,7,1,0.628571428571429,0.142857142857143,0.228571428571429,0.586206896551724,0.172413793103448,0.241379310344828,0.478260869565217,0.217391304347826,0.304347826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,5,3,2,0.6,0,2,0,0,0,0,0,7,4,2,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
