"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Barnes","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,82,0.829268292682927,61,75,0.813333333333333,16,23,0.695652173913043,0.306666666666667,0,2,0,2,8,0.25,1,3,0.333333333333333,7,7,1,0,2,0,2,8,0.25,1,3,0.333333333333333,32,43,0.744186046511628,26,29,0.896551724137931,10,10,1,30,41,0.731707317073171,21,24,0.875,10,10,1,5,10,0.5,7,9,0.777777777777778,4,4,1,0.524390243902439,0.353658536585366,0.121951219512195,0.546666666666667,0.32,0.133333333333333,0.434782608695652,0.391304347826087,0.173913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1,1,0,1,0,0,0,0,0,0,0,8,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Casey","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37,0.675675675675676,12,15,0.8,1,2,0.5,0.133333333333333,0,0,0,10,21,0.476190476190476,0,0,0,0,0,0,0,0,0,5,8,0.625,0,0,0,23,35,0.657142857142857,2,2,1,0,0,0,10,13,0.769230769230769,2,2,1,0,0,0,1,2,0.5,0,0,0,0,0,0,0.945945945945946,0.0540540540540541,0,0.866666666666667,0.133333333333333,0,1,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,1,0,1,0,3,1,4,0.75,7,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,25,37,0.675675675675676,6,7,0.857142857142857,0,0,0,7,15,0.466666666666667
"Conheeney","SBFC",0,1,95,1,1,1,0,1,0,3,0.666666666666667,1,2,0.333333333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,23,32,0.71875,22,31,0.709677419354839,13,20,0.65,0.645161290322581,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,5,9,0.555555555555556,9,14,0.642857142857143,9,9,1,5,9,0.555555555555556,9,14,0.642857142857143,8,8,1,3,5,0.6,6,11,0.545454545454545,4,4,1,0.28125,0.4375,0.28125,0.290322580645161,0.451612903225806,0.258064516129032,0.25,0.55,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,5,6,9,4,5,4,1,3,0.25,1,2,0,0,0,0,0,45,7,3,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corsie","SRFC",0,1,20,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0.833333333333333,13,16,0.8125,5,7,0.714285714285714,0.4375,0,0,0,2,3,0.666666666666667,0,0,0,2,2,1,0,0,0,2,3,0.666666666666667,0,0,0,9,12,0.75,2,2,1,4,4,1,7,10,0.7,2,2,1,4,4,1,2,4,0.5,1,1,1,2,2,1,0.666666666666667,0.111111111111111,0.222222222222222,0.625,0.125,0.25,0.571428571428571,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,2,1,0,0,0,1,4,2,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallstream","SRFC",0,1,25,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,10,0.8,8,10,0.8,2,3,0.666666666666667,0.3,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,3,0.666666666666667,1,2,0.5,5,5,1,2,3,0.666666666666667,1,2,0.5,5,5,1,0,1,0,1,1,1,1,1,1,0.3,0.2,0.5,0.3,0.2,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.333333333333333,3,1,6,2,2,0,1,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DeCesare","SBFC",0,1,36,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,3,6,0.5,1,3,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,1,1,1,0,3,0,2,2,1,1,1,1,0,2,0,1,1,1,0,0,0,0.5,0.333333333333333,0.166666666666667,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,4,2,0.666666666666667,0,0,0,0,0,0,0,10,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fishlock","SRFC",0,1,95,1,0,1,0,2,0,3,0.333333333333333,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,48,72,0.666666666666667,45,68,0.661764705882353,25,36,0.694444444444444,0.529411764705882,0,1,0,0,6,0,1,6,0.166666666666667,1,1,1,0,1,0,0,6,0,1,6,0.166666666666667,20,36,0.555555555555556,16,24,0.666666666666667,12,12,1,19,35,0.542857142857143,15,22,0.681818181818182,11,11,1,8,15,0.533333333333333,9,13,0.692307692307692,8,8,1,0.5,0.333333333333333,0.166666666666667,0.514705882352941,0.323529411764706,0.161764705882353,0.416666666666667,0.361111111111111,0.222222222222222,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,4,0,4,1,0,2,2,11,7,4,2,0,2,0,2,2,0,0,0,0,2,24,8,1,1,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fletcher","SRFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,71,0.901408450704225,60,67,0.895522388059702,14,16,0.875,0.238805970149254,0,0,0,1,6,0.166666666666667,0,2,0,3,3,1,0,0,0,1,6,0.166666666666667,0,2,0,38,44,0.863636363636364,15,16,0.9375,11,11,1,36,42,0.857142857142857,14,15,0.933333333333333,10,10,1,8,10,0.8,1,1,1,5,5,1,0.619718309859155,0.225352112676056,0.154929577464789,0.626865671641791,0.223880597014925,0.149253731343284,0.625,0.0625,0.3125,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,11,11,0,9,3,6,0.333333333333333,1,2,0,0,0,0,0,7,4,2,2,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordon","SBFC",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,0.815789473684211,31,38,0.815789473684211,18,23,0.782608695652174,0.605263157894737,0,1,0,1,1,1,1,2,0.5,0,0,0,0,1,0,1,1,1,1,2,0.5,7,11,0.636363636363636,10,12,0.833333333333333,14,15,0.933333333333333,7,11,0.636363636363636,10,12,0.833333333333333,14,15,0.933333333333333,4,7,0.571428571428571,8,10,0.8,6,6,1,0.289473684210526,0.315789473684211,0.394736842105263,0.289473684210526,0.315789473684211,0.394736842105263,0.304347826086957,0.434782608695652,0.260869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,1,1,0.5,0,0,0,0,0,0,1,47,1,2,3,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hayes","SBFC",0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,1,2,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,3,3,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
