"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",0,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,0.461538461538462,12,24,0.5,9,14,0.642857142857143,0.583333333333333,1,4,0.25,0,2,0,1,6,0.166666666666667,0,0,0,1,3,0.333333333333333,0,1,0,1,5,0.2,4,17,0.235294117647059,3,4,0.75,5,5,1,4,15,0.266666666666667,3,4,0.75,5,5,1,3,7,0.428571428571429,2,3,0.666666666666667,4,4,1,0.653846153846154,0.153846153846154,0.192307692307692,0.625,0.166666666666667,0.208333333333333,0.5,0.214285714285714,0.285714285714286,0,0,0,0,0,0,2,0,0,0,0,0,2,3,0,3,1,2,1,3,10,6,4,1,1,0,1,2,1,0,0,0,0,0,18,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Banini","WAS",0,1,50,0,0,1,0,1,1,3,0.5,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,20,24,0.833333333333333,20,24,0.833333333333333,16,17,0.941176470588235,0.708333333333333,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2,1,12,13,0.923076923076923,3,5,0.6,5,6,0.833333333333333,12,13,0.923076923076923,3,5,0.6,5,6,0.833333333333333,10,10,1,1,2,0.5,5,5,1,0.541666666666667,0.208333333333333,0.25,0.541666666666667,0.208333333333333,0.25,0.588235294117647,0.117647058823529,0.294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0.6,1,1,4,3,0,3,0,0,0,0,1,0,0,0,0,0,1,14,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",0,1,25,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0.125,1,7,0.142857142857143,0,3,0,0.428571428571429,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,1,0,1,2,0.5,0,4,0,0,1,0,1,2,0.5,0,2,0,0,0,0,0,1,0,0.625,0.125,0.25,0.571428571428571,0.142857142857143,0.285714285714286,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",0,1,75,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,45,0.755555555555556,33,43,0.767441860465116,17,20,0.85,0.465116279069767,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,15,24,0.625,5,6,0.833333333333333,14,15,0.933333333333333,15,24,0.625,5,5,1,13,14,0.928571428571429,4,6,0.666666666666667,3,3,1,10,11,0.909090909090909,0.533333333333333,0.133333333333333,0.333333333333333,0.558139534883721,0.116279069767442,0.325581395348837,0.3,0.15,0.55,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,5,2,1,1,0.5,1,0,0,0,0,0,0,26,3,2,6,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,0.717948717948718,28,39,0.717948717948718,12,20,0.6,0.512820512820513,0,0,0,1,4,0.25,0,1,0,0,0,0,0,0,0,1,4,0.25,0,1,0,16,27,0.592592592592593,3,3,1,9,9,1,16,27,0.592592592592593,3,3,1,9,9,1,3,11,0.272727272727273,2,2,1,7,7,1,0.692307692307692,0.0769230769230769,0.230769230769231,0.692307692307692,0.0769230769230769,0.230769230769231,0.55,0.1,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,5,2,7,3,4,0.428571428571429,1,3,0,0,0,0,0,30,3,7,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapman","HOU",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,48,0.6875,17,27,0.62962962962963,12,16,0.75,0.592592592592593,0,1,0,0,2,0,0,2,0,16,21,0.761904761904762,0,1,0,0,2,0,0,2,0,19,32,0.59375,7,8,0.875,7,8,0.875,10,18,0.555555555555556,4,5,0.8,3,4,0.75,6,9,0.666666666666667,4,4,1,2,3,0.666666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0.666666666666667,0.185185185185185,0.148148148148148,0.5625,0.25,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,10,5,5,4,1,3,0.25,0,0,0,0,0,0,1,24,4,0,6,6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Church","WAS",0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0.571428571428571,4,7,0.571428571428571,3,5,0.6,0.714285714285714,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,5,0.6,1,2,0.5,0,0,0,3,5,0.6,1,2,0.5,0,0,0,2,4,0.5,1,1,1,0,0,0,0.714285714285714,0.285714285714286,0,0.714285714285714,0.285714285714286,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daly","HOU",0,1,96,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,0.48,12,24,0.5,10,17,0.588235294117647,0.708333333333333,0,1,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,0,0,3,0,6,15,0.4,3,6,0.5,3,4,0.75,6,14,0.428571428571429,3,6,0.5,3,4,0.75,4,8,0.5,3,6,0.5,3,3,1,0.6,0.24,0.16,0.583333333333333,0.25,0.166666666666667,0.470588235294118,0.352941176470588,0.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,5,4,1,4,3,1,0.75,0,3,0,0,0,0,0,17,4,3,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,96,1,0,2,0,2,1,5,0.5,4,1,0.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30,37,0.810810810810811,29,36,0.805555555555556,23,27,0.851851851851852,0.75,1,3,0.333333333333333,0,0,0,3,3,1,1,1,1,1,3,0.333333333333333,0,0,0,3,3,1,9,10,0.9,8,13,0.615384615384615,13,14,0.928571428571429,9,10,0.9,7,12,0.583333333333333,13,14,0.928571428571429,4,5,0.8,6,9,0.666666666666667,13,13,1,0.27027027027027,0.351351351351351,0.378378378378378,0.277777777777778,0.333333333333333,0.388888888888889,0.185185185185185,0.333333333333333,0.481481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0.555555555555556,3,5,12,4,1,3,5,0,5,0,2,0,0,0,0,0,0,42,0,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",0,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0.5625,9,16,0.5625,5,11,0.454545454545455,0.6875,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4,0.75,3,7,0.428571428571429,3,5,0.6,3,4,0.75,3,7,0.428571428571429,3,5,0.6,1,2,0.5,2,5,0.4,2,4,0.5,0.25,0.4375,0.3125,0.25,0.4375,0.3125,0.181818181818182,0.454545454545455,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,6,4,2,2,3,1,2,0.333333333333333,0,0,0,0,0,0,0,13,0,1,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
