"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Banini","WAS",0,1,65,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,0.84,21,25,0.84,20,24,0.833333333333333,0.96,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,12,0.833333333333333,4,5,0.8,7,8,0.875,10,12,0.833333333333333,4,5,0.8,7,8,0.875,10,12,0.833333333333333,4,5,0.8,6,7,0.857142857142857,0.48,0.2,0.32,0.48,0.2,0.32,0.5,0.208333333333333,0.291666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,1,2,4,6,4,1,4,2,2,0.5,2,0,0,0,0,0,0,19,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brynjarsdottir","PTFC",0,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,0.535714285714286,15,28,0.535714285714286,13,22,0.590909090909091,0.785714285714286,0,1,0,1,2,0.5,0,0,0,0,0,0,0,1,0,1,2,0.5,0,0,0,4,13,0.307692307692308,3,7,0.428571428571429,8,8,1,4,13,0.307692307692308,3,7,0.428571428571429,8,8,1,3,9,0.333333333333333,3,6,0.5,7,7,1,0.464285714285714,0.25,0.285714285714286,0.464285714285714,0.25,0.285714285714286,0.409090909090909,0.272727272727273,0.318181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,3,18,9,9,0.5,0,0,0,0,0,0,0,38,10,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dunn","WAS",0,1,97,1,0,1,0,2,3,6,0.333333333333333,4,2,0.666666666666667,0,1,0,0,0,0,1,0,0,2,0,0,0,2,0,0,21,34,0.617647058823529,21,34,0.617647058823529,20,31,0.645161290322581,0.911764705882353,1,3,0.333333333333333,0,0,0,1,2,0.5,0,0,0,1,3,0.333333333333333,0,0,0,1,2,0.5,8,16,0.5,6,9,0.666666666666667,7,9,0.777777777777778,8,16,0.5,6,9,0.666666666666667,7,9,0.777777777777778,8,15,0.533333333333333,6,9,0.666666666666667,6,7,0.857142857142857,0.470588235294118,0.264705882352941,0.264705882352941,0.470588235294118,0.264705882352941,0.264705882352941,0.483870967741935,0.290322580645161,0.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,0.7,0,5,8,5,4,1,3,1,2,0.333333333333333,2,2,0,0,0,0,0,49,7,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farquharson","WAS",0,1,83,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,20,0.6,12,20,0.6,10,13,0.769230769230769,0.65,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,4,9,0.444444444444444,4,7,0.571428571428571,4,4,1,4,9,0.444444444444444,4,7,0.571428571428571,4,4,1,3,5,0.6,4,5,0.8,3,3,1,0.45,0.35,0.2,0.45,0.35,0.2,0.384615384615385,0.384615384615385,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,7,3,4,6,4,2,0.666666666666667,0,1,0,0,0,0,0,24,10,1,2,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franch","PTFC",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,0.56,18,30,0.6,1,4,0.25,0.133333333333333,0,0,0,8,26,0.307692307692308,0,0,0,0,0,0,0,0,0,4,16,0.25,0,0,0,27,49,0.551020408163265,1,1,1,0,0,0,17,29,0.586206896551724,1,1,1,0,0,0,1,4,0.25,0,0,0,0,0,0,0.98,0.02,0,0.966666666666667,0.0333333333333333,0,1,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,3,0,3,1,4,0.75,3,0,0,0,1,1,2,1,1,2,1,0,1,0,0,1,28,50,0.56,3,3,1,1,4,0.25,6,13,0.461538461538462
"Heath","PTFC",0,1,97,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,39,0.564102564102564,19,26,0.730769230769231,15,17,0.882352941176471,0.653846153846154,3,12,0.25,0,0,0,0,1,0,0,1,0,1,2,0.5,0,0,0,0,1,0,6,11,0.545454545454545,8,20,0.4,8,8,1,6,10,0.6,6,9,0.666666666666667,7,7,1,3,4,0.75,6,7,0.857142857142857,6,6,1,0.282051282051282,0.512820512820513,0.205128205128205,0.384615384615385,0.346153846153846,0.269230769230769,0.235294117647059,0.411764705882353,0.352941176470588,3,10,0.3,0,0,0,2,0,0,0,0,0,2,4,6,10,0.4,2,3,11,8,3,5,3,0,3,0,3,2,2,1,0,0,4,19,4,3,1,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Horan","PTFC",0,1,97,1,0,1,0,1,1,3,0.5,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,27,34,0.794117647058823,26,33,0.787878787878788,21,26,0.807692307692308,0.787878787878788,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,11,18,0.611111111111111,9,9,1,7,7,1,11,18,0.611111111111111,8,8,1,7,7,1,7,12,0.583333333333333,7,7,1,7,7,1,0.529411764705882,0.264705882352941,0.205882352941176,0.545454545454545,0.242424242424242,0.212121212121212,0.461538461538462,0.269230769230769,0.269230769230769,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,3,3,6,10,3,7,11,9,2,0.818181818181818,2,2,1,0,0,0,0,27,7,5,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huster","WAS",0,1,97,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,28,0.75,19,26,0.730769230769231,12,15,0.8,0.576923076923077,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8,12,0.666666666666667,3,6,0.5,10,10,1,8,12,0.666666666666667,3,6,0.5,8,8,1,5,7,0.714285714285714,2,3,0.666666666666667,5,5,1,0.428571428571429,0.214285714285714,0.357142857142857,0.461538461538462,0.230769230769231,0.307692307692308,0.466666666666667,0.2,0.333333333333333,0,0,0,0,0,2,2,1,0,0,0,0,2,1,1,2,0.5,3,0,4,8,3,5,2,0,2,0,0,0,0,0,0,0,0,12,0,6,5,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kleiner","WAS",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,41,0.75609756097561,22,30,0.733333333333333,14,20,0.7,0.666666666666667,0,1,0,1,3,0.333333333333333,1,1,1,8,10,0.8,0,1,0,0,2,0,1,1,1,22,30,0.733333333333333,2,4,0.5,7,7,1,15,21,0.714285714285714,0,2,0,7,7,1,11,15,0.733333333333333,0,2,0,3,3,1,0.731707317073171,0.0975609756097561,0.170731707317073,0.7,0.0666666666666667,0.233333333333333,0.75,0.1,0.15,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,8,4,4,11,4,7,0.363636363636364,1,0,0,0,0,0,1,12,7,0,5,2,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klingenberg","PTFC",0,1,97,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,46,0.695652173913043,26,37,0.702702702702703,19,23,0.826086956521739,0.621621621621622,0,1,0,3,6,0.5,2,2,1,6,9,0.666666666666667,0,1,0,3,6,0.5,2,2,1,17,29,0.586206896551724,6,8,0.75,9,9,1,13,22,0.590909090909091,4,6,0.666666666666667,9,9,1,8,11,0.727272727272727,4,5,0.8,7,7,1,0.630434782608696,0.173913043478261,0.195652173913043,0.594594594594595,0.162162162162162,0.243243243243243,0.478260869565217,0.217391304347826,0.304347826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,14,8,5,7,1,6,0.142857142857143,3,1,0,0,0,0,1,15,9,5,3,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
