"Player","Team","Number","GP","MP","GS","Goals","Shots Stopped by GK","Shots Stopped by Def","Shots Missed","Shots Blocked","All Shots","Shot Accuracy","Shots Pressed","Shots Not Pressed","Pct Shots Pressed","BC Scored","BC SOG","BC Shot Miss","BC Dispossess","BC Created","BC Lost","Big Chances","BC Conversion Pct","Assists","Key Passes","Key Assists","Second Assists","Open Play Assists","Open Play Key Passes","Open Play Key Assists","Open Play Second Assists","Pass Comp","Pass Att","Pass Comp Pct","opPass Comp","opPass Att","opPass Comp Pct","PPass Comp","PPass Att","PPass Comp Pct","Pct opPass Pressed","Cross Comp","Cross Att","Cross Comp Pct","Launch Comp","Launch Att","Launch Comp Pct","Through Comp","Through Att","Through Comp Pct","Throw In Comp","Throw In Att","Throw In Comp Pct","opCross Comp","opCross Att","opCross Comp Pct","opLaunch Comp","opLaunch Att","opLaunch Comp Pct","opThrough Comp","opThrough Att","opThrough Comp Pct","fwPass Comp","fwPass Att","fwPass Comp Pct","sPass Comp","sPass Att","sPass Comp Pct","bPass Comp","bPass Att","bPass Comp Pct","fwopPass Comp","fwopPass Att","fwopPass Comp Pct","sopPass Comp","sopPass Att","sopPass Comp Pct","bopPass Comp","bopPass Att","bopPass Comp Pct","fwPPass Comp","fwPPass Att","fwPPass Comp Pct","sPPass Comp","sPPass Att","sPPass Comp Pct","bPPass Comp","bPPass Att","bPPass Comp Pct","rFreq Pass Fwd","rFreq Pass Side","rFreq Pass Back","rFreq opPass Fwd","rFreq opPass Side","rFreq opPass Back","rFreq PPass Fwd","rFreq PPass Side","rFreq PPass Back","Corner Kicks Completed","Corner Kicks Taken","CK Comp Pct","CK Assist","CK Key Pass","FK Pass Comp","FK Pass Att","FK Pass Comp Pct","FK Assist","FK Key Pass","FK Shot","FK Scored","Free Kicks Taken","TO Won","TO Lost","Take Ons","TO Win Pct","Dispossessed by Opp","Lost Touches","All Possessions Disrupted","Recoveries","Def Recoveries","Poss Recoveries","Aerial Duels","AD Won","AD Lost","AD Win Pct","Fouls Won","Fouls Conceded","Yellow Cards","Red Cards","Penalties Won","Penalties Conceded","Dispossessed Opp","Pressured Opp","Challenged Opp","Interceptions","Blocks","Clearances","Ball Shields","Tackles","Dribbled","All Opp Poss Disrupted","Saves","Goals Allowed","GK SOG Faced","GperSOG","BC Saves","BC Goals Allowed","BC SOG Faced","GperBCSOG","HB Won","HB Lost","High Balls Faced","HB Win Pct","HB Caught","HB Punched","HB Parried","HB Collected","Crosses GK Won","Crosses GK Lost","Crosses GK Faced","CKs GK Won","CKs GK Lost","CKs GK Faced","FKs GK Won","FKs GK Lost","FKs GK Faced","HB Fouls Won","Smothers Won","Smothers Lost","GK Overall Pass Comp","GK Overall Pass Att","GK Overall Pass Comp Pct","GK Throw Comp","GK Throw Att","GK Throw Comp Pct","GK Drop Kick Comp","GK Drop Kick Att","GK Drop Kick Comp Pct","GKFK Comp","GKFK Att","GKFK Comp Pct","Goals per 90","Shots Stopped by GK per 90","Shots Stopped by Def per 90","Shots Missed per 90","Shots Blocked per 90","All Shots per 90","Shots Pressed per 90","Shots Not Pressed per 90","BC Scored per 90","BC SOG per 90","BC Shot Miss per 90","BC Dispossess per 90","BC Created per 90","BC Lost per 90","Big Chances per 90","Assists per 90","Key Passes per 90","Key Assists per 90","Second Assists per 90","Open Play Assists per 90","Open Play Key Passes per 90","Open Play Key Assists per 90","Open Play Second Assists per 90","Pass Comp per 90","Pass Att per 90","opPass Comp per 90","opPass Att per 90","PPass Comp per 90","PPass Att per 90","Cross Comp per 90","Cross Att per 90","Launch Comp per 90","Launch Att per 90","Through Comp per 90","Through Att per 90","Throw In Comp per 90","Throw In Att per 90","opCross Comp per 90","opCross Att per 90","opLaunch Comp per 90","opLaunch Att per 90","opThrough Comp per 90","opThrough Att per 90","fwPass Comp per 90","fwPass Att per 90","sPass Comp per 90","sPass Att per 90","bPass Comp per 90","bPass Att per 90","fwopPass Comp per 90","fwopPass Att per 90","sopPass Comp per 90","sopPass Att per 90","bopPass Comp per 90","bopPass Att per 90","fwPPass Comp per 90","fwPPass Att per 90","sPPass Comp per 90","sPPass Att per 90","bPPass Comp per 90","bPPass Att per 90","Corner Kicks Completed per 90","Corner Kicks Taken per 90","CK Assist per 90","CK Key Pass per 90","FK Pass Comp per 90","FK Pass Att per 90","FK Assist per 90","FK Key Pass per 90","FK Shot per 90","FK Scored per 90","Free Kicks Taken per 90","TO Won per 90","TO Lost per 90","Take Ons per 90","Dispossessed by Opp per 90","Lost Touches per 90","All Possessions Disrupted per 90","Recoveries per 90","Def Recoveries per 90","Poss Recoveries per 90","Aerial Duels per 90","AD Won per 90","AD Lost per 90","Fouls Won per 90","Fouls Conceded per 90","Yellow Cards per 90","Red Cards per 90","Penalties Won per 90","Penalties Conceded per 90","Dispossessed Opp per 90","Pressured Opp per 90","Challenged Opp per 90","Interceptions per 90","Blocks per 90","Clearances per 90","Ball Shields per 90","Tackles per 90","Dribbled per 90","All Opp Poss Disrupted per 90","Saves per 90","Goals Allowed per 90","GK SOG Faced per 90","BC Saves per 90","BC Goals Allowed per 90","BC SOG Faced per 90","HB Won per 90","HB Lost per 90","High Balls Faced per 90","HB Caught per 90","HB Punched per 90","HB Parried per 90","HB Collected per 90","Crosses GK Won per 90","Crosses GK Lost per 90","Crosses GK Faced per 90","CKs GK Won per 90","CKs GK Lost per 90","CKs GK Faced per 90","FKs GK Won per 90","FKs GK Lost per 90","FKs GK Faced per 90","HB Fouls Won per 90","Smothers Won per 90","Smothers Lost per 90","GK Overall Pass Comp per 90","GK Overall Pass Att per 90","GK Throw Comp per 90","GK Throw Att per 90","GK Drop Kick Comp per 90","GK Drop Kick Att per 90","GKFK Comp per 90","GKFK Att per 90"
"Averbuch","FCKC",0,1,95,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,60,71,0.845070422535211,60,70,0.857142857142857,10,13,0.769230769230769,0.185714285714286,0,2,0,2,8,0.25,0,0,NA,0,0,NA,0,1,0,2,8,0.25,0,0,NA,34,44,0.772727272727273,22,23,0.956521739130435,4,4,1,34,43,0.790697674418605,22,23,0.956521739130435,4,4,1,6,8,0.75,2,3,0.666666666666667,2,2,1,0.619718309859155,0.323943661971831,0.0563380281690141,0.614285714285714,0.328571428571429,0.0571428571428571,0.615384615384615,0.230769230769231,0.153846153846154,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,2,10,7,3,4,4,0,1,1,0,1,0,0,0,2,3,1,3,5,6,1,1,1,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.8421052631579,67.2631578947368,56.8421052631579,66.3157894736842,9.47368421052632,12.3157894736842,0,1.89473684210526,1.89473684210526,7.57894736842105,0,0,0,0,0,0.947368421052632,1.89473684210526,7.57894736842105,0,0,32.2105263157895,41.6842105263158,20.8421052631579,21.7894736842105,3.78947368421053,3.78947368421053,32.2105263157895,40.7368421052632,20.8421052631579,21.7894736842105,3.78947368421053,3.78947368421053,5.68421052631579,7.57894736842105,1.89473684210526,2.84210526315789,1.89473684210526,1.89473684210526,0,0,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0.947368421052632,0.947368421052632,0,0.947368421052632,1.89473684210526,9.47368421052632,6.63157894736842,2.84210526315789,3.78947368421053,3.78947368421053,0,0.947368421052632,0,0.947368421052632,0,0,0,1.89473684210526,2.84210526315789,0.947368421052632,2.84210526315789,4.73684210526316,5.68421052631579,0.947368421052632,0.947368421052632,0.947368421052632,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Banini","WAS",0,1,96,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,34,46,0.739130434782609,31,43,0.720930232558139,26,30,0.866666666666667,0.697674418604651,0,2,0,0,0,NA,2,3,0.666666666666667,3,3,1,0,2,0,0,0,NA,2,3,0.666666666666667,10,17,0.588235294117647,11,13,0.846153846153846,13,16,0.8125,9,16,0.5625,9,11,0.818181818181818,13,16,0.8125,7,9,0.777777777777778,7,8,0.875,12,13,0.923076923076923,0.369565217391304,0.282608695652174,0.347826086956522,0.372093023255814,0.255813953488372,0.372093023255814,0.3,0.266666666666667,0.433333333333333,0,0,NA,0,0,0,0,NA,0,0,0,0,0,1,3,4,0.25,4,1,8,9,4,5,1,0,1,0,3,0,0,0,0,0,1,21,0,2,4,1,0,3,1,4,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.9375,0,0,0,0,0.9375,0.9375,0,0.9375,0,0,0,0,0.9375,1.875,0,0,0,0,0,0,0,0,31.875,43.125,29.0625,40.3125,24.375,28.125,0,1.875,0,0,1.875,2.8125,2.8125,2.8125,0,1.875,0,0,1.875,2.8125,9.375,15.9375,10.3125,12.1875,12.1875,15,8.4375,15,8.4375,10.3125,12.1875,15,6.5625,8.4375,6.5625,7.5,11.25,12.1875,0,0,0,0,0,0,0,0,0,0,0,0.9375,2.8125,3.75,3.75,0.9375,7.5,8.4375,3.75,4.6875,0.9375,0,0.9375,2.8125,0,0,0,0,0,0.9375,19.6875,0,1.875,3.75,0.9375,0,2.8125,0.9375,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnes","SRFC",0,1,105,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,34,44,0.772727272727273,26,36,0.722222222222222,7,9,0.777777777777778,0.25,0,3,0,1,3,0.333333333333333,1,2,0.5,8,8,1,0,3,0,1,3,0.333333333333333,1,2,0.5,19,29,0.655172413793103,8,8,1,7,7,1,14,24,0.583333333333333,5,5,1,7,7,1,2,4,0.5,2,2,1,3,3,1,0.659090909090909,0.181818181818182,0.159090909090909,0.666666666666667,0.138888888888889,0.194444444444444,0.444444444444444,0.222222222222222,0.333333333333333,0,0,NA,0,0,0,0,NA,0,0,0,0,0,2,0,2,1,1,0,1,3,1,2,2,1,1,0.5,1,2,0,0,0,0,0,14,2,7,2,7,0,6,2,6,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0.857142857142857,0,0,0,0.857142857142857,0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1428571428571,37.7142857142857,22.2857142857143,30.8571428571429,6,7.71428571428571,0,2.57142857142857,0.857142857142857,2.57142857142857,0.857142857142857,1.71428571428571,6.85714285714286,6.85714285714286,0,2.57142857142857,0.857142857142857,2.57142857142857,0.857142857142857,1.71428571428571,16.2857142857143,24.8571428571429,6.85714285714286,6.85714285714286,6,6,12,20.5714285714286,4.28571428571429,4.28571428571429,6,6,1.71428571428571,3.42857142857143,1.71428571428571,1.71428571428571,2.57142857142857,2.57142857142857,0,0,0,0,0,0,0,0,0,0,0,1.71428571428571,0,1.71428571428571,0.857142857142857,0,0.857142857142857,2.57142857142857,0.857142857142857,1.71428571428571,1.71428571428571,0.857142857142857,0.857142857142857,0.857142857142857,1.71428571428571,0,0,0,0,0,12,1.71428571428571,6,1.71428571428571,6,0,5.14285714285714,1.71428571428571,5.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,95,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,27,36,0.75,11,11,1,3,3,1,0.272727272727273,0,0,NA,3,10,0.3,0,0,NA,0,0,NA,0,0,NA,2,2,1,0,0,NA,20,28,0.714285714285714,6,7,0.857142857142857,1,1,1,9,9,1,1,1,1,1,1,1,3,3,1,0,0,NA,0,0,NA,0.777777777777778,0.194444444444444,0.0277777777777778,0.818181818181818,0.0909090909090909,0.0909090909090909,1,0,0,0,0,NA,0,0,1,3,0.333333333333333,0,0,0,0,3,0,0,0,NA,0,0,0,3,3,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0.142857142857143,0,1,1,1,4,0,4,1,3,0,0,2,3,0,3,0,0,0,1,0,1,0,3,1,27,36,0.75,12,13,0.923076923076923,1,3,0.333333333333333,3,9,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5789473684211,34.1052631578947,10.4210526315789,10.4210526315789,2.84210526315789,2.84210526315789,0,0,2.84210526315789,9.47368421052632,0,0,0,0,0,0,1.89473684210526,1.89473684210526,0,0,18.9473684210526,26.5263157894737,5.68421052631579,6.63157894736842,0.947368421052632,0.947368421052632,8.52631578947368,8.52631578947368,0.947368421052632,0.947368421052632,0.947368421052632,0.947368421052632,2.84210526315789,2.84210526315789,0,0,0,0,0,0,0,0,0.947368421052632,2.84210526315789,0,0,0,0,2.84210526315789,0,0,0,0,0,0,2.84210526315789,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68421052631579,0.947368421052632,6.63157894736842,0,0.947368421052632,0.947368421052632,3.78947368421053,0,3.78947368421053,2.84210526315789,0,0,1.89473684210526,2.84210526315789,0,2.84210526315789,0,0,0,0.947368421052632,0,0.947368421052632,0,2.84210526315789,0.947368421052632,25.5789473684211,34.1052631578947,11.3684210526316,12.3157894736842,0.947368421052632,2.84210526315789,2.84210526315789,8.52631578947368
"Beckmann","BOS",0,1,79,1,0,0,0,3,0,3,0,1,2,0.333333333333333,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,15,22,0.681818181818182,15,22,0.681818181818182,13,19,0.684210526315789,0.863636363636364,0,2,0,0,0,NA,0,0,NA,0,0,NA,0,2,0,0,0,NA,0,0,NA,4,6,0.666666666666667,5,9,0.555555555555556,6,7,0.857142857142857,4,6,0.666666666666667,5,9,0.555555555555556,6,7,0.857142857142857,3,4,0.75,5,9,0.555555555555556,5,6,0.833333333333333,0.272727272727273,0.409090909090909,0.318181818181818,0.272727272727273,0.409090909090909,0.318181818181818,0.210526315789474,0.473684210526316,0.315789473684211,0,0,NA,0,0,0,0,NA,0,0,0,0,0,3,5,8,0.375,0,2,7,4,2,2,4,1,3,0.25,1,3,0,0,0,0,1,29,7,1,1,0,0,0,2,1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,3.41772151898734,0,3.41772151898734,1.13924050632911,2.27848101265823,0,0,1.13924050632911,0,0,0,1.13924050632911,0,1.13924050632911,0,0,0,1.13924050632911,0,0,17.0886075949367,25.0632911392405,17.0886075949367,25.0632911392405,14.8101265822785,21.6455696202532,0,2.27848101265823,0,0,0,0,0,0,0,2.27848101265823,0,0,0,0,4.55696202531646,6.83544303797468,5.69620253164557,10.253164556962,6.83544303797468,7.9746835443038,4.55696202531646,6.83544303797468,5.69620253164557,10.253164556962,6.83544303797468,7.9746835443038,3.41772151898734,4.55696202531646,5.69620253164557,10.253164556962,5.69620253164557,6.83544303797468,0,0,0,0,0,0,0,0,0,0,0,3.41772151898734,5.69620253164557,9.11392405063291,0,2.27848101265823,7.9746835443038,4.55696202531646,2.27848101265823,2.27848101265823,4.55696202531646,1.13924050632911,3.41772151898734,1.13924050632911,3.41772151898734,0,0,0,0,1.13924050632911,33.0379746835443,7.9746835443038,1.13924050632911,1.13924050632911,0,0,0,2.27848101265823,1.13924050632911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berryhill","PTFC",0,1,60,1,0,0,0,0,2,2,NA,0,2,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,16,20,0.8,12,16,0.75,6,9,0.666666666666667,0.5625,1,1,1,1,2,0.5,0,0,NA,4,4,1,1,1,1,1,2,0.5,0,0,NA,6,9,0.666666666666667,2,3,0.666666666666667,8,8,1,6,9,0.666666666666667,1,2,0.5,5,5,1,2,4,0.5,1,2,0.5,3,3,1,0.45,0.15,0.4,0.5625,0.125,0.3125,0.444444444444444,0.222222222222222,0.333333333333333,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,2,0,2,7,4,3,4,0,4,0,0,0,0,0,0,0,0,16,0,2,1,2,1,2,2,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,18,24,9,13.5,1.5,1.5,1.5,3,0,0,6,6,1.5,1.5,1.5,3,0,0,9,13.5,3,4.5,12,12,9,13.5,1.5,3,7.5,7.5,3,6,1.5,3,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10.5,6,4.5,6,0,6,0,0,0,0,0,0,0,24,0,3,1.5,3,1.5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betos","PTFC",0,1,95,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,17,26,0.653846153846154,7,8,0.875,1,2,0.5,0.25,0,0,NA,8,17,0.470588235294118,0,0,NA,0,0,NA,0,0,NA,2,3,0.666666666666667,0,0,NA,16,25,0.64,1,1,1,0,0,NA,6,7,0.857142857142857,1,1,1,0,0,NA,1,2,0.5,0,0,NA,0,0,NA,0.961538461538462,0.0384615384615385,0,0.875,0.125,0,1,0,0,0,0,NA,0,0,2,5,0.4,0,0,0,0,5,0,0,0,NA,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0.285714285714286,2,1,3,0.333333333333333,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,26,0.653846153846154,0,0,NA,0,3,0,10,15,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1052631578947,24.6315789473684,6.63157894736842,7.57894736842105,0.947368421052632,1.89473684210526,0,0,7.57894736842105,16.1052631578947,0,0,0,0,0,0,1.89473684210526,2.84210526315789,0,0,15.1578947368421,23.6842105263158,0.947368421052632,0.947368421052632,0,0,5.68421052631579,6.63157894736842,0.947368421052632,0.947368421052632,0,0,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,1.89473684210526,4.73684210526316,0,0,0,0,4.73684210526316,0,0,0,0,0,0,0.947368421052632,0,0.947368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,1.89473684210526,6.63157894736842,1.89473684210526,0.947368421052632,2.84210526315789,0,0,0,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947368421052632,0,16.1052631578947,24.6315789473684,0,0,0,2.84210526315789,9.47368421052632,14.2105263157895
"Boureille","PTFC",0,1,95,1,0,0,0,2,1,3,0,1,2,0.333333333333333,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,20,32,0.625,20,32,0.625,19,26,0.730769230769231,0.8125,0,0,NA,1,5,0.2,0,2,0,0,0,NA,0,0,NA,1,5,0.2,0,2,0,5,12,0.416666666666667,4,7,0.571428571428571,11,13,0.846153846153846,5,12,0.416666666666667,4,7,0.571428571428571,11,13,0.846153846153846,5,10,0.5,3,4,0.75,11,12,0.916666666666667,0.375,0.21875,0.40625,0.375,0.21875,0.40625,0.384615384615385,0.153846153846154,0.461538461538462,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,3,3,0,4,3,10,16,13,3,7,4,3,0.571428571428571,1,0,0,0,0,0,3,27,9,2,0,3,0,0,4,3,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1.89473684210526,0.947368421052632,2.84210526315789,0.947368421052632,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9473684210526,30.3157894736842,18.9473684210526,30.3157894736842,18,24.6315789473684,0,0,0.947368421052632,4.73684210526316,0,1.89473684210526,0,0,0,0,0.947368421052632,4.73684210526316,0,1.89473684210526,4.73684210526316,11.3684210526316,3.78947368421053,6.63157894736842,10.4210526315789,12.3157894736842,4.73684210526316,11.3684210526316,3.78947368421053,6.63157894736842,10.4210526315789,12.3157894736842,4.73684210526316,9.47368421052632,2.84210526315789,3.78947368421053,10.4210526315789,11.3684210526316,0,0,0,0,0,0,0,0,0,0,0,0,2.84210526315789,2.84210526315789,3.78947368421053,2.84210526315789,9.47368421052632,15.1578947368421,12.3157894736842,2.84210526315789,6.63157894736842,3.78947368421053,2.84210526315789,0.947368421052632,0,0,0,0,0,2.84210526315789,25.5789473684211,8.52631578947368,1.89473684210526,0,2.84210526315789,0,0,3.78947368421053,2.84210526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowen","FCKC",0,1,95,1,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,51,68,0.75,40,48,0.833333333333333,24,28,0.857142857142857,0.583333333333333,0,1,0,0,3,0,1,1,1,11,19,0.578947368421053,0,1,0,0,2,0,0,0,NA,27,42,0.642857142857143,14,15,0.933333333333333,10,11,0.909090909090909,17,23,0.739130434782609,13,14,0.928571428571429,10,11,0.909090909090909,12,15,0.8,7,8,0.875,5,5,1,0.617647058823529,0.220588235294118,0.161764705882353,0.479166666666667,0.291666666666667,0.229166666666667,0.535714285714286,0.285714285714286,0.178571428571429,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,1,2,3,5,2,3,4,2,2,0.5,0,0,0,0,0,0,1,18,2,5,1,3,0,1,2,2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3157894736842,64.4210526315789,37.8947368421053,45.4736842105263,22.7368421052632,26.5263157894737,0,0.947368421052632,0,2.84210526315789,0.947368421052632,0.947368421052632,10.4210526315789,18,0,0.947368421052632,0,1.89473684210526,0,0,25.5789473684211,39.7894736842105,13.2631578947368,14.2105263157895,9.47368421052632,10.4210526315789,16.1052631578947,21.7894736842105,12.3157894736842,13.2631578947368,9.47368421052632,10.4210526315789,11.3684210526316,14.2105263157895,6.63157894736842,7.57894736842105,4.73684210526316,4.73684210526316,0,0,0,0,0,0.947368421052632,0,0,0,0,0.947368421052632,0,0,0,0.947368421052632,1.89473684210526,2.84210526315789,4.73684210526316,1.89473684210526,2.84210526315789,3.78947368421053,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0.947368421052632,17.0526315789474,1.89473684210526,4.73684210526316,0.947368421052632,2.84210526315789,0,0.947368421052632,1.89473684210526,1.89473684210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",0,1,80,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,19,28,0.678571428571429,17,25,0.68,10,14,0.714285714285714,0.56,0,0,NA,1,4,0.25,0,5,0,1,1,1,0,0,NA,1,3,0.333333333333333,0,5,0,7,16,0.4375,3,3,1,9,9,1,7,15,0.466666666666667,3,3,1,7,7,1,5,9,0.555555555555556,1,1,1,4,4,1,0.571428571428571,0.107142857142857,0.321428571428571,0.6,0.12,0.28,0.642857142857143,0.0714285714285714,0.285714285714286,0,0,NA,0,0,1,2,0.5,0,0,0,0,2,1,0,1,1,0,0,0,4,2,2,5,2,3,0.4,1,3,0,0,0,0,0,23,10,2,3,2,0,4,1,4,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1.125,0,1.125,0,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.375,31.5,19.125,28.125,11.25,15.75,0,0,1.125,4.5,0,5.625,1.125,1.125,0,0,1.125,3.375,0,5.625,7.875,18,3.375,3.375,10.125,10.125,7.875,16.875,3.375,3.375,7.875,7.875,5.625,10.125,1.125,1.125,4.5,4.5,0,0,0,0,1.125,2.25,0,0,0,0,2.25,1.125,0,1.125,0,0,0,4.5,2.25,2.25,5.625,2.25,3.375,1.125,3.375,0,0,0,0,0,25.875,11.25,2.25,3.375,2.25,0,4.5,1.125,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
