"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Colaprico","CRS",0,1,77,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0.826086956521739,19,23,0.826086956521739,11,15,0.733333333333333,0.652173913043478,0,1,0,1,2,0.5,1,2,0.5,0,0,0,0,1,0,1,2,0.5,1,2,0.5,11,13,0.846153846153846,6,7,0.857142857142857,2,3,0.666666666666667,11,13,0.846153846153846,6,7,0.857142857142857,2,3,0.666666666666667,6,8,0.75,3,4,0.75,2,3,0.666666666666667,0.565217391304348,0.304347826086957,0.130434782608696,0.565217391304348,0.304347826086957,0.130434782608696,0.533333333333333,0.266666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,1,1,2,7,4,3,2,0,2,0,1,1,0,0,0,0,1,20,4,4,5,1,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comeau","CRS",0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0.733333333333333,9,13,0.692307692307692,6,9,0.666666666666667,0.692307692307692,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,6,9,0.666666666666667,2,3,0.666666666666667,3,3,1,4,7,0.571428571428571,2,3,0.666666666666667,3,3,1,2,4,0.5,2,3,0.666666666666667,2,2,1,0.6,0.2,0.2,0.538461538461538,0.230769230769231,0.230769230769231,0.444444444444444,0.333333333333333,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,2,6,6,0,1,1,0,1,0,0,0,0,0,0,0,11,5,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",0,1,65,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,0.805555555555556,29,36,0.805555555555556,22,26,0.846153846153846,0.722222222222222,0,0,0,0,1,0,2,3,0.666666666666667,0,0,0,0,0,0,0,1,0,2,3,0.666666666666667,10,16,0.625,7,8,0.875,12,12,1,10,16,0.625,7,8,0.875,12,12,1,5,8,0.625,7,8,0.875,10,10,1,0.444444444444444,0.222222222222222,0.333333333333333,0.444444444444444,0.222222222222222,0.333333333333333,0.307692307692308,0.307692307692308,0.384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,1,2,9,7,2,2,0,2,0,0,0,0,0,0,0,0,23,0,2,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0.75,21,27,0.777777777777778,12,18,0.666666666666667,0.666666666666667,8,13,0.615384615384615,0,2,0,0,0,0,0,0,0,1,3,0.333333333333333,0,1,0,0,0,0,10,15,0.666666666666667,16,21,0.761904761904762,4,4,1,9,13,0.692307692307692,8,10,0.8,4,4,1,6,10,0.6,3,5,0.6,3,3,1,0.375,0.525,0.1,0.481481481481481,0.37037037037037,0.148148148148148,0.555555555555556,0.277777777777778,0.166666666666667,7,9,0.777777777777778,0,0,2,4,0.5,0,0,0,0,4,0,0,0,0,0,0,0,11,8,3,8,3,5,0.375,1,0,0,0,0,0,0,5,6,1,4,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dalton","CRS",0,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,0.428571428571429,3,8,0.375,1,2,0.5,0.25,0,0,0,10,24,0.416666666666667,0,0,0,0,0,0,0,0,0,2,7,0.285714285714286,0,0,0,14,34,0.411764705882353,1,1,1,0,0,0,2,7,0.285714285714286,1,1,1,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,0.971428571428571,0.0285714285714286,0,0.875,0.125,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0.333333333333333,3,2,5,0.4,3,0,3,1,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,15,35,0.428571428571429,1,1,1,3,9,0.333333333333333,8,17,0.470588235294118
"DiBernardo","CRS",0,1,91,1,0,0,0,1,3,4,0,1,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45,0.666666666666667,30,44,0.681818181818182,22,34,0.647058823529412,0.772727272727273,0,3,0,0,2,0,0,3,0,0,0,0,0,2,0,0,2,0,0,3,0,13,24,0.541666666666667,9,13,0.692307692307692,8,8,1,13,24,0.541666666666667,9,12,0.75,8,8,1,9,18,0.5,7,10,0.7,6,6,1,0.533333333333333,0.288888888888889,0.177777777777778,0.545454545454545,0.272727272727273,0.181818181818182,0.529411764705882,0.294117647058824,0.176470588235294,0,1,0,0,0,0,0,0,0,0,1,0,1,4,5,9,0.444444444444444,0,1,6,5,4,1,5,2,3,0.4,1,1,0,0,0,0,1,46,7,6,6,4,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19,24,0.791666666666667,18,23,0.782608695652174,14,18,0.777777777777778,0.782608695652174,2,3,0.666666666666667,0,1,0,2,2,1,1,1,1,2,3,0.666666666666667,0,1,0,2,2,1,6,8,0.75,6,8,0.75,7,8,0.875,6,8,0.75,5,7,0.714285714285714,7,8,0.875,4,6,0.666666666666667,5,6,0.833333333333333,5,6,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.347826086956522,0.304347826086957,0.347826086956522,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,1,1,5,2,3,0.4,0,0,0,0,0,0,0,18,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eddy","WNYF",0,1,91,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,70,0.614285714285714,29,54,0.537037037037037,17,35,0.485714285714286,0.648148148148148,1,5,0.2,2,10,0.2,1,5,0.2,14,16,0.875,1,5,0.2,2,10,0.2,1,5,0.2,33,53,0.622641509433962,5,11,0.454545454545455,5,6,0.833333333333333,19,37,0.513513513513513,5,11,0.454545454545455,5,6,0.833333333333333,9,22,0.409090909090909,4,8,0.5,4,5,0.8,0.757142857142857,0.157142857142857,0.0857142857142857,0.685185185185185,0.203703703703704,0.111111111111111,0.628571428571429,0.228571428571429,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0.5,3,1,7,15,8,7,3,1,2,0.333333333333333,2,0,0,0,0,0,0,16,4,2,2,1,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,91,1,0,0,1,1,0,2,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,0.8125,26,32,0.8125,19,21,0.904761904761905,0.65625,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,8,12,0.666666666666667,12,13,0.923076923076923,6,7,0.857142857142857,8,12,0.666666666666667,12,13,0.923076923076923,6,7,0.857142857142857,4,5,0.8,9,10,0.9,6,6,1,0.375,0.40625,0.21875,0.375,0.40625,0.21875,0.238095238095238,0.476190476190476,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,0,1,2,17,12,5,17,9,8,0.529411764705882,0,3,0,0,0,0,0,42,4,5,8,2,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",0,1,91,1,0,1,0,1,0,2,0.5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,27,39,0.692307692307692,21,31,0.67741935483871,15,21,0.714285714285714,0.67741935483871,1,2,0.5,1,4,0.25,0,0,0,6,7,0.857142857142857,1,2,0.5,1,3,0.333333333333333,0,0,0,14,24,0.583333333333333,10,12,0.833333333333333,3,3,1,11,19,0.578947368421053,7,9,0.777777777777778,3,3,1,7,11,0.636363636363636,7,9,0.777777777777778,1,1,1,0.615384615384615,0.307692307692308,0.0769230769230769,0.612903225806452,0.290322580645161,0.0967741935483871,0.523809523809524,0.428571428571429,0.0476190476190476,0,0,0,0,0,0,1,0,0,0,0,0,1,7,2,9,0.777777777777778,2,0,4,18,11,7,8,5,3,0.625,0,0,0,0,0,0,0,16,6,3,3,6,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
