"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Alleway","ORL",0,1,95,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,45,0.755555555555556,31,41,0.75609756097561,10,12,0.833333333333333,0.292682926829268,0,0,0,8,14,0.571428571428571,0,0,0,0,0,0,0,0,0,6,11,0.545454545454545,0,0,0,19,28,0.678571428571429,11,13,0.846153846153846,4,4,1,17,25,0.68,10,12,0.833333333333333,4,4,1,7,8,0.875,2,3,0.666666666666667,1,1,1,0.622222222222222,0.288888888888889,0.0888888888888889,0.609756097560976,0.292682926829268,0.0975609756097561,0.666666666666667,0.25,0.0833333333333333,0,0,0,0,0,3,4,0.75,0,0,1,0,5,0,0,0,0,0,0,0,4,3,1,8,4,4,0.5,1,1,0,0,0,0,0,5,1,0,3,9,1,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belanger","ORL",0,1,56,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,0.740740740740741,18,24,0.75,8,12,0.666666666666667,0.5,1,2,0.5,0,0,0,1,2,0.5,2,3,0.666666666666667,1,2,0.5,0,0,0,1,2,0.5,9,16,0.5625,4,4,1,7,7,1,9,15,0.6,2,2,1,7,7,1,4,8,0.5,0,0,0,4,4,1,0.592592592592593,0.148148148148148,0.259259259259259,0.625,0.0833333333333333,0.291666666666667,0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,7,3,4,1,0,1,0,1,0,0,0,0,0,0,7,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkenroad","ORL",0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0.5,0.5,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catley","ORL",0,1,95,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,48,0.75,26,35,0.742857142857143,12,19,0.631578947368421,0.542857142857143,2,7,0.285714285714286,0,0,0,0,0,0,8,8,1,2,4,0.5,0,0,0,0,0,0,12,23,0.521739130434783,15,16,0.9375,9,9,1,8,16,0.5,10,11,0.909090909090909,8,8,1,1,7,0.142857142857143,6,7,0.857142857142857,5,5,1,0.479166666666667,0.333333333333333,0.1875,0.457142857142857,0.314285714285714,0.228571428571429,0.368421052631579,0.368421052631579,0.263157894736842,1,1,1,0,0,1,4,0.25,0,0,1,0,5,2,0,2,1,0,1,1,15,8,7,3,2,1,0.666666666666667,1,2,0,0,0,0,0,9,1,0,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dahlkemper","WNYF",0,1,95,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0.869565217391304,17,19,0.894736842105263,5,5,1,0.263157894736842,0,2,0,3,4,0.75,1,1,1,0,0,0,0,1,0,2,3,0.666666666666667,1,1,1,15,17,0.882352941176471,3,4,0.75,2,2,1,12,14,0.857142857142857,3,3,1,2,2,1,3,3,1,2,2,1,0,0,0,0.739130434782609,0.173913043478261,0.0869565217391304,0.736842105263158,0.157894736842105,0.105263157894737,0.6,0.4,0,0,1,0,0,0,3,3,1,0,0,1,0,4,1,0,1,1,0,0,0,6,4,2,2,1,1,0.5,0,2,0,0,0,0,0,6,1,3,4,8,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doniak","WNYF",0,1,70,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,14,0.785714285714286,11,14,0.785714285714286,7,10,0.7,0.714285714285714,1,1,1,0,0,0,1,2,0.5,0,0,0,1,1,1,0,0,0,1,2,0.5,3,6,0.5,4,4,1,4,4,1,3,6,0.5,4,4,1,4,4,1,2,5,0.4,2,2,1,3,3,1,0.428571428571429,0.285714285714286,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.5,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,2,6,2,0,2,2,1,1,0.5,2,0,0,0,0,0,0,13,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eckerstrom","WNYF",0,1,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0.611111111111111,4,6,0.666666666666667,0,1,0,0.166666666666667,0,0,0,8,15,0.533333333333333,0,0,0,0,0,0,0,0,0,2,4,0.5,0,0,0,11,18,0.611111111111111,0,0,0,0,0,0,4,6,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0.5,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,2,0,2,0,1,1,2,0.5,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,11,18,0.611111111111111,1,1,1,0,1,0,6,10,0.6
"Eddy","WNYF",0,1,95,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,30,0.7,15,22,0.681818181818182,9,15,0.6,0.681818181818182,3,4,0.75,1,3,0.333333333333333,0,0,0,6,8,0.75,3,4,0.75,1,3,0.333333333333333,0,0,0,13,20,0.65,6,7,0.857142857142857,2,3,0.666666666666667,8,13,0.615384615384615,6,7,0.857142857142857,1,2,0.5,5,10,0.5,4,5,0.8,0,0,0,0.666666666666667,0.233333333333333,0.1,0.590909090909091,0.318181818181818,0.0909090909090909,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,2,1,4,8,2,5,2,0,2,0,0,2,0,0,0,0,0,27,3,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","ORL",0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35,40,0.875,29,34,0.852941176470588,17,19,0.894736842105263,0.558823529411765,2,4,0.5,0,0,0,1,1,1,5,5,1,2,4,0.5,0,0,0,1,1,1,12,13,0.923076923076923,9,13,0.692307692307692,14,14,1,11,12,0.916666666666667,7,11,0.636363636363636,11,11,1,4,4,1,3,5,0.6,10,10,1,0.325,0.325,0.35,0.352941176470588,0.323529411764706,0.323529411764706,0.210526315789474,0.263157894736842,0.526315789473684,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1,4,0.75,1,0,2,4,3,1,1,0,1,0,3,0,0,0,0,0,1,11,0,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erceg","WNYF",0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0.769230769230769,10,13,0.769230769230769,2,4,0.5,0.307692307692308,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,0.714285714285714,2,3,0.666666666666667,3,3,1,5,7,0.714285714285714,2,3,0.666666666666667,3,3,1,1,2,0.5,0,1,0,1,1,1,0.538461538461538,0.230769230769231,0.230769230769231,0.538461538461538,0.230769230769231,0.230769230769231,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0.5,1,0,3,6,3,3,3,2,1,0.666666666666667,1,2,0,0,0,0,0,17,4,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
