"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Colaprico","CRS",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,0.868421052631579,31,34,0.911764705882353,18,19,0.947368421052632,0.558823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0.833333333333333,8,10,0.8,10,10,1,15,18,0.833333333333333,7,7,1,9,9,1,8,9,0.888888888888889,4,4,1,6,6,1,0.473684210526316,0.263157894736842,0.263157894736842,0.529411764705882,0.205882352941176,0.264705882352941,0.473684210526316,0.210526315789474,0.315789473684211,2,4,0.5,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,16,11,5,2,2,0,1,2,1,0,0,0,0,0,20,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6185567010309,35.2577319587629,28.7628865979381,31.5463917525773,16.7010309278351,17.6288659793814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9175257731959,16.7010309278351,7.42268041237113,9.27835051546392,9.27835051546392,9.27835051546392,13.9175257731959,16.7010309278351,6.49484536082474,6.49484536082474,8.35051546391753,8.35051546391753,7.42268041237113,8.35051546391753,3.71134020618557,3.71134020618557,5.56701030927835,5.56701030927835,1.85567010309278,3.71134020618557,0,0,0,0,0,0,0,0,0,1.85567010309278,0,1.85567010309278,0.927835051546392,0,0.927835051546392,14.8453608247423,10.2061855670103,4.63917525773196,1.85567010309278,1.85567010309278,0,1.85567010309278,0.927835051546392,0,0,0,0,0,18.5567010309278,4.63917525773196,2.78350515463918,0,0.927835051546392,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Costa","CRS",0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0.75,9,12,0.75,5,6,0.833333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,3,5,0.6,4,4,1,2,3,0.666666666666667,3,5,0.6,4,4,1,2,3,0.666666666666667,0,0,0,3,3,1,0.25,0.416666666666667,0.333333333333333,0.25,0.416666666666667,0.333333333333333,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,2,1,0,1,0,0,0,0,0,0,0,0,10,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3157894736842,28.4210526315789,21.3157894736842,28.4210526315789,11.8421052631579,14.2105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,7.10526315789474,7.10526315789474,11.8421052631579,9.47368421052632,9.47368421052632,4.73684210526316,7.10526315789474,7.10526315789474,11.8421052631579,9.47368421052632,9.47368421052632,4.73684210526316,7.10526315789474,0,0,7.10526315789474,7.10526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36842105263158,2.36842105263158,11.8421052631579,7.10526315789474,4.73684210526316,2.36842105263158,0,2.36842105263158,0,0,0,0,0,0,0,23.6842105263158,2.36842105263158,0,2.36842105263158,0,0,2.36842105263158,2.36842105263158,2.36842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DiBernardo","CRS",0,1,96,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0.55,21,36,0.583333333333333,12,20,0.6,0.555555555555556,0,2,0,1,4,0.25,1,4,0.25,0,0,0,0,2,0,1,4,0.25,1,4,0.25,9,22,0.409090909090909,6,11,0.545454545454545,7,7,1,9,22,0.409090909090909,5,7,0.714285714285714,7,7,1,6,13,0.461538461538462,4,5,0.8,2,2,1,0.55,0.275,0.175,0.611111111111111,0.194444444444444,0.194444444444444,0.65,0.25,0.1,1,4,0.25,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,10,4,6,4,2,2,0.5,1,0,0,0,0,0,0,33,5,3,7,1,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9375,0.9375,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.625,37.5,19.6875,33.75,11.25,18.75,0,1.875,0.9375,3.75,0.9375,3.75,0,0,0,1.875,0.9375,3.75,0.9375,3.75,8.4375,20.625,5.625,10.3125,6.5625,6.5625,8.4375,20.625,4.6875,6.5625,6.5625,6.5625,5.625,12.1875,3.75,4.6875,1.875,1.875,0.9375,3.75,0,0,0,0,0,0,0,0,0,0.9375,0,0.9375,1.875,0.9375,2.8125,9.375,3.75,5.625,3.75,1.875,1.875,0.9375,0,0,0,0,0,0,30.9375,4.6875,2.8125,6.5625,0.9375,0.9375,3.75,1.875,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30,37,0.810810810810811,30,36,0.833333333333333,8,11,0.727272727272727,0.305555555555556,0,3,0,1,4,0.25,0,0,0,0,0,0,0,2,0,1,4,0.25,0,0,0,14,21,0.666666666666667,11,11,1,5,5,1,14,20,0.7,11,11,1,5,5,1,6,9,0.666666666666667,2,2,1,0,0,0,0.567567567567568,0.297297297297297,0.135135135135135,0.555555555555556,0.305555555555556,0.138888888888889,0.818181818181818,0.181818181818182,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,7,4,4,3,1,0.75,0,0,0,0,0,0,0,8,1,2,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0,0,0.927835051546392,0,0,27.8350515463918,34.3298969072165,27.8350515463918,33.4020618556701,7.42268041237113,10.2061855670103,0,2.78350515463918,0.927835051546392,3.71134020618557,0,0,0,0,0,1.85567010309278,0.927835051546392,3.71134020618557,0,0,12.9896907216495,19.4845360824742,10.2061855670103,10.2061855670103,4.63917525773196,4.63917525773196,12.9896907216495,18.5567010309278,10.2061855670103,10.2061855670103,4.63917525773196,4.63917525773196,5.56701030927835,8.35051546391753,1.85567010309278,1.85567010309278,0,0,0,0,0,0,0,0.927835051546392,0,0,0,0,0.927835051546392,0,0,0,0,0,0,10.2061855670103,6.49484536082474,3.71134020618557,3.71134020618557,2.78350515463918,0.927835051546392,0,0,0,0,0,0,0,7.42268041237113,0.927835051546392,1.85567010309278,2.78350515463918,12.9896907216495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilliland","CRS",0,1,97,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0.666666666666667,17,26,0.653846153846154,9,14,0.642857142857143,0.538461538461538,0,4,0,1,4,0.25,1,2,0.5,3,4,0.75,0,4,0,1,4,0.25,1,2,0.5,10,18,0.555555555555556,3,5,0.6,7,7,1,7,14,0.5,3,5,0.6,7,7,1,3,7,0.428571428571429,2,3,0.666666666666667,4,4,1,0.6,0.166666666666667,0.233333333333333,0.538461538461538,0.192307692307692,0.269230769230769,0.5,0.214285714285714,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0.666666666666667,1,2,4,9,5,4,3,2,1,0.666666666666667,0,0,0,0,0,0,0,18,4,2,3,5,2,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927835051546392,0,0.927835051546392,0,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5567010309278,27.8350515463918,15.7731958762887,24.1237113402062,8.35051546391753,12.9896907216495,0,3.71134020618557,0.927835051546392,3.71134020618557,0.927835051546392,1.85567010309278,2.78350515463918,3.71134020618557,0,3.71134020618557,0.927835051546392,3.71134020618557,0.927835051546392,1.85567010309278,9.27835051546392,16.7010309278351,2.78350515463918,4.63917525773196,6.49484536082474,6.49484536082474,6.49484536082474,12.9896907216495,2.78350515463918,4.63917525773196,6.49484536082474,6.49484536082474,2.78350515463918,6.49484536082474,1.85567010309278,2.78350515463918,3.71134020618557,3.71134020618557,0,0,0,0,0,0,0,0,0,0,0,1.85567010309278,0.927835051546392,2.78350515463918,0.927835051546392,1.85567010309278,3.71134020618557,8.35051546391753,4.63917525773196,3.71134020618557,2.78350515463918,1.85567010309278,0.927835051546392,0,0,0,0,0,0,0,16.7010309278351,3.71134020618557,1.85567010309278,2.78350515463918,4.63917525773196,1.85567010309278,4.63917525773196,3.71134020618557,4.63917525773196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoy","CRS",0,1,60,1,0,2,0,1,0,3,0.666666666666667,1,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0.583333333333333,7,12,0.583333333333333,6,9,0.666666666666667,0.75,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,3,4,0.75,4,4,1,0,4,0,3,4,0.75,4,4,1,0,2,0,3,4,0.75,3,3,1,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.222222222222222,0.444444444444444,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,3,4,4,2,2,3,2,1,0.666666666666667,0,1,1,0,0,0,0,7,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.5,0,4.5,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,18,10.5,18,9,13.5,0,1.5,0,0,0,1.5,0,0,0,1.5,0,0,0,1.5,0,6,4.5,6,6,6,0,6,4.5,6,6,6,0,3,4.5,6,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1.5,4.5,6,6,3,3,4.5,3,1.5,0,1.5,1.5,0,0,0,0,10.5,4.5,1.5,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huerta","CRS",0,1,97,1,0,0,0,4,1,5,0,3,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,0.642857142857143,16,26,0.615384615384615,15,20,0.75,0.769230769230769,2,5,0.4,0,0,0,0,1,0,2,2,1,2,5,0.4,0,0,0,0,1,0,1,3,0.333333333333333,7,13,0.538461538461538,10,12,0.833333333333333,1,3,0.333333333333333,6,12,0.5,9,11,0.818181818181818,1,2,0.5,6,9,0.666666666666667,8,9,0.888888888888889,0.107142857142857,0.464285714285714,0.428571428571429,0.115384615384615,0.461538461538462,0.423076923076923,0.1,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,2,6,8,4,1,3,9,3,6,0.333333333333333,0,1,0,0,0,0,0,17,3,2,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71134020618557,0.927835051546392,4.63917525773196,2.78350515463918,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7010309278351,25.979381443299,14.8453608247423,24.1237113402062,13.9175257731959,18.5567010309278,1.85567010309278,4.63917525773196,0,0,0,0.927835051546392,1.85567010309278,1.85567010309278,1.85567010309278,4.63917525773196,0,0,0,0.927835051546392,0.927835051546392,2.78350515463918,6.49484536082474,12.0618556701031,9.27835051546392,11.1340206185567,0.927835051546392,2.78350515463918,5.56701030927835,11.1340206185567,8.35051546391753,10.2061855670103,0.927835051546392,1.85567010309278,5.56701030927835,8.35051546391753,7.42268041237113,8.35051546391753,0,0,0,0,0,0,0,0,0,0,0,3.71134020618557,0,3.71134020618557,1.85567010309278,5.56701030927835,7.42268041237113,3.71134020618557,0.927835051546392,2.78350515463918,8.35051546391753,2.78350515463918,5.56701030927835,0,0.927835051546392,0,0,0,0,0,15.7731958762887,2.78350515463918,1.85567010309278,1.85567010309278,0,0,1.85567010309278,0.927835051546392,1.85567010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson","CRS",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0.827586206896552,22,24,0.916666666666667,0,1,0,0.0416666666666667,0,0,0,2,5,0.4,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,11,15,0.733333333333333,4,5,0.8,9,9,1,10,11,0.909090909090909,4,5,0.8,8,8,1,0,1,0,0,0,0,0,0,0,0.517241379310345,0.172413793103448,0.310344827586207,0.458333333333333,0.208333333333333,0.333333333333333,1,0,0,0,0,0,0,0,2,5,0.4,0,0,0,0,5,0,0,0,0,0,0,0,7,6,1,7,5,2,0.714285714285714,2,1,0,0,0,0,0,4,1,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2680412371134,26.9072164948454,20.4123711340206,22.2680412371134,0,0.927835051546392,0,0,1.85567010309278,4.63917525773196,0,0,0,0,0,0,1.85567010309278,1.85567010309278,0,0,10.2061855670103,13.9175257731959,3.71134020618557,4.63917525773196,8.35051546391753,8.35051546391753,9.27835051546392,10.2061855670103,3.71134020618557,4.63917525773196,7.42268041237113,7.42268041237113,0,0.927835051546392,0,0,0,0,0,0,0,0,1.85567010309278,4.63917525773196,0,0,0,0,4.63917525773196,0,0,0,0,0,0,6.49484536082474,5.56701030927835,0.927835051546392,6.49484536082474,4.63917525773196,1.85567010309278,1.85567010309278,0.927835051546392,0,0,0,0,0,3.71134020618557,0.927835051546392,0,2.78350515463918,5.56701030927835,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnston","CRS",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0.689655172413793,20,28,0.714285714285714,9,13,0.692307692307692,0.464285714285714,0,1,0,0,3,0,1,2,0.5,0,0,0,0,1,0,0,2,0,1,2,0.5,14,22,0.636363636363636,3,4,0.75,3,3,1,14,21,0.666666666666667,3,4,0.75,3,3,1,7,11,0.636363636363636,2,2,1,0,0,0,0.758620689655172,0.137931034482759,0.103448275862069,0.75,0.142857142857143,0.107142857142857,0.846153846153846,0.153846153846154,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,3,1,0,0,0,5,3,2,1,0,1,0,0,1,0,0,0,1,0,8,2,1,4,10,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5567010309278,26.9072164948454,18.5567010309278,25.979381443299,8.35051546391753,12.0618556701031,0,0.927835051546392,0,2.78350515463918,0.927835051546392,1.85567010309278,0,0,0,0.927835051546392,0,1.85567010309278,0.927835051546392,1.85567010309278,12.9896907216495,20.4123711340206,2.78350515463918,3.71134020618557,2.78350515463918,2.78350515463918,12.9896907216495,19.4845360824742,2.78350515463918,3.71134020618557,2.78350515463918,2.78350515463918,6.49484536082474,10.2061855670103,1.85567010309278,1.85567010309278,0,0,0,0,0,0,0,0.927835051546392,0,0,0,0,0.927835051546392,2.78350515463918,0,2.78350515463918,0,0,0,4.63917525773196,2.78350515463918,1.85567010309278,0.927835051546392,0,0.927835051546392,0,0.927835051546392,0,0,0,0.927835051546392,0,7.42268041237113,1.85567010309278,0.927835051546392,3.71134020618557,9.27835051546392,1.85567010309278,1.85567010309278,0,1.85567010309278,0,0,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,0.933333333333333,40,42,0.952380952380952,9,10,0.9,0.238095238095238,0,0,0,3,5,0.6,0,0,0,0,0,0,0,0,0,2,3,0.666666666666667,0,0,0,24,26,0.923076923076923,12,12,1,6,7,0.857142857142857,22,23,0.956521739130435,12,12,1,6,7,0.857142857142857,5,6,0.833333333333333,1,1,1,3,3,1,0.577777777777778,0.266666666666667,0.155555555555556,0.547619047619048,0.285714285714286,0.166666666666667,0.6,0.1,0.3,0,0,0,0,0,2,3,0.666666666666667,0,0,0,0,3,1,0,1,1,1,0,1,10,10,0,6,3,3,0.5,1,0,0,0,0,0,1,10,5,7,1,7,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9690721649485,41.7525773195876,37.1134020618557,38.9690721649485,8.35051546391753,9.27835051546392,0,0,2.78350515463918,4.63917525773196,0,0,0,0,0,0,1.85567010309278,2.78350515463918,0,0,22.2680412371134,24.1237113402062,11.1340206185567,11.1340206185567,5.56701030927835,6.49484536082474,20.4123711340206,21.340206185567,11.1340206185567,11.1340206185567,5.56701030927835,6.49484536082474,4.63917525773196,5.56701030927835,0.927835051546392,0.927835051546392,2.78350515463918,2.78350515463918,0,0,0,0,1.85567010309278,2.78350515463918,0,0,0,0,2.78350515463918,0.927835051546392,0,0.927835051546392,0.927835051546392,0,0.927835051546392,9.27835051546392,9.27835051546392,0,5.56701030927835,2.78350515463918,2.78350515463918,0.927835051546392,0,0,0,0,0,0.927835051546392,9.27835051546392,4.63917525773196,6.49484536082474,0.927835051546392,6.49484536082474,0.927835051546392,1.85567010309278,0.927835051546392,2.78350515463918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
