"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct","Goals.per.90","Shots.Stopped.by.GK.per.90","Shots.Stopped.by.Def.per.90","Shots.Missed.per.90","Shots.Blocked.per.90","All.Shots.per.90","Shots.Pressed.per.90","Shots.Not.Pressed.per.90","BC.Scored.per.90","BC.SOG.per.90","BC.Shot.Miss.per.90","BC.Dispossess.per.90","BC.Created.per.90","BC.Lost.per.90","Big.Chances.per.90","Assists.per.90","Key.Passes.per.90","Key.Assists.per.90","Second.Assists.per.90","Open.Play.Assists.per.90","Open.Play.Key.Passes.per.90","Open.Play.Key.Assists.per.90","Open.Play.Second.Assists.per.90","Pass.Comp.per.90","Pass.Att.per.90","opPass.Comp.per.90","opPass.Att.per.90","PPass.Comp.per.90","PPass.Att.per.90","Cross.Comp.per.90","Cross.Att.per.90","Launch.Comp.per.90","Launch.Att.per.90","Through.Comp.per.90","Through.Att.per.90","Throw.In.Comp.per.90","Throw.In.Att.per.90","opCross.Comp.per.90","opCross.Att.per.90","opLaunch.Comp.per.90","opLaunch.Att.per.90","opThrough.Comp.per.90","opThrough.Att.per.90","fwPass.Comp.per.90","fwPass.Att.per.90","sPass.Comp.per.90","sPass.Att.per.90","bPass.Comp.per.90","bPass.Att.per.90","fwopPass.Comp.per.90","fwopPass.Att.per.90","sopPass.Comp.per.90","sopPass.Att.per.90","bopPass.Comp.per.90","bopPass.Att.per.90","fwPPass.Comp.per.90","fwPPass.Att.per.90","sPPass.Comp.per.90","sPPass.Att.per.90","bPPass.Comp.per.90","bPPass.Att.per.90","Corner.Kicks.Completed.per.90","Corner.Kicks.Taken.per.90","CK.Assist.per.90","CK.Key.Pass.per.90","FK.Pass.Comp.per.90","FK.Pass.Att.per.90","FK.Assist.per.90","FK.Key.Pass.per.90","FK.Shot.per.90","FK.Scored.per.90","Free.Kicks.Taken.per.90","TO.Won.per.90","TO.Lost.per.90","Take.Ons.per.90","Dispossessed.by.Opp.per.90","Lost.Touches.per.90","All.Possessions.Disrupted.per.90","Recoveries.per.90","Def.Recoveries.per.90","Poss.Recoveries.per.90","Aerial.Duels.per.90","AD.Won.per.90","AD.Lost.per.90","Fouls.Won.per.90","Fouls.Conceded.per.90","Yellow.Cards.per.90","Red.Cards.per.90","Penalties.Won.per.90","Penalties.Conceded.per.90","Dispossessed.Opp.per.90","Pressured.Opp.per.90","Challenged.Opp.per.90","Interceptions.per.90","Blocks.per.90","Clearances.per.90","Ball.Shields.per.90","Tackles.per.90","Dribbled.per.90","All.Opp.Poss.Disrupted.per.90","Saves.per.90","Goals.Allowed.per.90","GK.SOG.Faced.per.90","BC.Saves.per.90","BC.Goals.Allowed.per.90","BC.SOG.Faced.per.90","HB.Won.per.90","HB.Lost.per.90","High.Balls.Faced.per.90","HB.Caught.per.90","HB.Punched.per.90","HB.Parried.per.90","HB.Collected.per.90","Crosses.GK.Won.per.90","Crosses.GK.Lost.per.90","Crosses.GK.Faced.per.90","CKs.GK.Won.per.90","CKs.GK.Lost.per.90","CKs.GK.Faced.per.90","FKs.GK.Won.per.90","FKs.GK.Lost.per.90","FKs.GK.Faced.per.90","HB.Fouls.Won.per.90","Smothers.Won.per.90","Smothers.Lost.per.90","GK.Overall.Pass.Comp.per.90","GK.Overall.Pass.Att.per.90","GK.Throw.Comp.per.90","GK.Throw.Att.per.90","GK.Drop.Kick.Comp.per.90","GK.Drop.Kick.Att.per.90","GKFK.Comp.per.90","GKFK.Att.per.90"
"Arlitt","FCKC",0,1,92,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,0.636363636363636,26,40,0.65,14,23,0.608695652173913,0.575,1,4,0.25,1,4,0.25,0,0,0,2,4,0.5,1,4,0.25,1,4,0.25,0,0,0,18,32,0.5625,6,8,0.75,4,4,1,16,28,0.571428571428571,6,8,0.75,4,4,1,7,16,0.4375,4,4,1,3,3,1,0.727272727272727,0.181818181818182,0.0909090909090909,0.7,0.2,0.1,0.695652173913043,0.173913043478261,0.130434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,1,2,4,13,10,3,8,3,5,0.375,1,1,0,0,0,0,0,17,3,2,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978260869565217,0.978260869565217,1.95652173913043,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3913043478261,43.0434782608696,25.4347826086956,39.1304347826087,13.695652173913,22.5,0.978260869565217,3.91304347826087,0.978260869565217,3.91304347826087,0,0,1.95652173913043,3.91304347826087,0.978260869565217,3.91304347826087,0.978260869565217,3.91304347826087,0,0,17.6086956521739,31.304347826087,5.8695652173913,7.82608695652174,3.91304347826087,3.91304347826087,15.6521739130435,27.3913043478261,5.8695652173913,7.82608695652174,3.91304347826087,3.91304347826087,6.84782608695652,15.6521739130435,3.91304347826087,3.91304347826087,2.93478260869565,2.93478260869565,0,0,0,0,0,0,0,0,0,0,0,0.978260869565217,0.978260869565217,1.95652173913043,0.978260869565217,1.95652173913043,3.91304347826087,12.7173913043478,9.78260869565217,2.93478260869565,7.82608695652174,2.93478260869565,4.89130434782609,0.978260869565217,0.978260869565217,0,0,0,0,0,16.6304347826087,2.93478260869565,1.95652173913043,2.93478260869565,0.978260869565217,0,1.95652173913043,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Averbuch","FCKC",0,1,76,1,0,1,0,1,0,2,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,0.714285714285714,30,42,0.714285714285714,19,24,0.791666666666667,0.571428571428571,1,3,0.333333333333333,1,2,0.5,0,2,0,0,0,0,1,3,0.333333333333333,1,2,0.5,0,2,0,15,24,0.625,7,10,0.7,8,8,1,15,24,0.625,7,10,0.7,8,8,1,10,15,0.666666666666667,4,4,1,5,5,1,0.571428571428571,0.238095238095238,0.19047619047619,0.571428571428571,0.238095238095238,0.19047619047619,0.625,0.166666666666667,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,15,7,7,5,2,3,0.4,0,6,0,0,0,0,1,25,4,0,2,1,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18421052631579,0,1.18421052631579,0,2.36842105263158,0,2.36842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5263157894737,49.7368421052632,35.5263157894737,49.7368421052632,22.5,28.4210526315789,1.18421052631579,3.55263157894737,1.18421052631579,2.36842105263158,0,2.36842105263158,0,0,1.18421052631579,3.55263157894737,1.18421052631579,2.36842105263158,0,2.36842105263158,17.7631578947368,28.4210526315789,8.28947368421053,11.8421052631579,9.47368421052632,9.47368421052632,17.7631578947368,28.4210526315789,8.28947368421053,11.8421052631579,9.47368421052632,9.47368421052632,11.8421052631579,17.7631578947368,4.73684210526316,4.73684210526316,5.92105263157895,5.92105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73684210526316,0,4.73684210526316,17.7631578947368,8.28947368421053,8.28947368421053,5.92105263157895,2.36842105263158,3.55263157894737,0,7.10526315789474,0,0,0,0,1.18421052631579,29.6052631578947,4.73684210526316,0,2.36842105263158,1.18421052631579,0,2.36842105263158,7.10526315789474,3.55263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnhart","FCKC",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,0.733333333333333,6,8,0.75,1,3,0.333333333333333,0.375,0,0,0,5,10,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,17,25,0.68,5,5,1,0,0,0,5,7,0.714285714285714,1,1,1,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,0.833333333333333,0.166666666666667,0,0.875,0.125,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,1,5,0.2,1,0,1,0,4,0,4,1,3,0,0,1,2,0,2,2,0,2,2,0,2,0,1,0,22,30,0.733333333333333,7,7,1,2,4,0.5,7,11,0.636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5217391304348,29.3478260869565,5.8695652173913,7.82608695652174,0.978260869565217,2.93478260869565,0,0,4.89130434782609,9.78260869565217,0,0,0,0,0,0,0.978260869565217,1.95652173913043,0,0,16.6304347826087,24.4565217391304,4.89130434782609,4.89130434782609,0,0,4.89130434782609,6.84782608695652,0.978260869565217,0.978260869565217,0,0,0.978260869565217,2.93478260869565,0,0,0,0,0,0,0,0,0,0.978260869565217,0,0,0,0,0.978260869565217,0,0,0,0,0,0,1.95652173913043,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93478260869565,0,0,0,0,3.91304347826087,0.978260869565217,4.89130434782609,0.978260869565217,0,0.978260869565217,3.91304347826087,0,3.91304347826087,2.93478260869565,0,0,0.978260869565217,1.95652173913043,0,1.95652173913043,1.95652173913043,0,1.95652173913043,1.95652173913043,0,1.95652173913043,0,0.978260869565217,0,21.5217391304348,29.3478260869565,6.84782608695652,6.84782608695652,1.95652173913043,3.91304347826087,6.84782608695652,10.7608695652174
"Bowen","FCKC",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,60,0.733333333333333,35,45,0.777777777777778,17,20,0.85,0.444444444444444,0,1,0,0,5,0,1,2,0.5,8,12,0.666666666666667,0,1,0,0,3,0,1,2,0.5,17,31,0.548387096774194,18,20,0.9,9,9,1,10,18,0.555555555555556,16,18,0.888888888888889,9,9,1,5,8,0.625,9,9,1,3,3,1,0.516666666666667,0.333333333333333,0.15,0.4,0.4,0.2,0.4,0.45,0.15,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,1,1,2,0.5,0,0,1,6,5,1,1,0,1,0,0,1,0,0,0,0,1,12,4,1,3,4,0,8,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0434782608696,58.695652173913,34.2391304347826,44.0217391304348,16.6304347826087,19.5652173913043,0,0.978260869565217,0,4.89130434782609,0.978260869565217,1.95652173913043,7.82608695652174,11.7391304347826,0,0.978260869565217,0,2.93478260869565,0.978260869565217,1.95652173913043,16.6304347826087,30.3260869565217,17.6086956521739,19.5652173913043,8.80434782608696,8.80434782608696,9.78260869565217,17.6086956521739,15.6521739130435,17.6086956521739,8.80434782608696,8.80434782608696,4.89130434782609,7.82608695652174,8.80434782608696,8.80434782608696,2.93478260869565,2.93478260869565,0,0,0,0,0.978260869565217,2.93478260869565,0,0,0,0,2.93478260869565,0.978260869565217,0.978260869565217,1.95652173913043,0,0,0.978260869565217,5.8695652173913,4.89130434782609,0.978260869565217,0.978260869565217,0,0.978260869565217,0,0.978260869565217,0,0,0,0,0.978260869565217,11.7391304347826,3.91304347826087,0.978260869565217,2.93478260869565,3.91304347826087,0,7.82608695652174,1.95652173913043,8.80434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elby","BOS",0,1,63,1,0,1,0,1,0,2,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0.727272727272727,12,18,0.666666666666667,5,9,0.555555555555556,0.5,1,4,0.25,0,0,0,0,0,0,4,4,1,1,4,0.25,0,0,0,0,0,0,1,5,0.2,6,8,0.75,9,9,1,1,5,0.2,4,6,0.666666666666667,7,7,1,1,3,0.333333333333333,1,3,0.333333333333333,3,3,1,0.227272727272727,0.363636363636364,0.409090909090909,0.277777777777778,0.333333333333333,0.388888888888889,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0.333333333333333,3,2,7,5,3,2,3,1,2,0.333333333333333,0,2,0,0,0,0,1,12,6,0,4,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42857142857143,0,1.42857142857143,0,2.85714285714286,0,2.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8571428571429,31.4285714285714,17.1428571428571,25.7142857142857,7.14285714285714,12.8571428571429,1.42857142857143,5.71428571428571,0,0,0,0,5.71428571428571,5.71428571428571,1.42857142857143,5.71428571428571,0,0,0,0,1.42857142857143,7.14285714285714,8.57142857142857,11.4285714285714,12.8571428571429,12.8571428571429,1.42857142857143,7.14285714285714,5.71428571428571,8.57142857142857,10,10,1.42857142857143,4.28571428571429,1.42857142857143,4.28571428571429,4.28571428571429,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,1.42857142857143,2.85714285714286,4.28571428571429,4.28571428571429,2.85714285714286,10,7.14285714285714,4.28571428571429,2.85714285714286,4.28571428571429,1.42857142857143,2.85714285714286,0,2.85714285714286,0,0,0,0,1.42857142857143,17.1428571428571,8.57142857142857,0,5.71428571428571,1.42857142857143,0,1.42857142857143,4.28571428571429,2.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",0,1,92,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,0.702702702702703,19,23,0.826086956521739,9,10,0.9,0.434782608695652,0,1,0,8,17,0.470588235294118,0,0,0,0,0,0,0,0,0,3,6,0.5,0,0,0,18,29,0.620689655172414,5,5,1,3,3,1,13,17,0.764705882352941,3,3,1,3,3,1,7,8,0.875,1,1,1,1,1,1,0.783783783783784,0.135135135135135,0.0810810810810811,0.739130434782609,0.130434782608696,0.130434782608696,0.8,0.1,0.1,0,0,0,0,0,3,9,0.333333333333333,0,0,0,0,9,0,0,0,0,0,0,0,7,6,1,5,4,1,0.8,0,0,1,0,0,0,1,3,2,1,2,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978260869565217,0,0,0,0,0.978260869565217,0,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4347826086956,36.195652173913,18.5869565217391,22.5,8.80434782608696,9.78260869565217,0,0.978260869565217,7.82608695652174,16.6304347826087,0,0,0,0,0,0,2.93478260869565,5.8695652173913,0,0,17.6086956521739,28.3695652173913,4.89130434782609,4.89130434782609,2.93478260869565,2.93478260869565,12.7173913043478,16.6304347826087,2.93478260869565,2.93478260869565,2.93478260869565,2.93478260869565,6.84782608695652,7.82608695652174,0.978260869565217,0.978260869565217,0.978260869565217,0.978260869565217,0,0,0,0,2.93478260869565,8.80434782608696,0,0,0,0,8.80434782608696,0,0,0,0,0,0,6.84782608695652,5.8695652173913,0.978260869565217,4.89130434782609,3.91304347826087,0.978260869565217,0,0,0.978260869565217,0,0,0,0.978260869565217,2.93478260869565,1.95652173913043,0.978260869565217,1.95652173913043,5.8695652173913,0,0.978260869565217,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Groom","FCKC",0,1,92,1,0,0,0,2,0,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0.470588235294118,8,17,0.470588235294118,7,11,0.636363636363636,0.647058823529412,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,8,0.125,5,6,0.833333333333333,2,3,0.666666666666667,1,8,0.125,5,6,0.833333333333333,2,3,0.666666666666667,1,3,0.333333333333333,4,5,0.8,2,3,0.666666666666667,0.470588235294118,0.352941176470588,0.176470588235294,0.470588235294118,0.352941176470588,0.176470588235294,0.272727272727273,0.454545454545455,0.272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,5,3,2,7,2,5,0.285714285714286,1,1,0,0,0,0,1,27,4,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,0,1.95652173913043,0.978260869565217,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82608695652174,16.6304347826087,7.82608695652174,16.6304347826087,6.84782608695652,10.7608695652174,0,0.978260869565217,0,0,0,1.95652173913043,0,0,0,0.978260869565217,0,0,0,1.95652173913043,0.978260869565217,7.82608695652174,4.89130434782609,5.8695652173913,1.95652173913043,2.93478260869565,0.978260869565217,7.82608695652174,4.89130434782609,5.8695652173913,1.95652173913043,2.93478260869565,0.978260869565217,2.93478260869565,3.91304347826087,4.89130434782609,1.95652173913043,2.93478260869565,0,0,0,0,0,0,0,0,0,0,0,0,1.95652173913043,1.95652173913043,1.95652173913043,0,3.91304347826087,4.89130434782609,2.93478260869565,1.95652173913043,6.84782608695652,1.95652173913043,4.89130434782609,0.978260869565217,0.978260869565217,0,0,0,0,0.978260869565217,26.4130434782609,3.91304347826087,0.978260869565217,0,0,0,0.978260869565217,0.978260869565217,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,0.805555555555556,28,33,0.848484848484849,12,14,0.857142857142857,0.424242424242424,0,0,0,1,5,0.2,1,1,1,0,0,0,0,0,0,1,3,0.333333333333333,1,1,1,17,24,0.708333333333333,3,3,1,9,9,1,16,21,0.761904761904762,3,3,1,9,9,1,4,6,0.666666666666667,1,1,1,7,7,1,0.666666666666667,0.0833333333333333,0.25,0.636363636363636,0.0909090909090909,0.272727272727273,0.428571428571429,0.0714285714285714,0.5,0,0,0,0,0,1,3,0.333333333333333,0,0,0,0,3,1,0,1,1,0,0,0,6,6,0,2,2,0,1,1,1,0,0,0,0,1,6,4,4,5,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3695652173913,35.2173913043478,27.3913043478261,32.2826086956522,11.7391304347826,13.695652173913,0,0,0.978260869565217,4.89130434782609,0.978260869565217,0.978260869565217,0,0,0,0,0.978260869565217,2.93478260869565,0.978260869565217,0.978260869565217,16.6304347826087,23.4782608695652,2.93478260869565,2.93478260869565,8.80434782608696,8.80434782608696,15.6521739130435,20.5434782608696,2.93478260869565,2.93478260869565,8.80434782608696,8.80434782608696,3.91304347826087,5.8695652173913,0.978260869565217,0.978260869565217,6.84782608695652,6.84782608695652,0,0,0,0,0.978260869565217,2.93478260869565,0,0,0,0,2.93478260869565,0.978260869565217,0,0.978260869565217,0,0,0,5.8695652173913,5.8695652173913,0,1.95652173913043,1.95652173913043,0,0.978260869565217,0.978260869565217,0,0,0,0,0.978260869565217,5.8695652173913,3.91304347826087,3.91304347826087,4.89130434782609,2.93478260869565,0,0.978260869565217,0,1.95652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"King","BOS",0,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,50,0.78,34,43,0.790697674418605,20,27,0.740740740740741,0.627906976744186,0,3,0,2,4,0.5,0,1,0,5,7,0.714285714285714,0,3,0,2,4,0.5,0,1,0,26,34,0.764705882352941,8,11,0.727272727272727,5,5,1,22,28,0.785714285714286,7,10,0.7,5,5,1,11,16,0.6875,5,7,0.714285714285714,4,4,1,0.68,0.22,0.1,0.651162790697674,0.232558139534884,0.116279069767442,0.592592592592593,0.259259259259259,0.148148148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,2,0,2,10,5,5,2,1,1,0.5,0,1,0,0,0,0,1,4,2,5,1,5,1,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.1521739130435,48.9130434782609,33.2608695652174,42.0652173913044,19.5652173913043,26.4130434782609,0,2.93478260869565,1.95652173913043,3.91304347826087,0,0.978260869565217,4.89130434782609,6.84782608695652,0,2.93478260869565,1.95652173913043,3.91304347826087,0,0.978260869565217,25.4347826086956,33.2608695652174,7.82608695652174,10.7608695652174,4.89130434782609,4.89130434782609,21.5217391304348,27.3913043478261,6.84782608695652,9.78260869565217,4.89130434782609,4.89130434782609,10.7608695652174,15.6521739130435,4.89130434782609,6.84782608695652,3.91304347826087,3.91304347826087,0,0,0,0,0,0,0,0,0,0,0,2.93478260869565,0,2.93478260869565,1.95652173913043,0,1.95652173913043,9.78260869565217,4.89130434782609,4.89130434782609,1.95652173913043,0.978260869565217,0.978260869565217,0,0.978260869565217,0,0,0,0,0.978260869565217,3.91304347826087,1.95652173913043,4.89130434782609,0.978260869565217,4.89130434782609,0.978260869565217,6.84782608695652,1.95652173913043,7.82608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laddish","FCKC",0,1,66,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,0.576923076923077,15,26,0.576923076923077,11,15,0.733333333333333,0.576923076923077,0,0,0,0,1,0,2,5,0.4,0,0,0,0,0,0,0,1,0,2,5,0.4,3,14,0.214285714285714,5,5,1,7,7,1,3,14,0.214285714285714,5,5,1,7,7,1,3,7,0.428571428571429,4,4,1,4,4,1,0.538461538461538,0.192307692307692,0.269230769230769,0.538461538461538,0.192307692307692,0.269230769230769,0.466666666666667,0.266666666666667,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,5,12,11,7,4,4,1,3,0.25,0,0,0,0,0,0,1,23,4,1,4,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36363636363636,0,0,0,1.36363636363636,1.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4545454545455,35.4545454545455,20.4545454545455,35.4545454545455,15,20.4545454545455,0,0,0,1.36363636363636,2.72727272727273,6.81818181818182,0,0,0,0,0,1.36363636363636,2.72727272727273,6.81818181818182,4.09090909090909,19.0909090909091,6.81818181818182,6.81818181818182,9.54545454545454,9.54545454545454,4.09090909090909,19.0909090909091,6.81818181818182,6.81818181818182,9.54545454545454,9.54545454545454,4.09090909090909,9.54545454545454,5.45454545454546,5.45454545454546,5.45454545454546,5.45454545454546,0,0,0,0,0,0,0,0,0,0,0,0,2.72727272727273,2.72727272727273,6.81818181818182,6.81818181818182,16.3636363636364,15,9.54545454545454,5.45454545454546,5.45454545454546,1.36363636363636,4.09090909090909,0,0,0,0,0,0,1.36363636363636,31.3636363636364,5.45454545454546,1.36363636363636,5.45454545454546,0,1.36363636363636,1.36363636363636,2.72727272727273,2.72727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
