"Player","Team","Number","GP","MP","GS","Goals","Shots.Stopped.by.GK","Shots.Stopped.by.Def","Shots.Missed","Shots.Blocked","All.Shots","Shot.Accuracy","Shots.Pressed","Shots.Not.Pressed","Pct.Shots.Pressed","BC.Scored","BC.SOG","BC.Shot.Miss","BC.Dispossess","BC.Created","BC.Lost","Big.Chances","BC.Conversion.Pct","Assists","Key.Passes","Key.Assists","Second.Assists","Open.Play.Assists","Open.Play.Key.Passes","Open.Play.Key.Assists","Open.Play.Second.Assists","Pass.Comp","Pass.Att","Pass.Comp.Pct","opPass.Comp","opPass.Att","opPass.Comp.Pct","PPass.Comp","PPass.Att","PPass.Comp.Pct","Pct.opPass.Pressed","Cross.Comp","Cross.Att","Cross.Comp.Pct","Launch.Comp","Launch.Att","Launch.Comp.Pct","Through.Comp","Through.Att","Through.Comp.Pct","Throw.In.Comp","Throw.In.Att","Throw.In.Comp.Pct","opCross.Comp","opCross.Att","opCross.Comp.Pct","opLaunch.Comp","opLaunch.Att","opLaunch.Comp.Pct","opThrough.Comp","opThrough.Att","opThrough.Comp.Pct","fwPass.Comp","fwPass.Att","fwPass.Comp.Pct","sPass.Comp","sPass.Att","sPass.Comp.Pct","bPass.Comp","bPass.Att","bPass.Comp.Pct","fwopPass.Comp","fwopPass.Att","fwopPass.Comp.Pct","sopPass.Comp","sopPass.Att","sopPass.Comp.Pct","bopPass.Comp","bopPass.Att","bopPass.Comp.Pct","fwPPass.Comp","fwPPass.Att","fwPPass.Comp.Pct","sPPass.Comp","sPPass.Att","sPPass.Comp.Pct","bPPass.Comp","bPPass.Att","bPPass.Comp.Pct","rFreq.Pass.Fwd","rFreq.Pass.Side","rFreq.Pass.Back","rFreq.opPass.Fwd","rFreq.opPass.Side","rFreq.opPass.Back","rFreq.PPass.Fwd","rFreq.PPass.Side","rFreq.PPass.Back","Corner.Kicks.Completed","Corner.Kicks.Taken","CK.Comp.Pct","CK.Assist","CK.Key.Pass","FK.Pass.Comp","FK.Pass.Att","FK.Pass.Comp.Pct","FK.Assist","FK.Key.Pass","FK.Shot","FK.Scored","Free.Kicks.Taken","TO.Won","TO.Lost","Take.Ons","TO.Win.Pct","Dispossessed.by.Opp","Lost.Touches","All.Possessions.Disrupted","Recoveries","Def.Recoveries","Poss.Recoveries","Aerial.Duels","AD.Won","AD.Lost","AD.Win.Pct","Fouls.Won","Fouls.Conceded","Yellow.Cards","Red.Cards","Penalties.Won","Penalties.Conceded","Dispossessed.Opp","Pressured.Opp","Challenged.Opp","Interceptions","Blocks","Clearances","Ball.Shields","Tackles","Dribbled","All.Opp.Poss.Disrupted","Saves","Goals.Allowed","GK.SOG.Faced","GperSOG","BC.Saves","BC.Goals.Allowed","BC.SOG.Faced","GperBCSOG","HB.Won","HB.Lost","High.Balls.Faced","HB.Win.Pct","HB.Caught","HB.Punched","HB.Parried","HB.Collected","Crosses.GK.Won","Crosses.GK.Lost","Crosses.GK.Faced","CKs.GK.Won","CKs.GK.Lost","CKs.GK.Faced","FKs.GK.Won","FKs.GK.Lost","FKs.GK.Faced","HB.Fouls.Won","Smothers.Won","Smothers.Lost","GK.Overall.Pass.Comp","GK.Overall.Pass.Att","GK.Overall.Pass.Comp.Pct","GK.Throw.Comp","GK.Throw.Att","GK.Throw.Comp.Pct","GK.Drop.Kick.Comp","GK.Drop.Kick.Att","GK.Drop.Kick.Comp.Pct","GKFK.Comp","GKFK.Att","GKFK.Comp.Pct"
"Andressa","HOU",0,1,72,1,0,0,0,2,0,2,0,1,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,44,54,0.814814814814815,42,50,0.84,25,31,0.806451612903226,0.62,0,3,0,2,4,0.5,1,2,0.5,0,0,0,0,1,0,2,4,0.5,1,2,0.5,22,30,0.733333333333333,10,12,0.833333333333333,12,12,1,22,30,0.733333333333333,9,9,1,11,11,1,12,18,0.666666666666667,4,4,1,9,9,1,0.555555555555556,0.222222222222222,0.222222222222222,0.6,0.18,0.22,0.580645161290323,0.129032258064516,0.290322580645161,1,3,0.333333333333333,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,5,3,2,3,1,2,0.333333333333333,2,1,0,0,0,0,1,22,5,2,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beckie","HOU",0,1,18,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0.888888888888889,8,9,0.888888888888889,3,3,1,0.333333333333333,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,3,1,3,4,0.75,2,2,1,3,3,1,3,4,0.75,2,2,1,1,1,1,2,2,1,0,0,0,0.333333333333333,0.444444444444444,0.222222222222222,0.333333333333333,0.444444444444444,0.222222222222222,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian","HOU",0,1,96,1,0,0,0,1,2,3,0,1,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,76,0.881578947368421,65,74,0.878378378378378,31,36,0.861111111111111,0.486486486486487,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,27,33,0.818181818181818,22,24,0.916666666666667,18,19,0.947368421052632,27,33,0.818181818181818,21,23,0.91304347826087,17,18,0.944444444444444,12,15,0.8,10,11,0.909090909090909,9,10,0.9,0.434210526315789,0.315789473684211,0.25,0.445945945945946,0.310810810810811,0.243243243243243,0.416666666666667,0.305555555555556,0.277777777777778,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,3,0,3,15,8,7,2,1,1,0.5,0,0,0,0,0,0,1,29,3,4,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks","HOU",0,1,24,0,0,0,0,1,1,2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0.85,17,20,0.85,5,5,1,0.25,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,0,1,2,0.5,0,0,0,9,12,0.75,2,2,1,6,6,1,9,12,0.75,2,2,1,6,6,1,2,2,1,1,1,1,2,2,1,0.6,0.1,0.3,0.6,0.1,0.3,0.4,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,1,0,0,0,0,0,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brush","HOU",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,47,0.936170212765957,43,46,0.934782608695652,10,13,0.769230769230769,0.282608695652174,0,0,0,1,3,0.333333333333333,0,0,0,0,0,0,0,0,0,1,3,0.333333333333333,0,0,0,27,30,0.9,8,8,1,9,9,1,26,29,0.896551724137931,8,8,1,9,9,1,5,8,0.625,2,2,1,3,3,1,0.638297872340426,0.170212765957447,0.191489361702128,0.630434782608696,0.173913043478261,0.195652173913043,0.615384615384615,0.153846153846154,0.230769230769231,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,6,1,2,0,2,0,1,0,0,0,0,0,2,5,5,0,5,8,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daly","HOU",0,1,96,1,0,0,1,0,1,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,24,0.75,18,24,0.75,15,18,0.833333333333333,0.75,0,2,0,0,1,0,1,2,0.5,0,0,0,0,2,0,0,1,0,1,2,0.5,3,6,0.5,11,14,0.785714285714286,4,4,1,3,6,0.5,11,14,0.785714285714286,4,4,1,3,4,0.75,9,11,0.818181818181818,3,3,1,0.25,0.583333333333333,0.166666666666667,0.25,0.583333333333333,0.166666666666667,0.222222222222222,0.611111111111111,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.5,3,0,4,3,1,2,4,2,2,0.5,0,2,0,0,0,0,0,20,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dowie","BOS",0,1,96,1,1,1,0,3,1,6,0.4,3,3,0.5,1,0,1,0,0,0,2,0.5,0,0,0,0,0,0,0,0,28,33,0.848484848484849,28,33,0.848484848484849,19,21,0.904761904761905,0.636363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.6,8,10,0.8,17,18,0.944444444444444,3,5,0.6,8,10,0.8,17,18,0.944444444444444,1,2,0.5,5,6,0.833333333333333,13,13,1,0.151515151515152,0.303030303030303,0.545454545454545,0.151515151515152,0.303030303030303,0.545454545454545,0.0952380952380952,0.285714285714286,0.619047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,2,10,5,1,4,6,4,2,0.666666666666667,0,1,0,0,0,0,1,22,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elby","BOS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35,47,0.74468085106383,28,36,0.777777777777778,20,25,0.8,0.694444444444444,1,1,1,1,4,0.25,0,0,0,7,11,0.636363636363636,1,1,1,1,4,0.25,0,0,0,15,26,0.576923076923077,5,6,0.833333333333333,15,15,1,8,15,0.533333333333333,5,6,0.833333333333333,15,15,1,5,9,0.555555555555556,5,6,0.833333333333333,10,10,1,0.553191489361702,0.127659574468085,0.319148936170213,0.416666666666667,0.166666666666667,0.416666666666667,0.36,0.24,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,6,6,0,1,0,1,0,0,0,0,0,0,0,5,19,9,3,4,3,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Engen","BOS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,64,0.859375,51,59,0.864406779661017,21,26,0.807692307692308,0.440677966101695,0,1,0,5,9,0.555555555555556,0,0,0,0,0,0,0,1,0,3,6,0.5,0,0,0,32,41,0.780487804878049,13,13,1,10,10,1,29,37,0.783783783783784,13,13,1,9,9,1,11,16,0.6875,3,3,1,7,7,1,0.640625,0.203125,0.15625,0.627118644067797,0.220338983050847,0.152542372881356,0.615384615384615,0.115384615384615,0.269230769230769,0,0,0,0,0,4,5,0.8,0,0,0,0,5,0,0,0,0,0,0,0,4,3,1,0,0,0,0,3,0,0,0,0,0,1,7,3,2,1,7,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kallman","BOS",0,1,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,44,0.886363636363636,37,42,0.880952380952381,9,10,0.9,0.238095238095238,0,0,0,2,4,0.5,0,0,0,0,0,0,0,0,0,2,4,0.5,0,0,0,24,29,0.827586206896552,11,11,1,4,4,1,24,29,0.827586206896552,9,9,1,4,4,1,5,6,0.833333333333333,1,1,1,3,3,1,0.659090909090909,0.25,0.0909090909090909,0.69047619047619,0.214285714285714,0.0952380952380952,0.6,0.1,0.3,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,1,1,3,2,1,3,0,3,0,1,0,0,0,0,0,1,4,4,2,2,12,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
